카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1233281842,Poke all day 포케&샐러드 연희점,926,32,서울 서대문구 연희로15길 39 1층
1826959498,스웨이커피스테이션,1082,32,서울 서대문구 연희로11길 61
1032580297,프로토콜 연희점,474,1003,서울 서대문구 연희로 109 2층
1677855640,보연희,473,293,서울 서대문구 연희맛로 17-63 2층
36543730,푸어링아웃,441,927,서울 서대문구 연희로11나길 7-7 반지층 카페 (푸어링아웃)
13413865,피터팬1978,3466,927,서울 서대문구 증가로 10
32982001,매뉴팩트커피,939,927,서울 서대문구 연희로11길 29
1981754376,아워온즈,1492,393,서울 서대문구 연희맛로 45
1995069188,카페 마,72,169,서울 서대문구 연희로11가길 48-10
1485444554,앤트러사이트 연희점,1166,666,서울 서대문구 연희로 135 앤트러사이트 연희점
1588980015,에브리띵베이글,1248,593,서울 서대문구 연희로11길 29 1층 에브리띵베이글
1214851981,금옥당 연희점,1159,618,서울 서대문구 연희로11라길 2
1161125870,본지르르 연희,127,327,서울 서대문구 연희로 189-16 단독주택
1624356996,더반 베를린 연희점,19,29,서울 서대문구 연희로11가길 48-23 3층
21052525,폴앤폴리나,1070,29,서울 영등포구 의사당대로 108 아일렉스 상가
1051152758,연희 에스프레소 바,88,185,서울 서대문구 연희로11가길 36 1.5층
34326631,시간이머무는홍차가게,572,211,서울 서대문구 연희로16길 7-15 1층
1649486164,연희동 국화빵,19,66,서울 서대문구 연희맛로 17-21 1층
1304058353,디폴트밸류,730,330,서울 서대문구 성산로 333 1층(대로변)
1708381623,해피앤피스커피클럽,62,177,서울 서대문구 연희로 134 1층
1467076256,비전스트롤 연희점,8,27,서울 서대문구 연희로11길 57 1층 2호
1595735508,로덴드론 연희 1호점,1057,309,서울 서대문구 연희로25길 82
1568967528,컬러드 빈,234,309,서울 서대문구 연희로11가길 8-8 신관 컬러드빈
1656206859,그로밋커피하우스,55,82,서울 서대문구 연희로8길 16-6 베스트빌 1층 101호
1194851065,다도레 티룸,362,143,서울 서대문구 증가로 13-9 3층
1304262793,카페 데스툴 연희점,202,397,"서울 서대문구 연희로25길 98 서울 서대문구 연희로25길 98, 2층"
1478636575,쿳사 연희,1747,711,서울 서대문구 증가로 48
1635845245,연희양과점 연희점,428,239,서울 서대문구 연희로11가길 56 지층
1008629511,혹스턴,218,198,서울 서대문구 연희로 91 2층
1529107355,뉘블랑쉬,277,105,서울 서대문구 연희로15길 52 지층
1488367668,감과당,72,50,서울 서대문구 증가로 24 2층
36462644,스타벅스 연희DT점,4423,50,서울 서대문구 연희로 144
1779458685,다크에디션커피,35,20,서울 서대문구 연희로11마길 12 1층
1514592974,카페 니어리,9,2,서울 서대문구 성산로 374 1층
1352553531,포싵,7,17,서울 서대문구 연희로12길 10-4 1층 FAUCET
1534115818,티아레나,354,213,서울 서대문구 연희맛로 43-2
1299963885,프레스도넛 연희,414,128,서울 서대문구 연희로15길 43 1층
1115775390,해피헤비드링커,162,75,서울 서대문구 성산로 306 1층
