title,content
"망원동 디저트 맛집, ""구뜨몽떼"" 프랑스 파티세리","구뜨몽떼 고급진 비주얼에 맛도 역쉬 페스토페스토 이전 자리에 새로운 디저트 맛집이 생겼다. 프랑스 파티세리 '구뜨몽떼' 기대되는 마음을 들고 방문 (2023. 9월에 방문한 후기 입니다.) 구뜨몽떼 외부 내부가 아담한데 잘 꾸며놓으셨다. 분위기 좋아여~ 디저트 쫘악- 깔려있는 쇼케이스 냉장고 꽃이 이쁘게 폈네 깔끔한데 예쁜 구뜨몽떼 인테리어 거울도 쇼케이스 우드 다 이쁘 바닥은 체커보드야 히히 창밖을 보는 의자 2개 정도 있다. 혼자나 둘이서 방문해서 디저트 먹기 좋겠다. 디저트 구경~ 생또노레 라즈베리피치 트로피컬바질 더블쇼콜라, 카라멜, 라임망고, 프랄리네트 드립커피, 홍차, 시즈널에이드 가능~ 궁금했던 파이쿠키 다음에 가면 먹어봐야지 포장했더니 이런 안내문도 넣어주셨다. 시원하게 유지된 상태로 먹어야 가장 맛있다고! 보관상태는 최대 2일 이내 먹는 것을 권장~! 생또노레 트로피컬바질 더블쇼콜라 로 결정~! 아니, 마침 공방에 생일자가 있었다~! 끼룰루 추카포카 n번째 재탕하는 오리 초 꽂아서 생축도 하고 짝짝짝 트로피칼바질에 꽂은 오리초가 깔맞춤이네. 딱이네 이날 젤 맛있는건 바닐라크림이 들어간 생또노레가 내 원픽! 바닐라빈 맛 좋고, 카라멜과의 조화도 아주 굿 트로피컬바질은 파인애플이 들어가서 바질보단 파인애플 맛이 강~함 새콤상콤하니 새콤한 디저트 좋아하는 사람에게 추천 더블초코는 넘 달아 ㅜ.ㅜ 위에 튀일 맛있었지만 그래도 넘 달았엉 맛있긴 했음! 초코 좋아하는 분들 추천 샤샥 샤샥 빛의속도로 사라지는 디저트들 고~오급 디저트 찾는 분들 여기 한번 가보세요 망원동 구뜨몽떼 맛도 좋고 비주얼도 넘 이쁘고 기념일이나 선물로 따악-! 이상으로 구뜨몽떼 방문기 끝~! 50m © NAVER Corp. 구뜨몽떼 서울특별시 마포구 동교로 79 1층 #구뜨몽떼 #망원동디저트 #망원동빵지순례 #망원동빵맛집 #망원동케이크맛집 #망원동디저트맛집 #프로망원러 #망원동추천디저트"
구뜨몽떼 망원동 디저트 맛집,"구뜨몽떼 망원동 디저트 맛집 오늘은 저의 최애 디저트 가게가 된 구뜨몽떼 리뷰할게요 :D 구뜨몽데 추석에 다녀온 구뜨몽떼. 추석 당일에 문 열려있는 빵집, 디저트 가게가 거의 없어서 찾고 찾던 중 gout mon tee 발견! 가게 정보 전혀 없이 그냥 문이 열려있길래 가봤어요. 망원동 인근 다른 디저트 가게는 네이버에는 문을 연다고 되어 있었는데 막상 가보니까 문이 닫혀있는 상황이라 거의 포기 상태였는데 여긴 진짜 열려있더라고요!! 구뜨몽떼 서울특별시 마포구 동교로 79 1층 앗... 거의 다 품절... 또르르. 하지만 남아있는게 어디냐며 하나 남은 더블쇼콜라를 구매해봤어요. 쿠키도 하나만 구매해봤습니당. 저는 처음 들어본 가게라서 정보가 없으니 일단 하나만 구매했는데 집에 오자마자 후회함... 이유는 아래 후기에~ 더블쇼콜라, 카라멜 쿠키 가격은 쵸큼 있는 편이에요. 더블쇼콜라 9,500원, 카라멜 쿠키 3,500원이었어요. 카라멜 쿠키 사랑스럽네요. 내가 왜 하나만 사온걸까.... 코팅 입힌 퐈이타주 사이에 카라멜이 들어간 쿠키입니다. 하아.. 짜증나게 맛있어요. 이 표현 오랜만에 씀... 제가 좋아했던 디저트 가게들이 점점 맛이 변해서 요즘은 짜증나게 맛있는 집이 별로 없었는데 여기 찐이네요. 너모 맛있어.ㅠㅠ 이거 한입 먹자마자 하나만 사온 내가 너무 미웠음. 더블쇼코라 밀푀유 넘 좋아하는데 여기 밀푀유 맛집이었어...!! 카카오함량이 다른 두가지 초콜릿을 사용해 만든 디저트래요. 토핑된 초코 디스크도 넘 맛있음!! 페스츄리 밀푀유 맛집이에요. 진짜 너무 맛있음!! 왜 이렇게 맛있지? 여기 파티셰님 뭐하는 분이지? 아니 왜 여태까지 내가 여길 몰랐던거야?? 요즘 내가 너무 디저트덕후 활동을 안했어!! 반성하며 왜 여길 몰랐나 싶어 찾아봤는데 오픈한지 얼마 안됐더라고요. 그래서인지 정보는 생각보다 많이 없음! 다음날 다시 가려고 보니까 휴무길래 못가고 계속 언제 다시 한번 가볼까 계획 짜는 중이에요. 집이랑 가까웠으면 맨날 출근 도장 찍고 10kg 늘었을듯... 이렇게 최애디저트 가게로 등극한 구뜨몽떼!! 나만 알고 싶지만 이미 많은 분들이 알고 계심. 그래서 품절도 빠르게 되는것 같아요. 다음엔 인스타 DM 보내서 종류별로 예약 싹 해서 방문해야겠어요. 바삭하게 겹겹이 쌓인 밀푀유, 느끼함 1도 없는 초코크림, 바삭한 초코디스크까지...ㅠㅠ 완벽하다!!! 구뜨몽떼 망원동 디저트 맛집 페스츄리, 밀푀유 좋아하는 분들이라면 꼭 가보세요! 짜증나게 맛있음!! 저는 메뉴 딱 두개 먹어보고 최애 디저트가게가 바뀌었어요. 조만간 재방문 예정이고 다른 메뉴 다 먹어보고 또 리뷰 남길게요! 고롬 요기까지 망원동 디저트 맛집 구뜨몽떼 리뷰 끄읏 :D"
"230908 _ 은하루, 스몰커피 Small Coffee, 구뜨몽떼 Goutmontee @합정동, 망원동","은하루 @합정동 합정 은하루(@eunharu2021) • Instagram 사진 및 동영상 팔로워 257명, 팔로잉 37명, 게시물 26개 - 합정 은하루(@eunharu2021)님의 Instagram 사진 및 동영상 보기 www.instagram.com 우리의 그칠 줄 모르는 은하루 사랑 @eunharu2021 오늘은 오랜만에 짜장면, 짬뽕 조합. 그리고, 돼지고기를 은하루의 그 맛있는 칠리소스에 볶아 내주셨다. 부드러운 돼지고기에 지나치지 않은 칠리소스라니... 이건 정말이지 맛없을 수가 없잖아. 정식 메뉴가 아니어서 뭔가 약올리는 듯한 기분이 들지만...😂 하필 짜장면 곱빼기를 주문한 탓에 배가 터질 듯 배불러오는데도 젓가락을 놓을 수 없었던, 새우칠리가 아닌 돼지칠리. #은하루 #최애중식당 #합정동은하루 #짜장면 #짬뽕 〰🐚(@go.oun) • Instagram 사진 및 동영상 팔로워 626명, 팔로잉 1,077명, 게시물 497개 - 〰🐚(@go.oun)님의 Instagram 사진 및 동영상 보기 www.instagram.com 고은씨가 찾아왔다. 킥복싱, 고양이, 요가, 이어폰/헤드폰, 음악 그리고 마지막은 넷플릭스에서 방영한 <사이렌 : 불의 섬> 이 이야기들을 맛있게 만들어준 구뜨몽떼의 @goutmontee_seoul 맛있는 달다구리. #구뜨몽떼 #망원동디저트 #타르트 #에클레어 스몰커피 Small Coffee @망원동 small coffee(@_smallcoffee) • Instagram 사진 및 동영상 팔로워 6,708명, 팔로잉 989명, 게시물 974개 - small coffee(@_smallcoffee)님의 Instagram 사진 및 동영상 보기 www.instagram.com 영업 종료 후, 스몰커피에 들렀다. 일본으로 나들이 가시면 늘 음반샵과 카페에 집중하시는 스몰커피 사장님으로부터 도쿄에서 가볼 만한 카페들 정보를 줍줍- 엄청난 정보들을 마구... 무상으로 배포해주셨다!"
"망원동, 구뜨몽떼 (goutmontee)","2023. 08. Aug. 망원동, 구뜨몽떼(goutmontee) 구뜨몽떼(@goutmontee_seoul) • Instagram 사진 및 동영상 팔로워 1,201명, 팔로잉 0명, 게시물 28개 - 구뜨몽떼(@goutmontee_seoul)님의 Instagram 사진 및 동영상 보기 www.instagram.com 구뜨몽떼 서울특별시 마포구 동교로 79 1층 망원동에 맛 좋은 디저트 샵이 새로 생겼다. 망원 우동 옆 눈이 즐거운 페스츄리 디저트 전문 샵이다. 망원동, 구뜨몽떼(goutmontee) 망원 우동 옆 성산초등학교 앞 망원동, 구뜨몽떼(goutmontee) 가오픈 기간에 방문해서 변동이 좀 있다. 영업시간은 화 ~ 토 12:00 ~ 19:00 망원동, 구뜨몽떼(goutmontee) 망원동, 구뜨몽떼(goutmontee) 작은 디저트 샵이며 테이크 아웃을 전문으로 하는 가게이다. 하지만 아쉬움을 달래줄 작은 테이블이 있다. 2~3명 정도 앉을 수 있는 바 테이블이 준비되어 있다. 음료는 드립 커피 또는 홍차, 에이드를 주문할 수 있다. 망원동, 구뜨몽떼(goutmontee) 망원동, 구뜨몽떼(goutmontee) 바닥이 참 마음에 드네 망원동, 구뜨몽떼(goutmontee) 망원동, 구뜨몽떼(goutmontee) 드립 커피와 함께 생또노래를 주문했다. 나에게는 난생처음 보는 디저트 '생또노래' 감히 맛 표현은 못 하겠다만 바스러지는 식감과 달달한 맛이 취향에 딱 맞았다. 망원동, 구뜨몽떼(goutmontee) 잔뜩 달달해진 입안을 다른 디저트로 중화시켜보자 '라임 망고 타르트' 사장님께 다른 디저트 추천을 해달라고 하니 추천해 주신 메뉴 '트로피컬 바질'과 고민을 하다가 선택했다. 상큼하게 잘 마무리했다. 망원동, 구뜨몽떼(goutmontee) 테이크 아웃을 전문으로 하는 가게답게 포장도 깔끔하다. 선물하기 좋을 것 같다. 망원동, 구뜨몽떼(goutmontee) 휘낭시에와 갈레트, 푀이타주 쿠키 못 먹은 디저트가 아직 많다. 필히 재방문해야 할 곳이다. 망원동, 구뜨몽떼(goutmontee) 요즘 구뜨몽떼 인스타그램을 보면 메뉴들이 금방 빠지는 것 같다. 포장을 할 때는 미리 DM을 남겨야겠다. 망원동, 구뜨몽떼(goutmontee) 망원동, 구뜨몽떼(goutmontee) 파티시에 공부를 하신 사장님이다. 커피를 맛있게 내려주신 여사장님 망원동, 구뜨몽떼(goutmontee) 오픈 되어 있는 베이커리실 만드시는 모습을 잠깐 구경할 수 있었다. 망원동, 구뜨몽떼(goutmontee) 이곳 협소하지만 알차다. 망원동, 구뜨몽떼(goutmontee) 망원동에 놀러 갈 이유가 하나 들었구나 Florence + The Machine - Dog Days Are Over"
[서울 망원동 디저트] 떠오르는 망원동 프랑스 디저트 전문점 : 구뜨몽떼 goût montée,"사실 간 건 여름이었는데,, 사진첩 뒤지다가 발견해서 이제야 올리는 내돈내산 디저트••🤍 내 블로그 쁘띠갸또나 파티스리 후기는 99프로는 내돈내산이다 🥹 디저트에 진심입니다만, 구뜨몽떼 50m © NAVER Corp. 구뜨몽떼 서울특별시 마포구 동교로 79 1층 망원역엔 역시,,, 디저트 맛집이 많아ㅠ 12:00-19:00 일, 월 휴무 ✔️매장 좌석은 2인 테이블 하나라 주로 테이크아웃을 해가는 편이다 ✔️포장, 예약 가능 DM 구뜨몽떼(@goutmontee_seoul) • Instagram 사진 및 동영상 팔로워 2,309명, 팔로잉 0명, 게시물 74개 - 구뜨몽떼(@goutmontee_seoul)님의 Instagram 사진 및 동영상 보기 instagram.com 오픈 전부터 봐왔던 곳인데 벌써 팔로워 2천🥹🥹 유명해지지마.. 아니 유명해져……… 하ㅠ 평일 5시쯤이었던 것 같은데 금새 많이 솔드 돼있었다🥺엉엉 꼭 예약하세요..ㅠㅠ 푀이타쥬 쿠키가 진짜 먹고 싶었는데 초코 카라멜은 다 팔려서 클래식만 샀는데 더 먹고 싶어짐 수팔.,, 포장도 고급지고 정성가득함ㅠ🫧🫧 칭구들 만나서 근처 카페 가서 포장 깠는데 미친임••• 입틀막 사진 다 예뻐서 중복 돼도 올림 근데 다 다른 사진임!!!! 너무 황홀하지 않아…?ㅠ🤍 맛은 진짜진짜진짜 제대로 된 프랑스 디저트. 제대로 된 파티세리. 진짜 이거다. 반죽 하나하나 세심한 노력이 엿보이는 맛. 프랑스 디저트 좋아하거나 디저트 전공이거나 디저트 직종이면 꼭 두셔보셈 진짜 강추. 푀이타쥬 쿠키도 길빵(길 가면서 먹음)하면서 순삭함 눈물 좔좔 흘리면서 보내줌 ㅠ 자세한 맛이 궁금하다구요? 사드세요 정말. 후회 안 합니다… 진짜 내돈내산임ㅋㅎㅋㅎㅋㅎㅋㅋㅋㅋㅋ ㅠ #구뜨몽떼 #서울디저트 #내돈내산디저트 #내돈내산 #서울프랑스디저트 #서울쁘띠갸또 #망원동디저트 #망원동케이크 #망원동타르트 #망원역맛집 #망원동맛집 #망원동데이트 #망원카페 #망원시장 #서울디저트투어 #디저트투어 #제과제빵 #빵지순례 #빵순이 #디저트추천"
고급스런 프랑스 디저트 맛집! 망원동 신상카페[구뜨몽떼],"예전 페스토페스토가 있던 자리에 깔끔한 프랑스식 신상 디저트가게가 생겼습니다 뭐가 들어올까 한참 궁금했었는데 기대가 되었어요 만족스러워서 벌써 두번이나 방문해본 후기 기록해봅니다 구뜨몽떼 서울특별시 마포구 동교로 79 1층 구뜨몽떼 영업시간 정보 화~토 12:00-19:00 일, 월요일 휴무 반려견 동반 가능 원테이블 포장 전문 매장 이름은 goûtmontée 구뜨몽떼라 읽고 창문엔 패스츄리 파티세리라고 설명이 쓰여있네요 구뜨몽떼 위치는 망원역에서 걸어서 한 5분 거리고 유명한 ‘망원동 즉석우동’집 바로 근처에요 화이트 우드톤의 깔끔한 매장입니다 거울 위에는 에꼴 르노뜨르 마스터 수료증이 있어요 궁금해서 찾아보니 프랑스 르노뜨르의 커리큘럼을 그대로 가져와 한국에서 교육하는 과정이라고 하네요 알고보니 구뜨몽떼는 포장전문점인 매장! 매장이 작은 편이고 좌석은 여기 창가 바테이블 하나밖에 없어요 2-3명 정도만 앉을 수 있는 공간입니다 구뜨몽떼 메뉴 구뜨몽떼 메뉴인데요 음료는 커피와 티 두 종류, 제철과일 에이드 한 종류 이렇게 간단하게 준비되어 있어요 디저트 전문샵 답다 싶었습니당 예쁜 꽃과 탬버린즈 손소독제도 있고요 메인인 디저트 메뉴 살펴볼게요😋 레어크림치즈와 라즈베리초콜릿이 있는 라즈베리피치 (9.5) 파인애플이 들어간 트로피컬바질 (9.2) 더블쇼콜라 (9.5) 100% 카라멜 (9.2) 여러 종류의 푀이타주 쿠키 푀이타주도 패스츄리의 한 종류입니다 여름 시즌에 나왔던 라임망고 (9.2) 생토노레와 트로피칼바질 내돈내산 후기 저는 생토노레와 트로피칼 바질을 먹어봤어요 살짝 달달한 크림과 바삭한 질감의 슈(?) 바삭하고 풍미가 가득한 페스츄리의 조합 살짝만 썰어서 한입 크게 넣고 먹었는데 정말 고급스러운 맛이었어요 사실 가격대가 전부 9천원대로 저렴한 편은 아닌데 요즘 어차피 디저트가 다 비싸서 제대로 만든 디저트를 조금 더 비용을 지불하고 먹는 게 더 만족도가 높은 것 같아요 맛있었습니다… 부스러기는 엄청 떨어지지만 다음은 트로피컬 바질 저는 이게 더 맛있었어요! 파인애플과 강하지 않은 바질향이 나는데요 생토노레는 패스츄리도 버터가득일텐데 크림과 카라멜까지 있다보니 크리미한 느낌이 강하고 트로피칼바질은 단단한 페스츄리에 부드러운 과육의 질감과 상큼함이 더해져서 훨씬 밸런스가 좋은 느낌! (점심에 곱창전골 먹어서 더 땡겼을 수도 있어요) 예약 주문 시 케익도 구매할 수 있더라구요 기념일 케익이 필요하면 문의해보려고 합니당 간만에 맛있는 디저트를 먹어서 기분이 좋은 포스팅이었습니다"
망원동 카페 구뜨몽떼 :: 신상 파티세리 맛집,"#구뜨몽떼 12:00- 일,월 휴무 갈레트, 페스츄리쿠키 푀이타주와 타르트 딱 두가지 라인 전문적느낌이 제대로..🤍🤍 두자리 이용석이 있구요 :) 곳곳에 센스가 넘치는 🌺 머신이 아닌 드립커피라 시간이 조금 걸려요 ☕️ 아이스로 주문🤎 에티오피아인데 산미가 딱 기분 좋게 ,깔끔한 정도라서 디저트랑 잘 어울려서 맛있게 마셨어요☺️ 딱 제가 좋아하는 맛들로만 구성했어요😌 주문할때 이렇게 같은 계열로만 드셔도 괜찮냐고 걱정하셨던 사장님..ㅎㅎㅎ 저는 시트러스 계열을 안좋아해요🥹 플레이팅도 고급져서 더 예뻐보이고 맛있어보이고 🩷... 푀이타주 생또노레&더블쇼콜라 가게 이름의 뜻이 식감의 조합, 맛의 조합이래요 맛과 식감을 중시하는 곳이라그런지 디저트마다 식감포인트가 존재하는게 너무 좋았어요 제가 또 식감찐덕후잖아요🥹 100%카라멜타르트 이거 카라멜덕후라면 필히 드셔야하는부분 고오급진 카라멜맛도,크림도, 타르트지도 너무 맛있습니다 식감을 살려주는 재료들이 속에 듬뿍😚🧡🧡 그리고 저의 베스트픽 프랄리네트❤️ 견과류덕후라면 취향저격 1000% 확신합니다 위에 토핑인 카라멜넛츠도 너무 좋았고 제일 달지않은편! 물론 고소함이 큰 디저트라서 그렇죠 오랜만에 감동의물결🥹🥹 푀이타주 페스츄리가 정말 단단바삭한 식감이에요 칼로 썰때부터 힘 엄청빡 줘야할정도로.. 커팅은 힘들어도 먹을 땐 정말 행복한 맛이에요 초코크림도 2가지 들어가서 더 풍부한 맛😋🤎 초코,바닐라,카라멜,넛츠 = 제입맛..😌🫶🏻🫶🏻"
망원동 디저트 신상 맛집 생또노레가 맛있는 구뜨몽떼,"구뜨몽떼 서울 마포구 동교로 79 1층, 망원동 디저트 찐맛집 화-토 12:00 - 19:00 (일,월 정기휴무) 반려견 동반가능매장 안녕하세요 🙌🏻 요즘 지인들 인스타에서 핫한 디저트 신상 맛집이 있어 포스팅 해봅니다 구뜨몽떼 인스타 그램 🫶🏻 구뜨몽떼(@goutmontee_seoul) • Instagram 사진 및 동영상 팔로워 1,574명, 팔로잉 0명, 게시물 40개 - 구뜨몽떼(@goutmontee_seoul)님의 Instagram 사진 및 동영상 보기 instagram.com 가봐야지 가봐야지 하다가 생또노레 케이크 예약을 받는다고 해서 저도 주문을 해보았습니다 두근두근.. Next image 위치가 참좋아요 저는 망원역에서 갔는데 도보 3-4분 정도 걸린 것 같구요, 집에 갈 때는 합정역으로 갔는데 도보로 7분 정도 걸린 것 같아요! 저기 ‘선한영향력가게’ 가 보이시나요 결식아동을 지원하는 가게라고 하더라구요 따수운 가게일세 선남선녀 사장님 두분이 운영하는 이곳은 내부는 아주 작고 2명이 앉아서 먹을 수 있는 공간이 있습니다 디저트 맛집이다보니 테이크아웃 위주인 것 같아요! Next image 푀이타주 쿠키 클래식(4.0) 초코, 카라멜 (3.5) 주변에서 제일 강추했던 생또노레 (9.2) 라즈베리피치 (9.5) 트로피컬바질 (9.2) 카라멜 (9.2), 라임망고 (9.2) 프랄리네트 (9.5) 는 제가 갔을때는 없더라구용 아숩..! 몇몇 메뉴는 시즈널 메뉴라 곧 다른 메뉴로 변경될 예정이라고 하네요 친한 동생이 라임망고와 트로피컬바질이 찐이라며 프랑스 가본 적 없지만 프랑스에 있는 것 같다는 후기를 들었어요😂 디저트와 함께 즐길 수 있는 음료 메뉴도 간단히 있습니다 저는 아이스 드립커피를 마셨는데 산미도 적당하고 맛있었습니다 그나저나 사장님 너무 예뻐요 🫶🏻 저는 저 매장 이용 시 1인 1음료 안하셔도 된다는게 왜케 따숩죠? 요새 너무 칼같은 곳이 많은데 따수운 가게입니다 음료 테이크 아웃 & 생토노레 케이크 픽업 생토노레 케이크 (43.0) 추석 패키지 포장이 넘 예뻐서 선물용으로도 넘 좋을 것 같지만 저는 제가 먹고싶어서 사왔습니다 푀이타주 케이크도 곧 예약판매로 계속 진행될 예정이래요 난 벌써 먹어봐찌 음하하 생토노레 케이크 (43.0) 카라멜슈 , 푀이타쥬, 푀요틴 카라멜크레뮤, 바닐라빈크림레제 요렇게 들어가 있답니다 푀이타쥬랑 푀요틴 넘나 발음부터 어려운 이 친구들 바삭바삭하니 맛이 굉장히 좋네요 사실 밑바닥이 좀 딱딱하고 잘 부서질거같아서 커팅할때 걱정했는데 깔끔하게 잘나눠져서 좋았어요 종종.. 타르트라거나 이런거 자르면 위에 내용물만 잘리고 밑에 타르트지같이 딱딱한 부분은 따로 놀아서 불편했는데 이거는 아주 샤샥 잘 잘려요 그리구 밑면에 고정장치가 없어서 조심히 들고 가라고 하셨는데 야무지게 잘 들고 왔습니다 지하철에서 사람들이랑 부딪칠까봐 걱정했는데 다행이에요 저는 그냥 먹고싶어서 샀지만 🎂 기념일이라던지 좋은 날에 선물 받는다면 다른 곳에서 볼 수 없는 케이크라 특별할 것 같아요 완저니 추천!!! 혹시나 넘 달까바 걱정하시는분들은..! 집에 와서 어머니랑 같이 맛봤는데 엄마도 너무 달지 않고 맛있다면서 커피랑 호로록 잡수셨습니다 온가족이 즐길 수 있는 맛있는 디저트에요 ✨ 거울이 있길래 인증샷 찍어봤어요 집에서 가깝진 않지만 너~무 맛있어서 뉴시즌 디저트 나오면 칭구들이랑 망원으로 달려가 보렵니다🙌🏻 #망원맛집 #합정맛집 #생토노레 #디저트맛집 #구뜨몽떼 #신상디저트 #데이트 #망원동데이트 #신상맛집 #찐맛집"
"[망원동] 신상카페 , 프랑스 페스츄리 디저트 전문점 구뜨몽떼 goutmontee 인생디저트발견!","망원동 신상카페 : 구뜨몽떼 goutmontee 영업시간: 월/일 정기휴무 화요일~토요일 : 12:00 - 19:00 망원동에 새로 생긴 프랑스 디저트 전문점 구뜨몽떼 가오픈기간에 다녀왔어요! 페스츄리 디저트 전문점이더라구요! 인스타에서 오픈전부터 눈여겨 보고있다가 오픈날 달려갔지요---!!!! 50m © NAVER Corp. 구뜨몽떼 서울특별시 마포구 동교로 79 1층 위치 : 서울 마포구 동교로 79 1층 이에요! 주차는 저는 근처 망원1-2 공영주차장에대고 5분정도 걸어갔어요!ㅎㅎ 성산초등학교 바로 맞은편이라서 찾기 쉽더라고요. 망원역에서도 도보로 얼마 안걸려서 근처에 밥먹고 방문! 아니.. 들어가기전부터 유럽느낌 인테리어에 저만 설레나요..><ㅎㅎ 들어가자마자 보이는 풍경이에요! 쇼케이스에 놓여있는 디저트들 ㅎㅎ 그리고 주방이 보이는 구조에요! 주방이 보인다 = 위생 철저 공식아닙니까 히히. 곁들어 먹을 수 있는 음료도 판매하고있네요! 포장전문점이라 테이블은 1개에요! 저희는 다행히 매장에 자리가 있어서 매장에서 디저트랑 음료먹고 포장해 갈 생각이에요!! 푀이타주, 골드 럼 아몬드크림으로 만들어진 갈레트! 블로그쓰면서 찾아보니까 나뭇잎처럼 얇은 층을 켜켜이 쌓은 반죽 이라고 나오네요 페스츄리의 프랑스말인가???ㅎㅎㅎ 어쨌든 바삭할것 같은 느낌이 잔뜩 드네요!!! 인스타 사진에서도 갈레트가 너무 맛있어보였는데 뚜둥.... 여기 오픈날부터 엄청 핫해요!!! 갈레트 품절 ㅠㅠ_ (다음에 또올이유가 생겼다...) 갈레트 외에도 다양한 디저트들이 있어서 다행이였어요 왼쪽부터 생또노레 / 트로피컬바질/ 라즈베리피치 / 더블 쇼콜라 오른쪽 타르트는 100%카라멜 / 라임망고 / 프랄리네트 무슨맛으로 먹을지고민하다가 사장님추천으로 카라멜 100% 선택! 카라멜이 달달해서, 약간 상큼한 트로피컬바질로 선택했어요! 이쁘게 그릇에 담아주시는거 기다리며 매장에 있는 테이블에 앉았어요! 그릇도 너무이쁘고... 일단 카라멜.... 저거 정말 다 100% 카라멜이래요... 상큼한 트로피컬바질! 시거나 하는느낌은 1도없고 달달 상큼해요! 촉촉하고 영롱.. 한입먹고 기절했어요...... 바삭바삭하고 달고 .. 상큼하면서 그렇다고 엄청 머리아플정도로 달진 않아요!!!! 남녀노소 연령불문하고 좋아할 맛이에요 상큼한 복숭아 에이드까지 곁들어서 먹으니 천국에 와있는 기분.. 그리고 타르트가 미쳤어요... 안에 카라멜같은 과자?도 들어있고 크림도 딱 적당하게 달달한.. 다 수제로 만드신대요... 디저트 잘 모르는저도 와 이거 참 손많이 가겠다.... 하면서 맛있게 다먹었어요 ㅋㅋㅋ ㅠㅠㅠㅠㅠ 이거 꼭 드셔주셔야해요 오랜만에 평일낮에 카페에 있으니 행복.. 바깥풍경바라보며 한참 친구랑 수다떨며 먹었어요. 저희 대화 90%는 와..진짜맛있다..존맛...대박.... ㅋㅋㅋㅋ 패키지도 너무이뻐서 가기전에 지인들주려고 종류별로 포장해서 왔어요!!!! 다음날 먹었는데도 바삭바삭 맛있더라구요!!! 다음에 방문하면 갈레트 꼭 먹어보겠어요!!!!!! 재방문의사 별 5개...!!!! 망원동가면 꼭 포장해서 먹어보세요"
230803-0804 _ 구뜨몽떼 Goutmontee @망원동,"구뜨몽떼 Gout Mon Tee @망원동 얼마전, 정동씨 @j.d0ng 가 가오픈 중인 업장 구뜨몽떼 @goutmontee_seoul 의 패스트리 과자라며 안겨준 것이 무척 맛있어서 이틀 연속 들러 몇가지 메뉴를 맛봤다. 타르트 두 종류, 그리고 푀이타주 베이스의 디저트 메뉴 2가지, 그러니까 생또노레와 트로피컬바질은 이틀 연속 맛봤다. 트로피컬 프루트 크레뮤에 바질이 올라가 적당한 단맛과 바질향이 잘 어울리는 트로피컬바질 푀이타주는 호불호 없이 누구라도 좋아할 것 같다. 패스트리의 고소함과 식감을 좋아하는 1인으로, 구뜨몽떼의 푀이타주는 깨끗하게 먹을 순 없지만 무척 매력적인 디저트라는 생각을 했다. 종종 생각날 때마다 들를 수 있는 집이 아주 가까이 생겨 기분이 좋다.😊 (물론 자주 먹을 돈은 없...) 만두란 옆. 예전 페스토페스토 자리. @les_vergers_boiron_korea @jaeyeon.woo 재연씨 토요일에 말한 곳이 이 집. #푀이타주 #패스트리 #구뜨몽떼 #타르트 #트로피칼바질"
