title,content
서울 망원동 크레페 맛집 굿디드,"서울 망원동 크레페 맛집 굿디드 크레페를 먹으러 망원역과 마포구청역 사이에 있는 카페 굿디드 크레페 가게를 갔어요 가끔 크레페 생각이 나는데 크레페 파는 곳이 잘 없더라구요 서울 간 김에 크레페 먹기 카페 굿디드 크레페 외관 길 모퉁이에 크레페 가게가 있어요 서울 망원동 크레페 맛집 굿디드 음료 메뉴 에스프레소, 티, 생과일 에이드, 라떼, 버블티, 스무디, 하겐다즈 아이스크림 음료 메뉴가 다양하게 있어요 굿디드 할인 메뉴가 있네요 굿디드가 시원하게 쏜다 할인하는 메뉴는 현금만 가능하대요 서울 망원역 크레페 맛집 굿디드 크레페 메뉴 크레페는 콜드크레페와 핫크레페가 있네요 토핑들도 추가가 되어요 서울 마포구청역 크레페 맛집 굿디드 콜드 크레페 메뉴 토핑들에 따라 메뉴가 다양해요 생크림, 생크림+치즈케이크+아이스크림, 생크림+아이스크림, 생크림+치즈케이크 서울 망원동 크레페 맛집 굿디드 핫크레페 메뉴 누텔라, 로투스, 땅콩버터 서울 망원역 크레페 맛집 굿디드 가게 내부 모습 가게는 넓지 않고 사장님께 직접 주문하면 돼요 요런식으로 양쪽에 공간이 있어서 앉아서 기다릴 수 있고 앉아서 먹고 가는 것도 가능해요 서울 망원동 크레페 맛집 굿디드 핫크레페 바나나 크레페 여기 아이스크림을 하겐다즈 쓰는 것 같아서 아이스크림이 들어가는 크레페도 먹어 보고 싶었지만 저의 원래 목표는 누텔라바나나였기에 핫크레페 바나나를 주문했어요 바로 만들어져 나와서 뜨겁다고 조심하라고 말씀해주셨어요 크레페 안에 바나나와 누텔라 오랜만이야 크레페야 크레페 먹을 때 마다 산토리니에서 먹은 크레페가 생각나요 또 먹고 싶다 두개 사먹고싶다 하나로는 뭔가 아쉽 맛있다 서울 망원동 크레페 맛집 굿디드 크레페 맛있어요 또 먹고 싶어요 아이스크림 들어가는 콜드크레페도 먹어보고 싶어요 굿디드 서울특별시 마포구 망원로11길 29"
망원동 이해 안 가는 맛집 굿디드 크레페,솔직히 너무 맛있어서 사진 찍어야 하는데 까먹고 다 먹고 아차 싶었다 그래서 이렇게 빈 껍데기 사진을 올린다 ㅋㅋㅋㅋ 어이없는 후기다 망원동에 있는 굿디드 크레페 카페 사실 이름도 잘 몰랐다 본크레페라고 성신여대에 있는 크레페 집인데 이제 이사도 왔고 갈 수는 없는 크레페는 또 먹고 싶은데 그냥 여기 한번 먹어보자 하고 갔는데 본크레페보다 더 맛있다 일단 반죽이 약간 뭐야 이게? 싶은 수준이다 말도 안 되게 반죽이 맛있다 솔직히 그 반죽만 꾸워줘도 얌얌 잘 먹을 거 같다 굿디드 서울특별시 마포구 망원로11길 29 주소다 망원역에서는 10정도 되는 거 같고 마포구청역에서 조금 더 가까운 거 같다 나 말고 블로그 글에 맛있다고 극찬하신 분들이 많은데 생각보다 가게는 한산한 느낌이다 이유는 사장님이 언제 장사하시는지 알 수가 없어서 인 거 같다 그래서 난 열려 있으면 무조건 가는 편 어쩔 때는 두 개도 먹는다 내가 이것저것 먹어 본 결과 제일 베이직이 난 맛있더라 거기에 바나나 추가하고 먹는 게 좋고 개인적인 취향은 로터스 크림에 발라먹는 핫 크레페가 내 스타일이다 아 여기는 콜드 크레페 핫 크레페 이런 개념이 있다 난 핫 크레페 파다 그것도 제일 저렴한 로터스가 입맛에 제일 맞다 제품 하나하나 후기를 해볼 예정이에요 ~~
망원동 카페: 굿디드[크레페],"굿디드 서울특별시 마포구 망원동 479-91 1층 청어람에서 밥 먹고 달달한게 땡겨서 눈에 보이는 곳에 들어왔는데 크레페를 파는 곳이었다 음료와 크레페 종류 아이스크림을 하겐다즈로 쓴다 따아,바닐라 라떼 (아마?!) 생크림 오레오 쿠키 친구가 시킨 로투스 생크림이랑! 크레페 3개를 주문했는데 생각보다 오래걸렸다 크레페 파는 곳이 얼마 없는데 오랜만에 크레페 먹으니 좋았다 달달하고 쫀득하고!친구들도 다 좋아했다! 청어람에서 곱전먹고 요기서 디저트먹으면 딱일듯! #망원동 #망원동카페 #굿디드 #망원동굿디드 #크레페 #굿디드크레페 #서울크레페"
망원동 디저트 카페 - 굿디드,"콩순이 여러분~ 안녕하세요 오늘은 망원동 카페 굿디드를 소개해볼게요 영업시간 매일 10:30 ~ 22:00 ☎ 010-4532-2134 굿디드 서울특별시 마포구 망원로11길 29 굿디드 곱창전골을 먹고 스타벅스 가려고 골목을 지나던 중 발견한 카페 굿디드 입안이 시원해지는 무언가를 먹기 위함이었기에 일단 들어갔어요 굿디드 메뉴판 카페 음료 & 하겐다즈 아이스크림 & 크레페까지 판매하고 있어요 특히 스무디 종류가 다양하게 구성되어 있었어요 굿디드에서는 크레페 속에 하겐다즈 아이스크림 + 싱싱한 생과일 + 100% 동물성 생크림을 넣어 만들어요 베스킨라빈스는 자주 이용했어도 하겐다즈 아이스크림은 윤콩 돈 주고 사 먹은 적은 없는 것 같아요 아이스크림 역시 종류도 다양하고 그램에 맞춰 여러 가지 맛을 먹어볼 수 있어요 크레페를 먹을까.. 싱글컵으로 먹을까.. 고민하다가 결국 파인트 - 3가지 맛을 보기로 했어요 (디저트 배는 따로인 거 아시죠?ㅋㅋㅋㅋ) 아이스박스 케이스에 슬라이스로 떠서 차곡차곡 쌓아주시는 사장님 베스킨라빈스 먹을 때 녹으면서 맛이 섞여서 불편했는데 슬라이스로 담아주셔서 맛이 섞이지 않고 편하게 먹을 수 있어서 너무 좋았어요 원래 용량보다 더 가득 담아주시는 사장님 센스 굿굿 종이 케이스가 아닌 아이스박스 케이스로 구성이 되어있어 드라이아이스가 없어도 잘 녹지 않았어요 사이즈는 싱글컵 → 파인트 → 쿼터 → 패밀리 → 하프갤런으로 한 가지 맛부터 여섯 가지 맛까지 볼 수 있어요 (*하겐다즈 아이스크림 케이크도 주문이 가능) 윤콩은 벨기안 초콜릿, 딸기, 쿠키앤크림을 초이스 했어요 초콜릿 맛이랑 벨기안 초콜릿 맛이랑 차이가 무엇인지 물어봤는데 ▷ 벨기안 초콜릿 맛은 초콜릿 조각이 씹히면서 약간 쓴맛이 난다고 해요(다크초콜릿 비슷) ▷ 딸기맛 아이스크림은 딸기맛이 강하면서 딸기 덩어리가 크게 박혀있어 새콤달콤 너무 맛있어요 ▷ 쿠키앤크림 맛 아이스크림은 오레오 쿠키 크런치가 박혀있어고 맛이 부드러웠어요 일반 아이스크림과 다르게 쫀득하고 맛있었어요 윤콩 동네에 있으면 자주 사 먹었을 것 같아요♥ 졸맛탱구리 매장에서도 먹을 수 있지만 공간이 넓지 않고 좁아요 ㅠ-ㅠ 포장해가는 사람들이 더 많았어요 학교 앞에 있었으면 인기 터질 것 같은 디저트 카페 굿디드 하겐다즈 아이스크림이 이렇게 맛있다는 것도 처음 알았어요 골목 깊은 곳에 위치해 있어서 모르시는 분들이 많을 것 같지만 식사하고 입가심으로 꼭 들려서 먹고 가세요 사장님이 너무 친절하시고 설명도 잘 해주시고 양도 많이 주시고 좋아요 *마포구청역 ~ 망원역 사이에 위치해 있어요 굿디드 서울특별시 마포구 망원로11길 29"
[망원동 크레페] 굿디드 메뉴 가격 (하겐댜즈),"망원동 크레페 & 커피 굿디드 이동네살때는 안먹더니 ㅋㅋㅋㅋ간만에 망원동놀러갔다가 여름때부터 지나쳣던 ㅠㅠ(아이스커피만 먹다보니) (GOOD D did 맞나모르겟음)를 드디어 방문해보았다. 간판도 이쁘고 시장가는 지름길(?)로 이용했던곳이라 종종 맞추쳤는데 배가부르다~ 춥다~ 덥다~ 이유로 지나쳣지만 이번엔 꼭 먹고야말겟다며 가게문을 들어선곳 이미 손님 한두분이 실내에서 혼밥?혼크 중이셨지만, 나갈때까지기다렷다가 사진찍는 센스 초상권은 소중하니까오.......매장내부는 아담한느낌이지만 커플들이나 소소하게 앉아서먹긴 불편한 공간은아니다 이쪽말고 반대편창가에도 자리가넉넉하게 있으니 ~ 눈치보지않고 먹을수잇는 망원동 크레페라고 할수잇음. 먼저 아이스크림은 정말류맛나다는 하겐다즈...... 값비싼걸 쓰고있당 CREPES ' 비법은없고 정직하게 만드는게 비결이라고하는뎅 100%동물성 생크림을 사용한다고한당, 어릴때 반죽된것에 크림과 치즈케익 아이슼릠바나나 딸기등 이것저것 비벼만들어져 먹엇던것이 기억에남아잇엇느데. 다시 그맛이 그리워서 찾게된것도있음 망원동 크레페 굿디드 메뉴판과 가격이오니, 간단하게 훝어보세용 눈치빠른분들은 이미 아시겟지만, 파랑색글짜로 숫자(ex 301)와 뒤에 가격이 적혀있당 6.5는 6500원이 되겠당. 그중 별표쳐져있는건 나름 베스트라고하는데. 나는 그냥 눈에 보자말자 오레오쿠키찜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하겐닺즈는 사실 녹차(그린티)가 진짜맛나긴한뎅~ 크뤠페는 초코나 딸기아니겟슴니까 아이스크림은 HAAGEN DAZS~ 어릴때 개인카페하던곳에서 와플과 하겐댜즈를 퍼주엇당 가격도 저렴한데 3스쿱이나 줫던기억이잇음 ㅋㅋㅋㅋㅋㅋㅋ너무 남는거없이 우리 젊은사장님은... 그렇게 봉사만 하시다가, 내가 그만둔지 몇달안되서 가게를 접으셧당. ㅠㅠ정말이쁜카페엿는데 그때가 가끔그립기도한당, 너무 가족처럼잘해주고 친구같은매장이엿음 ㅎㅎ 끝나면 멤버들 모여서 술도마시공.. 망원동 크레페 굿디드가 쏜다고함 여름에 테이크아웃하기에도 완전가성비좋아보이는데. 아메리카노가 1500우너이라니?ㅋㅋㅋㅋㅋㅋ그중 뿅가는 바닐라라떼가 참 눈에뛰넹 이미 스벅갓다온거라서 커피는생략햇지만 17곡미숫이랑, 스무디랑 커피랑 암튼 다먹고싶당 ㅠㅠ 겨울이라서 참는다 .....(?) 놀라운것은 30%할인가격이라고함 ,, 그러니 서로돕고살아용, 현금으로 깔끔하게 결제 가즈앙! 조은게 조은거라고~ 카드로 하고싶으면 정가주고먹음되지만 현금없어서 다른거랑 구매하면 잘말하면 해주실려나,, 모르겟당 암툰.. 동물성과 식물성의차이를 모르기도햇는데 자세히 설명되어잇공 자신잇게 걸어둔걸 보니 좋거나 맛잇는것 아닐까!? 일단 화학성분이 아니란것 우유로 만든 싱싱건강한 cream~ ㅋㅋㅋㅋㅋㅋ앗 202번 오레오쿠키가 베스트엿다니. 나 이거먹엇엇나? 갑자기 기억이안나넴.. BEST CREPES 사진을 보니 맞는거같당 ㅋㅋㅋㅋㅋ 가격은 5.5 그렇게비싸단 생각은안듬 물론 자리값이긴하지만, 단가저렴한 아메리카노도 4~ 5처넌하자나영,,,,,,,,,!!! 쿠키랑 초코시럽이 쫙짜, 그리고 얇디얇고 맛난 반죽크뤠페에 동물생쿠림과 아이스크림이 한스쿱싸져있음 일단 녹기전에 사진부터 후다닥찍구 ㅋㅋㅋㅋㅋㅋ 여기저기 막찍는데 사장님이 밖에 볼일보러가시다 마주쳐서 민망스...... 이해해주시겟지 다른사람들처럼 이쁘게는 못찍엇지만 ㅠㅠ실물이 더 먹음직스럽다는거~ 숟가락은 딱히없어도되고 잇어도된당, 친구랑 한입씩 나눠먹을라고 일단 떠오긴햇는데 ㅋㅋㅋㅋㅋ겨울이라도 손온도때문에 녹을수있기때문에 후다닥 한입씩 먹는게좋당, 커플이면 더 아름답고 알콩달콩나눠먹을수 잇을려나.. 갑자기 부럽구낭~ㅋㅋㅋ 한입 쉐키쉐키 두입 ㅋㅋㅋㅋㅋㅋㅋ형태가 점점 ㅠㅠㅠ왜냐면 이쁘게먹을수가없엇다 커플이아니므로 ㅋㅋㅋ더많이먹겟다고 크게 한입씩 물엇던거같다...... 농담이고 흐를까봐 사이좋게 나눠먹음 ㅋㅋㅋㅋ역시 맛잇구나 ㅋㅋㅋㅋㅋ 사장님도 깔끔하고 친절한매장이엿다 202번 오레오 강추하고 다음엔 치즈케익 들어간것도 먹어보고싶다 개인적으로 303번이 맛잇을거같음. 찌쯔께익과 딸기의 조화는 정말 굿이죵 흰패딩 휘날리며~~ 맛나게 샤샤샤햇던 곳 한강가기전 홍차이 중국집에서 거하게 식사하고 디저트로 딱이당 올겨울은 작년보다 덜추운듯.. ㅋㅋㅋ미세먼지도 좀나은거같고 참으로 다행이야. 내일도 월요일 아자화이팅!!"
【맛집】 망원동의 축복받은 크레페 맛집 '굿디드' / 망원동 크레페/ 망원동 카페/ 망원 맛집/ 망원 디저트/ 크레페 맛집/ 커피 맛집/ 하겐다즈/ 하겐다즈 크레페/ 서울 크레페,"안녕하세요. Kelvin입니다. 오늘은 망원동에 위치한 크레페맛집 '굿디드' 를 리뷰해보려고 합니다. 이 곳은 친구의 추천으로 방문하게 되었는데 세상에 천사같은 친구덕에 맛있는 카페를 발견하게 된것같아 기뻤습니다. 망원동 거주하시는 이웃님들은 완전 럭키하시네요. Kelvin의 추천으로 집 주변 단골카페가 생기실것 같습니다. 그럼 망원동 '굿디드' 리뷰를 시작합니다. 굿디드 서울특별시 마포구 망원로11길 29 망원동 굿디드는 외관을 찍지 못했습니다. 이 곳은 망원시장 근처에 위치하고있으며 가게 입구는 굉장히 산토리니가 생각나는 파란색과 흰색으로 이루어진 시원시원하며 모던한 외관이니 참고해주시면 감사하겠습니다. 이곳의 매력 포인트는 크레페 반죽 속에 하겐다즈 아이스크림이 올라가고 생크림과 과일이 들어가는 맛 없을수가 없는 포인트가 있습니다. 위에 사진에 보이듯 좋은 재료들만을 고집하시며 재료 하나하나 크레페를 위해 많은 신경들을 쓰신것이 느껴졌습니다. Kelvin은 굿디드의 크레페가 더욱더 기대 되었었습니다. 하겐다즈 아이스크림 이렇게 다양한 하겐다즈를 쉽게 접하긴 어렵지만 이 곳에서는 가능합니다. 실패없는 맛의 하겐다즈와 아이스크림의 단짝 크레페가 만나면 최고의 궁합을 보여주겠죠? 이렇게 다양한 하겐다즈 아이스크림들을 보니 괜스레 두근두근 거렸습니다. 메뉴판 굿디드의 메뉴판입니다. 커피나 음료의 메뉴판도 있지만 Kelvin의 목적은 단 하나 크레페였기 때문에 크레페 메뉴판만 찍었습니다. Kelvin은 201번 생크림+아이스크림인 커스타드크림을 주문했고 아이스크림은 주문메뉴에 맞는 아이스크림이 들어가서 따로 선택권은 없었습니다. 주문할땐 번호로 주문해야하니 참고해주세요! EX) 201번 주세요. 카스타드크림 크레페 크레페가 준비되는 시간은 꽤 걸렸습니다. 아무래도 반죽도 구워야하고 아이스크림도 푸셔야하고 이것저것 토핑에 신경쓰시려니 오래걸릴수밖에요..! 그만큼 더 크레페에 정성을 쏟지 않으셨나 생각이 들었습니다. 기다림끝에 크레페가 나왔습니다. Kelvin이 주문한 카스타드 크림 크레페에는 하겐다즈 아이스크림+생크림+바나나+초코 쿠키+초코 시럽 이렇게 다양한 토핑이 들어갔고 이 가격이 5,500원이라면 하겐다즈값만 생각해도 엄청나게 저렴하다는것을 알 수 있습니다. 가격이 저렴하다고 맛이 저렴한건 결코 아니었습니다. 하겐다즈의 꾸덕꾸덕함과 카스타드 크림의 진한맛 초코시럽과 초코쿠키 그리고 바나나가 섞여 초코바나나의 향이 댄스파티를 하고 있을때쯤 생크림의 달달함과 크리미함으로 마무리했습니다. 반죽 또한 매우 인상깊었던 요소중 하나였습니다. 쫄깃쫄깃한 식감에 노릇노릇 잘 구워진 반죽에서 오는 은은하게 달달한 맛이 매우 맛있었습니다. 망원동에 간신다면 굿디드 필수 방문하셔야 합니다. 분명 만족하실겁니다. 가격도 맛도 저에게 너무너무 좋은 기억을 남겼습니다. 크레페를 먹는 내내 망원동 주민분들이 부러워지는 순간이었습니다. 이상 Kelvin의 크레페 맛집 '굿디드' 리뷰였습니다. 오늘도 긴 글 읽어주셔서 감사합니다. 다음 게시물에 또 만나요!!! 서이추, 소통, 공감, 댓글은 대 환영입니다."
[망원동]카페 굿디드 크레페. 하겐다즈와 동물성생크림이 들어있는 고급 크레페,"푸지한 크레페를 몹시 먹고싶거나 당 떨어졌을 때 가면 좋을 듯. 오레오 쿠키맛 먹어봤는데, 초코 아이스크림+누텔라+오레오+생크림 필승 조합. 토핑보단 쫄깃하고 따뜻한 반죽이 기억에 남아요. 아이스크림이 올라간 차가운 크레페보단 반죽에 잼만 발린 뜨거운 크레페가 맛있었네요. '굿디드 크레페'를 알게된 계기 자주 지나가던 길에 있던 굿디드 크레페. 크레페가 의외로 땡기는 날이 없어서 보기만 하다가 드디어 먹어봤어요. 확실히 길거리 크레페와는 다르더라구요. 외관 및 운영시간 운영시간 매일 10:30 - 22:00 내부 크레페는 대부분 아이들이 먹고, 어른들은 커피를 많이 마시더라구요. 베라가 질릴 때는 하겐다즈 먹으러 와도 될 듯. 크레페 먹으러 왔다가 아이스크림 포장해갈뻔햇어요. 하겐다즈 맛을 다양하게 고를 수 있다니 행복한 고민 메뉴 콜드 크레페와 핫 크레페로 나뉘어 있어요. 저는 핫크레페 쪽. 로투스 핫크레페 몹시 고소하니 맛있었습니다 카페다보니 다양한 음료도 있어요. 사장님 왕 친절 커피 저렴 메인디시 반죽은 쫄깃하고 부드러우면서 달달했어요. 반죽만 먹어도 맛있겠어요. 단, 안에 누텔라랑 오레오 같은 강렬한 녀석들이 들어가다보니 하겐다즈 맛이 묻히는 느낌이라 아쉽. 길거리에서 크레페 사먹으면 생크림이 참 텁텁하고 억지스러운 맛인데, 동물성 생크림이라 그런지 부드럽고 뒷맛이 깔끔해요. 크레페가 비싸긴 하지만 먹을 속은 있어요. 주소 굿디드 서울특별시 마포구 망원로11길 29"
[망원동카페/크레페]굿디드,굿디드 서울특별시 마포구 망원로11길 29 망원동에 있는 크레페집 '굿디드'예요~ 굿디드 외부 마포구청역과 망원역 중간에 위치해있어요~ 날씨가 너무더워서 제가 제일 좋아하는 아이스바닐라라떼를 마시기 위해 들렸답니다! 할인메뉴 할인하는 메뉴예요~~ 할인메뉴는 현금만 받고있으니 참고하세요! 크레페메뉴 크레페전문점이니 크레페 메뉴가 빠질수없죠? 크레페는 가격옆에 있는 번호로 주문하시면 됩니다! 저는 저번에 107번 망고크레페를 먹었어요~ 망고크레페/바나나 토핑추가 하겐다즈 아이스크림 하겐다즈 아이스크림도 판매하고있어요~ 음료메뉴 및 가격 커피와 다양한 음료들도 있으니 참고하세용! 아이스바닐라라떼 현금2500원 커피 크레페전문점 굿디드! 방문하실때 도움이 되길 바랍니다~~
[수서역회의실 SPACE515 픽(Pick)] 망원동 크레페 맛집 - 굿디드 카페,"안녕하세요, #수서역회의실 #SPACE515 입니다. 저는 달달한 #디저트 류를 정말 좋아하는데요, 그 중에서도 #크레페 를 가장 좋아합니다 :D 크레페 맛집은 만나기가 참 힘든데 자신있게 '가장 좋아하는 크레페집' 이라고 할 수 있는 곳이 있어서 소개해드리려고 합니다! 바로 #망원동 에 있는 카페 #굿디드 입니다. 큰 길가가 아니라 살짝 골목으로 들어가셔야한답니다 :) 일단 이 크레페 집, 놀라운 점이 두가지 있는데요 첫번째는 #동물성생크림 을 쓰신다는 점이에요! #식물성생크림 은 화학성분이 많이 들어가고, 동물성생크림의 대체품이라 고소한하고 깊은 맛이 떨어질 수 밖에 없는데요, 동물성생크림은 100% 우유로만 만들어지고 그만큼 더 맛있어요 :) 두번째는 크레페에 들어가는 아이스크림이 무려 #하겐다즈 라는 점이에요! 크레페 가격이 비싸지도 않은데 하겐다즈가 들어간다니... 언빌리버블하네요 ㅋㅋㅋ 저는 개인적으로 크레페에 아이스크림이 들어가는 것을 좋아하지는 않아서 항상 주문하는 메뉴가 아이스크림 없는 것이지만.. 그래도 괜히 저까지 기분이 좋습니다 ㅎㅎ 제가 항상 주문하는 메뉴는 103번, 딸기생크림 크레페 인데요, 하필 사진을 찍으려고 한 날 이제 생딸기가 산딸기로 대체되는 시즌이라고 하시더라구요 ㅠㅠ 산딸기 크레페도 맛있게 먹었지만 생딸기를 따라가진 못하네요 :) 크레페에 누텔라를 얇게 한번 펴바르고 크림과 과일을 얹어주시는데요, 저는 감히 완벽한 맛이 나는 크레페 라고 말하고 싶습니다 ㅎㅎㅎ 식감과 맛의 조화가 완벽해요 ㅠㅠ 아마 쿠앤크에 들어가는 오레오 가루도 함꼐 넣어주시는 것 같은데 종종 바삭하게 씹히는 느낌이 예술이랍니다!! 다시 생딸기가 돌아오는 계절을 손꼽아 기다려야겠어요! 크레페 맛집을 찾으신다면 망설임 없이 이곳으로 가보셔요 :) 굿디드 서울특별시 마포구 망원로11길 29 매일 10:30-22:00"
망원동 카페) 커피 크레페 '굿디드',"안녕하세요 미식랭입니다 강화통통에서 아주 만족스런 식사 후 카페를 찾아다니면서 제가 정말 좋아하는 구월동 크레페에 대해 얘기중이었어요 (오랜만에 갔었을때 두개 먹었던 돼지ssul,,) 사실상 놀림받으면서 아 먹고싶다 하고 있는데 기가 막히게 제 눈에 크레페가 들어온거예요 누가 봐도 크레페 먹으라고 간판 달아놨쟈냐.. 웃긴게 진짜 이름은 가운데 조그맣게 써있답니다 ㅋㅋㅋㅋ 굿디드(Good D.I.D)네요 블로그를 쓰는 지금에서야 알아차린 나란 녀자,, 내부는 카페라기보다 조그만 아이스크림 가게 정도 느낌이에요 이제 보니 행사도 하고 있었네요 이것도 몰랐어요,, 촴내 ㅎ 메뉴판 요렇게 봐주세요 저에겐 찍기 조금 높았답니다 ㅎ 거의 테이크아웃일걸 생각하면 가격대가 저렴한 편은 아닌듯 싶네요 잘보니 요런 게 있어요 좋은 재료를 쓰신다고 해요 생크림딸기크레페 4,000 요거트플레인스무디 5,000 저렇게 크레페에 스푼도 꼽아서 주시네요 ㅎㅎ 우아하게 먹으라고 주신거 같은데 전 어째야 할지 모르겠어서 그냥 스푼 내려놓고 우걱우걱 먹었어요^.^ 콘아이스크림처럼 절개선 따라 겉에 찢으면서 먹을 수 있어서 좀 더 안정적이고 편했네요 그리고 저는 커피를 안먹어서 보통 카페에 오면 습관적으로 요거트스무디를 시키는데요 주문하고 나니 눈에 들어오는 미숫가루.. 됴륵.. 메뉴가 많아도 여러분은 잘 보시고 신중히 골라주세요😂 과일 중 딸기를 좋아해서 주문하면서 생딸기를 쓰실까 또 지금 생딸기가 맛이 있을까 싶어서 여쭤봤는데 자신있게 괜찮다고 하셔서 딸기로 시켰습니다 정말 달고 맛있는 신선한 딸기더라구요 ㅎㅎ 크레페도 막 푸짐한 느낌은 아녔지만 맛있었어요 음료는 특별할 수 없는 음료여서인지 몰라도 쏘쏘 했습니당 나쁘지 않았어요 좋은 재료를 쓰신다는 프라이드를 가지고 있는 곳이니 걱정없이 믿고 먹을 수 있는 곳일듯 합니다! 굿디드 서울특별시 마포구 망원동 479-91 1층 영업시간 10:30 - 22:00"
