title,content
[망원동/디저트카페추천] 망리단길 디저트 추천 내돈내산 베이크룸워니 bakeroom-wonny,안녕하세요 키오입니다 오늘은 망원동에서 우연히 지나가다가 발견한 맛집을 소개하려고 해요 진짜 날이 너무 더워서 카페를 찾고 있었는데 안을 슬쩍 봤더니 이쁜 카페가 있어서 들린 베이크룸워니!! 망원엔 워낙 느낌 있고 이쁜 카페부터 소품샵까지 있어서 매일매일 새로운 기분이예요ㅋㅋ 이 간판만 봐도 뭔가 느낌있지 않나요??? the bakeroom-wonny 주소: 포은로 86 102호 영업시간: 수-일 12:00-19:00 월화 정기휴무 내부는 들어오면 엔틱한 우드로 가구들이 배치되어있고 깔끔하고 정돈된 느낌의 디저트 카페입니다!! 저 풍경있는 그림?사진도? 느낌있지 않나요? 어디서 사진을 찍어도 이쁘게 나오는 느낌 자체가 엔틱하고 내부도 너무 시원하고 사장님도 너무너무 친절하셔서 기분이 좋아지는 디저트 카페입니다 이쪽에서 주문을 하면 되는데요 워낙 많은 제철과일로 만든 디저트가 많아서 고르기가 너무 어려웠어요ㅠㅠ 옆 냉장고에서 디저트가 나를 유혹하는중..ㅋㅋㅋ 다 먹고 싶은 디저트들.. 💕 카운터도 엔틱엔틱 그잡채 이런 가구들은 어디서 사는 걸까요? 모든 디저트는 사장님께서 수제로 만드는 거라고 하네요 손재주가... 워니의여름 - 9.0 이름이 너무 귀엽지 않나요.... 💕 그리고 자체도 여름 그자체 저에게 열심히 설명을 해주신 사장님이 계셨지만 전 그 설명을 기억하지 못했어요ㅠㅠ 제 느낌대로 말하자면 위에는 샤르베 같은 느낌에 가운데 레몬으로 만든 상큼한 맛이 느껴지고 아래에는 우유로 만든 식감이...음 약간 코코넛느낌 같은 식감? 세 부분을 수저로 한번에 샥! 해서 먹으면 됩니다 살살 녹고 미쳤구요 💕 여름에 지쳤는데 입맛을 확! 돋게 도와줬어요 사장님도 너무 친절하시고 아는사람만 아는 디저트 맛집 유명해져!!!!! 가격은 좀 있지만 나중에 근처에 오면 또 다른 디저트를 도전 해봐야겠어요 시즌별로 바뀌면 매번 다른느낌일듯ㅎㅎ #망원동디저트카페 #망원동디저트 #망원디저트 #망원카페추천 #망원동
"[카페 발자국]#2, 서울 망원동 베이크룸워니(Bakeroom Wonny)","안녕하세요 :) 2022년이 얼마 안남았던 추운 겨울, 정말 맛있는 케이크를 찾던 중, 우연히 리뷰가 너무 좋은 카페 한 곳을 발견했습니다. 망설이지 않고 발자국을 찍으려, 발걸음을 서둘러 서울 망원동을 방문했습니다 :) 여기는 망원에 위치한 따스한 베이크룸워니(Bakeroom Wonny) 입니다. 오후 1시 오픈이라 시간에 맞춰가려했지만, 혹시 모르는 마음에 주차를 하고 시간을 보니 12시가 조금 넘었습니다;;; 이리저리 구경하는데 유독 바깥 날씨가 추웠던 터라 12시 45분쯤 오픈 준비를 하시고 계시는 사장님께 들어가도 되는지 여쭤보니 너무 친절하게도 가게 안으로 들어와도 된다고 안내해주셨습니다😃 (주차는 망원동 공영주차장 많지만, 그 중 망원공영1-2 주차장 이용하시면 간편하고, 가깝습니다) 개업한지 3주밖에 안되셨더라고요🤗 사장님께서 알려주셨지만, 사진도 직접 찍으셨고, 가구도 직접 고르셨다고 합니다. 디저트는 다 맛있어 보이지만, 제 취향을 저격하는 두가지를 골랐습니다. 커피 메뉴는 많지 않은게 전 더 좋았어요 :) 더치커피, 라떼 둘 더 맛있었습니다. 평소 고소한걸 좋아하고, 산미 있는 원두는 그닥 좋아하진 않는 터라 걱정했지만, 산미가 심하지 않고 진한 커피맛을 느끼기 좋은 더치 커피입니다. 딸기케이크도 너무 맛있지만, 사장님 설명대로 겉으론 엄청 달아보이지만 달지않고, 바삭한 견과류와 케미가 너무 좋은 워니컵 강추입니다.👍 가게안에 있는 식물들도 너무 이뻐요 :) 핫플인 망원동에서 어디 카페 갈지 고민이시라면 정말 친절한 사장님이 계신 베이크룸워니에서 따스한 순간을 잠시 경험해보시는건 어떠신가요? 베이크룸워니 서울특별시 마포구 포은로 86 102호 2022년의 12월 겨울 하루, 베이크룸워니에서 모닝비였습니다 :)"
[망원동 디저트 카페 추천] 망리단길 카페 추천 베이크룸워니,"오늘 소개할 곳은 망리단길에 위치한 디저트 카페 베이크룸워니! 베이크룸워니 서울특별시 마포구 포은로 86 102호 망리단길 산책 중 발견한 카페! 내부는 아기자기하고 깔끔 그 자체 내부가 넓지는 않아요~~! 베이크룸 워니 메뉴판이에요~! 베이크룸 워니 이용안내문 확인해주세요! 워니스 써머 9,000원, 메론 케이크 8,500원, 더치커피 5,500원, 더치라떼 6,500원 총 29,500원이에요! 디저트가 다양하게 있어, 메뉴 고르시는 게 약간 고민될 거 같아요! 저는 워니스써머와 메론케이크, 더치라떼, 더치아메리카노를 주문했어요. 더치라떼, 더치아메리카노는 더치커피 특유의 냄새가 안난다고 안내를 해주셨는데, 정말 신기하게도 냄새가 안나고 고소하니 맛있었어요! 카페 특유의 분위기 굳굳 메론케이크 속 메론 대박..! 주문한 음료와 디저트! 워니스써머는 정말 상큼하고..달고..굉장히 뭐랄까..상큼한 맛을 즐기지 못하는 사람은 주문 금지.. 저는 상큼한 맛을 잘 못먹어서 그런지 매우 힘들었어요..! 메론케이크는 완전 최고!!!!!!!!!!!!!!!!!!!! 케이크를 좋아하지 않는데도 정말 맛있게 먹었어요! 사진찍기에도 좋은 카페 망리단길에서 디저트 카페를 찾으신다면, 베이크룸워니 추천할게요~!"
"망원동 신상카페 / 아담한 공간과 우드톤의 인테리어로 디저트에 집중할 수 있는 망리단길 새로운 공간 ""베이크룸 워니(Bakeroom Wonny)""","띵하~ 안녕하세요. 오늘은 망원동 망리단길에 오픈한지 얼마 안된 신상 카페에 대해 소개해드리려고 합니다. 망리단길 카페거리에 새로 오픈 한 ""베이크룸 워니(Bakeroom Wonny)"" 아직 오픈한지 한 달이 되지 않은 신상 카페 사람 더 많아지기 전에 빠르게 다녀왔어요~ 사장님께서 직접 만드시는 수제 드저트들도 많이 있었어요 그 전에 카페 1군데를 다녀와서ㅠ 다 먹어보고 싶었지만,, 메뉴와 가격은 아래 사진 참고해주세요 내부는 테이블 4개로 운영되고 있으며, 아담하고 아늑한 분위기였어요 제가 방문했을때 마침 손님이 다 가신 후라 편하게 사진 찍을 수 있었어요~ 요즘에는 사람이 북적이지 않고 나만의 새로운 공간을 찾아 분위기와 디저트에만 집중 할 수 있는 카페가 너무 좋아요 깔끔하고 포인트있는 인테리어가 정말 인상적이였어요 저는 더치커피와 딸기 생크림 케이크를 주문했어요~ 역시 딸기 디저트 포기 못하죠ㅎㅎ 촉촉한 바닐라 제누와즈와 100% 동물성 생크림으로 상큼하고 달달한 딸기가 듬뿍 들어간 부드러운 딸기 생크림 케이크와 산미가 적은 듯한 더치커피의 조합이 최고였다 망원동에 다시 간다면 편하게 들릴 수 있는 나만의 새로운 공간을 발견하게 된 것 같다ㅎ 띵수 / 걸어서카페속으로(@jin_s._.o) • Instagram 사진 및 동영상 팔로워 1,560명, 팔로잉 484명, 게시물 676개 - 띵수 / 걸어서카페속으로(@jin_s._.o)님의 Instagram 사진 및 동영상 보기 www.instagram.com 50m © NAVER Corp. 베이크룸워니 서울특별시 마포구 포은로 86 102호 예약 주소 : 서울 마포구 포은로 86 102호 영업시간 : 12시~20시 (L.O 19시30분) 노키즈존, 반려동물 동반 가능"
망리단길 디저트맛집 베이크룸워니,"베이크룸워니 서울특별시 마포구 포은로 86 102호 BAKEROOM-wonny / 베이크룸워니 / 망원동디저트 / 망원동카페(@bakeroom_wonny) • Instagram 사진 및 동영상 팔로워 695명, 팔로잉 223명, 게시물 71개 - BAKEROOM-wonny / 베이크룸워니 / 망원동디저트 / 망원동카페(@bakeroom_wonny)님의 Instagram 사진 및 동영상 보기 www.instagram.com 수 ~ 일 13:00 ~ 20:00 라스트 오더 19:30 월, 화 휴무 🐶 반려동물 동반 O 저번에 망원동에 갔다가 다녀온 베이크룸워니 에요. 맛있었던 더치커피, 디저트를 먹고 왔어요:D 시끌시끌 망원동에서 조용하고 아늑한 카페 편하게 쉬면서 맛있게 먹고왔어영 ㅎㅎㅎ♥ 예쁜 공간에 2인 테이블도 있고 4인 테이블도 있답니당! 신기한 디저트에 어떤 걸 먹어야 할지 고민하다가 주문 완료!!!!! 더치커피 4,000원 / 갈레트 데루 아 6,500원 카페 가면 아메만 마셨었는데 베이크룸워니는 더치커피 전문점이었어요:D (에이드,차,밀크도 있답니당) 부드럽고 향도 너무 좋고 홀짝홀짝 마셨는데 너무 맛있게 마셨어요 갈레트 데루 아는 이날 처음 먹어봤는데요 사장님께 어떤 디저트인지 여쭤보니 프랑스에서 새해를 기념하면서 먹는 디저트라고 해요. 한국에서 떡국 의미!!! 저 빵 안에 포춘쿠키처럼 통이 들어있으면 이벤트에 당첨된 거였는데 저희가 주문했던 갈레트 데루 아 에는 없던 걸로 ㅋㅋㅋㅋㅋ 꽝 실패 실제로 프랑스에서도 파이안에 페브라는 작은 도자기 조각상을 넣은 후 잘라서 사람들에게 나눠주고 도자기 조각이 나오는 사람에게 새해의 소원이 이뤄지다고 축하해 주며 왕관을 씌어준다고 해요 귀여우면서 담백했던 갈레트 데루 아. 망원 가시면 아늑한 분위기에서 맛있는 드립 커피+디저트 드시러 베이크룸워니 다녀와보thㅔ요!!!!! 지금 보니 카페에서 피크닉 세트도 대여해 주세요. 망원역이면 한강 근처이니 날씨 좋을 때 피크닉 세트 가지고 한강 가면 넘 좋을듯해여 총총=3♡ 내 돈 내 먹 . . #망원동카페 #베이크룸워니 #핸드드립 #드립커피 #커피맛집 #디저트맛집 #망원한강 #망리단길 #망원시장 #망원역카페 #망리단길카페 #카페추천 #망원한강공원 #맛집추천 #서이추"
망리단길 애견동반카페 베이크룸워니 분위기 따뜻한 신상카페,"안녕하세요, 꼬똥 견주 콩이에요✨ 오늘은 망리단길에 위치한 애견동반카페 베이크룸워니를 소개해드릴거에요🥦 우드톤이 매력적인 신상카페, 다양한 디저트를 맛볼 수 있는 카페, 망원동 펫프렌들리 카페를 찾고 계신다면 모두 집중해주세요✨ 정말 아담한 공간을 꽈악 채워 놓은 엔틱 가구와 쇼케이스에 진열되어 있는 맛있는 디저트들. 그리고 베이킹 냄새가 진동하는 기분 좋음까지 들어가자마자 느낌이 좋았어요✨ 이인 석의 테이블은 3개가 놓여져있고 저희는 털뚱땡이 친구들과 방문했기에 죄송스럽지만 4인석을 차지했답니다. 만약 만석일 경우에는 무릎 위에 올리거나 바닥에 블랭킷이나 가방을 놓고 내려두면 좋을 것 같아요✨ 굳이 4인석을 고집하지 않아도요! 보시다시피 저희는 털뚱땡이 친구들과 방문했어요. 망원동에 새로 생긴데다 베이킹까지 하는 곳이라 아무리 애견동반이 가능해도 환영까지는 아니겠지. 라고 생각했는데, 웬걸. 진짜 진짜 찐 애견인이셨어요. 환영해주시는데다가 오셔서는 인사해도 되냐 조심스레 여쭈어보시고, 물도 주시고 짬짬히 간식도 주시고. 정말 정말 친절하셨어요. 자주 갈 곳이 생겼구나 몽희야✨ 요 가구들은 전부 이태원에서 가져오신 빈티지, 앤틱 가구라고 해요. 벽지에 붙어 있는 포스트들은 사장님의 동생분이 파리에서 직접 찍은 사진을 인화해놓으신 거라구. 베이크룸워니 사장님의 손길 하나하나가 제대로 들어간 애정어린 공간이었답니다. 디저트는 아주 다양하지 않고 한정적이지만, 저는 오히려 단일 메뉴에 주력하는게 좋더라고요. 결정장애가 있는 제가 하나하나 도장깨기 해가기 좋고요. 커피와 디저트는 가격대가 있는 편이에요. 그래도 만족할 만큼 맛있었을 뿐 아니라 그냥 그 공간이 가지고 있는 분위기가 좋더라구요. 요 많은 디저트 중, 저는 워니컵을 선택했답니다. 메뉴 고를 때 궁금한 게 있어도 걱정마세요. 사장님이 하나하나 친절하게 알려주신답니다✨ 다음에는 딸기 케이크를 먹어볼거에요! 망원동 베이커룸워니의 시그니처 디저트에요. 포춘쿠키처럼 컵 밑에 메세지가 적혀있대요. 행운이 가득한 메세지 같은 거 있잖아요✨ 이제 저희가 주문한 메뉴가 나왔습니다. 더치커피 아이스 5,500원 워니컵 8,000원 더치커피라 그런지 컵도, 양도 적어요. 하지만 일반 아메리카노 맛과는 달리 향이 느껴졌어요. 커알못이지만 맛나더군요. 워니컵은 저 정말 생전 처음 먹어보는 맛인데 헤이즐넛 크림 / 헤이즐넛/ 헤이즐넛 과자가 삼위일체로 잘 어울리는 고급스러운 디저트였어요. 꼬옥 꼬옥 드셔보세요🌟 몽희의 칭구. 귀여운 복돌이. 요 컵 밑에 갈색 종이 보이시죠? 이게 바로 그 메세지 종이에요! 포춘쿠키 메세지 같이 숨겨져있지요. 이것도 하나의 이벤트 같지 않나요? 풀어보는 재미가 있더라고요✨ 헤헿💓 행복한 하루를 보내게 된대요! 베이크룸워니에서 몽희와 복돌이와 행복한 하루를 보내고 온 것처럼요. 베이크룸워니 화장실은 야외에 있고요. 통창이라 그런지 들어오는 햇살이 너무 따사롭고 좋았답니다. 겨울 가지마😭 몽희의 지루함과 무료함을 달래줄 소리가 나지 않는 에그봉봉. 심심해 하면 비행기 놀이 등을 해줍니다. 내돈내산 내돈내먹을 인증하는 영수증. 그리고 영수증 리뷰를 쓰면 얼그레이쿠키가 하나씩 증정돼요✨ 저도 귀염뽀짝한 몽희와 복돌이 사진을 올리고 쿠키 두개를 받았답니다✨ 얼그레이 사브레☕️ 커피와 어울리는 부드러운 식감. 자주 와서 우리 맛있는 디저트 먹자? 엄마도 몽희 간식 많이 챙겨갈게. 몽희는 베럴즈 이케코백을 챙겨갔고 복돌이는 바잇미블랭킷을 챙겨갔어요. 이렇게 카페 매너를 지켜보면 강아지들이 방문할 수 있는 곳들이 많아지겠죠?✨ 베럴즈 이케코백 너무 좋아요. 진짜 찐으로 추천드리고 싶은 템입니다. 포근한지 기대고 앉아있다가 잠을 청하더라고요. 내돈내산을 인증하는 영수증🌟 망원동에서 몽희와 시간을 보내면서 강아지와 함께 할 수 있는 정말 맛있고 따뜻한 디저트 가게를 알게 돼 너무 뿌듯하고 행복했던 하루였어요✨ 베이크룸워니 서울특별시 마포구 포은로 86 102호 핫한 망리단길 중간에 위치하고 있으니 꼬옥 들러서 커피 한 잔, 디저트 한 입 하고 가셔요. 강아지 견주 분들이시라면 더욱이 추천하고 싶은 펫프렌들리 카페 베이크룸워니 포스팅을 마칠게요💓 BAKEROOM-wonny / 베이크룸워니 / 망원동디저트 / 망원동카페(@bakeroom_wonny) • Instagram 사진 및 동영상 팔로워 548명, 팔로잉 200명, 게시물 52개 - BAKEROOM-wonny / 베이크룸워니 / 망원동디저트 / 망원동카페(@bakeroom_wonny)님의 Instagram 사진 및 동영상 보기 www.instagram.com 서울 마포구 포은로 86 월 / 화 휴무 13 : 00 - 20 : 00 포장, 예약, 반려동물 동반 몽희의 일상이 궁금하다면? ⬇️ 꼬똥 몽희(@coton_monghee) • Instagram 사진 및 동영상 팔로워 13K명, 팔로잉 442명, 게시물 671개 - 꼬똥 몽희(@coton_monghee)님의 Instagram 사진 및 동영상 보기 www.instagram.com"
망원동 '베이크룸 워니' 고재 입간판 제작,안녕하세요. 커스토무드입니다. 커스토무드 : 네이버쇼핑 스마트스토어 customizing mood_나만의 가구와 소품으로 당신의 공간에 분위기를 만들어드려요. smartstore.naver.com 오늘 포스팅에서는 요새 저희 공장에서 인기 있는 고재 나무를 사용하여 제작하는 입간판을 보여드릴게요. 먼저 고재 나무에 원하시는 글자를 가공합니다. 그 후 꼼꼼히 코팅 작업을 합니다. 고재 나무는 갈라짐이 많기 때문에 틈을 코팅제로 꼼꼼히 메꿔줘야 합니다. 코팅을 하고 나면 얇은 주사기를 사용하여 글자 부분만 페인팅을 해줍니다. 글자가 아주 얇고 작기 때문에 생각보다 고난이도 작업입니다. 상부 매장명은 흰색으로 하부 주소는 검은색으로 페인팅하였습니다. 이제 뒤판을 고정하여 얼른 세워보고 싶네요. 뒤판까지 고정하고 나니 입간판은 완성되었습니다. 요즘 고재를 사용한 입간판이나 외부 간판이 많은 인기를 받고 있네요. 오래된 나무만의 매력을 고객님들께서 좋아해 주시는 것 같아요. 오늘의 포스팅은 여기서 마무리하도록 하겠습니다. 저희는 다음 포스팅으로 만나요. 감사합니다. 커스토무드 경상북도 경산시 압량읍 대학로 498-4 베이크룸워니 서울특별시 마포구 포은로 86 102호
2022년 12월 31일 연말 :: 남편이랑 맛있는 저녁 > 카페 베이크 룸 워니 케이크 초 불면서 소원 빌기,"토요일에 가장 바쁘게 일 하면서 외국인 손님이 내 팔을 툭툭 치더니 쪽지를 줬다. 새해 복 많이 받으세요! 여러가지 상황으로 기분이 안좋았던 찰라 쪽지를 받는 순간 기분이 싸악 풀리면서 다시 힘이 불끈 많이 나지는 않았지만ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 남은시간 까지 할 힘이 다시 차올랐다. 치킨스튜,안심스테이크 샴페인 페어링 ㅋ 미리 장봐둔 재료로 치킨스튜와 안심을 좋아하는 남편을 위해 안심스테이크로 요리해서 전날 사둔 샴페인으로 아주 나이스한 저녁식사 지오오디 굿 오빠는 전날 너무 심한 숙취로 인해 금주를 다짐해서 한잔만 마시고 나머지 샴페인은 다 나의 뱃속으로 콸콸콸콸 카페 베이크룸워니 레몬바질타르트 몇일전 오빠랑 망원동 제철에서 점심 식사후 인스타팔로우 해둔 베이크룸워니 지도 검색해보니 바로 옆집이여서 개이득~ 하고 호다다닥 들어갔다. ㅋㅋㅋㅋㅋㅋ 내가 좋아하는 느낌의 카페로 사장님도 친절하셔서 다음에 또 가서 다른 디저트 먹어야지 생각 했는데 오빠가 나 일 끝나는 시간 맞춰서 케이크랑 같이 데릴러 와줬다. 오빠랑 같이 퇴근하니 빠르게 집에 도착!! 삼각대 대신에 화분대?̊̈ 필름사진은 무조건이죠 아래 사진은 박배우 ꯁ 2022년에는 우리가 결혼을 하고 한국에서 가장 높은산 ‘한라산’등반도 하고 다양한 주종을 마셔보고 새로운 운동 수영도 같이 하고 바다수영도 하고 새로운 시작도 하고 이런저런 더 많은 일들이 있었지만 기억이 안난다 ㅋ 무튼 나랑 함께해줘서 고맙고 나를 행복한 여자로 만들어줘서 고맙다 남편아 사랑해 ꯁ 앞으로도 행복하고 사랑하자 아마스빈"
다질리언 - 캐모마일로 힐링하고 베이크룸 와니의 와니컵으로 달콤함도 즐겼어요,연말이라 다들 약속들이 많으신지. 필라테스를 하러 갔더니... 저 혼자 달랑..참석을햇더라구요 그래서 본의 아니게 1:1 수업을 듣고.. 온몸의 근육통을 실감하고 있습니다. 어느새 한해를 마무리할.. 시간이 온거 같아요 우리 이웃님들 마무리 ..잘 하시고 다가올 새해 계획도 차근히 잘 세우시길 바랄게요 -------------- 오늘은 2022년 다질리언 서포터즈로써 마지막 포스팅입니다. 올 한해 서포터즈로 활동하면서 다질리언의 다양한 차를 맛보았는데요 마지막 소개해드릴 티는.. 바로 허브티. 캐모마일입니다. 캐모마일은 노랗게 우려지는 데지이 계열의 꽃차랍니다. 근육을 풀어주고 편안한 느낌을 주어 휴식을 부르는 허브차라고 하네요 속 시끄럽거나... 그런 일이 있을때 따뜻하게 마셔주면 릴렉싱되고 편해질거 같죠(딱 지금 저에게 필요한 거에요) 다질리언 캐모마일은 크로아티아산으로 꽃봉오리가 적절히 성숙할때 채취해 단맛이 우수하다고 해요.줄기나 이물질 제거를 위해 여러번의 레이저 스캔을하고 마지막 수작업 단계까지 거쳐 순도높은 캐모마일로 구성이 된다고 하니 믿고 마실만 하겠죠 틴제품은 40g 중량입니다. 오픈을 하니 캐모마일의 달큰한 향이 화하니..나더라구요 꺼내보니..이렇게 꽃보오리가 가득~하더라구요 여러번 선별을 거친 만큼 정말 캐모마일 꽃만 가득한게 정말 좋았어요 이날 준비한 티푸드는 베이크룸 워니의 타르트와 워니컵. 요렇게 준비했답니다. 베이크룸 워니는 망원동에 있는 곳인데 길 지나다니면서 궁금한 곳이었는데 이날 드디어 방문해서 포장을 해왔어요 카페를 겸하고 있는 곳이라 ..다음엔 카페에서 디저트와 티를 함께 즐겨보자 했네요 캐모마일에 따뜻한 물을 부어주었더니 요런 느낌.. 언니는 연근차를 골라서 ... 이렇게 우리의 티타임이 준비되었답니다. 캐모마일 우러난 수색 보이시나요 노란 수색이..진하게 우러나더라구요 향도 좋고... 향만 맡아도 좋더라구요 캐모마일의 특유의 맛을...사실 전 많이 좋아하는 편은 아니거든요 근데 다질리언의 캐모마일은 향긋하고 달콤하니 ..괜찮더라구요 지친 하루... 힐링티로 정말 딱이었어요 티가 준비되엇으면 티푸드도 먹어봐야겠죠 베이크룸워니에서 가장 인기라는 워니컵.. 보기에도 가장 맛잇어보여 골랏는데 ... 한입 먹어보니..요거 맛이 괜찮더라구요 하나만 사긴 아쉬워서 ...추가로 구매한 레몬타르트.. 요것도 맛이 나쁘진 않았어요.. 달콤한 디저틀와 함께 향긋한 캐모마일을 마시면 . 이날 제대로 힐링타임을 보냈답니다. 다질리언 이샵 - 다질리언 직영 Tea Shop (darjeelian.co.kr) https://www.darjeelian.co.kr/goods/view?no=44 캐모마일 40g 캔 은은한 사과향 www.darjeelian.co.kr - 이 포스팅은 업체로부터 제품을 무상으로 제공받아 직접 시음한뒤 작성하였습니다. - 울 이웃님들 곧 새해가 오네요 이웃님들 집에 다 행복만 가득하세요
230601 TT BAG과 함께한 망원동 나들이,"월요일은 대체공휴일이었다. 전날까지 가평에서 무지막지한 빗속에서 캠핑하느라 고생한 짝꿍과 나는 모처럼 동네 근처에서 휴식을 취하기로 한다. 직접 차려먹은 아점. 빅마트에서 엄청 저렴하게 사서 냉동실에 넣어놓고 구워 먹는 소고기 스테이크. 짝꿍이 명란 크림치즈 오이 오픈 샌드위치를 만들어줬는데 천상의 맛이었다. 다음날에도 또 만들어 먹었다. 오이를 키워야 하나.. 카페 갈 거지만 밥 먹고 커피 땡기니까 참을 수 없다. 맨날 둘이 바이크만 타고 다니다가 오랜만에 좀 걷고 싶었다. 요즘 날씨가 왜이리 좋은지..! 놓치지 말고 다 누려보자. 레트로 미원아파트 우체국 사거리. 였지만 이제 이 자리에 우체국 대신 교촌 치킨이 들어왔다. 짝꿍 아니었으면 거울샷 따위 찍어볼 일 없었다. 이 사진 어디 무슨 하노이 여행중인 장면처럼 찍혔네. 날씨 좋아서 더 예뻐보이는 망원동. 실제로 골목골목에 예쁜 가게들이 정말 많다. 최근에 짝꿍이랑 엄청 좋아하는 넌슬립 에스프레소 바. 나는 상콤하게 레몬이랑 같이 먹는 로마노, 짝꿍은 카카오 파우더 잔뜩 뿌려주는 피에노를 마셨다. 얼그레이 레몬티도 마셨는데, 진짜 맛있었다. 넌슬립 서울특별시 마포구 월드컵로17길 61 지층 산책하다가 오랜만에 마주친 리인카페 앞 댕댕쓰. 맨날 안에 있다가 오늘은 왜 밖에 있니ㅜㅜ 카테고리 서울. 오프라인에서 구매하기가 쉽지 않은 액세서리 브랜드를 발견하고는 아낌없이 카드 긁는 짝꿍. 카테고리서울 서울특별시 마포구 희우정로12길 16 카테고리서울 1층 이 날 우리의 목적지는 사실 여기였다. 베이크룸 워니. 디저트를 좋아하는 짝꿍과 내 취향을 200% 충족시켜주는 디저트 카페이다. 진주에 4978이 있다면 망원에는 워니가 있다. 계절마다 대표 메뉴가 변경되는 디테일만 봐도 사장님의 맛에 대한 연구피땀눈물이 느껴지는 기분 좋은 공간이다. 수박 소르베에 꽂혔지만 멜론 생크림 케이크도 주문했다. 저 녹차도 진짜 구수하고 맛있었다. 현재 대표 메뉴인 워니의 여름을 보면 세 개의 층으로 이뤄져 있다. 맨 위에 달짝지근 그 자체인 수박 소르베, 중간에 상큼하게 침샘 자극해 주는 레몬 그라니따, 맨 아래엔 고소하고 느끼한 걸 좋아하는 나의 최애 디저트인 우유 푸딩이다. 이 세 가지를 합칠 생각을 도대체 어떻게 하신 걸까 감탄하면서 짝꿍이랑 1분 만에 컵을 비워버렸다. 블루베리 치즈 타르트를 끝으로 우리는 오늘 저녁식사를 포기하기로 마음먹었다. 군더더기 없이 깔끔하게 왕 블루베리, 적당한 양의 크림, 바삭하면서도 부드러운 과자가 완벽한 하나로 잘 어울렸다. 워니 가는 행복 하나로 망원동 근처에 사는 거 충분혀.. 베이크룸워니 서울특별시 마포구 포은로 86 102호 벌써 점점 핫해지는 것 같던데 제발 줄 너무 길어지지 않았으면 하는 개인적인 바람... 제발.. https://www.instagram.com/bakeroom_wonny/ BAKEROOM-wonny / 베이크룸워니 / 망원동디저트 / 망원동카페(@bakeroom_wonny) • Instagram 사진 및 동영상 팔로워 1,094명, 팔로잉 256명, 게시물 105개 - BAKEROOM-wonny / 베이크룸워니 / 망원동디저트 / 망원동카페(@bakeroom_wonny)님의 Instagram 사진 및 동영상 보기 www.instagram.com 짝꿍의 티티백은 작년에 온리원스탁 중 하나로 만들었던 작은 크로스백인데 이번에 벨트백의 형태로 정식으로 웹사이트를 통해 오픈했다. 여름 가방으로 딱일 것 같다는 내 예상과 함께 현재 많은 분들이 찾아주시는 것 같아 뿌듯할 따름. 블로그엔 곧 포스팅할 예정. 짝꿍의 꼬드김에 넘어가 월드컵 경기장 수영장 한 번 갔다가 등록해버렸다.. 헬스랑 수영장 같이 등록했다. 운동을 벌써 한 두 달정도 쉬고 있는 것 같은데, 이렇게 아저씨가 되어버릴 순 없다는 간절함으로.. 매일 가기. 요즘 초록 불꽃 질려서 또 커스텀 발동 중인 촬리 타고 아침 운동. 오뉴월은 정말 바이크 타기 좋은 계절이구나. 그래서 어제는 짝궁과 함께 오랜만에 제임스브릿지에 갔다.(잠수교) 멜빵바지 귀엽게 입으신 주유소 사장님과 함께. 잠수교 도착해서 잠시 숨 좀 돌리려 하는데 갑자기 분수쇼가 시작되면서 흘러 나오는 '쿨-아로하' 서울살이 오랜만에 낭만 느끼는 저녁이었다..햐.. 짝궁이 착용한 캔버스백은 언더스투드의 YC BAG. 언더스투드의 뮤즈가 되어버린 짝궁. https://blog.naver.com/under_stood/223111767447 YC BAG - 흰색 캔버스와 내추럴 소가죽 조합의 크로스백 제목 그대로 흰색 캔버스와 내추럴 베지터블 가죽 조합의 크로스백을 소개하려 합니다. 작년에 샘플링 정도... blog.naver.com 해 떨어지는게 멋진 저녁 7시 반. 진짜 이럴때마다 서울을 여행하고 있는 듯한 느낌을 받는다. 둘 다 맨날 다이어트 겸 저녁을 라이트하게 먹자고는 하지만 해방촌 근처에 왔는데 어떻게 보니스를 안가냐.. 결국 헤비한 저녁 식사 마치고 집에 돌아왔다. 요즘 짝궁과 함께 즐기는 바이크가 더할나위없이 행복하다. 짝궁 퇴직하면 정말 무기한 전국일주를 함께 떠나고 싶다."
