title,content
성수동 신상 디저트 카페 : 네모네 (NEMONE),"성수동 신상 디저트 카페 / 네모네 서울 성동구 상원2길 6 1층,B1층 매일 11:00 - 20:00 0507-1397-1820 - 주차 x, 포장 가능 오늘 오픈한 따끈 따끈한 성수동 신상 디저트 카페 네모네 성수역 4번 출구 도보 8분 거리 뚝섬역 5번 출구 도보 1분 거리 봉주르 쌀국수 맞은편 건물 지하 1층에 위치해 있어요 자차 이용시 주차장은 없으니 인근 공영 주차장을 이용해 주세요 네모네 마스코트 귀여운 시바견이 그려진 카페 입구 문 ""Wellcome To NEMO World"" 귀염뽀짝해서 시선강탈 당했잖아요 저 ~ 카페 영업시간은 연중무휴로 매일 오전 11시부터 오후 8시까지 운영해요 네모네 카페 내부는 구조가 특이해요 1층은 로비 & 포토존 지하 1층은 주문하는 곳 & 카페로 되어 있답니다 방문하시면 대형 트리, 곰인형 옆에서 사진 찍고 인생샷 건지고 가세요 저희는 테이크 아웃 할 거라서 지하로 내려오자마자 메뉴판을 보고 주문했어요 시그니처 네모 라떼 7,500원 플레인 스콘 4,200원 버터 쿠키 샌드 3,800원 *2개 7,600원 총 주문금액 19,300원 제 카드로 결제했어요 네모네 카페에는 구움과자와 케이크가 있어요 성수동 신상카페 네모네 케이크 네모라떼 맛도리 재생 11 좋아요 0  접기/펴기 성수동 신상카페 네모네 케이크 네모라떼 맛도리 먹기 좋게 진열해놓은 디저트 어떤 디저트를 먹어야 잘 먹었다고 소문이 날까 고민이 되네요 솔직히 다 먹어보고 싶었는데 버터 쿠키 샌드로 픽 했어요 당근 케이크 플레인/라즈베리 스콘 플레인/크림치즈/솔티 카라멜 휘낭시에 버터 샌드는 포장 박스에 예쁘게 담아서 판매도 하고 있어요 선물용으로 딱 좋은 ♥ 딸기 케미크와 조각 케미크 네모네에서는 케이크를 케미크라고 부르고 있어요 이응이란 단어들은 다 미음으로 바꿔서 부르더라고요 기념일에 사가기 좋은 케이크 영문 초 카페 굿즈 카펜더 연필, 네모빔 머그컵 시바견 그려진 강아지 하나 사올걸 그랬나봐요 셀프바에는 냅킨, 유리잔, 포크, 나이프가 준비되어 있어요 카페 내부는 아담하고 작은편이고 따뜻한 조명과 우드톤 가구로 꾸며져 있어서 차분함과 아늑한 분위기가 들었어요 테이블은 2인석과 4인석으로 되어 있어요 열심히 이곳저곳 돌아다니면서 사진 찍으니 테이크아웃으로 주문한 라떼와 디저트가 포장되어 나왔어요 네모 라떼는 엑설런트 아이스크림이 올라간 달콤한 라떼에요 달달구리해서 당 충전하기 좋았고 커피도 맛있었어요 버터 쿠키 샌드는 말해 뭐해 쿠키 윗부분은 크림 브륄레, 아랫 부분은 쿠킨데 단짠 단짠 조합이었고 담백했어요 성수동 맛있는 디저트 카페 찾고 계신다면 조만간 핫플레이스로 유명해질 것 같은 네모네 추천드립니다 :) 네모네(@nemone_cafe) • Instagram 사진 및 동영상 팔로워 371명, 팔로잉 1명, 게시물 15개 - 네모네(@nemone_cafe)님의 Instagram 사진 및 동영상 보기 instagram.com 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층,B1층 #네모네 #성수카페 #성수동카페 #뚝섬카페 #뚝섬역카페 #신상카페 #디저트카페 #네모라떼"
네모네 성수동 카페 깔끔한 인테리어와 귀여운 디저트,"안녕하세요! 요즘 핫한 성수동의 새로운 증폭소, '네모네'에 다녀왔어요. 너무 가고 싶었는데 드디어 가게 되어서 너무 기분이 좋았어요. 이곳은 뚝섬역에서 가까워서 접근성이 정말 좋다는 것이 제일 먼저 느껴진 장점 중 하나에요. '네모네'는 네모를 주된 컨셉으로 삼아 매장을 꾸며 귀여움 가득한 분위기를 자아내고 있어요. 신상카페라 그런지 깔끔하면서도 따뜻한 느낌의 인테리어가 돋보입니다. 카페 내부는 ㅇ이 들어가는 글자가 모두 ㅁ으로 써있어서 독특한 분위기를 느낄 수 있었어요. 예를 들면, 치즈케이크 대신 치즈케미크라고 적혀 있는 등의 재치 있는 아이디어가 돋보였어요. 뿐만 아니라, 매장에는 다양한 굿즈들이 진열돼 있어서 구경하기에도 좋았어요. 머그컵, 티셔츠, 학용품 등 다양한 아이템들이 준비돼 있고, 필요하다면 구매도 가능하니 참고하세요. 디저트 메뉴도 다양하게 준비돼 있었어요. 구움과자류, 케이크 등 다양한 선택지가 있어서 어떤 맛을 즐길지 고르는 재미도 쏠쏠합니다. 특히, 시그니처인 네모라떼는 아이스크림이 들어가 달달한 맛을 느낄 수 있어 커피와 함께 즐기기 딱 좋았어요. 그리고 무엇보다 인상깊었던 건 친절한 직원분들이었어요. 너무 가고 싶었던 곳이라서 잘 갔다고 생각해요. ^^ 주문부터 음료 제공까지 신속하면서도 흔들림없는 서비스로 기분 좋게 카페를 떠날 수 있었습니다. 비주얼 대박이죠? 보기만해도 너무 맛있어 보이는데요. 마지막으로, 따뜻한 분위기와 귀여운 분위기가 어우러진 '네모네'에서의 시간은 정말 즐거웠어요. 성수동을 방문한다면 꼭 한번 들러보세요! 🌈✨ 다음에도 또 가고 싶어요. ^^ 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820 #뚝섬역카페 #성수역카페 #성수동데이트 #성수카페 #성수데이트 #성수디저트카페"
성수동 카페 네모네 소개합니다,"안녕하세요~ 곧있으면 겨울이라 그런지 날씨가 많이 추워졌네요. 춥다보니 어디 따뜻한 실내애서 데이트를 더 선호하게 되는 거 같아요. 그래서 이번에는 실내 데이트하기 좋은 이색카페 한군데 소개시켜드릴까 합니다. 성수동 카페 네모네 소개합니다 네모네는 뚝섬역과 가까워서 찾기도 편하고, 네모 모티프로 꾸며진 귀여운 매장이에요. 신상카페여서 깔끔하고 매장 내부 인테리어도 우드 톤으로 따뜻하고 좋았어요. 머그컵, 티셔츠, 학용품 등 네모 컨셉을 한 여러가지 귀여운 굿즈도 판매하고 있어요, 이곳을 기념하는 다양한 아이템을 구매할 수 있다는 게 장점인 거 같아요. 디저트 종류도 다양했는데, 특히 구움과자류와 케이크들은 정말 맛있었어요! 메뉴들도 신선해서 선택하기가 어려웠어요. 그리고 이름에 들어가는 'ㅇ'을 모두 'ㅁ'으로 바꾸어 쓴 것도 재미있는 포인트였어요. 치즈케이크 -> 치크케미크 직원들도 정말 친절햐셨고, 손님을 따뜻하게 맞아줘서 기분이 좋아졌어요. 이 카페의 시그니처 메뉴인 네모라떼는 달콤한 맛이 일품이에요. 아이스크림이 들어가서 그런지 달달함이 가득해요. 시그니처 메뉴인 네모라떼만큼 딸기케이크가 맛있다고 입소문지 자자하더라구요. 기회가 되면 딸기케이크도 꼭 한번 먹어봐야겠어요. 직원분들도 친절하고 분위기도 좋으며 디저트도 맛있었어요. 한 가지 아쉬운 점이 있다면 자리가 항상 붐비다는 거에요. 그래도 그만큼 인기 있는 곳이라는 뜻이겠죠? 주변에 맛집도 많고 교통편도 편리해서 성수동 실내 데이트 코스 고민중이시라면 네모네 카페 추천드려요! 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820 매일 11:00 ~ 20:00 #성수카페 #성수디저트카페 #뚝섬역카페 #성수동카페 #뚝섬카페 #성수역카페 #네모네 #성수데이트 #뚝섬데이트 #성수동데이트"
네모가 컨셉인 신상 카페 성수동 카페 네모네,"네모가 컨셉인 신상 카페 성수동 카페 네모네 어제 다녀온 성수동 카페 네모네입니다 11월22일에 오픈했다고 하더라구요~ 완전 신상 카페입니당 뚝섬역에서 가까워서 금방 찾아갈 수 있어요~ 포근한 조명과 카페 이름에 맞게 네모가 컨셉이에요 매장 인테리어와 디저트가 네모네모~ 완전 취향저격! 너무 귀엽고 아기자기했어요~ 또 귀여운 포인트가 ㅇ이 들어가는 글자는 모두 ㅁ으로 써있더라구요~ 딸기 케이크가 딸기케미크로~! 1층은 아기자기한 소품들로 꾸며져있고 지하로 내려가면 꽤 넓게 테이블자리가 마련되어 있습니다 지하 내부에서 편안한 분위기로 디저트와 커피를 즐기실 수 있어요 저는 딸기케미크과 시그니처인 음료인 네모라떼를 주문했는데요 여러 곳에서 딸기케익을 많이 먹어봤지만 네모네의 딸기 케미크 진짜 대박이었어요! 크기도 과하지 않게 딱 적당하고 무엇보다 딸기가 듬뿍 들어있어서 대박 맛있더라구요 진짜 딸기케미크 너무 사랑입니다 네모라떼는 아이스크림이 들어가 있어서 달달하니 지금도 또 생각이 납니다 정성이 가득한 디저트에 기분이 절로 좋아졌습니다 너무 행복하더라구요 머그컵,티셔츠 등 구매 가능한 굿즈도 다양하게 있었고 디저트는 제가 먹은 딸기 케이크 외에도 구움과자, 버터샌드 등의 디저트가 있어요~ 저는 카페에서 못먹어본 버터 샌드를 포장해 왔답니다 조만간 딸기케미크와 네모라떼 먹으러 전 다시 방문예정이에요 친절한 직원분들이 있는 곳 기념일에 케익포장이나 맛있는 디저트가 생각날 때 성수동 카페 네모네 추천드려요! 후회 없으실 거예요~ 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820 #뚝섬카페 #성수동데이트 #성수카페 #성수데이트 #뚝섬데이트 #성수동카페"
[성수] 네모네 귀여운카페 인스타감성카페 성수동 카페,"제가 다녀온 카페는 뚝섬역 근처에 위치한 매력적인 곳이었습니다. 뚝섬역에서 가까워서 접근성이 좋아 언제든지 손쉽게 방문할 수 있었어요. 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820 가장 눈에 띄는 특징은 네모를 주제로 한 매장의 인테리어였습니다. 입장부터 디저트를 즐길 때까지 네모로 가득 찬 분위기가 귀엽게 느껴졌어요. 특히, 신상카페라 그런지 깔끔하고 동시에 따뜻한 느낌의 인테리어가 감각적으로 느껴졌습니다. 매장 곳곳에는 다양한 굿즈가 준비되어 있었는데, 머그컵부터 티셔츠, 학용품까지 다양한 아이템들이 구매 가능했습니다. 이런 굿즈들은 나만의 추억을 만들기에 안성맞춤이었어요. 메뉴판을 살펴보니 다양한 디저트가 준비돼 있었습니다. 특히 구움과자류와 다채로운 케이크들이 눈에 띄었는데, 네모네모 디저트들~~ 이 중에서 'ㅇ'이 들어가는 글자가 모두 'ㅁ'으로 바뀌어 있어서 치즈케이크를 주문할 때 웃음이 나왔습니다. 이런 창의적인 아이디어가 고객들에게 즐거움을 선사하는 것 같아 기분 좋게 느껴졌습니다. 뿐만 아니라, 직원분들의 친절한 모습도 기억에 남아 있어요. 주문부터 음료 제공까지 세심한 서비스로 고객을 맞아주셔서 편안한 분위기를 만들어 주셨습니다. 마지막으로 시그니처 음료인 네모라떼를 시도해봤는데, 음료는 아이스크림이 들어가 달달하고 고소한 맛을 느낄 수 있었습니다. 정말 독특한 조합이었지만, 깔끔한 커피와 달달한 아이스크림이 어우러져 색다른 맛을 선사했습니다. #성수역카페 #성수데이트 #성수디저트카페 #뚝섬카페 #뚝섬데이트 #뚝섬역카페 #성수동데이트 #성수동카페 #성수카페 #네모네 이렇게 멋진 카페에서의 경험은 정말 즐거웠습니다. 다양한 메뉴와 굿즈, 그리고 친절한 서비스까지, 모든 면에서 만족스러웠던 방문이었습니다. 뚝섬역 근처에 계시거나 근처를 지나가는 기회가 있다면, 이 카페를 한 번 방문해보시길 권해드립니다!"
[네모네/NEMONE] 성수동을 네모로 지배한 디저트 맛집 서울숲 감성카페 네모네,"네모네 Nemone 📍위치 서울 성동구 상원2길 6 1층, B1층 2호선 뚝섬역 5번 출구에서 도보 2분 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 ⏰ 운영시간 - 매일 11:00 - 20:00 📞 연락처 - 0507-1397-1820 ⚠ 유의사항 - 홀케이크 문의는 최소 하루 전 매장으로 예약 - 테이크아웃 할인! 🚗 주차 - 매장 내 주차 불가 (근처 유료주차장 이용) 📌 근처 주차장 - 서울숲A타워 주차장 (도보 3분 소요) - SK테크노빌딩 민영주차장(도보 5분 소요) 20m © NAVER Corp. 서울숲A타워주차장 서울특별시 성동구 상원1길 26 SK테크노빌딩 민영 주차장 서울특별시 성동구 성수일로 55 네모네 서울특별시 성동구 상원2길 6 1층, B1층 점심 먹고 뛰어가는 우리를 이끈 웰컴 투 네모 월드🐶 입구부터 귀여운 나혼자산다 곰돌이 인형이 반기는데 어떻게 안들어가요~~ 1층은 약간 손님맞이 공간 같고, 지하로 내려가야 찐 네모네 등장!! !!머리 조심!! 하지만 나는 전혀 닿지 않았다.. 이곳은 예전에 네일샵인가 악세사리샵이어서 굳이 방문할 일이 없어서 몰랐는데 지하 공간이 생각보다 넓었다!! 벌써부터 네모네모빔의 기운이.. 컨셉에 너무 충실한 곳이라 디저트들도 모두 네모네모!!!!!!! 사실 케이크 아니 딸기케미크가 먹고 싶었는데 방금 점심 먹고 온 거니까 양심상^^.. 조각 케이크랑 홀케이크도 팔고 있어서 숫자 초도 따로 구매할 수 있고 귀여운 네모연필과 컵, 후드 같은 굿즈들도 구매 가능! 그리고 디저트 카페니까 당연히 셀프바도~~!! 근데 살짝 먼지 쌓일것같기도하궁..ㅎ 한쪽 벽면에는 네모네모빔에 맞은 고먐미들이 걸려있따 담신믄 네모네모 멈뭄미 저주메 걸렸습니다 멈멈!! 네모네 메뉴 NEMONE MENU 디저트 카페라서 그런가 커피종류는 생각보다 단출한 편이다 나는 멈무미 저주에 걸려 마메리카노 선택🐶 마메리카노 / 카페라떼 5,000원 / 5,500원 빨대도 네모네모빔~~~🔲 나는 무조건 아메리카노.. 오아앜은 바닐라라떼파인데 이날은.. 뭐에 홀렸는지 라떼를 마시던데… 라떼는 .. 무맛.. 우유맛바께 안 남…🤤 아메리카노는 산미보다는 꼬소한맛이 더 강했다! 산미 없는 거 좋아해서 아아는 쏘쏘,.. 아무래도 디저트 카페니까..ㅎ 카운터 뒤쪽에 주방? 이 있는 걸 봐서 직접 만드는 베이커리류도 있는 듯..! 솔티카라멜 휘낭시에와 플레인 휘낭시에도 각각 하나씩 구매했는데 차갑게 해서 먹으니까 맛있었다! 오픈 이벤트인지 버터쿠키샌드도 서비스로 주셨는데 존맛!!!!!! 쿠키 겉면에 설탕을 묻혀서 녹였는데 겉은 크림 브륄레처럼 달달하고 쿠키 안에는 버터가 들어가 있어서 단짠최고.. 아 정말요? 그리고 마침 우리가 방문한 날이 오픈일이라 가게 앞에 화환이 와있던데… 커피가 친절하고 사장님이 맛있어요 왜 가려놓으셨어요.,🙄ㅎ"
성수동 신상카페맛집 네모네,"안녕하세요 여러분~장꾸쭌맘이에요~! 저희 아이가 빵을 굉장히 좋아하는 아이중에 한명인데 최근에 아이데리구 카페갔다가 너무나도 즐거운 시간을 보내고 온 기억이 남아서 요즘은 아이랑 같이 카페투어하는데 재미붙었답니다😆 저뿐만 아니라 아이도 좋은 기억으로 남았는지 카페가서 빵먹자며 ㅎㅎㅎㅎㅎ 그래서 요즘은 맛집과 함께 카페도 알아보고 있는데요 그중에서도 괜찮은 곳을 여러분께도 소개해드릴게요^^ 네모네 주소 : 서울 성동구 상원2길 6 1층 , B1층 전화번호 : 0507 - 1397 - 1820 영업시간 : 매일 11:00 ~ 20:00 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 귀여운 곰돌이가 반겨주는 네모네는 뚝섬역에서 가까워 접근성이 좋은 곳에 위치한 카페인데요 가게 이름에서부터 풍기는 귀여움이 매장 인테리어에서도 말을 해줄 만큼 아기자기한 느낌에 카페에요*^^* 1층 내부의 모습 네모네 신상카페여서 그런지 깔끔하고 조명과 인테리어가 따뜻함을 주는거 같아 겨울에 너무나 잘어울리는거 같아요 네모네는 지하도 이용할 수 있는데요 지하에도 역시나 매장이 따뜻한 분위기속에서 깔끔하죠^^??👍 사진으로만 봐도 다양하고 달달한 디저트와 음료들을 맛보고 싶은데요 저희 아이를 데리고 가면 눈이 동그랗게 번쩍 뜨면서 진열된 빵쪽으로 달려갈거 같아요👍 새콤하고 달콤한 딸기가 가득 올라간 딸기케익 다가오는 크리스마스에 어울리는 케익이네요👍 큰 홀케익이 부담스럽다면 작은 사이즈의 케익을 이용해보셔도 좋을거 같아요❤️ 100% 동물성 생크림에 엑셀런트 그리고 네모네만에 맛을 더한 아이스크림라떼는 네모네에 시그니처 커피랍니다 그외에도 녹차.초코라떼 아메리카노 등 다양한 음료와 풍미깊은 버터크림에 수제 라즈베리콩포트를 더한 새콤달콤한 스콘 ""라즈베리크림스콘"" 이랑 히말라야 핑크솔트가 들어간 수제로 만든 버터쿠키의 버터크림과 수제카라멜을 샌드한 쿠키가 올라간 ""브륄레버터샌드쿠키"" 까지 화려하고 예쁜 디저트까지 맛볼 수 있습니다😁 선물용으로도 좋은 네모네에서는 머그컴, 티셔츠, 학용품 등 다양한 굿즈가 준비되어 있어서 구매도 가능해요😁 네모네 로고가 너무나 앙증맞고 귀여워서 아이들도 너무나 좋아할 거 같아요❤️ 구움과자류, 케이크 등 맛있는 디저트가 다양해서 눈도 입도 즐겁고 행복한 곳 네모네였습니다"
성수동 카페 네모네 다녀왔어요 ~,"주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820 안녕하세요 ~ 오늘은 성수동 카페 네모네에 다녀왔어요 ! 어떤 곳인지 설명해 드릴게요 ~ 뚝섬역 근처에 위치한 이 카페는 찾기 쉽고 접근성이 좋아서 정말 좋았어요. 역에서 내려서 걸어서 얼마 안 가면 도착해서 편리했답니다. 이 카페의 매장은 네모를 주된 컨셉으로 한 인테리어로 꾸며져 있었어요. 네모로 이뤄진 인테리어는 정말 귀엽고 매력적이었답니다. 이런 분위기 때문에 디저트를 먹으면서도 사진을 많이 찍게 되더라고요. 새로 오픈한 신상카페라 그런지 매장 내부는 깔끔하고 아늑한 느낌이었어요. 깨끗한 분위기와 따뜻한 조명이 손님들에게 편안함을 줬어요. 또한, 다양한 굿즈도 판매하고 있어요. 머그컵, 티셔츠, 학용품 등 다양한 아이템들이 준비돼 있어서 구경하는 재미도 쏠쏠했어요. 그 리고 메뉴들도 정말 다양했어요. 구움과자류와 치즈케미크 등의 디저트가 준비돼 있었는데, 특이한 점은 'ㅇ'이 들어가는 글자는 모두 'ㅁ'으로 바뀌어 적혀 있었어요. 이런 작은 디테일이 정말 마음에 들었답니다. 무엇보다 직원분들이 정말 친절하셨어요. 주문하는 동안 안내도 잘 해주시고 서비스도 좋았어요. 그리고 이 카페의 시그니처 음료인 네모라떼는 정말 맛있었어요. 아이스크림이 들어가서 달콤한 맛이 일품이었어요. 이런 맛을 한 번 맛보면 후회하지 않을 거예요. 꼭 한 번 드셔보시길 추천해요! 구움과자도 매력 있고, 그냥 디저트들이 하나부터 열까지 다 맛있었어요 ! 어떤 메뉴를 골라도 실패하지 않을 것 같은 느낌이었달까요 .. 사장님께서 진짜 정성스럽게 만드신다는게 느껴졌답니다 ㅎ 모두들 꼭 네모네 방문하셔서 네모네의 귀여운 매력에 푹 빠져보시길 바랄게요 ! 정말 강력 추천합니다 :) 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 #성수디저트카페 #뚝섬카페 #성수카페 #성수동데이트 #성수역카페 #뚝섬역카페"
개취컨셉 귀여운 분위기의성수동 카페 네모네,"뚝섬역에서 가까운 카페예요 지나가다가 컨셉이 너무 특이한게 귀여워서 들어와봤어요~ 신상카페인거 같아요! 간판부터 입간판까지 너무 제취향이라 안 들어갈 수 가 없엉어용... 포대에 앉아있는 선글낀 오리 인형도 너무 귀여워서 찍어봤어요~ 옆에 조명도 겁나이뿜.. 요기조기 소품들도 하나같이 다 이쁘게 잘 꾸며 놓으셔서 좋았어요. 너무 산만하지도 않으면서 적당히 깔끔하면서 음음 요즘 크리스마스 트리만 보면 왜케 설레이는지~! 선반에는 네모네에서 사용하는 커피원두인가봐요~ ㅋㅋㅋ진짜 이거 보고 놀랐어요 하나 사가고 싶은 느낌. 네모네 너무 귀여운 카페예요 😍 정말 소품하나하나가 소중한 적은 없었는데 진짜 깨물어주고 싶어요ㅠ 지하는 이렇게 공간이 더 아늑해요! 좀 쉬었다 가기 좋을 거 같아용 테이블들도 진짜 각진 네모네요.ㅋㅋㅋ 메뉴판이에요~! 글씨체 너무 예뻐서 계속 쳐다보고만 있었어요. 글씨체는 네모가 아니네요! 저 네모강아지도 계속 보니까 넘 사랑스럽.. 저희는 시그니처 커피 2잔과 케이크를 주문했어요~ 네모네의 시그니처 커피 마저도 네모예요...ㅋㅋㅋ 컨셉이 너무 귀여워서 미침. 매장 인테리어도 아늑하고 따뜻하고 저 네모 굿즈들이 탐나더라고요 제 뇌도 네모로 될 거 같은 느낌. 이 케이크 진짜 맛났어요.. 케이크도 네모예요 ㅎㅎ 자꾸 저도 네모에 집착하게 되는 카페. 크림도 적당히 달달하고 리얼 딸기 향이 확 올라오고 딸기맛도 좋은게 정말 신경쓰신 거같더라고요. 커피맛 좋고 눈도 입도 즐거운 분위기 좋았던 네모네 성수동 카페였습니당~ 잠깐 들려서 마시고 가기 좋아용~ 접근성도 좋고 분위기도 아기자기해서 시간가는 줄 모르고 나왔네용ㅎ 신상카페 추천! #뚝섬역카페 #성수데이트 #성수디저트카페 #성수동데이트 #성수동카페 위치 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820"
성수동 카페 네모네 추천합니다,"성수동 카페 네모네 추천합니다 안녕하세요? 성수동에 위치한 카페를 알게 되어 소개해드릴께요 그곳은 바로 네모네 입니다 네모네는 뚝섬역에서 가까워 접근성이 좋아 출퇴근이나 산책이나 들릴 수 있는 좋은 장소 이에요 매장이 넓고 깨끗해서 각종모임하기 너무 좋아요 네모를 주된 컨셉으로 한 매장은 귀여움 가득한 분위기를 자아내고 매장 내부는 신선하면서도 포근한 느낌으로 꾸며져 있어요 여기 디저트는 먹음직스럽기도 하지만요 너무 이뻐서 소중한 생각이 들고 이런건 특별한 날에 먹고싶어지는 것 같아요 깔끔하고 포근한 분위기 신상카페로서 깔끔하고 아늑한 분위기가 특징입니다 이런 포근한 분위기는 마음도 편안하게 하고 데이트를 하기에도 또 수다 떨기에도 좋아요 머그컵부터 티셔츠, 학용품까지 다양한 굿즈가 마련되어 있어, 소중한 추억을 만들 수 있어요 다채로운 디저트 메뉴 구움과자류와 케이크 등 다채로운 디저트가 준비되어 있어, 달콤한 여행을 즐길 수 있어요 직원분들은 항상 웃는 얼굴로 손님을 맞이해주어 분위기가 따뜻하고 친절한 곳은 또 가고 싶어지는 것 같아요 기분이 좋아지잖아요 시그니처 메뉴인 네모라떼는 아이스크림이 들어가 달콤한 맛을 느낄 수 있어, 특별한 경험을 선사하고 너무 맛있어요 이런 곳에서의 디저트 차 한잔 이런게 힐링이지요 뚝섬에서 특별한 시간을 보내고 싶다면, 카페 네모네를 추천합니다 시상카페여서 깔끔하고 또 인테리어도 너무 좋아요 사진도 이쁘게 나오니 인별각 딱~ 나오죠 성수동에 가게 되면 네모네 한번방문해보세요 주소 : 서울 성동구 상원2길 6 1층,B1층 전화문의 : 0507-1397-1820 50m © NAVER Corp. 네모네 서울특별시 성동구 상원2길 6 1층, B1층 #성수카페 #성수디저트카페 #성수데이트 #네모네 #뚝섬데이트 #성수동카페"
