title,content
성수동 카페 추천 인덱스카라멜,"2023. 2. 11. 토요일 🎊 또나 생일파티 w.꼬니 🎊 성수동은 처음이라 사진을 찍어보았어요 블친놈 2탄 인덱스카라멜 인덱스카라멜 : 네이버 방문자리뷰 523 · 블로그리뷰 225 m.place.naver.com 위치 50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 📍주소 | 서울 성동구 성수이로14길 14 1층 index caramel 📱전화 | 02-080-0000 오 번호 레어템이네요.. 0000이라니~~ 처음 봅니다 ㅋ꙼̈ㅋ̆̎ㅋ̊̈ 뚝섬에서부터 쭉쭉 걸어내려왔어요 차도쪽으로 와서 좀 노잼이었거든요 뚝섬 ↔️ 성수동 이동하시는 분들은 카페거리를 이용하시길 추천할게욥 구경할 것이 많아서 재미있어욥 인덱스카라멜은 성수연방 입구에 위치해있습니당 성수연방 위치도 참고하세욥 영업시간 화~일 11:30~20:00 매주 월요일 정기휴무 메뉴판 카라멜은 3,000원 카라멜 스틱은 4,500원 카라멜 스프레드는 9,000원 내부 인덱스카라멜에 들어오면 알록달록 박스들이 있습니당 박스 디자인도 엽서도 짱짱 예뽀요 선물하기에 아주 굿이네요 카라멜 맛이 참 다양하더라구요 일산 밤리단길에 있는 캐러멜전문점 목요일과는 메뉴 구성이 많이 달랐습니당 ⬇️ 일산 밤리단길 카라멜 포스팅 ⬇️ [일산 밤리단길 디저트 맛집] 수제 카라멜 전문점 목요일 2023. 1. 10. 화요일 🎀욘미랑 맛밥하고 디저트 사냥🎀 목요일 위치 욘미가 아니었다면 그냥 스쳐지나... m.blog.naver.com 선물 포장 박스와 명함, 엽서 입니당 안쪽으로 들어가면 커피나 차와 함께 카라멜을 즐길 수 있는 공간이 나옵니다 저흰 가장 안쪽 4인 테이블에 앉았어요 요긴 두명을 위한 자리~ 저희가 앉아있을때 한 2~3명이 들어왔다가 다시 나갔고, 1커플만 자리에 착석했습니당 조용하게 대화나누기 좋은 공간이었어요 캐러멜 + 음료 꼬니는 아아, 또나는 레몬밤 티, 그리고 저는 카라멜 밀크티 를 주문했습니다 아이스아메리카노 4,500원 레몬밤 티 6,000원 카라멜 밀크티 8,000원 사장님께 카라멜 밀크티가 많이 다냐고 문의드렸는데, 많이 안달다고 답변해주시더라구요 그래서 그나마 여기서 가장 단 음료는 맞나요?하고 묻고 바로 주문했어요 ㅎㅎ 지금 생각해보니까 답정너였네욤🐥 카라멜 밀크티는 적당히 달았고 뜨끈하니 맛있었습니당 ㅎㅎ 몸살이 계속 안떨어져서 찬걸 안마시고 따뜻한 음료만 마셨어요 커피도 꾹꾹 참고 얼른 목이 회복하길〰️ 말톤솔트카라멜, 아몬드카라멜 저는 카라멜을 안좋아해서 카라멜은 따로 안시켰습니당 (이에 달라붙는 느낌이 싫고, 단게 싫어욥) 꼬니는 아몬드, 또나는 말돈솔트를 주문했어요 각자 사진을 찍길래 전 그 모습을 또 찍었습니다 ㅎㅎ 박스 언박싱 껍질 언박싱 성수역카페 인덱스 재생 4 좋아요 0 00:00 00:15  접기/펴기 성수역카페 인덱스 또나도 다시 블로그를 열심히 활성화하길~ 그래서 블친놈의 길을 함께 걸었으면 좋겠네요 ㅋ꙼̈ㅋ̆̎ㅋ̊̈ 카라멜 맛 후기 아몬드카라멜은 달고 맛있고 말톤솔트카라멜은 단짠의 정석이라고 합니다 따로 포장하지 않고 이대로도 선물하기에 좋을 것 같아욤 사무실 팀원들한테 1개씩 돌릴때 딱 좋을듯👍🏻 레몬밤티 또나한테 차 따라달라고 하도 촬영! ㅎㅎ 레몬밤티는 그냥 레몬밤레몬밤 이런 느낌이라고 했어요 ㅋㅋ꙼̈ㅋ̆̎ㅋ̊̈ㅋ꙼̈ㅋ̆̎ㅋ̊̈ㅋ̌̈ 화장실 인덱스 화장실은 건물 내에 있지 않고, 맞은편에 위치해있습니다 인덱스에서 나와서 바로 맞은편이 🚺화장실🚺 화장실은 쾌적하고 밝은 편이었습니당 성수 연방 성수연방 : 네이버 방문자리뷰 1,074 · 블로그리뷰 1,620 m.place.naver.com 🚺화장실🚺 들렀다 가는 길에 바라본 성수 연방〰️ 봄에 오면 좀 더 이쁠 것 같아욥 성수 연방은 각자의 분야에서 특별한 개성과 능력, 이야기를 가진 구성원들이 모인 생활 문화 소사이어티 플랫폼! 식사, 카페, 즐길거리가 충분해서 성수 연방에서만 놀아도 괜찮을 듯 합니다 50m © NAVER Corp. 성수연방 서울특별시 성동구 성수이로14길 14 잘 놀고 갑니다 〰️〰️〰️ #뚝섬맛집 #성수동맛집 #서울숲맛집 #인덱스 #인덱스카페 #성수인덱스 #성수동카페 #성수역카페 #성수동카페거리 #성수연방 #성수역디저트맛집 #성수동디저트맛집 #성수역디저트 #성수동디저트 #성수동데이트 #성수역데이트 #서울숲데이트 #서울숲데이트맛집 #뚝섬데이트 #성수동맛집추천 #성수역맛집 #성수역맛집추천 #성수역데이트맛집 #성수동데이트맛집 #성수연방카페 #성수동조용한카페 #성수역조용한카페 #인덱스카라멜메뉴 #인덱스메뉴추천 #성수역카페추천"
성수동 : 인덱스카라멜,매일 오픈 11 : 00 ~ 22 : 00 - 성수동 그렇게 갔는데 카라멜 처음 사봄 유명하다고는 들었는데 카라멜 종류는 안좋아해서 관심없었는데 보다버거 먹고 자연스럽게 들어감 - 성수연방 구경갔다가 입구쪽에 있는 인텍스 장소는 협소한데 안쪽에 테이블도 있음 잠깐 쉬다가기 좋은 곳 - 근처에 맛집도 많고 카페도 많아서 구경하다가 들리면 좋을 것 같다 카운터쪽에 이렇게 메뉴들이 있고 저 작은 종이에 표시하면 포장해쥼 패키지 너무 이쁨 맘 같아선 다 사고 싶었지만.. 참음 안먹을 것 같아서 작은 상자로 6개 구매했다 가격은 전부 2900 사실 가격이 좀 비싼가? 느낌을 받았는데 수제이고 100% 사탕수수만 사용하고 천연바닐라빈을 사용한다고 한다 여기 좀 센스 있는게 벽면에 상자들이 있는데 내가 원하는 상자 고르면 카라멜 포장해줌 선물용으로 너무 좋을 것 같다 샘플이 있는데 처음 가면 고민이 될 수 밖에 없으니 직원분께 여쭤보면 친절히 설명해주시고 추천해주심 나도 추천받은거 2개 내가 고른거 4개 구매 6개짜리 들어갈 작은 초록상자 예뻐.. 패키지너무.. 6개 들어가 있고 맛별로 작은 상자에 또 들어가 있음 나는 한번에 못 먹을 것 같아서 냉장 보관했음 2~3일 내에 섭취하면 실온 장기보관은 냉장 3주정도 먹기 30분전에 꺼내 놓으면 됨 꺼내고 보니 생각보다 더 작쥬? 딱 두입거리? 냉장보관 후 먹었는데 한 10분정도만 놔둬도 말랑마랑 했다 약간 이에 붙는다 카라멜이니 달달하고 커피랑 먹으면 꿀맛이다 카라멜 안좋아하는데 생각나서 또 갈 것 같은 인덱스카라멜
211125 성수동 인덱스카라멜,"50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 고오급진 카라멜 선물을 받았다. 회사 동료분이 미팅 갔다가 기념으로 사오심. 매우 고오오급스러운 카라멜 향기가 솔솔;; 이런저런 설명이 적혀있지만 뭐.. 요약하면 우린 고오급 카라멜을 판매합니다, 그리고 보관방법이요~ 라는 내용 포장지는 이러하고.. 내용물을 보자. 크기비교샷 과대포장 아닌교..? ㅋㅋㅋㅋ 대충 이러한 포장지에 크기는.. 음.. 보는대로 아담하다. 말돈 솔트 일단 첫 번째 픽은 말돈 솔트 소금박혀있는게 보인다! 단짠의 무난함. 식감은 카라멜임.. 우리가 많이 볼수있는 땅콩카라멜보다는 말랑하다. 마스카포네, 코코넛밀크, 말차 마스카포네 : 맛있음! 연하고 말랑말랑한 땅콩카라멜 (진짜 너무말랑해서 다른 카라멜에 비해 휘어짐) 코코넛 밀크 : 약한 코코넛향에 우유향이나는 땅콩카라멜느낌 (조금 더 딱딱함) 안에 그리고 코코넛인지 씹힘.. 내취향은 아니었으나 먹을만했음 말차 : 무난하다. 말차향이 적당하고 꾸덕-한식감 화이트트러플앤솔트, 얼그레이 화이트 트러플앤솔트: 개빡침 트러플향이 너무강하고 역함 단짠인데 숭고한단짠맛어우러지지않음 아 향이너무 씨다 난 자랑스러운 한국인으 ㅣ입맛으로 이 카라멜을 용서할수없음 개빢쳐 얼그레이 : 고농도의 홍차압축한 쓴맛+단맛남 향은 좋은데 맛은 어우러지지 않는듯함. 쌉쌀한 홍차먹고 설탕을혀에 묻힌듯 한 느낌. 뒷끝이 별로; 그냥 역시 땅콩카라멜맛이 무난하고 최고여.. 가격보니 엄청 비싸던데 음.. 고-오급 선물용으로는 괜춘하지만 어르신들한테 드리면 욕먹을것 같은 맛이 많음. 걍 또래나 조금 젊은세대..한테 주는걸 추천.."
"성수동 인덱스카라멜, 다양한 수제 카라멜을 맛볼 수 있는 곳!","성수동 놀러갔다가 우연히 발견한 성수동 인덱스카라멜샵 50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 위치는 요기! 성수연방 1층에 위치해 있어요~ 성수연방도 가려고 간건 아니고 돌아다니다 우연히 발견했는데 수제 카라멜이라니 왠지 신기해서 하나만 먹어보자 하고 들어갔다 왔어요~ 성수동 말고 종로랑 강남 쪽에도 있는것 같더라구요 입구부터 느껴지는 고급진 스멜~ 월요일은 정규 휴무이고, 11:30-20:00까지 영업입니당ㅎㅎ 이렇게 고급진 패키지들이 진열되어 있는 성수동 인덱스카라멜이예요~ 선물 하기 너무 좋을 것 같죠! 이렇게 6개입, 12개입 세트도 판매 하고 있어요~ 이 맛들 한번씩 다 먹어보면 얼마나 좋아…! 고급진 카라멜이라 돈주고 사먹긴 너무 타격이 크다구욤ㅋㅋㅋ 성수동 인덱스카라멜 메뉴판이예요 오리지널 세트 12피스 랜덤세트 12피스 가격은 35000원이구요! 하프세트는 20000원 미니 벌크 30,000원 스프레드세트 32,000원 스틱세트 2피스 10,000원 그리고 일반 카라멜 낱개는 3000원씩이예요 성수동 인덱스카라멜 한쪽엔 이렇게 맛이 진열되어 있는데요 맛 고르는 것도 정말 어렵더라구요ㅎㅎ 뭘 먹어야 잘먹었단 소리를 들을까 한참 고민했지 뭐예요~! 말차도 맛있을 것 같고, 바질도 맛있을거 같고,,, 말돈 솔트도 단짠 조합 궁금하고ㅜㅜ 진짜 고민고민하다 결국 바질 카라멜을 하나 골랐습니다! 인덱스 카라멜 순수하고 고급스럽고 독창적이고 정돈되고 정성이 깃든 카라멜 이래요ㅋㅋㅋ 음료 종류도 판매하고 있어요~ 안쪽엔 자리도 있는 것 같은데 저희는 따로 카페를 갈거라 자리에 앉지는 않았어요~ 성수동 인덱스카라멜 겨우 하나 사들고 신난 사람ㅋㅋㅋㅋ 이조그만 카라멜 하나에 3천원이라뇨….ㅎㅎㅎ 제발 맛만 있어라 싶더라구요~ 정말 선물 받으면 센스있는 선물이 될 것 같아요~ 내돈주고 사긴 좀 아까운거 선물로 받으면 정말 기분이 좋잖아요~ 아무튼! 다음에 들어간 카페에서 바로 까먹은 카라멜 성수동 인덱스카라멜 바질 카라멜 맛은! 정말 맛있더라구요~ 바질향이 확 차오르면서 카라멜 맛도 나는게 좀 신기했어요 처음 먹어보는 맛이랄까?! 이에 좀 달라붙긴 했지만 뭐 맛있이면 됬죠! 다음에 가면 말돈 카라멜을 먹어보겠어요~ 센스있는 선물이 될 것 같은 인덱스 카라멜~ 가벼운데 고급스러운 선물을 찾으신다면 한번 들러보시면 좋을 것 같아요~~"
"(성수동디저트)선물하기 좋은 수제 카라멜, 인덱스카라멜","성수동에 자주 가도 성수연방은 처음 가봤는데 성수연방에 맛있는 음식점도 많고 구경할 거리들이 꽤 많더라구요! 구경하다가 들르게 된 ‘인덱스카라멜’ 2층에서 본 ‘성수연방’ 성수연방은 여러가지 가게들이 모인 복합문화공간이에요! 성수연방 입구에 위치하고 있는 ‘인덱스 카라멜’ 생카라멜을 판매하고 있는 수제 카라멜 전문점이에요 카라멜을 엄청 좋아하진 않지만 수제 카라멜이라고 해서 호기심에 들어갔어요! 카라멜과 음료들을 팔고 있는데 카라멜 전문점이다 보니 매장이 넓지는 않아요! 한 켠에는 음료를 마실 수 있는 공간이 있는데 테이블이 3개정도로 협소해서 커피를 테이크아웃하는 분들이 많더라구요 너무 예쁘게 DP되어 있는 카라멜들 맛에 따라 색도 다 다르더라구요! 이렇게 예쁘게 선물포장도 가능하기 때문에 고급스러운 선물 찾을때 들러보면 좋을 거 같아요! 카라멜은 한개에 2,900원으로 많이 비싸요🥲 하지만 세트로 구매하게되면 조금 할인이 돼요 12개 세트가 33,000원 6개 세트가 19,000원 구매하러 가실때 참고하세용! 카라멜을 구매하면 냉장고에서 바로 꺼내주시는데 냉장고에서 꺼낸 뒤 3분 후 먹으면 맛있다고 해요 집으로 들고 온 카라멜 일단 선물하기 전 맛을 먼저 보기 위해 두개만 먼저 사왔어요! 날이 더워서 갖고 왔을때 조금 녹아있었는데 냉장고에 넣으니 다시 꾸덕해졌어요 제가 구매한 카라멜은 스트로베리랑 화이트트러플솔트에요! 스트로베리는 카라멜 안에 딸기과육이 들어있어서 딸기씨도 씹히더라구요 요플레 먹는 느낌이였어요ㅎㅎ 그리고 화이트트러플&솔트는 입에 넣자마자 트러플 향이 나더라구요! 향이 강하지 않고 은은해서 좋았어요 먹어본 느낌은 비.싸.다 2,900원이 2분만에 입안에서 녹아 없어졌어요ㅎ 솔직히 비싸서 즐겨먹진 못하겠지만 특별한 디저트를 먹고 싶을때 가끔씩 먹으면 좋을 거 같아요 다른 수제 카라멜을 먹었을때 이에 너무 끈적하게 붙어서 어른들께 선물하기는 좀 그랬는데 이건 이에 붙지 않는 식감이라서 어른들께 선물해도 좋을 거 같아요! 50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 영업시간 11:30~22:00 매주 월요일 정기휴무 #인덱스카라멜 #성수동카라멜 #성수동디저트 #수제카라멜 #성수동선물"
성수 띵굴스토어 성수동 편집샵 소품샵 성수연방 인덱스카라멜 카페,"50m © NAVER Corp. 띵굴스토어 성수점 서울특별시 성동구 성수이로14길 14 성수연방내 띵굴스토어 성수점 영업시간 매일 11:00-21:00 폭우를 뚫고 도착한 성수 띵굴스토어 성수연방 여태 가본 편집샵 중 규모가 가장 컸어요 성수점 외에도 용인에 위치한 띵굴스토어 죽전메가스토어점, 띵굴스토어 동탄점이 있더라구요 잠실점도 있었는데 없어졌다고 하네요 식기류가 엄청 많아서 리빙편집샵 띵굴스토어에서 집들이 선물 사기 좋을 것 같아요 저 민트색 접시 포인트 주기 딱인데 집에 접시가 많아서 안샀.. 못샀어요 접시도 다다익선이라고 말하고 싶다 이쁜 게 왜 이렇게 많은지 ㅎㅎㅎㅎ 체크무늬 냅킨 4,000원 앞치마 12,700원 띵굴스토어 전체적으로 가성비 좋은 물건이 많더라구요 유리잔 종류도 많죠 비 홀딱 맞은 생쥐 꼴이라 정신없어서 못 산 거지 아니었으면 꽤 많이 쟁였을 거 같네요^^; 성수동 소품샵 띵굴스토어 지갑 조심 수저도 다른 곳에 비해 저렴한 것 같아요 저 얄쌍한 우드색 나이프 (3,300원) 하나 샀어요 오프라인 소품샵에서 처음 보는 디자인 스탠드 밥주걱 7,900원 삶의 질 상승템이 아닐까 싶고요 리빙용품뿐만 아니라 캡 모자, 벙거지 종류 많아요 요즘 브랜드 로고 떡하니 보이는 것보다 이런 보세 모자가 더 이뻐 보여요 성수 디자이너 브랜드 제외하고 보세 옷 구경할 만한 곳이 마땅히 없던데 성수 띵굴스토어에서 쇼핑해도 좋을 거 같아요 밀짚모자, 키즈 버킷햇, 키즈 캡모자도 팔고 있어요 아이랑 여름휴가 룩 찾는 분들 성수 편집샵 띵굴스토어 추천이요 피크닉 갈 때 들고 가기 좋은 라탄 바구니, 라탄 가방 매년 장화 살까 말까 고민하듯이 라탄 가방도 그런 느낌이랄까 하나 사서 가을에 대공원 피크닉 가야지.. 디퓨저, 룸 스프레이 서울에는 친구 생일선물 살만한 곳이 많아서 좋겠다 서울 성수 가볼 만한 곳, 성수동 데이트 장소 찾는 분들 띵굴스토어 성수연방 추천해요! 50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 성수 인덱스카라멜 영업시간 화-일 11:30-20:00 매주 월요일 휴무 띵굴스토어 입구에 있는 성수동 카페 인덱스 카라멜 사실 여기는 계획에 없었는데 비가 너무 많이 오는 바람에 잠깐 들린 곳이에요 대개 시끌벅적한 성수 카페와 달리 조용하고 차분한 공간이라 여행 중 쉬어가기 좋더라구요 성수동 카페 인덱스 카라멜 메뉴판 카라멜 맛집인데 저희는 콜드브루, 레몬밤 티 주문했네요.. 쿄쿄쿄 카라멜이 들어간 음료의 맛은 어떨까 후기 보니 엄청 맛있다고 하네요.. 먹어볼 걸 꼭 지나고 나서 후회함ㅋㅋㅋ 사탕수수 100%와 다양한 천연재료로 만든 수제 카라멜! 조금 비싼 감이 있지만 그만큼 맛있다고 하네요 패키지가 이뻐서 화이트데이, 발렌타인데이 선물로 좋겠더라구요 네이버 스토어 팜에 입점되어 있어서 택배도 가능하니 아래 링크 참고하세요 INDEX CARAMEL : 네이버쇼핑 스마트스토어 인덱스 카라멜은 가장 순수하고 좋은 재료들만을 사용하여 만든 수제 생카라멜 입니다. m.smartstore.naver.com 성수 인덱스카라멜 카페 내부 테이블이 많진 않지만 요 아늑한 공간에서 잠시 머물다 가기 좋아요 카페인 중독자인 친구가 최근에 먹은 커피 중 제일 맛있다고 한 콜드브루 궁금하지만 카페인에 약해서 한입도 못 먹었고요.. 레몬밤 티는 보리차랑 비슷한 맛이에요 레몬향이 느껴지진 않지만 가볍게 마시기에 좋은 차예요 카라멜 전문점이니 이왕이면 카라멜 음료 먹어보는 거 추천해요"
서울/성수동 카페 : 인덱스카라멜,"즐거웠던 서울 나드으리 갈 때마다 그냥 구경만 하고 나왔던 인덱스 카라멜에서 이번엔 카라멜을 구매해보았어요 50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel #성수동 #성수 #인덱스카라멜 #카라멜 #수제카라멜 진행중인 팝업 리스트가 나와있군요 일단 우린 구경하러 들어왔어요 총총 인덱스 카라멜 ! INDEX CARAMEL 패키징 박스가 컬러풀해서 사진찍는 재미가 있었어요 우리가 고른 박스 컬러는 과연? . . . 메뉴가 나와있어요 일부 품절된 맛이 있어서 아쉬웠어요 골랐던 맛들 중에 3가지정도가 품절 상태 ㅠ.ㅠ 6가지 맛 / 12가지 맛 두 가지 박스가 있어요 저희는 6가지 맛으로 구매했어요! 신중하게 맛을 고르는 모습.. 바질, 얼그레이, 딸기 등등 포장 완료! 핑크박스를 골랐답니다! - 튜기의 홈에 와서 박스를 오픈했어요 과일이랑 과자 구입해서 위스키랑 함께 :) (위스키 혀만 대고 안 마심 ㅋ) 오렌지 루이보스 티도 함께 마셨어요 카라멜 중에 얼그레이가 가장 기억에 남았어요 그리고 수제 카라멜이 원래 이렇게 쫀득함이 엄청난건가요? 정말 쫀득한데.. 맛은 좋았지만 치아에 너무 붙어서 살짝 불편했어요! 살짝 차갑게 얼렸다가 먹었어도 좋았을 것 같아요! 그래도 맛 봤으니 됐다 :-> 선물로 좋을 것 같은 인덱스 카라멜 후기 끝!"
"성수동 카페거리 성수연방, 인덱스카라멜 , INDEX 사탕수수 수제카라멜","인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 성수동 카페거리 데이트 코스 인덱스카라멜 index caramel 매일 오전 11시 30분 ~ 오후 8시 (매주 월요일 정기휴무) 성동구 성수이로14길 12 1층 인덱스카라멜 성수동에는 정말 맛있고 특별한 카라멜집이있어요 사실 카라멜집이라는 것도 생소한데 수제카라멜을 먹을 수 있는 곳이있다고해서 성수연방을 구경할 겸 찾아가봤어요 :) 어렸을 때 카라멜 먹으면 치아 상한다고 들으면서도 땅콩카라멜을 포기할 수 없었는데 ㅎㅎㅎ 수제카라멜 드셔보신 적 있나요? 성수연방에 있는 인덱스카라멜에서는 사탕수수로 만든 수제카라멜을 먹을 수 있어요 선물하기도 너무 좋은 디자인이라 추석 전에 살까말까 엄청 고민했었는데 일단 왔으니까 직접 먹어보려고 짝꿍이랑 저랑 두개사서 먹어봤어요 ♥ 마감시간이 얼마안남아서 고민안하고 그냥 맛있다고 알려진 맛 두개를 먹었어요! 쥬쥬베랑 말돈솔트 맛! 바로먹고싶어서 한쪽에 마련되어있는 자리에 앉았는데요! 공간은 넓지않지만 앉아서 아늑하게 카라멜을 먹을 수 있었네요 ㅎㅎㅎㅎ 카라멜을 사서 바로 먹을 거라고 하니깐 손에 잠깐 쥐고있다가 살짝 말랑해지면 먹으라고 안내해주셔서 짝꿍이랑 손으로 녹이기 ㅎㅎㅎ (빨리 녹아라,,,ㅎㅎㅎ) 쥬쥬베는 우유맛 같은게 느껴지고 고소하고 달달해요 연유맛을 좋아하는 저에겐 완전 취향저격!! 짝꿍은 말돈솔트가 더 맛있다고 하더라구요 짠맛이 심하지도않고 적당해서 더 달달하고 매력적인 맛이라고 했어요 ㅎㅎㅎ 맛 후기는요 :) 인덱스카라멜에서 먹은 수제카라멜,, 정말 느므느므 맛있어요 ㅎㅎㅎㅎㅎ 이에 붙지도않고 정말 부드럽고 적당히 달콤해서 너무 맛있더라구요! 어르신들도 너무 좋아할 맛인데 순식간에 녹아버리는 카라멜이라 여러개를 사면 부피에 비해 가격이 올라가겠지만! 성수동가면 다음에 또 사먹고싶은 맛이랍니다 :) 고급진 간식선물 하실 거라면 완전 추천하는 인덱스 카라멜, 수제카라멜 ♥ 다른 맛도 다 먹어보고싶네요 > <"
서울 성동구 성수동 수제 카라멜 맛집 - 인덱스카라멜 (By. 맛간다람쥐a),"안녕하세요~ 맛간다람쥐입니다 ㅎ 어느덧 현충일로 6월에 공휴일을 맞이하게 되네요 뭔가 그래도 쉬면서 블로그를 쓰니까.. 나름 여유도 있지만 아직까지 못쓴게 산더미라... 언제 다 쓸지는 미정~~~ 오늘 소개해드릴 카페는 서울 성수동 카페거리에 위치한 곳으로 수제 카라멜 맛집으로 총 3곳으로 체인점이 있으며 간단하게 선물하기 좋고 잠시나마 커피 한잔에 휴식하기 괜찮은 곳이에요 카페 - 인덱스카라멜 50m © NAVER Corp. 인덱스카라멜 서울특별시 성동구 성수이로14길 14 1층 index caramel 주소 : 서울 성동구 성수이로14길 14 1층 지번 : 성수동2가 322-4 문의전화 : 0507-1376-8399 영업시간 : 화 ~ 일 11 : 30 ~ 20 : 00 (매주 월요일 정기휴무) Index Caramel(@index_caramel) • Instagram 사진 및 동영상 팔로워 5,180명, 팔로잉 816명, 게시물 411개 - Index Caramel(@index_caramel)님의 Instagram 사진 및 동영상 보기 instagram.com ↑ '인덱스카라멜' 인스타 홈페이지 사진 - Ios 12 Pro '인덱스카라멜' 외관 사진입니다. 전반적인 벽돌 외관 형태로 이국적인 느낌이 나면서 거울 주변에 큰 그림체로 3D 형태 느낌이 나요 '주차장' 은 성수동 주변 '공영주차장' 이나 대중교통을 타고 오시는걸 추천해요 '인덱스카라멜' 내부 사진입니다. 다양한 색깔의 포장용기로 생동감을 나타내며 그 앞으론 '카운터' 와 직원 혼자분 직접 커피를 제조하시고 계셨어요 '인덱스카라멜' 내부 자리들입니다. 생각의외로 자리들이 많이 없으면서 자그마한 공간으로 4테이블이며 2인 ~ 4인석으로 구성되어 있어요 전반적인 우드톤 테이블과 동그란 의자로 등받이는 없어 오래앉기는 좀 불편하더라고요 ㅠ Next image '인덱스카라멜' 메뉴판 및 디저트, 굿즈입니다. 'Menu' 음료 - 4,500 ~ 9,500원 디저트 - 3,000 ~ 35,000원 전체적인 가격대 중 음료 메뉴들은 대체적으로 나쁘지 않았으며 술, 와인도 같이 판매하고 있어요 '수제카라멜' 로 선물용 or 매장용으로 판매하며 진열을 잘해놨더라고요.. 뭔가 궁금하면서 먹고싶어지는? 양에 비해선 가격대는 조금 비싼편? '아이스아메리카노' - 4,500원 묵직하면서 고소한 맛으로 쓴 맛이 강하지 않고 적당하니 가볍게 커피 한잔 먹기 좋고 디저트와 같이 드시면 더욱 맛있을 것 같아요 -------------------------------------------- 이상 포스팅!!! 총점 : 5점 만점 중 3.0점 주차시설 - 주변 주차장이 없어 근처 '공영주차장' 이용 or 대중교통 이용 추천 분위기 - 외관은 벽돌 형태의 이국적인 느낌과 3D 느낌 형태 그림으로 시선 집중시키게 만들며 내부는 아늑하면서 조용한 느낌으로 휴식하기 좋음 맛 - 생각보다 커피맛 괜찮음 친절도 - 주문을 잘 받아주심 재방문의사- ★★★☆☆ 더 많은 카페와 정보를 공유하고 싶으시다면? ↓ Jacob Park(@jjun_06.03) | Instagram 팔로워 1,506명, 게시물 491개 - Athlete Trainer Sports therapist Sports Trainer Hobby : Cafe Tour, Photo (ESFJ) http://blog.naver.com/thowo1 www.instagram.com"
성수동 카페 인덱스카라멜,"가게 이름대로 카라멜이 종류별로 인덱스되어 있는 곳- 말돈솔트, 바질, 아몬드, 코코아, 얼그레이, 블루치즈, 마스카포네 등 여러 맛 카라멜이 있다.👍 #cafe #café #caramel #카라멜 #인덱스카라멜 #카페 https://www.instagram.com/p/CmeA9eCvqTZ/?igshid=NDdhMjNiZDg="
