title,content
"[한남동] 솔티밥_ 한강진 아이스크림 가게 (그라운드 한남, 애견 동반 디저트 카페)","[한남동] 솔티밥_ 한강진 아이스크림 가게 (그라운드 한남, 애견 동반 디저트 카페) ★ ★ ★ 월 - 일 13:00-20:00 화 휴무 A 서울 용산구 한남대로27길 66 *블루스퀘어 공연 기다리면서 먹기에 딱 좋음! *올드페리도넛 세컨 브랜드. 그라운드 한남에 위치 *애견동반가능, 외부 좌석만 있음 (춥거나 더울 때 힘들 수 있다.)★ https://www.instagram.com/saltybob_seoul/ Salty_boB(@saltybob_seoul) • Instagram 사진 및 동영상 팔로워 1,892명, 팔로잉 1명, 게시물 40개 - Salty_boB(@saltybob_seoul)님의 Instagram 사진 및 동영상 보기 www.instagram.com 한남동에서 회사를 다닐 때 3-4시만 되면 당이 떨어져서 주위를 서성거린 적이 많다. 항상 점심 먹고 티타임을 가졌기에 카페를 들어가기에는 좀 애매하고 근데 단건 먹고 싶을 때.. 그 시기에 내가 여기 귀여운 아이스크림 집을 알았다면 좋지 않았을까? 여긴 썸머레인에서 엄마랑 브런치 먹고 입이 텁텁해서 여기저기 찾다 발견한 작고 귀여운 아이스크림 집, 솔티밥이다! 솔티밥 인스타 이미지 사이니지와 그래픽들이 개성 가득가득 넘친다! 아이스크림 로고가 가장 인상 깊었는데 사장님 조카가 그린 그림을 기반으로 만들었다고 한다. (흠... 아이들이 최고 힙하다.) 처음에 주문할 때 대학가에 있었던 딩동와플이 생각나는 구조였다. 주문하고 진동벨이 울리면 저기로 쪼르르 가면 되는 구조! 야외 테이블만 있어서 밖에서만 먹을 수 있을 것 같은데 찾아보니 2층 올드페리 도넛에 올라가서 먹어도 된다고 한다.(올드페리 세컨 브랜드라 가능) 다만 그 누가 알까? 그리고 누가 그걸 들고 올라가서 도넛 가게에서 먹을까? 그냥 나 같으면 여름 날씨 즐기고 돌아다니면서 먹을 듯! 네이버 등록 메뉴판 이미지 [메뉴 구성] 아이스크림 1스쿱 4,5000원 아이스크림 1스쿱 + 작은 1스쿱 5,000원 아이스크림 1스쿱 + 태국시 찹쌀밥 5,900원 확실히 내가 갔다 온 지 몇 개월이 지나서 그런지 메뉴들이 추가되고 바뀐 게 많았다. 하지만! 나는 거기서 시그니처를 먹었지! (역시 시그니처 메뉴는 변하지 않고 맛이 보장되어 있다.) 바로 라벤더허니와 시리얼 밀크! 라벤더 향이 솔솔 나는 게 너무 달지도 않고 딱 좋았다. 다만 저 시리얼 밀크가 좀 많이 짰었는데...... 그래서 가게 이름이 솔티밥인가...했다. 공간을 안 찍어둔 게 아쉽다. (사람이 너무 많았다) 딱딱한 가구들이 건물 들어오는 길 벽면에 붙어있는데.. 계속 사람들이 왔다 갔다 하니까 다소 정신없고 부담스럽기도 했다. 이때 우리 집 멍멍이랑 같이 있어서 그런지 사람들이 관심을 많이 가져서 후딱 먹고 집으로 갔던 기억이! 하지만 가구 색상들이 원색이라 딱 봐도 시원시원하고 특색 있어서 사진 찍는 거 좋아하는 분이라면 마음에 들어 할 것 같았다. 그리고 메뉴들도 색감이 예쁘고 귀여워서 인스타에 올리기에 딱 좋다.(난 안 올렸지만) 무엇보다도 뮤지컬 보러 온 사람들 삐삣버거 먹고 솔티밥 들리면 딱 좋은 코스인데.. 삐삣버거 찍어둔 게 없네? 다음에는 뮤지컬 식당 코스 적어도 괜찮겠다. 정리하자면 이것저것 많이 먹었는데 가볍게 달콤한 게먹고 싶다면! 솔티밥 괜찮다! - 카페를 간다면 여기 한남동 아러바우트도 좋다 https://blog.naver.com/findme2022/222619256376 [한남동] 아러바우트 r.about 카페 한남동 카페 아러바우트 Open 11:00am -21:00am 반려견 동반 가능합니다. - 힙이 쏟아지는 세상에서 계속 ... blog.naver.com 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남대로27길 66"
한남동아이스크림 - 솔티밥,"블퀘 제일 가까이에있는 맛집라인에 있는 솔티밥이에요! 사실 이건물이 핫한거 나만몰랐지 공연전 커피나먹으려고 근처갔는데 아이스크림보이길래 바로 고고했어요 저희는 크럼블 4,000원 바닐라 4.000원 요렇게 주문했어요! 요기가 메인자리인것같은데 바람안통해서 탈락 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 옆라인으로 쭈욱 의자랑 테이블이있어요 금방나온 아이슈크림들! 왼쪽이 바닐라시럽이뿌려져나오고 오른쪽이 크럼블인데 아니 그걸 다떠나서..싸구려 아이스크림콘 충격ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 막 예전에 고기무한리필 이런데가면있던 아이스크림콘이라닠ㅋㅋㅋㅋㅋㅋ 너무해....... 예전 리뷰찾아보니 와플콘이었던데.... 왜바뀐거죠ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 아그리곸ㅋㅋㅋㅋㅋ 아이스크림이 짜더라구요?? 아????그래서 솔티밥이구나!!!!ㅋㅋㅋㅋ 뚜둥ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 공연전에 입가심으로 먹었는데 공연보는내내 목이말랐다는ㅋㅋㅋㅋㅋㅋ 어딜가든 가게이름을 잘봐야겠다 라는 교훈을 얻었답니다ㅋㅋㅋㅋㅋ 아이스크림은 맛있긴했는데 담에간다면 그냥 오리지널먹을래욤ㅋㅋㅋ Salty_boB (@saltybob_seoul) • Instagram photos and videos 1,920 Followers, 1 Following, 40 Posts - See Instagram photos and videos from Salty_boB (@saltybob_seoul) instagram.com 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남대로27길 66"
한남동 디저트 아이스크림 카페 솔티밥 (By 올드페리도넛),"[솔티밥] 한남동 맛집 웨이팅하며 들르기 좋은 카페 솔티 밥 핸드메이드 아이스크림을 만날 수 있는 곳 위치 : 서울 용산구 한남대로27길 66 전화 : 미등록 시간 : 월-일 13:00-20:00(매주 화요일 정기휴무) 밥 먹고 배불러서 산책하다가 우연히 들어갔어요 로고가 너무 귀여워서 이게 뭐지? 하고 들어감 위치는 블루스퀘어 근처 올드 페리 도넛 아래층! 올리페리도넛에서 운영하는 아이스크림 샵이예요 유럽 갬성도 나고 파란색이 메인 컬러인듯! 로고도 너무 귀엽고 카페가 세상 힙해요 좌석이 다 야외라서 애견 동반도 가능합니다 요기서 주문하시면 됩니다 진짜 수제 아이스크림 가게예요 미국 아이스크림 트럭 느낌도 났어요 주문 후에 테이크아웃처럼 받아 가면 됩니당 시리얼 크럼블 ₩4,500 예전에는 도넛 샌드도 판매하셨던 것 같은데 저희가 갔을 때는 콘 아이스크림만 있었어요 ㅠ 카라멜 콘이랑 티라미슈도 맛있어 보였는데 안전하게 베스트 메뉴를 선택했습니다 시리얼 크럼블은 최고의 선택이었음 저희가 앉은 자린데 너무 귀엽지 않나요!? 특히 저 선글라스 낀 아이스크림 로고가 젤 귀여움 이날 점심엔 더웠는데 이곳은 바람이 불어서 좋았어요 이 건물이 2층에는 올드페리도넛, 1층에는 리틀넥, 지하에는 한남동 파이프 그라운드가 있어요 ㅋㅋ 토요일이라서 여기저기 웨이팅 파티였음 역시 주말의 한남동은 사람이 많다 ! 아이스크림 넘 귀여워요 ㅋㅋㅋ 시리얼이 너무 바삭하지 않아 먹기 좋았어요 달달하고 아이스크림이랑 잘 어울림 아이스크림은 부드럽고 적당히 달았어요 우유 풍미가 깊은 듯한 느낌이에요! 맛있음 ㅎ 우유의 진한 맛이 느껴져서 좋았습니다 과자처럼 바삭하진 않고 부드러운 식감의 시리얼 빵 가루 느낌도 났고, 맛은 고소 달달해요! 🍦 더울 때 가볍게 들리기 좋은 솔티밥 추천합니다 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남대로27길 66"
[한강진역/한남동] 솔티밥,"✔️ 서울 용산구 한남대로27길 66 ✔️ 월, 수~일 13:00-20:00 (매주 화요일 휴무) 안녕하세요! 이번에 다녀온 곳은 한남동 아이스크림집 '솔티밥'입니다. 블루스퀘어 온 김에 올드페리도넛에 가려고 했는데 일찍부터 웨이팅이 장난 아니더라구요😂 가볍게 아이스크림이나 먹자! 하고 가보았습니다. 솔티밥은 올드페리도넛, 리틀넥, 파이프그라운드 등 핫한 곳은 다 모여있는 그 건물에 있습니다. 파이프 그라운드로 들어가는 길목에 보면 이렇게 귀엽게 있어요! 솔티밥은 올드페리도넛에서 운영하는 곳이라고 하는데요~ 그래서 그런지 비슷한 감성이 느껴지지 않나요? 아이스크림은 씨리얼 밀크, 씨리얼 크럼블, 바닐라 웨이퍼, 티라미수 4종류가 있습니다. 가격은 씨리얼밀크만 3,500원이고 나머지는 다 4,000원으로 동일합니다. 네이버에서 검색했을 땐 특이하고 다양한 메뉴가 있어서 기대했는데 막상 가니까 4가지 밖에 없어서 아쉬웠어요😥 아이스크림이 나왔습니다🍦 저는 씨리얼 크럼블과 바닐라 웨이퍼를 주문했어요! 아이스크림콘은 보통 식당에 가면 아이스크림 퍼먹을 수 있게 해주는 곳에 있는 그 콘 아시죠? 그거에요ㅎㅎ... 씨리얼 크럼블은 겉에 있는 씨리얼이 짭짤해서 단짠을 느낄 수 있었고, 바닐라 웨이퍼는 생각하시는 그 맛 맞습니다~! 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남대로27길 66 한강진역 근처에서 아이스크림을 드시고 싶으시다면 방문해보시는걸 추천합니다!"
한남동 카페 ㅣ 귀욤뽀짝 솔티밥 도넛샌드 ♥,"한남동 카페 올드페리도넛에서 같이 운영하는 귀여운 인스타 감성 디저트 가게 솔티밥 ! 올드페리도넛 1층에 있는 테이크아웃 도넛샌드 가게예요 핸드메이드 아이스크림 가게, 한남동 솔티밥 salty bob 운영시간 오후 1시 - 8시 화요일 휴무 도넛샌드 종류는 네가지예요 ! 피스타치오, 씨리얼밀크, 허니라벤더, 피넛버터&라즈베리 이외에도 아이스크림만 주문할 수도 있어요 ! 하지만 도넛샌드 비주얼이 아주 미쳤읍니다 ෆ 컵 or 도넛샌드 고르고 아이스크림 맛 고르면 돼요 올드페리도넛에서 운영하는 도넛샌드 가게이지만 도넛 맛은 올드페리에서 파는게 아닌 플레인 도넛,,? 이더라고요 ㅎㅎ 진짜 조그만 구멍가게처럼 생긴 한남동 솔티밥 ㅎㅎㅎ 저번에 파이프그라운드 먹으러 왔을 땐 문이 닫아있었는데 이날은 열려있더라구용 ʕ”̮ॽु ♡̷̷̷ 한강진 솔티밥 - 올드페리도넛 - 파이프그라운드 다 옹기종기 모여있어서 핫플 도장깨러 가기 좋습니당 저 검은색 천 뒤로 들어가서 도넛샌드 제조해서 주신답니다 삐뚤빼뚤 글씨 안내문구도 넘 귀엽죠 ㅋㅋㅋㅋ ~ 앞의 주문을 만드는 중입니다 ☺︎ ~ 저는 칭구들 네명이서 가서 하나만 사서 먹으려다가 두개는 시켜야지 싶어서 씨리얼밀크, 허니 라벤더 도넛샌드 주문했답니다 왼쪽이 허니라벤더, 오른쪽이 씨리얼밀크 ! 가격은 6,000원이였던 것 같아요 큰 도넛 안에 아이스크림 크게 한스쿱 들어가는데 생각보다 저려미한 가격인 것 같아요 ㅎㅎㅎ 비주얼이 다했다 ㅠㅠㅠ ෆ 넘 귀엽죠 맛없어도 용서되는 한남동 인스타 갬성 카페 (ㅋㅋ) 자리를 옮겨서도 찍었어요 ✦ 한남동 카페 솔티밥 테이크아웃 매장인데 앞에 테이블 몇개가 있어서 앉아서 먹기 좋더라구용 ㅎㅎㅎ 테이블,의자도 파란색이라 사진이 알록달록 이쁘게 나옵니당 ʕ”̮ॽु ♡̷̷̷ 도넛은 글레이즈드 도넛이예요 크리스피처럼 입에서 사르르 녹는 빵은 아니고 살짝 퍽퍽한..? 하지만 아이스크림이랑 같이 먹으니 촉촉하고 맛있었어요 일단 비주얼 시강 씨리얼밀크 아이스크림 도넛 먼저 먹어봅니당 비주얼이 넘 이뻐서 기대 안했는데 왠열! 넘 맛있었어요 ㅋㅋㅋ 위에 뿌려져있는 씨리얼도 바삭바삭하고 아이스크림도 정말 이름 그대로 씨리얼 말아먹고 마시는 우유 맛 !!! 아이스크림 아래 쪽에도 씨리얼이 깔려있어서 마지막까지 맛있었답니다 한남동 카페 솔티밥 씨리얼밀크 추천해욧 허니 라벤더는 모험심으로(?) 골랐지만 생각보다 맛있었어요 ! 정말 라벤더 꽃 향이 나는 것 같은 맛 ㅋㅋ 하지만 씨리얼밀크가 뭔가 단짠단짠, 바삭해서 인기가 더 많았어용 ㅎㅎㅎ 흑 너무 귀엽다 ,,, 당연 인스타에도 올린 솔티밥 도넛샌드 ㅎㅎㅎ 올드페리도넛 웨이팅 길다면 한남동 솔티밥 먹는 것도 살포시 추천해봅니다 ෆ 다음에는 피스타치오 맛 도저어어언~~~ 다음에 지나갈 일 있으면 또 참새방앗간처럼 들릴 것 같은 한남동 카페 솔티밥 ! 귀여운 디저트 좋아하시는 분들은 꼭 가보세요 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남동 727-21 #한강진카페 #솔티밥 #도넛샌드 #한남동카페"
[한남동] 솔티밥+나인원한남 고메494 아우어베이커리,귀요미 디저트를 좋아하는 갱 때문에 이번엔 솔티밥 제대로 찾아옴 사진발 잘 받네 인스타갬성 충만 묵직했던 올드페리도넛에 아스크림 가득 당 떨어진 시간에 에너지 가득 충전 ㅋㅋㅋㅋㅋㅋ 한남동 일대 설렁설렁 구경하고 나인원한남 슈퍼 갔다가 아우어 들려 저녁 디저트거리도 구매 집에 와서 연어광어 회에 쿵푸걸 욤뇸 회랑 쿵푸걸 쿵짝이 좋네! 갱이랑 저녁 디저트까지 먹으며 보낸 불토 30/may/2020
"어린이날- 한남동 부자피자, 솔티밥","20200505 어린이날 집을 살까 말까 살까 말까 살까 말까 살까 말까!!! 어쨋든, 남산을 정원삼을 수 있는 이집 좋긴한데 ㅋㅋㅋㅋㅋㅋ 우리가 보러갔던 집에서의 뷰 (40평대라고 해서 신나서 가봤는데 너무 좁게 나와서 포기....) 한남동 간김에 간만에 #부자피자 와 피넛버터밀크스타우트 맥주 쟁여놓고싶다 진짜 존맛이다!!!!! 아란치니 그리고 부자피자 깔라마리 튀김 빼놓을수없죵 간만에 먹으니까 진짜 맛있당ㅋㅋㅋㅋ 약 오년만에 먹는듯ㅋㅋㅋㅋㅋ 그리고 가보고 싶었던 #솔티밥 올드페리도넛에서 같이 운영하나보다 씨리얼 밀크 이렇게 맛있기 있냥..... 아 진짜 너무 맛있다ㅠㅠ 취향저격 단짠...♥ 올드페리도넛 들려서 도넛도 두개 포장! 다시 집으로 와서 누워서 뒹굴거리다가 저녁 준비를 한당 불고기와 만두국 맛있는 한끼였당 ♥ 요리도 해버릇하면 재밌당ㅋㅋㅋㅋ 사실 한건 별루 없긴 하다 아.... 이렇게 5월의 황금 연휴가 끝이 났다 ㅠㅠ 지금봐도 끝난게 아쉬운 행복한 연휴였당"
한남동 달달한 아이스크림 도넛을 파는 솔티밥,"※이 글은 2020년 9월에 방문하여 작성한 글입니다. 한남/한강진 올드페리도넛 아래 아이스크림 도넛집 솔티밥 solty bob 한강진역 솔티밥 영업시간 매일 13:00 - 20:00 화요일 휴무 한강진역 솔티밥 위치 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남대로27길 66 한남동 올드페리도넛이 있는 핫한 건물 1층에 위치한 솔티밥. 이 근처에는 핫한 맛집이 몰려 있기 때문에 항상 사람들이 몰리는 곳이기도 하다 1층에 위치한 솔티밥은 예전에 리뉴얼되기 전에 가려고 마음먹고 있다가 리뉴얼되면서 문을 잠시 닫았기 때문에 한동안 가지 못하고 있었다 그래서 한남동에 온 이번 기회에 아이스크림 도넛샌드를 먹어보기 위해 솔티밥에 방문해보았다 한남동 솔티밥 메뉴, 한남동 솔티밥 가격 한남동 솔티밥 메뉴판 솔티밥의 메뉴는 단 4개로 간단했다 피스타치오, 씨리얼 밀크, 허니라벤더, 피넛버터 앤 라즈베리 4종류였는데 여기서 가장 유명한 메뉴는 시리얼 밀크라고 하셨다 솔직히 밀크보단 다른 메뉴가 더 끌렸지만 제일 인기가 많은 메뉴를 맛봐야할 것 같아서 2번 씨리얼 밀크로 주문했다 참고로 가격은 컵은 4,000원, 도넛은 6,000원인데 가격대가 만만치 않다고 생각했다 솔티밥 앞에는 간단히 먹고갈 수 있도록 벤치가 마련되어 있었다 다들 걸어가면서 먹기보다는 이 곳에서 앉아서 먹고 가는 게 대부분이었다 그리고 먹다 보면 손에 엄청나게 묻기 때문애 앉아서 먹고가는 편이 훨씬 나을 것 같았다 씨리얼 밀크 내가 시킨 씨리얼밀크는 메뉴이름 그대로 우유아이스크림에 씨리얼이 붙어있는 도넛 아이스크림이었다 먼저 숟가락으로 아이스크림을 퍼먹다가 그후에 도넛과 아이스크림을 입으로 베어 먹으면 되는 것 같았다 아이스크림 맛은 그냥 일반적인 우유아이스크림 맛이었다 씨리얼도 그냥 상상하는 그 씨리얼 맛.... 이럴 줄 알았으면 좀 특이한 아이스크림 선택할 걸 흰 우유도 안 좋아하는데 괜히 씨리얼 밀크로 해서..ㅠ 아이스크림을 숟가락으로 좀 퍼먹다가 도넛과 함께 베어물어 먹었는데 올드페리도넛의 도넛이라 그런지 정말 극강의 단 맛이라고 생각했다 도넛이 넘 달아서 맛있다고는 느끼진 못했고 다 먹어갈 쯤 밑에 넛츠부스러기 같은 게 깔려있었는데 이것도 달았지만 그 부분은 그래도 맛있다고 생각했다 끝 부분만 맛있음...! 올드페리도넛의 도넛을 통해 아이스크림을 파는 유명한 아이스크림 도넛집 솔티밥. 오랫동안 벼루다가 기회가 되어 방문했는데 리뉴얼 되기 전이 안 가본 게 천추의 한으로 남을 것 같다 솔티밥이라는 이름과 걸맞게 아이스크림과 밥의 조합이 궁금했던건데 완전 달라져 있는 모습에 아쉬웠다 지금의 솔티밥은 아주 달달한 도넛을 좋아하는 사람들에게만 추천하고 싶다"
[한남동]salty bob 솔티밥,"아직 따끈따끈한 신상집 솔티밥 올드페리도넛에서 1층에 작은 아이스크림가게를 냈는데 워낙에 올드페리를 좋아하기도 하고 산책하다 도는 코스이기도 해서 진저를 놀이방에서 데리고 오면서 한바퀴 돌다 들러보았습니다. 저는 먼저 가있고 친구들이 나중에 합류 했어요. 자리는 후리하게 의자가 놓아진 거라 많지 않아요. 선점이 중요합니다 ㅎㅎㅎ + 어서오라개 메뉴는 세가지 여보개 아이스크림좀 먹고가개 (호객행위중) + 새로운 장소는 아니었지만 오늘도 적응을 위해 간식으로 좋은 기억을 심어줍니다. 놀이방에서 밥과 간식을 안먹은터라 배가 고팠을거예요. 너무 맛있게 양치껌을 먹어서 지나가시는 분들 다 구경하시느라, 사진찍으시느라 멈춰서게 만드는 먹방을 보여주시네요. 역시 반려견동반 특화? 업체답게 주문도 아직 안했는데 아이 마실 물이 필요하냐고 물어보시고 바로 가져다 주셨어요. 덕분에 진저가 잘마셨습니다. 이 이후로 친구들이 더 왔는데 계속 물을 리필해 주셨어요. 너무 착했던 단발머리 여자 스탭분 :) 제가 먹은 리얼망고 망고 샤벳 아이스크림에 정말 밥이 올라가 있어요. 저와 일행의 의견은 이 밥이 맛있다! ㅎㅎㅎㅎㅎ + 리얼망고 + 시리얼 밀크 시리얼밀크는 많이 달았음 아이스크림맛은 ..................... 일단 제스타일은 아닙니다. 하지만 이 공간은 너무 좋아요. 맛으로 먹는게 아닙니다. 분위기로 먹습니다. 원하는 맛이 아니라도 산책하다 자주 와서 쉬고 갈거예요. 포토타임 잘생긴 진이 활용법 방해할꺼라개!!!!! 포토타임! 곧이어 후발주자로 산책을 나온 친구들과 합류! 손님들이 다 가셔서 넓게 썼어요. 망고랑 해나 한입만 주라개! 점점 추워지는데 솔티밥 지금 오픈해서 잘 될까? 괜한 걱정을 한번 해봅니다. ㅎㅎㅎㅎ 이런 걱정 안해도 잘되겠죠. ㅎㅎ 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남대로27길 66"
한남동 카페 솔티밥 salty bob 아이스크림,"한남동 카페 솔티밥 영업시간 13:00 - 21:00 안녕하세요 그앤뷰입니다. 정말 오랜만에 블로그를 찾아왔어요. 그동안 바쁘기도 했고 블로그가 너무 재미없어서 포스팅을 소홀히 했는데 앞으로 묵혀둔 카페를 하나씩 차근차근 올려보려고 해요. 오늘은 소개할 카페는 바로 한남동 솔티밥(salty bob)이예요. 인터넷에서 사진을 봤는데 가게 분위기가 아기자기하고 귀여워서 한 번 가보고 싶더라구요! 올드페리도넛 건물에 위치해있는데 자리는 야외밖에 없어요. 지금은 추워서 야외에서 먹기 힘들겠지만 저는 가을에 방문했어서 딱 앉아서 먹기 좋았어요. 한남동 카페 솔티밥 분위기 너무 귀엽지 않나요? 아기자기한 글씨체며 그림이며 !! 메뉴는 시리얼 밀크, 리얼 망고, 타이티 이렇게 세 가지가 있었는데 저는 시리얼밀크랑 리얼망고 두 가지를 주문했어요. 가게 앞에 벤치같은 자리가 있는데 사람이 많아서 겨우 앉았어요. 자리가 없을 경우에는 올드페리도넛 자리에 앉아도 된다고 하네요. 귀여운 진동벨 :) 선글라스 낀 아이스크림이라니 ㅋㅋㅋㅋ 그림 정말 귀엽게 잘 만든것 같아요. 왼쪽이 리얼 망고, 오른쪽이 시리얼 밀크예요. 아이스크림을 받아보기 전까지 이름이 왜 솔티밥일까 궁금했는데 받아보고 깨달았어요. 아이스크림 위에 토핑으로 밥이 올라가있더라구요. 스티키라이스가 올라가 있어서 먹었을때 식감이 쫀득쫀득해요. 한남동 카페 솔티밥 Salty bob 아이스크림 위에서 보면 요런 느낌! 생각보다 양이 많았어요. 결론부터 말씀드리자면 맛은 제 취향이 아니던 ㅠ 두 메뉴 중에 그나마 시리얼 밀크가 더 나았는데 먹다보면 라이스때문에 느끼해지더라구요 ㅠㅠ 리얼망고는 태국에 있는 망고 스티키 라이스를 먹으면 이런 맛일까 싶었어요. 맛이 생소해서 호불호가 많이 갈릴것 같아요. 하지만 입맛은 개인차가 있으니 제 의견은 참고만 해주세요. 한남동 카페 솔티밥 아이스크림 궁금하신분들은 한 번쯤은 드셔봐도 좋을것 같아요. 50m © NAVER Corp. 솔티밥 서울특별시 용산구 한남동 727-21"
