word,count
있다,2628
사탕,2599
모아새,2209
캔디,1601
맛,1467
망원동,1343
같다,1010
것,1006
좋다,834
귀엽다,834
수제,820
수,708
파우치,633
맛있다,612
가게,610
볼,598
저,587
곳,574
없다,544
마포구,541
많다,500
서울특별시,492
때,487
구매,486
선물,477
시간,462
하나,453
사진,441
생각,439
카페,423
캐릭터,411
매장,404
이,402
줄,402
층,399
거,395
사람,391
안,390
아니다,385
모양,384
더,377
정말,369
진짜,360
케이스,355
개,345
종류,344
포은로,343
예쁘다,343
정도,342
방문,341
무게,323
좋아하다,311
그렇다,299
오픈,299
제,294
틴,292
집,292
전,286
내,280
사장,277
나,274
친구,273
가운데,273
가격,262
앞,255
또,244
바로,241
그냥,239
다양하다,238
휴무,237
별로,237
이다,230
내부,224
여기,222
그,215
작다,213
처음,210
보고,210
날,208
꼭,207
구경,204
다음,194
추천,194
번,192
저울,192
길,191
좀,188
망원,187
느낌,186
분,184
간판,179
영업,179
직접,178
담,178
망리,171
오늘,170
직원,169
품절,166
포장,164
우리,163
분위기,163
소품,163
때문,162
이쁘다,161
용,161
서울,161
어떻다,161
방법,160
가지,160
대기,159
신기하다,156
조금,156
사실,155
요거트,154
명,153
이용,153
원하다,152
한번,152
용기,150
유명하다,148
맛집,148
재미,147
중,147
뭐,147
다른,145
선택,143
저희,139
알,138
위,137
도착,134
제일,134
다시,134
이렇다,133
입구,132
걸,131
못,130
계산,130
문,128
일,127
쇼핑,126
월요일,125
공간,125
통,125
해,124
모습,124
인테리어,123
눈,123
도,120
위치,120
확인,120
주말,120
말,119
종이,118
요,118
중간,118
그림,118
웨이팅,117
웨이,117
주문,114
팅,114
다르다,112
후,112
봉투,111
입장,111
크리스마스,110
새,109
듯,109
옆,107
판매,105
계속,105
가오,105
게,104
화,103
손,103
나시,102
참고,102
콜라,102
뒤,102
화이트데이,101
아쉽다,101
가면,101
커피,100
꽤,100
후기,100
팀,99
할로윈,96
뭔가,96
장갑,94
설명,94
월,93
두,93
평일,92
스누피,92
기억,92
완전,91
만,91
끝,91
디자인,90
아주,90
핫,90
이번,90
원래,89
보,89
먹기,89
오후,87
거의,87
손님,87
궁금하다,86
이제,86
지금,84
시장,84
하트,83
포스팅,83
건,82
동영상,82
아기자기하다,82
달달,82
달,82
및,81
기분,81
밥,80
괜찮다,79
좁다,79
버터,79
계시다,78
차례,78
스쿱,77
보기,77
마지막,77
병,77
입,76
힘들다,75
달라,75
향,75
마음,75
수제사탕,74
가장,74
길다,73
사고,73
일찍,73
몇,73
온,72
영상,72
데이트,72
요즘,72
비싸다,71
디저트,71
촬영,71
왜,71
등,70
개인,69
이름,69
살,68
안되다,68
고민,68
밖,68
점,67
마감,67
망원역,66
블루베리,66
양,66
왼쪽,64
가능하다,64
망고,64
수박,63
난,63
메뉴,63
일요일,63
소개,63
피치,63
등등,62
금방,62
재생,62
인기,62
간,62
화요일,62
찰리,61
살짝,60
올라프,60
취향,60
개월,60
재,60
먼저,60
구입,59
하루,59
포도,59
기준,59
로,59
나중,59
의자,59
지도,59
쪽,58
/,58
덥다,58
약간,58
그램,58
서서,58
맘,58
그람,57
거리,57
예전,56
수제캔디,56
야하다,56
아이,56
은,56
보관,56
음료,56
바나나,56
인스타,56
사이즈,55
함,55
동안,55
패션후르츠,55
편,55
굉장하다,55
가득,55
어디,55
동생,54
시작,54
라임,54
얼굴,53
체리,53
미리,53
준비,53
시즌,53
일단,53
시,52
검색,52
수도,52
블로그,52
브라운,52
골목,51
리뷰,51
아깝다,51
글,51
팔로워,51
어렵다,51
역시,50
친절하다,50
차,50
지하,50
크림,50
벌써,49
물,49
빈티,49
위해,49
발견,48
게시,48
마리,48
산,48
키위,48
근처,48
파인애플,48
은근,48
막,47
첫,47
용량,47
애,47
빵,47
매일,47
사과,47
자세하다,47
모두,47
결제,46
아마,46
포키,46
회사,46
보노보노,46
안내,46
카운터,46
가득하다,45
티라미수,45
움,44
금지,44
택배,44
전문점,44
땐,44
홍대,44
돈,44
님,44
기도,43
유튜브,43
크기,43
기한,43
이상,43
한강,42
편이,42
리,42
강아지,42
항상,42
버스,42
이유,42
과일,42
모든,41
운영,41
식당,41
밉다,41
시바견,41
출구,41
과정,41
편하다,41
밑,41
쿠키,41
유통,41
무슨,40
봉지,40
섭식,40
정기,40
결정,39
자주,39
코,39
