word,count
차,411
있다,302
다도,234
수,154
향,140
녹차,140
맛,137
코스,133
달,133
초록,128
살롱,123
체험,118
티,102
잔,100
홍차,98
좋다,94
다식,90
망원동,90
호점,90
직접,85
찻집,82
황차,82
백차,80
페어,78
것,73
때,72
링,72
우려,69
클래스,65
우리,63
같다,63
다기,62
청차,62
선생님,59
시간,58
와인,56
잎,55
정말,54
하나,54
준비,51
칠완차,49
더,46
맛있다,46
거,44
번,41
그,40
해,39
발효,39
경험,38
종류,38
느낌,38
마지막,37
알,37
찻잎,36
때문,36
생각,35
아니다,34
예약,34
예쁘다,34
다른,34
보이차,33
가지,32
사용,32
진행,32
시작,31
방문,31
다양하다,29
물,29
방법,28
처음,28
길,28
희다,28
전,27
또,27
마포구,27
쌤,27
정로,27
서울,27
없다,27
찻잔,26
층,26
정도,26
가장,25
차로,24
위,24
차갑다,24
마음,24
좋아하다,24
운영,24
이,24
저,24
떡,23
다르다,23
이다,23
초콜릿,23
귀하다,23
부드럽다,23
세,22
시연,21
신기하다,21
습습차,21
중,21
차라,20
특별하다,20
분위기,19
꿀떡,19
서울특별시,19
총,19
위치,19
귀엽다,19
진짜,18
행,18
뜨겁다,18
제대로,18
위해,18
마카,18
보고,18
데이트,18
다음,17
곳,17
사과,17
색,17
볼,17
바로,17
저희,17
입,17
조합,17
제,17
방식,16
구,16
중국,16
많다,16
우롱차,16
진하다,16
오늘,16
사람,16
소스,16
모두,16
어떻다,16
다과,15
얼마나,15
초록달,15
계절,15
윤야미,15
첫,15
모든,15
이렇다,15
달달,15
은은하다,14
웰컴,14
안,14
다도살롱,14
게,14
두,14
곶감,14
후,14
고소하다,14
제공,13
추천,13
인,13
설명,13
한번,13
깔끔하다,13
완차,13
나,13
이용,13
꽃,13
다관,13
양갱,13
눈,13
여행,12
카페,12
이름,12
공간,12
가능하다,12
이색,12
요,12
테이블,12
포,12
전통,12
정성,12
수정과,12
의,12
주신,12
함,12
동안,12
어렵다,12
술떡,12
따뜻하다,12
모습,12
걸,11
디저트,11
버섯,11
매우,11
간장,11
건,11
말,11
주전자,11
미니,11
대한,11
개,11
마시기,11
과일,11
푸드,11
화이트와인,11
음미,11
거리,11
망원역,11
이번,11
대해,11
내,11
이야기,11
분,11
좀,10
계속,10
사진,10
친구,10
굉장하다,10
황실,10
이상,10
말씀,10
날,10
중간,10
듯,10
기억,10
기분,10
구들,10
송화,10
음,10
재미,10
그렇다,10
재밌다,10
배,10
새롭다,10
구입,10
매장,10
따라서,10
순서대로,10
빈,10
제일,9
망리,9
뚜껑,9
기본,9
3호점,9
마무리,9
낼,9
제로,9
모양,9
수제,9
문화,9
온도,9
우전,9
법,9
정갈하다,9
윤,9
조금,9
집,9
투바,9
다송,9
프라이,9
제작,9
인상,9
고급,9
도기,9
색깔,9
별,9
인기,8
수업,8
얘기,8
순간,8
자체,8
도착,8
독특하다,8
난,8
매력,8
다송쌤,8
순서,8
차마,8
판매,8
개완,8
우아하다,8
아주,8
음식,8
도,8
수정,8
여기,8
그냥,8
등,8
뒤,8
데,8
손님,8
모녀,8
속,8
과정,8
높다,7
가루,7
색다르다,7
떫,7
더욱,7
꼭,7
전복장,7
차도,7
감동,7
재미있다,7
흔하다,7
고해,7
차분하다,7
각각,7
매실,7
궁금하다,7
놀,7
미리,7
황색,7
지식,7
하니,7
접,7
끝,7
딸,7
연습,7
습습,7
일반,7
이제,7
차만,7
여리다,7
역사,7
세계,7
우릴,7
주차,7
정보,7
요즘,7
줄,7
진,7
깨,7
열,6
단,6
오렌지,6
전복,6
향기,6
관련,6
입안,6
일본,6
몸,6
힐링,6
고급스럽다,6
풍부하다,6
적,6
소리,6
표현,6
한과,6
다례,6
시중,6
어디,6
못,6
대접,6
차이,6
그릇,6
가격,6
조화,6
전문,6
사실,6
점,6
반갑다,6
여유,6
전문가,6
맑다,6
건물,6
깊다,6
딸기,6
강하다,6
각,6
화이트,6
약제,6
한복,6
은,6
알차다,6
역시,6
넓다,6
왜,6
래미,6
왼쪽,6
꽤,6
외,6
특이하다,6
예절,6
본격,6
즐겁다,6
향배,6
또한,6
빨갛다,6
다시,6
출구,6
우리나라,6
"층
망원동",5
차법,5
조림,5
흑임자,5
편안하다,5
대요,5
외국,5
모래시계,5
여름,5
링해,5
아침,5
구수하다,5
다도체험,5
인테리어,5
우린,5
대만,5
내부,5
전혀,5
차례,5
뭐,5
손,5
확실하다,5
네이버,5
굿바이,5
보통,5
쓴맛,5
이유,5
문의,5
자주,5
조용하다,5
보기,5
마치,5
지도,5
받침,5
물의,5
황후,5
집중,5
경우,5
서도,5
세트,5
식감,5
스럽다,5
퀄리티,5
후기,5
가득,5
관심,5
자리,5
보이,5
완전,5
매일,5
계피,5
이기,5
블렌딩,5
티백,5
여섯,5
도라지,5
퍼포먼스,5
가을,5
간식,5
옆,5
예술,5
빗,5
행복하다,4
수록,4
발달,4
비교,4
보,4
세상,4
별로,4
신선하다,4
용,4
녹찻잎,4
물이,4
자사,4
나무,4
도구,4
샤인,4
네,4
기대,4
습,4
점도,4
과,4
입맛,4
상상,4
빈속,4
근처,4
나라,4
껍질,4
의미,4
먼저,4
만족스럽다,4
중요하다,4
구성,4
법칙,4
가볍다,4
영상,4
머스켓,4
김밥,4
용법,4
연하다,4
다섯,4
빛,4
악,4
상석,4
깨죽,4
온,4
도자기,4
전부,4
아래,4
통해,4
성분,4
및,4
묘,4
컬러,4
비싸다,4
장식,4
지정,4
호,4
무척,4
유지,4
편,4
약과,4
리,4
식사,4
실내,4
를,4
소요,4
대표,4
앞,4
이해,4
특징,4
완,4
황제,4
처,4
팽주,4
어머니,4
유명하다,4
참여,4
거기,4
먹음,3
차고,3
먹기,3
전달,3
전세계,3
오른쪽,3
순,3
로만,3
커피,3
짧다,3
편하다,3
고,3
타임,3
계단,3
쌉싸름하다,3
주소,3
소장,3
모먼트,3
달콤하다,3
차잎,3
지금,3
계시다,3
추억,3
폴링,3
해외,3
용품,3
기도,3
상큼,3
팀,3
괜찮다,3
대화,3
황,3
뿐,3
영어,3
단맛,3
비슷하다,3
유리잔,3
소품,3
소중하다,3
안쪽,3
친절하다,3
싫어하다,3
시기,3
점점,3
망원,3
구경,3
황홀하다,3
샴페인,3
상식,3
하루,3
창가,3
우롱,3
짝꿍,3
소개,3
물씬,3
평소,3
마침,3
수가,3
사이,3
색도,3
손길,3
유산,3
티클래스,3
깊이,3
오래되다,3
추가,3
이쁘다,3
손동작,3
시원하다,3
지리산,3
가운데,3
단순하다,3
대중교통,3
살구,3
울,3
부터,3
누구,3
그동안,3
곱다,3
최고,3
고프다,3
애프터눈티,3
놀래다,3
담백하다,3
복숭아,3
원래,3
달라,3
대가,3
신청,3
금,3
살짝,3
참고,3
두번째,3
날씨,3
입구,3
간단하다,3
작다,3
금방,3
동생,3
선조,3
뜻,3
인사,3
감,3
그대로,3
덕분,3
익숙하다,3
크기,3
아깝다,3
법도,3
야하다,3
쪽,3
코끝,3
완성,3
안되다,3
내면,3
잣,3
맑은,3
등장,3
답,3
화려하다,3
예,3
블랜딩,3
부담,3
컬러풀,3
자,3
건강하다,3
검색,3
러브,3
한국,3
한쪽,3
필수,3
스푼,3
가능,3
영업,3
과자,3
아기자기하다,3
요리,3
항상,3
걱정,3
슬링,3
아름답다,3
들깨,3
부모님,3
약하다,3
깨끗하다,3
준,3
우러,3
효과,3
친,2
피부,2
일곱,2
조명,2
일정하다,2
양송이버섯,2
가득하다,2
머리,2
테크,2
앞전,2
사랑,2
최대한,2
자꾸,2
건데,2
상황,2
프랑스,2
용이,2
통차,2
인생,2
겨울,2
강화,2
대로,2
탄닌,2
아늑하다,2
요기,2
이웃,2
명상,2
톤,2
"층
서울",2
"층
[망원동",2
진심,2
보물,2
삼황,2
순식간,2
영국,2
꿀,2
품명,2
자기,2
색감,2
낮다,2
정답,2
제외,2
안정,2
가공,2
상징,2
실제,2
척,2
구가,2
낭만,2
전시,2
플레이,2
쫀득,2
랄,2
먹듯,2
구도,2
양털,2
탕색,2
따스하다,2
진귀하다,2
수확,2
수용성,2
편이,2
산뜻하다,2
질문,2
다화,2
지은,2
동시,2
엄선,2
품,2
그때,2
후식,2
임,2
한지,2
건잎,2
가깝다,2
차원,2
첨부,2
처럼,2
외관,2
나볼,2
빼곡,2
마마,2
거나,2
진열,2
신선,2
하얗다,2
흥미롭다,2
끼니,2
요소,2
보관,2
원데이,2
스트레스,2
오감,2
란,2
재,2
메뉴,2
나물,2
상처,2
깜짝,2
최대,2
시장,2
마크,2
레몬,2
비,2
주차장,2
주정,2
도보,2
터,2
거래,2
화병,2
옥,2
넉,2
본인,2
타이밍,2
단계,2
팅,2
선배,2
유행,2
음료,2
쉬,2
품종,2
쌉쌀하다,2
수도,2
언제,2
길쭉하다,2
끝맛,2
적당하다,2
한잔,2
만,2
고가,2
공용,2
나이,2
지난,2
마다,2
공부,2
약간,2
주택,2
선물,2
아프다,2
말차,2
지역,2
어느덧다,2
묵직하다,2
손가락,2
포장,2
예정,2
특유,2
열기,2
"다도체험,",2
호로,2
대중,2
방대하다,2
앞서,2
연결하다,2
체크,2
거구,2
초보자,2
우드,2
번만,2
선택,2
값지다,2
당황,2
그라스,2
그린,2
분류,2
향기롭다,2
지고,2
베스트,2
디테,2
샌드위치,2
취향,2
포로,2
근사하다,2
섬세하다,2
리더,2
아쉽다,2
어쩜,2
구매,2
"추천
망원동",2
방해,2
지우펀,2
씁쓸하다,2
리뷰,2
오붓하다,2
여러,2
밤,2
확,2
눈앞,2
성,2
픽,2
봄,2
화장실,2
쏙쏙,2
분말,2
코로,2
에너지,2
깜놀,2
접근,2
기준,2
자마자,2
개국,2
곱,2
모금,2
든든하다,2
차기,2
전화번호,2
붉다,2
주시,2
얼마,2
술,2
포근하다,2
원샷,2
흥미,2
특,2
린다,2
완벽하다,2
화,2
세심,2
은근,2
둘,2
내내,2
용도,2
세라,2
미가,2
글,2
죽,2
뭔가,2
버스,2
예법,2
프로,2
자연,2
명,2
숨,2
연속,2
나머지,2
종이,2
낙엽,2
세번,2
청량하다,2
커버,2
미각,2
합리,2
홀릭,2
한마디,2
남,2
만큼,2
워낙,2
자세하다,2
공차,2
무궁무진,2
찹쌀떡,2
오히려,2
막연하다,2
상대,2
우러나,2
현,2
잡고,2
무조건,2
블랙,2
구별,2
쭈욱,2
일단,2
나름,2
약,2
쯤,2
유익하다,2
에프,2
가세,2
감탄사,2
정리,2
팽주님,2
카카오,2
쌀,2
밖,2
솔솔,2
달리,2
서울시,2
쉽다,2
직원,1
간이,1
갈색,1
미도,1
구색,1
과즙,1
다식	안녕하다,1
부론,1
멍하다,1
데코,1
에피타이저,1
부산스럽다,1
손잡이,1
도로,1
배앓이,1
동양,1
특제,1
일본여행,1
진주,1
스스로,1
일,1
신축,1
진정하다,1
끼리,1
무늬,1
청포도,1
해박,1
즐,1
삼포,1
신비롭다,1
찬물,1
추측,1
아예,1
왕,1
행위예술,1
중식,1
연인,1
보존,1
식이,1
선호,1
꽃잎,1
옹기종기,1
버블티,1
중점,1
용기,1
다양한,1
정원,1
숲,1
확연,1
런칭할,1
이러하다,1
찻집/망원동,1
골목,1
내야,1
수련,1
혹,1
번의,1
티클래스)	토요일,1
오빠,1
광둥성,1
전체,1
겉,1
감히,1
행동,1
백년,1
추출,1
고객,1
흰색,1
정중하다,1
행복,1
남늠,1
좌우,1
침,1
산화,1
금액,1
남아,1
퐈이팅,1
롯,1
성공하다,1
입장,1
어지간하다,1
위엔,1
오물,1
고용,1
밑,1
칠완차코스	망원동,1
복잡하다,1
보시,1
만끽,1
성하다,1
움직,1
"예정",1
속성,1
티팟,1
힘드다,1
떡위,1
배웅,1
엄청나다,1
중요성,1
치,1
지혜,1
랍니,1
부분,1
사이사이,1
역할,1
황금,1
솔직후기	다도,1
보온,1
생선,1
거린,1
'다도살롱,1
보고서,1
맹물,1
동부,1
어린찻잎,1
후기	평소,1
어려움,1
연도,1
왜냐면,1
열도,1
굽이,1
소화,1
장소,1
레이,1
비주,1
경험치,1
부,1
행위,1
완제,1
무겁다,1
오설록,1
특색,1
출출하다,1
하나로,1
생화,1
힘,1
창문,1
설거지,1
인지,1
정확하다,1
조리,1
미처,1
음악,1
오전,1
병,1
궁금증,1
접근성,1
매,1
키포인트,1
기기,1
초콜렛,1
짱,1
오,1
로서,1
핫,1
녹,1
틈,1
일지,1
멀다,1
청색,1
속도,1
창차,1
채,1
부족하다,1
프레,1
감칠맛,1
코스	망원동,1
송,1
틴,1
애프터눈,1
흙,1
효리,1
꽃들이,1
풋풋하다,1
쏙,1
바람,1
생기,1
극락,1
혀,1
열전도,1
환상,1
빠져듭니,1
안개꽃,1
안녕하다,1
