word,count
메,22
부동산,21
커피,19
대박,14
마포구,13
시민,13
원점,13
마포,13
-,12
최고,7
서교동,7
메가커피,7
합정동,7
마포시민공원점	망원동,7
주변,7
대의,7
일대,7
망원동,7
홍대,7
대박부동산,7
딸기,6
아메리카노,6
층,6
망,6
서울특별시,6
라떼,5
초코,5
"연락
망원동",5
카페라떼,5
민트,5
좋다,5
오픈,4
퐁,3
크러쉬,3
정말,3
저렴하다,3
아이스,3
이드,3
주신,2
메뉴,2
카노,2
이틀,2
고객,2
할인,2
크림초코,1
체육,1
이스트,1
깊다,1
금,1
프라,1
텀블러,1
마포시민공원점,1
"커피
망원동",1
2022.4,1
잔,1
2022.5,1
아이스아메리카노-,1
제로,1
역시,1
"연락
[망원동카페]메가커피",1
친절하다,1
공사,1
프로,1
꺄륵,1
요새,1
크림,1
"0	1
title	[]
망원동",1
플레인,1
즘트,1
민트초코프라페,1
나,1
바나나,1
실화,1
시작,1
메뉴(입간판,1
맛,1
페,1
목,1
일부,1
종료,1
웨,1
응,1
원래,1
연락,1
요,1
50%할인,1
행사,1
민초,1
수,1
도,1
2022.3,1
유수지,1
2022.8,1
자마자,1
새롭다,1
인테리어,1
ㅋ_ㅋ가격,1
2022.1,1
공원,1
가구,1
2022.7,1
아래쪽,1
2022.9,1
부탁드리다,1
시대,1
때,1
추가)	망원,1
있다,1
음료,1
냄새,1
맛있다,1
실천,1
옆,1
눈,1
선물,1
