word,count
층,1513
호,751
경기도,524
커피,485
서울특별시,467
길,458
점,442
로,433
카페,355
번길,289
부호,150
인천광역시,135
충청남도,97
컴,94
포즈,94
일부,93
메,86
빌딩,83
중앙,82
엠,81
지상,79
더,77
지씨,74
프라자,73
경상남도,71
지하,71
대구광역시,68
타워,68
충청북도,66
부산광역시,66
경상북도,63
중구,59
화성시,55
고양시,53
제주,52
광역시,51
강남구,50
마포구,50
전라남도,49
전라북도,48
서구,48
센터,46
남구,45
다방,45
프레,44
스,44
가동,44
강원도,43
특별자치도,43
광주,42
상,40
제,40
아파트,39
동탄,39
성남시,39
송파구,38
대전광역시,38
빽,38
연수구,38
티,37
북구,36
매머드,36
익스,36
디저트,35
인천,35
천안시,34
강서구,34
신상,34
구,33
단지,33
청주시,32
평택시,32
미추홀,32
수원시,31
상가,30
제주시,30
남양주시,30
마을,29
주,29
센트럴,28
용인시,28
롯데,27
역점,27
송도,26
시티,26
차,26
부천시,26
영등포구,25
송도동,25
세종,25
용산구,23
읍,22
파주시,22
스타,21
안양시,21
스타벅스,21
분당구,21
울산,20
관악구,20
시설,20
광장,20
일산동구,20
일산서구,20
전주시,20
동점,20
서북구,20
원점,19
김포,19
동구,19
강동구,19
이디야,19
하우스,18
홀,18
김포시,18
하이,18
평택,18
마,18
가산,18
고산,18
금천구,18
앤,17
창원시,17
안산시,17
특별자치시,17
성동구,17
종로구,17
성북구,17
한강,16
순환로,16
리터,16
일산,16
월드,16
부평구,16
노원구,16
스퀘어,16
리,16
아산시,16
서초구,16
파크,16
중랑구,15
국제,15
밉다,15
체육,15
첨단,15
고덕,15
주안동,15
덕,15
산업,15
양천구,14
린,14
봉덕동,14
이천시,14
도봉구,14
동안구,14
생활,14
문정동,14
양주시,14
서대문구,14
나,14
장점,13
서귀포시,13
포항시,13
부산진구,13
처인구,13
김해시,13
남부,13
번,13
투썸플레이스,13
타운,13
덕양구,13
강서,13
포천시,13
흥덕구,13
상동,13
광진구,13
중동,13
동남구,13
움,13
동작구,13
권선구,13
군산시,13
완산구,13
광주시,13
스카이,13
현대,12
북로,12
순천시,12
군포시,12
달,12
이마트,12
시흥시,12
안길,12
캐슬,12
구미시,12
제이,12
킨텍스,12
종합,12
코,12
구로구,12
부,12
에이,12
삼성,12
퍼센트,12
영통구,12
신림동,12
바,12
텐,12
원주시,11
일동,11
마이,11
호점,11
고양,11
하남시,11
지점,11
센텀,11
제천시,11
있다,11
남산,11
구민,11
봉명동,11
건축물,11
포레,11
병원,11
이동,11
공원,11
베,11
푸르지오,11
방화동,11
한국,11
단원구,11
디,11
금호,10
에스,10
미사,10
호계동,10
캠퍼스,10
주소,10
까페,10
힐스,10
관,10
수성구,10
산,10
이크,10
수정구,10
대구,10
시흥,10
광명시,10
디지털,10
베이글,10
의정부시,10
랩,10
경인로,10
연수,10
대치동,10
진주시,10
가산동,10
블루,10
네이버,10
효자동,10
드림,10
곡동,10
대화동,10
효,10
대전,9
주식회사,9
상계동,9
용,9
여주시,9
올림픽로,9
리버,9
천동,9
충주시,9
명,9
부산,9
리스,9
케이크,9
하늘,9
비,9
화성,9
전체,9
트,9
목포시,9
역삼동,9
장항동,9
동일로,9
편,9
파주,9
경원대로,9
군포,9
금곡동,9
남,9
광산구,9
창,9
망,9
서로,8
과천,8
그린,8
정동,8
구로동,8
베이커리,8
드,8
청라,8
목동,8
연남동,8
중원구,8
