word,count
빵,2031
있다,1456
바게트,1317
블,1066
제리코,1060
맛있다,953
망원동,814
빵집,749
맛,636
버터,576
바질,513
것,487
같다,451
좋다,397
치즈,382
크로와상,382
샌드위치,365
크림,360
곳,359
맛집,349
없다,339
달인,332
많다,319
크루아상,317
마포구,313
좋아하다,309
로,296
집,295
크런치,293
안,280
수,274
아니다,268
식빵,267
서울특별시,267
때,266
종류,264
더,255
진짜,247
상,242
인절미,237
저,236
바삭,221
유명하다,221
이,220
스콘,215
베이커리,213
소금,210
여기,201
정말,201
제,199
희다,198
생각,198
방문,196
하나,195
이다,194
망원,190
다음,175
거,174
개,173
시간,172
내,172
메뉴,169
추천,168
사진,164
바로,161
그렇다,160
생활,159
커피,158
크라상,158
포장,157
나,155
사람,154
좀,152
정로,150
그,150
꼭,150
정도,144
그냥,143
구매,140
날,138
가격,138
오늘,135
빨미까레,134
얼그레이,134
초코,134
또,133
전,132
느낌,124
중,121
길,120
한강,119
다양하다,119
카페,119
서울,118
겉,117
은,117
베이글,117
테이블,112
어,110
요,110
번,110
달달,110
다른,110
고소하다,109
블루베리,108
향,107
글리,107
듯,103
분,101
가게,96
매장,95
친구,93
보고,91
사실,90
판매,90
햄,89
위치,88
페스,87
한번,86
매일,85
역시,85
말,85
밉다,84
부드럽다,83
먹기,83
입,83
기본,82
진열,82
팥,82
아쉽다,82
때문,81
함,81
위,80
밤,80
등,79
딸기,78
내부,78
생활의달인,77
처음,76
조금,76
이렇다,76
속,75
걸,75
별로,75
요즘,74
망,74
간판,73
주문,73
근처,73
의,72
마감,72
아주,72
가지,71
제일,70
순례,70
해,70
소개,70
블랑제리코팡,70
게,69
궁금하다,69
음료,69
우유,68
식감,68
프랑스,67
눈,67
후기,66
가면,66
고민,66
잠봉뵈르,66
이름,65
작다,65
공원,65
조합,64
완전,64
투어,63
다시,63
편,63
잼,63
산,63
층,63
영업,62
후,62
살짝,61
계속,61
브라우니,61
편이,60
앞,60
말차,59
개인,59
예쁘다,59
줄,59
케이크,58
담백하다,57
촉촉하다,57
도,57
녹차,57
뭐,57
빨,56
브리,55
크기,55
왜,55
토,55
알,55
귀엽다,55
재료,54
시장,54
우리,54
딱딱하다,53
사서,53
계산,53
꽤,52
파운드,51
생크림,51
자리,51
치즈볼,51
아몬드,50
못,50
가득,50
진시,49
아침,49
구경,49
오픈,49
공간,49
옆,49
사용,48
가장,48
거리,48
망원역,48
떡,48
맘모스,47
오쉬,47
일단,47
구입,47
얼,47
적당하다,47
만,47
인기,46
보,46
동네,46
사,46
퀴니,46
포스팅,45
볼,44
홀,44
자주,44
반,44
주말,44
약간,44
