title,content
한남동 슬링스톤 타노스도 갖지 못한 여섯 번째 스톤,"한남동 슬링스톤 SLING STONE 한남동 카페 한남동 커피 한남동 디저트 내돈내산 후기💸 영업시간 평일 11:00 ~ 18:00 주말 10:30 ~ 18:00 브레이크 타임 x 비 소식으로 인해 미리 계획해둔 카페를 갈 수 없게 된 J들... 그렇게 정처 없이 한남동을 거닐다가 외관부터 호기심이 생기게 만드는 카페를 발견하여 급히 아아 수혈을 위해 들린 곳! Next image 내부에 들어서니 테이블 위에 천? 소재?들이 있었고 그것들을 급히 치우시면서 자리를 안내해 주셨다. 알고 보니 사장님께서는 디자이너셨고 카페에서도 옷을 다듬는 것 같았다! (손님이 안 계실 땐 빈 테이블을 이용하시는 듯!) 메뉴판 is so simple. 📃 사장님께서 바리스타 분들은 모두 모델이라고 하셨다. (신기방기 모두 친절하심!) 우리는 아이스 아메리카노만 주문! Next image 커피를 기다리는 동안 저절로 주위를 구경하게 된다. 내부는 테이블도 많으며 넓었고 테이블이 다리미 판인 것이 꽤나 힙했다. 오에프알과 앤트러사이트가 생각나는 건 나뿐인가..?🤔 Next image 아이스 아메리카노 5.0 커피는 직접 테이블로 가져다주신다! (너무 가득 주셔서 나란 사람 결국 흘림ㅎ) 맛은 탄 맛과 쓴 맛이 강해서 호불호가 갈릴 것 같다! 스타벅스보다도 훨씬 강했다! 오히려 반 정도 마셨을 즘 얼음이 녹으니 그때가 더 맛이 괜찮다고 느껴졌음 Next image 벽에 걸려있는 런웨이? 화보? 사진들의 옷들은 모두 사장님의 작품이라고 하신다. 커피를 마시러 갔지만 전시를 보고 온 느낌 🤭 한 번쯤 가보는 것을 추천! https://www.instagram.com/slingstone_coffee/?igshid=MmJiY2I4NDBkZg%3D%3D Slingstone_Coffee(@slingstone_coffee) • Instagram 사진 및 동영상 팔로워 115명, 팔로잉 102명, 게시물 17개 - Slingstone_Coffee(@slingstone_coffee)님의 Instagram 사진 및 동영상 보기 www.instagram.com 50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 한남동 슬링스톤 타노스도 갖지 못한 여섯 번째 스톤"
"한남동, 한강진 카페__슬링스톤(SLING STONE)","한남동엔 카페, 맛집뿐만 아니라 쇼룸도 많아서 좋아하는데요! 걷다가 외관보고 오잉?이런데가 있었나? 하고 들어갔었던 카페를 포스팅 해볼게요〰️ 곧 5월을 앞두고 3월말에 방문했던 공간소개 히힣 50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 🔔영업시간| 11:00-17:30 외관 및 내부 벽돌건물이 눈을 사로잡는 외관이에요 무심하게 꾸며놓은것 같은 힙한 너낌ㅎㅎㅎ 문열면 정면에 보이는 액자구요 좁은듯 하지만 생각보다 테이블 수가 많은 느낌?이에요 벽도 부셔놓은 것 같은 거친 느낌의 인테리어 좋아요🩶 거친 인테리어 안에 꽃들이 놓여져 있는게 반전ㅋㅋㅋㅋ 거의 테이블마다 화병이 있더라구요 진짜 좋아💜🩷 카운터쪽에 붙어있는 ‘슬링스톤 갤러리’ 사장님께서 박종철 디자이너신건가,,,?!!?! 패션커피,, 정확히 모르겠지만 일반카페가 아닌 것 같았어요..!!!! 메뉴 및 가격 한 눈에 보기 좋게 메뉴판이 깔-꼼 핸드메이드 구움과자들이 준비되어 있구용 애초에 까눌레 종류는 하나인데, 제가 겉으로만 보고 초코까눌레라고 주문했다가 머쓱한 상황이 왔었죸ㅋㅋㅋ 아 우리 테이블에 놓여져있던 보라꽃 너무 예뻐🥹 꾸움과자들이 다 개별포장 상태여서 깔끔하고 편해요 빵도 빵이지만 커피가 맛있었어요!!! 저는 라떼를 잘 안먹어서 모르겠지만 라떼가 맛있다고들 하시니 다음에 다시 방문해봐야겠어요ㅎㅋㅎㅋ 메뉴 읊어놨을 뿐인데 느낌있는 창문ㅋㅋㅋㅋㅋㅋㅋㅋ 💜🩷💜🩷💜 화창하고 파란 하늘과 벚꽃이었던-🌸🩵💙 이 날이 제 생일이었네요〰️✨ 이번 생일은 슬프다는 생각에 사로잡혔지만 그럼에도 불구하고! 함께 있어주고 축하해준 모든 사람들에게 너무너무 고마웠던 2023 생일이었습니다 헤헤🩷 암튼 슬링스톤 추천추천!!! 메뉴도 깔끔 인테리어도 깔끔 조만간 또 가야겠숴요~~!! #한남동카페 #한강진카페 #슬링스톤"
한남동 카페 추천 슬링스톤,"안녕하세요~! 꼼꼬미 입니당 ◡̎ 친구들과 리틀넥한남점에서 배 터지게 먹고 바로 시원한 커피!!!! 날씨가 더우니까 너무 생각나더라구요!! [한남] 용산구 맛집 리틀넥 한남점 메뉴 추천 웨이팅 후기 안녕하세요~! 꼼꼬미 입니당 ◡̎ 오늘은 아주아주 오랜만에 고등학교 3학년때 친구들을 만나기로 했습니다... m.blog.naver.com 무조건 리틀넥한남점에서 제일 가까운 한남동카페를 찾았어요!! 커피한잔하러 리틀넥 한남점에서 도보 2분거리에 있는 슬링스톤 카페로 고고~! 슬링스톤 ➜ 위치 : 용산구 한남대로27길 31 1층 ( 한강진역 3번 출구에서 도보 7분 ) ➜ Tel : 02-517-8158 ➜ 영업시간 : 매일 10:00 ~ 19:00 리틀넥 한남점에서 그냥 쭈우욱 직진 2분정도 하면 바로 보이는 갈색 벽돌 건물!! 진짜 리틀넥에서 제일 가까운 한남동 카페일듯? 진짜 멀리서도 바로 보이는 갈색 건물 눈에 띄어서 금방 찾으실 수 있어요!! 한남동 카페 슬링스톤 내부로 들어오면 벽들이 다 돌벽(?) 그리고 전체적인 인테리어도 검은색 회색 조금 어두운 느낌이더라구요! 슬링스톤 안에 매장도 넓고 테이블도 많고 무엇보다 들어가자마자 너무 시원했어요!! 시원한 한남동 카페 찾으시면 슬링스톤 추천드려요! 슬링스톤 메뉴판 슬링스톤에는 여러 커피들과 논커피 티 디저트 들을 팔더라구요! 슬링스톤 라떼 6,500원 아메리카노 5,000원 카페라떼 5,500원 아인슈페너 6,500원 아몬드 크림 라떼 6,800원 말차 라떼 6,000원 로얄 밀크티 6,500원 조금 아쉬웠던 점은 스무디 같이 얼음 갈린 음료들은 안팔더라구요!🥲 그리고 핸드메이드 디저트도 팔아요! 진짜 손수 만드시고 포장했더라구요! 한남동카페치고 아주 저렴하쥬? 르뱅 쿠키 4,000원 까눌레 3,800원 휘낭시에 3,000원 브라우니 3,000원 저희는 아이스 아메리카노 5,000원 1개 와 슬링스톤 라떼 6,500원 3개를 주문했어요! 리틀넥 한남점에서 배터지게 먹고 와서 디저트는 도저히 못 먹겠더라고요..🥲 양심..ㅎ 돌리고 돌리고~~ 저는 슬링스톤 라테를 시켜서 아래 우유와 샷을 돌리고~~~ 달달하니 맛나더라구요!! 근데 뭐 특색 있진 않고 그냥 달달한 라떼..? 친구들이랑 시원한 슬링스톤에서 달달한 커피 먹으면서 재밌게 떠들고 하던 중 뜬금없이 천장에 키가 걸려있더라구요! 하나의 인테리어겠져..? 크크 갑자기 친구가 옆에서 꼼지락 꼼지락거리더니 커피 안에 반지가 들어있다고!!!! 읭?!!!!?!!!! 하고 보니까 얼음ㅋㅋㅋㅋㅋㅋ 아니 또 얼음을 손가락에 낀게 진짜 너무 웃기더라구요🤣 사진으로 보니까 그럴듯하네요..ㅋㅋㅋㅋ 보니까 슬링스톤 내부 곳곳에 액자들이 많더라구요!! 한남동 카페에 갤러리와 커피를 같이 파는곳이 있었군 저희 옆에는 어떤 인물 사진이 있었는데 그분이 박종철(?)씨 인가요..? ㅎ 진짜 너무너무 더운 날씨에 한남동 카페 슬링스톤! 추천드립니다🖤 읽어주셔서 감사합니다♥ 50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층"
한남동 차분한 분위기의 갤러리 카페 슬링스톤,"한남동 차분한 분위기의 갤러리 카페 슬링스톤 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 월화수목금 10:00~ 19:00 토일 10:00~ 21:00 한남동 조용한 주택가들이 모여 있는곳에 오픈을 한 차분하고 시크한 분위기의 갤러리카페 슬링스톤 SLINGSTONE COFFEE 입구 한남동을 요 근래 어쩌다보니 자주 오게 됬는데, 올때마다 새로운 카페 신상 카페 오늘은 또 이렇게 차분하면서도 시크한 분위기를 주는 카페 슬링스톤을 방문 오래되보이는 붉은색의 큰 건물 1층에 위치해 있는 슬링스톤 한남동 메인거리보다는 나인원 한남에서 조금 더 가까운 거리에 위치해 있으며 근처에 33아파트먼트 라는 유명한 카페도 바로 있어서 겸사겸사 방문하기좋을듯한 슬링스톤 메뉴판 오랜만에 아포가토를 다루는 카페를 방문했어서 괜스레 반가운 마음, 다만 아포가토를 먹진 않았지만요 간단한 티 종류와 커피들 그리고 디저트들 정말 간단한 메뉴구성으로 오픈을 한 슬링스톤, 그래도 뭔가 딱 봤을때부터 커피 맛집 분위기가 난다고 아메리카노 같은 경우에는 다크한 원두와 산미가 강한 원두 2가지와 디카페인까지 준비가 되어 있어서 카페인을 못 즐기시는분이라도 커피를 드실 수 있는 곳:D 아메리카노 산미 아이스 라떼 핫 휘낭시에 직원분들의 공간 무채색의 깔끔하고 시크한 분위기가 느껴지는 공간, 이렇게 시크한 분위기에 우드 트레이와 컵이 보이길래 뜬금이 조금은 없던 느낌이지만 그래도 뭐 이쁘잖아 내부 실버와 우드의 조합으로 꾸며진 내부 공간, 직원분들의 공간에 있던 우드 트레이를 봤을땐 읭을 했지만 이렇게 내부에 깔끔하고 모던한 우드 좌석들이 있으니 확실히 분위기가 또 사는 느낌이었다. 벽과 천장은 콘크리트로 낡은 느낌이지만, 좌석들은 세련된 스틸과 따스한 느낌을 주는 우드 라니 조금은 복잡한 느낌의 내부 인테리어인데 꽤나 잘 어울리는 느낌이 들기도 하고 아무쪼록 뭔 느낌인지 잘 모르지만 결론은 이쁘다고 느껴졌던거 좌석들도 생각보다 많이 배치가 되어 있었고, 슬링스톤 카페가 들어오기전에는 주택으로 일반 가정집으로 운영이 된거 같기도 한 내부의 구조 였다. 방 한 곳중에 있는 마네킹인데, 우리가 첫 손님일거라 생각은 했지만 아니었나 라고 생각하며 정말 놀랬던 마네킹 ㅋㅋㅋ 보다보니 은근히 무서운 느낌도 있고 시조새 같은 아이와 같이 서 있는 여성 마네킹 태극기 느낌이 나는 코트를 입고 까만 모자를 쓴게 아주, 슬링스톤은 카페로도 운영이 되고 있지만, 벽벽마다 갤러리에서 볼법한 그림들과 작품들도 꽤나 보였다. 요즘 같이 커피와 음료만 파는것이 아닌 볼거리도 제공을 해주는 공간 테라스 내부의 공간을 보다 테라스 공간을 봤는데, 뭔가 귀여웠던 느낌 딱 두좌석이 덩그러니 놓여있는게 이상한 포인트에서 가끔 웃고 귀여움을 느낄때가 있죠, 사람이란 라떼, 아메리카노, 휘낭시에 휘낭시에는 너무 맛있어서 정말 더 먹고 싶었던, 밥 먹을거 아녔으면 하나 사가고 싶었다 직접 구우시는거 같진 않았지만 휘낭시에 맛난곳에서 가져오시는거 같애 라떼 같은 경우에는 카페들마다 저온 스팀을 하는곳이 종종 있는데, 저온으로 라떼를 다루는 곳인거 같았다 ( 아니면 말구 ) 뜨겁지 않게 바로 마시기 좋게, 따수운걸 좋아하지만 이건 취향차이인걸 라떼 아트 너무 이쁘게 해주셔서 오랜만에 개거품 없는 퐁신퐁신해 보이는 라떼"
"[한남동카페] 한남, ‘슬링스톤’","따스한 구옥개조와 내부 반전의 모던미, “슬링스톤” 50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 위치: 서울 용산구 한남대로27길 31 1층 영업시간: 월-금 10:00~19:00, 토-일 10:00~21:00 구옥의 외관과 반전인 내부 실버 감성을 가진 슬링스톤 메뉴판은 다음과 같습니다. 기본 커피류에 간단한 디저트를 파는 커피 맛집의 포스네요 언제 갈까? 영감이 떠오르지 않아 태초의 원시적인 느낌의 공간을 찾고 싶을 때 벽돌마감처리랑 깨진 벽으로 공간 구분을 한 점이 약간 미술관 감성이네요 벽에 멋진 모델들 그림이 있고 메탈 의자가 있으니 갤러리 같기도 하네요 우드톤의 테이블은 따스한 느낌을 주네요 벽에 걸린 사진들이 무드가 넘치네요 요즘 스타일인가 커알못의 커피평 은은하고 부드러운 바닐라의 향을 가진 맛 은은한 바닐라 맛이 입가에 맴도는 맛이었습니다. 가격도 착한 편이구요 오우 사람인줄! 마네킹에 모델 그림들을 보니 사장님이 모델과 관련이 있는거 같기도 한 것 같은 추측이 되네요 이상 한남동의 신상카페 슬링스톤이었습니다"
한남동 카페 추천 조용하고 분위기 좋은 슬링스톤,"슬링스톤 서울 용산구 한남대로27길 31 1층 이용시간 : 11:00~18:00 가격 : 아메리카노 5,000원 주차 : 불가능 이태원에서 약속이 있었는데 급하게 일처리를 해야되서 노트북을 켜야되는 상황ㅠ 한강진역에서 내리긴 했는데 카페를 어딜 들어갈까 하다가 찾아본 슬링스톤! 50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 한강진역에서 가까운 카페 중 제일 분위기 좋아보였습니다 되게 오래된 벽돌건물의 1층에 위치했어요 슬링스톤 커피! 그리고 분위기 좋아보이는 야외 테이블 하나 내부 분위기는 이런식이고 너무 과하지 않으면서도 깔끔해서 미팅하는 분들도 많이 보이고 저처럼 잠깐 조용한 공간이 필요한 분들에게도 좋아보였어요 커피도 안나왔는데 냅다 노트북부터 켜 죄송했습니다...ㅋㅋㅋㅋㅋ 여튼 주문한 커피 등장 깔끔하고 조용한 카페로 추천! 그리고 화장실도 매장 안에 있는데 깔끔하게 관리가 잘 되서 좋았습니다 가격 ★★★★ 분위기 ★★★★ 친절 ★★★★★"
"한강진역, 한남동 카페_슬링스톤","50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 한남대로27길 31 1층 -영업시간 : 평일 10:00-19:00 주말 10:00-21:00 -6호선 한강진역 도보 5분 -근처 버스정류장 '한남동주민센터' : 400,405 등 -제로페이, 네이버페이 -단체석, 무선인터넷 전시회를 보고 어느 카페를 갈까 고민하는데 마음에 드는 카페들은 이미 만석인 한남동의 주말,, 자리 있는 곳 가자 하고 다녀온 ‘슬링스톤’ 입구가 벽돌로 되어 있고 뭔가 되게 힙해보여서 들어가보았습니당 (그치만 입구에 더 힙한 손님 계셔서 입구 사진 못찍음,,) 내부는 생각보다 넓더라구요? 사진찍은 곳 반대쪽에도 비슷한 공간이 있어요 메뉴입니다 기본 커피들과 디저트도 있네요! 저희는 당이 너무 필요했기에 커피와 디저트를 시켜보았습니당 인테리어는 쏘 심플하고 노출콘크리트 카페라고 하나요? 그 갬성이 있어요 주문한 아바라와 아메리카노 그리고 쿠키가 나왔어요 커피 맛은 괜춘 ! 좌석이 편하지는 않지만 그래도 공간이 꽤 넓은편이고 커피 맛도 괜찮습니당 ㅎㅎㅎ 신상 카페 같은데 사람이 많아서 내부를 못찍은게 아쉽... 여튼 잘마시고 잘쉬다 갑니당 :)"
[한강진] 한남동 카페 슬링스톤 내돈내산,"발렌타인 팝업스토어를 갔다가 한남동까지 왔으니 한남동에 있는 예쁜 카페에도 가봤다. 원래 마일스톤을 가려고 했는데 평일 낮 3세인데 웨이ㅌ.....ㅣ....ㅇ...... 근처에 다른 느낌좋은 카페를 검색하고 검색하다가 발견한 슬링스톤!!!! 후기도 몇개 없길래 내가 냉큼 방문하고 직접 후기도 쓸라고 다녀와봤다. 해있을 때 방문하고 수다떨다가 해지고 나옴 ㅎㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래서 입구 샷은 해가 진 후의 사진 다른 후기들 보니까 뭔가 쇼룸이나 갤러리 카페 같다고 하는데 이렇게 보니 그말맞말 요즘 저런 통창이 참 좋드라구 슬링스톤의 메뉴판 한남동치고 가격은 저렴한 편인듯? 메뉴가 엄청 많지는 않지만 있을 건 다 있다~ 나는 언제나 그렇듯 아이스아메지만ㅋㅋ 아메리카노는 원두를 산미있는 것과 고소한 것 중에 고를 수 있다. 난 산미싫어서 고소한 맛으루 이거시 해가 지기 전 찍은 사진ㅋㅋㅋㅋ 공간이 너무 다 예쁨 테이블 갯수도 6-8개정도 되어서 엄청 작은 카페도 아니다 우리는 6명이 방문해서 단체석에 앉았다. 테이블과 의자의 높이가 같지만 그래도 이정도면 숙일 정도는 아니라 적당히 괜찮았음 개인적으로 테이블이 너무 낮은건 안좋아함 ㅠㅠ 불편해오,,,,,, 셀프바도 준비되어 있고 아 화장실을 못찍었느데 젤 안쪽에 카페 내부 화장실도 있다. 그리고 콘센트도 있음!! 나같은 배터리 없는 자들에게 중요한 콘센트ㅋㅋㅋ 앉은 곳에서 바라본 카페 내부 벽 뚫린 것도 느낌있자나~~~ 적당한 크기의 아메리카노 사장님이 서비스로 주신 쿠키들! 잘먹었습니당ㅎㅎ 야호 한강진역에서 거리는 좀 있지만 고메이 494 한남에서는 5분거리에 위치한 곳 한남동에서 조용하고 느낌있는 카페를 찾는다면 슬링스톤 카페를 방문해보길 아 근데 한남동은 왜 다 영업시간이 짧은거람 슬링스톤은 19시까지 영업이니 참고하시길 ㅠ"
[한남동 카페 슬링스톤]/스튜디오 온 듯 멋스러운 용산역 인근 감성카페입니다.,슬링스톤 용산구 한남대로 27길 31 t.0507-1338-8158 11:30 ~ 15:30 뮤지컬 [영웅] 관람전 시간이 남아 찾은 카페 한남동에 위치한 감성카페 [슬링스톤] 커피 맛도 좋았던 방문 후기 올려봅니다. #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 한남동 한남타워아파트 앞쪽에 있는 오랜건물 1층에 위치한 작은 카페다 우리도 지나다 우연히 방문 스튜디오 같은 감성 있는 내부 인테리어에 반함 작지만 구석구석이 다 포토존 반겨주는 들꽃들이 멋스럽고 감성적이다. 너무 이뻐 한 컷! #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 일단 메뉴 보고 주문 후 앉아있을 틈 없이 사직 찍기 바쁨 내 사진을 이리 많이 찍었던 적이 언제 쩍인지.. 옛날로 돌아간 느낌에 시진 찍기에 심취 #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 간단한 디저트들도 준비되어 있다. #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 옛 양옥집을 리모델링한 느낌 시멘트의 차가운 느낌에 따뜻한 조명이 어우러진다. 카페인지.. 스튜디오인지.. #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 음료 한 잔 마시며 다시ㅣ 촬영 ㅋㅋ 커피 맛도 좋다. 아! 이곳은 카페였지.. #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 공연 전까지 신나게 수다 떨며 놀다 온 감성카페 [슬링스톤] 잘 놀다 갑니다. ~~^^ #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 #한남동카페#한남동슬링스톤#용산역카페#용산슬링스톤#경리단길카페#용산커피맛집#서울타워커피맛집#서울타워인근카페 용산구 한남동 카페 슬링스톤 분위기 좋은 곳 차 한잔하시러 오세요 추천합니다. ☆ 찾아가시는 길 ☆ 50m © NAVER Corp. 슬링스톤 서울특별시 용산구 한남대로27길 31 1층 #한남동카페 #한남동슬링스톤 #용산역카페 #용산슬링스톤 #경리단길카페 #용산커피맛집 #서울타워커피맛집 #서울타워인근카페
한남동카페 : 슬링스톤 커피,"안녕하세요 혜뽀입니당 ㅎㅎ 오늘은 한남동 카페 슬링스톤 커피를 다녀왔어요 길 걷다 우연히 발견했는데 넓고 쾌적해보여 들어갔어요 한남동 슬링스톤 📍위치: 서울 용산구 한남대로27길 31 1층 ✔️ 문의: 0507-1338-8158 ✔️영업시간: 월~일 11:30~17:30 ✔️주차: 주차가능 50m © NAVER Corp. 슬링스톤 인베스트먼트 서울특별시 마포구 성미산로29안길 7 한강진역 3번출구에서 나인원한남쪽으로 300미터정도 걸으면 나와요 저는 금요일4시쯤 방문하였어요 오후5:30까지 밖에 영업을 안하니 낮에 가는걸 추천드려요 웨이팅은 없었습니당! 아마 영업시간이 끝나고 주차가 안될땐 저 주차금지 표지판을 세워두는것같았어요 한남동카페 슬링스톤 메뉴판입니다 커피종류는 에스프레소,아메리카노,디카페인아메리카노,카페라떼, 플랫화이트,바닐라라떼,아포카토,아인슈페너,아몬드크림라떼가 있고 논커피는 말차라떼, 더블초코라떼,노슈가애플쥬스! 티종류는 진저레몬그린티,얼그레이티,로얄밀크티가 있어요 디저트도 몇개있었는데 르뱅쿠키,까눌레,휘낭시에,브라우니가 있어요 르뱅쿠키가 맛있는지 다 나가고 딱 한개 남아있었어요 저는 커피를 별로 좋아하지않아 로얄 밀크티를 주문했답니당 인터넷에보니 슬링스톤 밀크티가 넘나 맛있단 글이있길래!! 분위기는 차분하고 힙한 분위기에요~! 사장님이 모델이신지..?곳곳에 패션관련 포스터와 책자가있었어요 테이블도 우드톤으로 가게 전체 분위기와 잘 어울러졌어요 시끄러운 분위기는 아니고 조용해서 평일에 가끔 작업하러와도 괜찮을것같아요! 거울옆에는 특이한 테이블이있어요 보드인가..?뭔가 기성제품 테이블은아니고 직접 만든 테이블같아보였어요 자리가 쬐끔 불편해 다른 테이블로 옮겼답니당~ 저는 밀크티 친구는 아이스 아메리카노를 시켰어요! 밀크티는 진하구 맛있었어요! 아메리카노는 원두를 2가지중 하나 고를수가있어욤 우드우드 테이블이랑 맞게 트레이도 우드라 이뻤어용 바 테이블 왼쪽에 내부화장실도 있답니다 화장실은 남녀공용이에요~! 수압이 약한거같으니 휴지는 꼭휴지통에!!!! 이상 한남동 카페 슬링스톤 방문기 였습니당~"
