word,count
카이,117
막,100
빵,70
터키,62
쿠키,49
이태원,42
알페,35
맛집,32
디저트,25
세트,23
꿀,21
이태원로,21
사진,20
티,20
치즈,16
크림,16
미트,16
느낌,14
천상,14
초코,13
바클라바,13
저희,13
피스타치오,12
보고,12
분위기,12
용,12
오늘,12
우유,12
튀르키예,11
바,11
베이커리,11
그냥,11
정말,11
알페도,11
줄,11
좀,10
바닐라,10
번,10
생각,10
엄마,10
궁금하다,10
아메리카노,9
치킨,9
굉장하다,9
여기,9
사람,9
고소하다,9
다양하다,9
건,9
팅,9
포장,8
바로,8
정도,8
음료,8
이태원역,8
걸,8
처음,8
자리,8
발라,8
부드럽다,8
오렌지,7
나들이,7
음식,7
도,7
그렇다,7
잔,7
웨이,7
근처,7
앞,7
카이막,7
다른,7
종류,7
딸기,7
백종원,7
젤라또,7
구경,7
파스타,7
이제,7
우리,7
지방,6
보렉,6
방문,6
꽤,6
한번,6
거의,6
위치,6
달달,6
롤,6
하나,6
눈,6
에스프레소,6
느끼하다,6
통닭,6
위,6
명란,6
웨이팅,6
버터,6
매일,6
가지,6
시식,6
레몬,6
출구,6
리틀,5
올리브,5
바게트,5
아몬드,5
너,5
작다,5
잼,5
애플,5
이렇다,5
얼,5
추가,5
아이스크림,5
직원,5
먹기,5
계속,5
김치,5
생크림,5
전,5
뭐,5
아이스,5
양,5
사실,5
민트,5
넥,5
블랙,5
유명하다,5
소문,4
방송,4
구매,4
리뷰,4
식감,4
중,4
키,4
완전,4
농축,4
함,4
가격,4
케이크,4
검색,4
주차장,4
물소,4
극찬,4
판매,4
만,4
귀엽다,4
약간,4
라떼,4
다음,4
타일,4
도리,4
언니,4
팬케이크,4
버섯,4
평범하다,4
이름,4
동료,4
아저씨,4
편,4
인테리어,4
날,4
버거,4
가능하다,4
현지,4
퀴즈,4
사장,4
아보카도,4
메뉴판,4
어떻다,4
일단,4
깨,4
행복하다,3
케밥,3
다르다,3
여,3
선택,3
블로그,3
별로,3
스트로베리,3
전반,3
먹방,3
아쉽다,3
날씨,3
곳곳,3
꼭,3
무슨,3
표현,3
그대로,3
가득,3
블루베리,3
입,3
얼마,3
홍차,3
다운,3
역시,3
시,3
두,3
군데,3
그릇,3
안되다,3
식당,3
내부,3
글,3
하루,3
바질,3
막집,3
오든,3
위해,3
츄리,3
어렵다,3
덥다,3
밀크,3
볼,3
금요일,3
페스,3
달,3
초,3
대망,3
담백하다,3
한강진역,3
호두,3
가기,3
인기,3
자주,3
주말,3
카카오,3
타르트,3
피치,3
방,3
온,3
샐러드,3
빵집,3
포테이토,3
전부,3
머,3
막도,3
상당하다,3
살짝,3
재미,3
국적,3
얼그레이,3
간다,3
리조또,3
파스,3
스페셜,3
멀다,3
포스팅,3
기대,3
조금,3
첫,3
친구,3
티츠,3
파스티츠,3
보틀,3
리틀넥,3
답,3
조합,3
특별하다,3
스타일,3
블루,3
나머지,3
먼저,3
타우,3
수가,3
듯,3
찍,3
구성,3
때문,3
데이트,3
모두,3
상점,3
정리,3
유,3
국내,2
마치,2
말차,2
다가,2
단어,2
실물,2
당황,2
깊다,2
스윗,2
제일,2
프라,2
이즈,2
서두,2
밍밍,2
분태,2
테이블,2
풍경,2
타고,2
차,2
겉면,2
공영,2
각,2
재밌다,2
출장,2
전통,2
봄,2
기름,2
스럽다,2
케케,2
낭만,2
괜찮다,2
홀,2
적,2
랄,2
맛일,2
쫀득,2
안녕하다,2
아침,2
진동,2
결정,2
힉,2
야하다,2
일찍,2
만족,2
산책,2
뮬,2
질감,2
등,2
넓다,2
목적,2
시럽,2
둘,2
존맛,2
크랩,2
슨생,2
젖,2
중순,2
데,2
공간,2
실망하다,2
물,2
우롱,2
만족하다,2
명,2
파이터,2
네이버,2
목표,2
경기,2
셀프,2
프릭,2
비,2
비쥬,2
즐겁다,2
한국,2
접기,2
얼마나,2
카운터,2
대신,2
&,2
오히려,2
아기자기하다,2
요리,2
사이트,2
삼계탕,2
벨,2
가게,2
면,2
대부분,2
시작,2
계획,2
총총,2
댜,2
리노,2
님,2
절,2
던,2
여유,2
세,2
소프트,2
견과류,2
예능,2
쫙,2
예약,2
오른쪽,2
흔하다,2
밥,2
오빠,2
트,2
머쉬룸,2
편하다,2
강하다,2
개인,2
천상의,2
보람,2
부분,2
축구,2
각오,2
이수역,2
명단,2
감자,2
게시,2
드,2
도넛,2
등등,2
주심,2
가장,2
비주,2
마지막,2
궁금증,2
푸딩,2
핫,2
구,2
국호,2
비프,2
독서,2
벌써,2
후기,2
행,2
앤,2
마리,2
하이브,2
작고,2
베이컨,2
자체,2
듬뿍,2
비슷하다,2
도착,2
작년,2
다행하다,2
터키빵집,2
어디,2
못,2
운영,2
오후,2
식사,2
접,2
유럽,2
난,2
제대로,2
하얗다,2
식,2
오픈,2
확실하다,2
점심,2
대서,2
코코넛,2
칩,2
화포,2
기,2
길다,2
동영상,2
그린티,2
대표,2
팅팅,2
덜,2
전문,2
퐁실,2
보통,2
롤보렉,2
주차,2
스트리트,2
다행,2
졸귕,2
배부르다,2
다소,2
후,2
베이글,2
바나나,2
완,2
활용,2
나름,2
진하다,2
뎃뚜,2
나이,2
뇨끼,2
손님,2
스크램블,2
다시,2
차갑다,2
솔직하다,2
처,2
재생,2
베리,2
옹,2
영풍,2
알록달록,2
참깨,2
거기,2
꿀맛,2
짭잘하다,1
무염,1
아쉬움,1
찰,1
ALPEDO/터키전통베이커리/이태원주차정보	알페,1
조명,1
마녀,1
무맛,1
말로,1
데코,1
도로,1
경리,1
카이막이,1
칠면조,1
가득하다,1
일,1
제공,1
외국인,1
사촌,1
실감,1
솔직후기	서울,1
꽁꽁,1
응,1
묵직하다,1
티리,1
이용,1
평,1
아르,1
딜가,1
남산타워,1
갑니댜,1
캐모마일,1
레모네이드,1
환자,1
적절하다,1
브런치,1
메탈,1
푸드,1
도자기,1
사용,1
건물,1
이벤,1
구리다,1
종업원,1
절임,1
출연,1
우드,1
하이퍼,1
배스킨라빈스,1
문,1
중독,1
팔로워,1
크로넛,1
직진,1
팔로잉,1
메르,1
발견,1
나들이_카이막,1
남지,1
프랑스,1
차분하다,1
흰색,1
에바,1
외국,1
규모,1
배경,1
인생,1
::,1
카페],1
그것,1
릴리,1
빵피,1
불편하다,1
가나,1
마르다,1
해밀턴,1
먹어보쟈먹어보쟈,1
라쿰,1
스톤,1
경우,1
한적,1
일기,1
신선하다,1
브레드,1
체,1
대학,1
푸트,1
용산,1
티팟,1
개이득,1
"ㅣ브런치,",1
미슐랭,1
커스터드,1
샌드위치,1
훨,1
장,1
포,1
우유지방,1
이구,1
"알페도,",1
컬러,1
변경,1
공짜,1
월넛,1
해도,1
"여기
한남동",1
셋,1
"글
한남동",1
주자,1
어유,1
두번째,1
미리보기,1
당뇨,1
선생님,1
연락,1
빠르다,1
굴레,1
소화도,1
뚱이,1
디저트(카이막),1
피자,1
줄선,1
난초,1
얼음,1
나쁘다,1
마요네즈,1
밤,1
인접,1
확,1
미식,1
단점,1
소개해준,1
영풍치킨	현충일,1
본점,1
말랑하다,1
토핑,1
얼씬,1
조명도,1
신나다,1
접시,1
낫벧,1
(이태원,1
유퀴즈에,1
깨맛,1
"칭구들
[서울/맛집]",1
동생,1
절로,1
‘알페도’	유,1
무척,1
카이막	지난,1
여행기,1
부족하다,1
기본,1
둘이서,1
검정색,1
매우,1
점심시간,1
오랑,1
의향,1
글귀,1
레스토랑,1
쏙,1
설레다,1
바람,1
디저트)	내,1
알페도],1
극락,1
중동,1
나인,1
여기저기,1
수직,1
미리,1
콩,1
생맥주,1
과거,1
매콤,1
하니,1
커플,1
큐,1
양념,1
간,1
불충분하다,1
전화,1
생소하다,1
도해,1
유명,1
중국,1
헤헷뀽,1
스테이크,1
파이프,1
과,1
카푸치노,1
라벤더,1
고풍,1
가보,1
함처,1
진지하다,1
산채쿠,1
훨훨,1
"0	1
title	[]
[카페]",1
아이,1
건포도,1
믹스,1
여하튼,1
수준,1
보도로,1
고대,1
아이디어,1
오믈렛,1
팅티리,1
대추,1
메론,1
고요,1
널,1
이번,1
낯설다,1
보이시,1
은,1
거저,1
호불호,1
"포스팅
오스테리아",1
보이,1
배경화면,1
소금,1
쨘,1
녹차,1
우린,1
소품,1
으루,1
말씀,1
무료,1
벽쪽,1
레몬에이드,1
차이,1
와보기루,1
급식,1
고고,1
당장,1
전혀,1
기존,1
말,1
스팟,1
너낌스,1
안쪽,1
"속
첫",1
드럽다,1
허전하다,1
필요,1
세계,1
의,1
중앙,1
동작구,1
밥알,1
싫어하다,1
관람,1
끝,1
후니,1
나온,1
