word,count
간식,453
강아지,413
애견,390
동반,251
귀엽다,237
쿠키,170
많다,156
수제,135
사장,121
사진,112
용품,106
희다,106
널,103
정로,98
장난감,97
방문,94
친구,91
알러지,82
다양하다,78
맛집,78
정말,75
우리,74
판매,69
볼,65
예쁘다,65
테이블,63
구매,63
토스,63
구경,62
하나,60
멍,59
내부,59
음료,59
매장,54
바로,53
위,53
직접,53
이쁘다,53
댕댕,49
치노,48
오늘,47
저희,46
날,46
이드,46
산책,46
휴무,44
눈,42
망리,39
퓨레,39
사람,39
사랑,38
포토,37
그렇다,37
라떼,36
비건,36
가능하다,36
아이,35
온,34
느낌,33
애견동반카페,33
가게,33
아주,33
작다,33
꼭,33
아메리카노,33
두부,33
그린,32
화요일,32
정도,32
반려견,32
여기,32
줄,31
분,31
이용,30
엄마,30
사이즈,30
전,30
주차,30
처음,30
앞,30
아기자기하다,30
가방,30
포장,29
당근,29
자리,29
준비,29
때문,29
입,29
위치,29
반려동물,28
한번,28
도,28
편하다,27
세트,27
고구마,27
해,27
좀,27
치즈,27
고민,27
칩,27
다른,27
디저트,26
뭉치,26
생각,26
공간,26
가능,26
존,26
상주,26
제,26
살,25
소개,25
주차장,25
영업,25
다음,25
그냥,25
중,25
쇼핑,25
모자,24
아쉽다,24
모든,24
등,24
이제,24
냄새,24
보고,24
친절하다,23
영양사,23
조금,23
모양,23
인테리어,22
단호박,22
번,22
데리,22
동영상,22
요즘,22
쿵,21
게,21
가격,21
옆,21
일,21
신나다,21
바람,21
완전,21
브로콜리,21
기호,21
한강,20
핫,20
물,20
강쥐,20
명,20
상주견,20
종류,20
용,20
피자,20
애기,20
고기,20
모두,20
분위기,19
브라운,19
소품,19
이렇다,19
의자,19
다시,19
선물,19
아이스크림,19
대군,19
실내,19
외,19
야외,19
기분,19
걸,18
편,18
재료,18
노,18
의류,18
급여,18
행복하다,18
요,18
애,18
외부,18
가득,17
뭐,17
편집,17
사실,17
한잔,17
입구,17
못,17
조합,17
외관,17
자주,17
전용,17
정기,16
바삭,16
노랑,16
덥다,16
가면,16
견,16
가루,15
리드,15
입장,15
재미,15
차,15
여름,15
거울,15
아이스,15
알,15
아가,15
만,15
손님,15
티,15
이번,15
왜,15
근처,15
동안,15
듯,15
메뉴판,15
워,14
착하다,14
자기,14
야채,14
잔,14
쪽,14
마음,14
치토스,14
후기,14
캥거루,14
망원역,14
복,14
가지,14
우유,14
하네스,14
참고,13
컬러,13
초코,13
털,13
센스,13
공원,13
해피,13
인형,13
누구,13
최고,13
보,13
움,13
넓다,13
초록,13
건강하다,13
주말,13
밖,13
복숭아,12
원래,12
음식,12
바닐라,12
취향,12
뿐,12
테라스,12
안심,12
후,12
데이트,12
아담하다,12
