word,count
피어,468
원두,212
성동구,116
광나루,91
라떼,79
방문,76
사진,75
드립,70
로스,68
맛집,67
산미,65
생각,64
느낌,62
바로,62
브루잉,62
주차,62
판매,61
테이블,60
자리,60
사람,57
앞,57
터스,55
자판기,54
여기,51
공간,51
매장,51
주차장,51
깔끔하다,48
분,46
그렇다,44
정말,43
아메리카노,42
아이스,42
선택,41
듯,41
중,40
분위기,40
게이샤,40
설명,39
영업,39
오픈,39
위치,38
바리스타,37
날,36
하나,36
번,35
예약,35
그냥,35
전,34
다른,34
내부,33
좀,33
정도,33
주말,33
유명하다,33
일,32
우리,32
구매,31
티,31
평일,31
피어커피,31
조금,31
엘,30
잔,30
인테리어,30
블루리본,30
요즘,30
종류,30
공영,30
편,30
디카,30
귀엽다,30
페인,29
이렇다,29
옆,29
오늘,29
친구,28
가격,28
바,28
음료,28
다음,27
다양하다,27
가능하다,27
메뉴판,27
고소하다,27
처음,27
역시,27
뭐,26
에스프레소,26
마음,26
디저트,25
쿠키,25
근처,25
의자,25
명,25
기억,25
과테말라,24
가지,24
때문,24
알,24
컵,24
차,23
도,23
동영상,23
직접,23
오후,22
안쪽,22
카미노,22
손님,22
살짝,22
화이트,22
에콰도르,22
조용하다,22
직원,21
바닐라,21
괜찮다,21
말,21
성수역,21
두,21
고민,21
사실,21
카페],20
아쉽다,20
따뜻하다,20
님,20
이용,20
지금,20
소개,20
한잔,20
보고,19
보기,19
요,19
별로,19
토,19
한번,19
핸드,19
에티오피아,19
걸,18
월,18
건,18
후,18
개인,18
부드럽다,18
테이크아웃,18
기분,18
카드,17
금,17
위,17
좌석,17
못,17
해,17
꽤,17
로스팅,17
노트북,17
어떻다,17
노트,17
필터,17
핫,17
거리,17
입,17
플랫,17
로스터스,16
저희,16
전문점,16
할인,16
꼭,16
마,16
준비,16
만,16
약간,16
텀블러,15
굉장하다,15
감,15
단맛,15
넓다,15
시에라,15
물,15
브루,15
줄,15
콜드,15
상품,15
크림,15
카운터,15
이유,15
높다,14
추출,14
편이,14
어디,14
난,14
다시,14
쇼룸,14
골목,14
자주,14
추가,14
다르다,13
입구,13
저녁,13
온,13
강하다,13
리뷰,13
카페인,13
드립커피,13
가게,13
진하다,13
출구,13
목,12
편안하다,12
마지막,12
포스팅,12
쪽,12
완전,12
운영,12
어렵다,12
달달,12
나름,12
바디,12
이후,12
밥,12
투,12
인,12
이번,12
등,12
점심,12
적당하다,12
아주,12
재생,12
사용,11
팔로워,11
팔로잉,11
라테,11
이전,11
식당,11
머신,11
재,11
모두,11
심플,11
광희문,11
과일,11
제공,11
이름,11
게시,11
작다,11
논,11
초콜릿,11
센터,11
위해,11
브라질,11
통,11
이쁘다,11
이야기,11
땐,11
참고,10
벽,10
