word,count
에버,165
카스테라,137
크림,122
디저트,106
연남,87
컬러,69
레인보우,56
공간,44
사진,39
도넛,34
맛집,33
색감,32
우유,30
느낌,29
연남동,29
초코,28
힙,26
듬뿍,25
샤워,23
테이크아웃,23
존,21
베리,20
포장,20
포토,19
감,19
등,19
음료,19
다양하다,19
비비드,17
다른,17
정말,16
페인트,16
딸기,15
부드럽다,15
핫,15
귀엽다,15
정도,14
색,14
선물,14
건물,14
강렬하다,14
파티,14
무지개,13
부어,13
사람,13
눈,13
라떼,13
그린,13
널,13
날,13
이렇다,13
리지,13
살짝,12
디자인,12
입구,12
듯,12
감성,12
달달,12
삼화,12
가득하다,11
자리,11
직원,11
찰리,11
브릭,11
생각,11
유니크,11
하나,11
접시,10
치즈,10
분,10
종류,10
사용,10
박스,10
더욱,10
팝아트,10
위,10
딥,10
블러,10
매장,10
방문,10
키치,10
기분,10
바로,9
너,9
컬러풀,9
모두,9
브랜드,9
우리,9
말차,9
오렌지,9
아인,9
친구,9
새롭다,9
매일,9
특별하다,9
명,9
민트,9
슈페,9
대형,9
처,9
유명하다,9
이색,8
도,8
황,8
주황색,8
자체,8
어디,8
알록달록하다,8
인증샷,8
세트,8
토끼,8
여기,8
그냥,8
가득,8
화려하다,8
레드,8
구성,8
진하다,8
재생,8
좀,7
다음,7
흑임자,7
마차,7
달콤하다,7
색다르다,7
종,7
패키지,7
통통,7
접기,7
이벤트,7
이쁘다,7
재미,7
줄,7
아이스크림,7
티,7
모든,7
색상,7
꽤,7
블루,7
가능하다,7
포스터,7
걱정,7
어떻다,7
아주,7
볼,6
체리,6
다르다,6
궁금하다,6
절미,6
더티,6
기업,6
후기,6
파란색,6
조금,6
요,6
대비,6
완전,6
시,6
트렁크,6
준비,6
테이블,6
넓다,6
무,6
그렇다,6
세계,6
진열,6
포인트,6
인테리어,6
유니폼,6
제품,6
컵,6
비,6
컨셉,6
동영상,6
팅,6
옆,6
속,6
고소하다,6
온,6
판매,6
요즘,6
협업,6
마음,6
걸,5
색색,5
멜론,5
골목,5
분위기,5
후아유,5
부다,5
규모,5
별로,5
인스타그램,5
아티스트,5
게시,5
베이커리,5
장소,5
비주,5
상큼,5
웨이팅,5
콜라보,5
유명,5
빵,5
조합,5
시럽,5
해,5
구경,5
넘치다,5
모양,5
얼,5
고민,5
형태,5
라씨,5
이자,5
위치,5
색소,5
영업,5
때문,5
핫플,5
필요하다,5
추가,5
감각,5
덕,5
보기,5
색깔,5
물,5
만큼,5
촉촉하다,5
외부,5
라스트,5
미슈해,5
담백하다,4
빛,4
선택,4
팔로워,4
인증,4
아래,4
상당하다,4
옵션,4
이상하다,4
입술,4
넛,4
루프,4
컷,4
메인,4
형광,4
계시다,4
이름,4
직접,4
가장,4
계단,4
아메리카노,4
신나다,4
화장실,4
탑,4
참고,4
카페인,4
쨍,4
똥,4
위로,4
벽,4
페인터,4
알,4
앨리스,4
폭포,4
베이커,4
이제,4
각,4
바,4
통,4
시원하다,4
반전,4
손님,4
소통,4
적,4
작업실,4
떡,4
메론,4
좌석,4
외관,4
에어팟,4
시선,4
맥스,4
번,4
오픈,4
확실하다,4
오직,4
홍대입구역,4
부스,4
요새,4
사실,4
카운터,4
겸,4
셀카,4
안전하다,4
인스타,4
시작,4
모습,4
마치,3
멋지다,3
계속,3
런가,3
방,3
제일,3
성분,3
요기,3
용,3
서서,3
옐로,3
랍니,3
인,3
녹색,3
기도,3
재밌다,3
아트,3
조심,3
스럽다,3
편,3
거리,3
전,3
환상,3
잔,3
하니,3
덕분,3
딱이다,3
구석구석,3
도착,3
녹차,3
소품,3
왜,3
번쩍,3
거나,3
혹시,3
경험,3
보관,3
가면,3
초록색,3
노랗다,3
개성,3
노란색,3
네이버,3
안심,3
한번,3
위해,3
마구,3
조화,3
하우에버,3
한쪽,3
주거,3
안내,3
분홍색,3
주차,3
엑설런트,3
의자,3
팔레트,3
패키징,3
제시,3
작업,3
출구,3
참여,3
먹기,3
원색,3
침대,3
심,3
주소,3
언니,3
옥상,3
바닐라,3
스트로베리,3
취향,3
아쉽다,3
구매,3
촤르륵,3
짙다,3
핑크,3
찰떡,3
저녁,3
내부,3
기존,3
인체,3
뭐,3
가지,3
레이스,3
전환,3
재,3
설명,3
나라,3
뿜뿜,3
기,3
동안,3
인상,3
해석,3
구역,3
냉장,3
약속,3
더하다,3
데이트,3
메뉴판,3
트렌드,3
에스프레소,3
영상,2
데코,2
감동,2
재미있다,2
론칭,2
화사하다,2
이용,2
감탄,2
고해,2
전체,2
보,2
차분하다,2
자꾸만,2
편하다,2
호다닥,2
주변,2
티라미슈,2
그것,2
더더,2
카페나,2
와우,2
쿨하다,2
추억,2
몸,2
평범하다,2
동물성,2
센스,2
생크림,2
레이,2
동네,2
식감,2
토핑,2
거해,2
봄,2
워홀,2
각각,2
강,2
논,2
짐,2
요거트,2
굉장하다,2
여기저기,2
쥬,2
그대로,2
진동,2
강남,2
남자,2
간,2
쵸코,2
아깝다,2
전화번호,2
붉다,2
입,2
류,2
푹신하다,2
역시,2
오후,2
카페라떼,2
안되다,2
웨이,2
불구,2
맘,2
만장,2
애플,2
빨간색,2
모형,2
블랙베리,2
초록,2
롱,2
낌,2
"길
연희동",2
테라스,2
함,2
만족하다,2
특이하다,2
한가지,2
전문,2
워낙,2
또한,2
쾌적하다,2
덥다,2
장난감,2
자세하다,2
코셔,2
자랑,2
보아,2
큼직하다,2
섭취,2
잡고,2
사장,2
말똥,2
만,2
가게,2
진입,2
마네킹,2
흐뭇다,2
예술,2
작업복,2
핑크색,2
여행,2
한낮,2
비롯,2
파크,2
조성,2
지도,2
힙함,2
님,2
맑다,2
작품,2
끝판,2
일부,2
최적화,2
끼리,2
세,2
문,2
팔로잉,2
연상,2
앤디,2
팝핑,2
로만,2
용이,2
배경,2
파국,2
카페],2
통해,2
고,2
바다,2
전시회,2
집들이,2
귤,2
연락처,2
식용색소,2
어쩜,2
아이콘,2
통통하다,2
꼭,2
리뷰,2
마지막,2
태양,2
주방,2
매,2
팀,2
기대,2
매우,2
플레이,2
동일하다,2
트럴,2
재료,2
앤,2
아이폰,2
간판,2
만약,2
블루베리,2
이상,2
못,2
"길
하우에버",2
안쪽,2
생산,2
팬서,2
묘브,2
인절미,2
핫핑크,2
한층,2
를,2
미적,2
스타일,2
매력,2
이군,2
파우더,2
미국,2
무드,2
사항,2
잠깐,2
대표,2
먼저,2
즐겁다,2
보고,2
어렵다,2
수가,2
도보,2
만족스럽다,2
독보,2
액자,2
댕겨,2
아기자기하다,2
달,2
만석,2
이유,2
벨,2
힙한,2
기술,2
맞이,2
대체,2
뿌리,2
업,2
캬하,1
다가,1
일본인,1
공식,1
난곳,1
최고,1
방법,1
행복하다,1
자아,1
툼,1
혼자,1
무맛,1
