word,count
동그라미,815
귀엽다,514
컵케이크,471
디저트,332
크림,279
케이크,274
사진,246
쿼카,228
포장,174
머핀,161
치즈,143
생각,132
정말,130
휴무,129
성미산,127
테이블,118
친구,117
초코,114
방문,113
팥,108
라즈베리,108
여기,106
하나,105
느낌,103
날,102
위,96
브라우니,89
그렇다,89
예약,86
작다,85
가게,84
인스타,83
우리,83
자리,80
종류,80
소품,80
맛집,80
음료,79
동영상,78
명,78
바로,77
초,77
가능하다,77
오늘,76
공간,76
이쁘다,75
매장,72
사람,70
구매,69
위치,68
영업,67
분위기,67
수요일,66
내부,66
고구마,65
다음,64
판매,64
티,63
전,63
이드,62
베리,61
이름,60
보고,59
꼭,59
쑥,59
아쉽다,58
라즈,58
사장,58
가격,58
시즌,58
좀,57
앙금,57
정도,57
홀,55
그냥,55
개리,54
딸기,54
아기자기하다,53
가지,52
분,52
중,51
부드럽다,51
아주,51
매일,50
시트,49
유명하다,49
보기,49
빵,48
때문,48
해,48
참고,47
후기,47
드립커피,47
번,47
이렇다,47
저희,46
생일,44
별로,44
컵케익,44
디자인,44
오픈,44
다시,44
눈,44
얼,43
게시,43
처음,43
준비,43
물,43
마음,43
밀크,42
미리,42
듯,42
사실,42
얼그레이,42
크리스마스,41
두,41
말,41
요,40
팔로워,39
구,39
화장실,39
픽업,39
다른,39
연남동그라미,39
인스타그램,39
님,39
팔로잉,38
스콘,38
컵,38
색감,37
고민,37
일,36
조금,36
아래,36
이번,36
워,35
비주,35
포스팅,35
앞,35
어떻다,35
팅,35
요즘,34
지금,34
구경,34
이제,34
옆,34
입,33
역시,33
뭐,33
달달,33
후,33
용,33
걸,32
메뉴판,32
겨울,32
럼블,32
선물,32
발견,31
완전,31
귀여운,31
먹기,31
밤,31
인테리어,31
건,31
못,31
바닐라,30
취향,30
웨이,30
카카오,30
개인,30
한번,30
투어,30
제일,29
엽서,29
왜,29
달,29
얼굴,29
목요일,29
상큼,28
움,28
가능,28
모두,28
혼자,28
보,28
살짝,28
입구,28
아깝다,28
블루베리,28
의,28
원래,27
가장,27
가득,27
소개,27
확인,27
약간,27
아담하다,27
만,27
다양하다,26
도착,26
조합,26
골목,26
오빠,26
근처,26
위해,26
가기,26
라떼,25
스티커,25
시나몬,25
계속,25
여름,25
좁다,25
케익,25
창가,25
추가,25
주소,24
새롭다,24
깔끔하다,24
케잌,24
꽃,24
둘,24
조용하다,24
쪽,23
꽤,23
기분,23
행복하다,23
루돌프,23
함,23
알,23
초도,22
핫,22
편,22
운영,22
맘,22
주말,22
밥,22
부분,22
드,22
예전,22
레이어,22
손,22
파스타,22
코로나,22
적당하다,22
손님,22
온,22
네,21
콜드,21
안되다,21
따뜻하다,21
진하다,21
박스,21
도,21
입맛,21
안쪽,21
외관,21
모양,21
벨벳,21
레드,21
거의,21
덥다,21
기억,21
모습,21
볼,20
웨이팅,20
완두,20
글,20
홍대입구역,20
브루,20
캐릭터,20
달콤하다,20
직접,20
마지막,19
봄,19
거리,19
저녁,19
뒤,19
레몬,19
일단,19
최고,19
괜찮다,19
쏙,19
무화과,19
가면,19
바,19
지도,19
아늑하다,18
비싸다,18
주방,18
등,18
양,18
먼저,18
비쥬,18
감성,18
마감,18
목,18
와인,18
인기,18
드립,18
자체,18
쿠키,18
비,18
카운터,18
유,18
선택,17
문,17
엄마,17
코,17
생크림,17
잔,17
넓다,17
아이스,17
설명,17
자세하다,17
계시다,17
파운드,17
진열,17
하루,17
파티,17
검색,17
밖,17
블로그,16
팀,16
기대,16
간,16
평일,16
산,16
동안,16
포스터,16
메모,16
팔고,16
다르다,16
사랑,16
톤,16
궁금하다,16
인,16
간판,16
힘들다,16
톡,16
문의,16
속,16
사용,15
음식,15
고양이,15
차,15
아메리카노,15
시,15
난,15
중간,15
버스,15
유자,15
촉촉하다,15
항상,15
의자,15
출구,15
산미,15
연말,15
전체,15
가야,15
채널,15
매우,15
춥다,15
모든,15
크기,15
저격,15
식당,15
귀염,15
포크,15
마스크,15
줄,15
눈사람,14
날씨,14
센스,14
동생,14
야하다,14
빅,14
녹차,14
리,14
오후,14
루이보스,14
를,14
재,14
욥,14
운,14
필요하다,14
상점,14
느끼하다,14
밑,14
컷,14
편이,14
햇살,14
류,14
품절,14
보관,14
스타일,14
남자친구,14
굿,14
테이크아웃,14
이유,14
언제,14
자주,14
가득하다,13
이용,13
은은하다,13
작년,13
뻔,13
미치다,13
존맛,13
케이,13
점심,13
쿠,13
파스텔,13
즐겁다,13
주차,13
겸,13
카메라,13
빛,13
금방,13
성,13
일찍,13
만족,13
냉장고,13
어디,13
이상,13
연남동그라미	연남,13
찍기,13
다행,13
그림,13
로투스,13
처,13
후르,12
여자,12
하니,12
낮,12
무,12
칩,12
담,12
수가,12
공지,12
걱정,12
이야기,12
세,12
편하다,12
텀블러,12
비트,12
체리,12
버섯,12
츠,12
핑크,12
달력,12
퍽퍽,12
가깝다,12
몽블랑,12
:,12
나중,12
중요하다,12
상,12
아기자기,12
고소하다,12
조명,11
아마,11
여러분,11
타고,11
라인업,11
아침,11
덕분,11
보이,11
끝,11
봉,11
계산,11
주,11
제작,11
스튜디오,11
도보,11
정보,11
땐,11
교,11
수다,11
타임,11
저번,11
너,11
리뷰,11
플레이,11
소리,11
재료,11
마무리,11
작고,11
회사,11
미니,11
총,11
특별하다,11
반하다,11
네이버,11
얼마나,11
찍,11
배부르다,11
수도,11
심플,11
사,11
인생,10
통해,10
여전하다,10
컬러,10
메리,10
기도,10
짐,10
요거트,10
그대로,10
정기,10
스테이크,10
얼마,10
당일,10
일반,10
어렵다,10
마침,10
만족스럽다,10
만석,10
무조건,10
젤,10
무엇,10
티라미수,10
인증샷,10
출처,10
주변,10
간다,10
매달,10
청,10
찰떡,10
전화번호,10
아이,10
잼,10
졸귀,10
한참,10
링크,10
축하,10
사고,10
수제,10
덕,10
솔직하다,10
돈,10
레터,9
여,9
실물,9
막,9
베이커리,9
언니,9
더욱,9
요건,9
어쩜,9
자리다,9
오,9
사랑스럽다,9
잠시,9
벌써,9
기준,9
여기저기,9
뿐,9
굉장하다,9
거울,9
아이패드,9
불,9
왼쪽,9
몇,9
패션후르츠,9
염,9
계절,9
순이,9
책,9
카츠,9
남아,9
강하다,9
세상,9
존,9
카라멜,9
간단하다,9
곳곳,9
재밌다,9
접시,9
실제,9
콤,9
까페,9
떡,9
수바,9
그때,9
햇빛,9
월요일,9
혹시,9
바질,9
김,9
기념일,9
링,9
보라색,9
아시,9
발리,9
인정,9
뭘,9
색,9
준,9
과일,9
높다,8
이후,8
음,8
모자,8
테이,8
행복,8
규모,8
세트,8
소소하다,8
감,8
취저,8
좌석,8
구입,8
모,8
블루,8
기,8
대표,8
덜,8
기대하다,8
보통,8
강추,8
프로포즈,8
링고,8
욤,8
묵직하다,8
훈고,8
요기,8
손글씨,8
법,8
증말,8
생일케이크,8
평범하다,8
등등,8
멀다,8
킹,8
트리,8
모어,8
헤헤,8
다행하다,8
콕,8
조만간,8
레몬에이드,8
맛없다,8
제대로,8
식,8
럭스,8
강아지,8
만족하다,8
요정,8
주차장,8
한쪽,8
맥주,8
하트,8
어닝,8
맨,8
개정,8
갑자기,8
작,8
일이,7
달라,7
표정,7
건물,7
카레,7
그날,7
닷,7
카페],7
벽,7
상태,7
펌킨,7
포,7
사이즈,7
포기,7
해도,7
팬케이크,7
아웃,7
빠르다,7
픽,7
정성,7
굿즈들,7
첫,7
베이,7
안녕하다,7
최애,7
쥬,7
전화,7
수저,7
과,7
르,7
작성,7
완벽하다,7
표시,7
답,7
데,7
"연남동그라미,",7
외,7
댕댕,7
잠깐,7
카톡,7
결제,7
사이,7
외부,7
라면,7
크게,7
데이트,7
대부분,7
덕후,7
가도,7
라이터,7
촌,7
곱창,7
입장,7
신기하다,7
동교동,7
포토,7
샷,7
의사,7
여러,7
동네,7
매,7
편지,7
배,7
메뉴인,7
화실,7
요런,7
매번,7
이모,7
살,7
궁,7
임,7
그릇,7
테이크,7
전혀,7
고생,7
칭찬,7
포인트,7
베르크,7
달고나,7
매력,7
찾기,7
땡스오트,7
조화,7
필수,7
아가,7
구성,7
일요일,7
"카페,",7
가운데,7
지난,7
작업,7
마켓,7
돼지,7
단,6
먹음,6
원두,6
데코,6
특유,6
마스,6
당황,6
카드,6
조개,6
금,6
크랜베리,6
샌드위치,6
나무,6
낮다,6
식감,6
유지,6
띠옷,6
이제야,6
정,6
애,6
벚꽃,6
캣,6
포근하다,6
희원,6
대기,6
중이,6
그거,6
영접,6
운동,6
곧,6
앙증맞다,6
건강하다,6
라오,6
남,6
고맙다,6
만큼,6
기념,6
도전,6
숙소,6
스푼,6
방법,6
젤리,6
차밍,6
선,6
머리,6
청포도,6
자극,6
하늘색,6
잡화,6
가을,6
상황,6
가세,6
뻔하다,6
진,6
있는,6
청첩장,6
며칠,6
토요일,6
원피스,6
베스트,6
메인,6
경우,6
산타,6
엄청나다,6
일본,6
얘기,6
주의,6
신나다,6
기본,6
심지어,6
설레다,6
정신,6
커리,6
습,6
딱이다,6
여우,6
산책,6
이동,6
우린,6
할미,6
커피잔,6
버전,6
하얗다,6
정이,6
협소,6
토,6
값,6
나머지,6
반,6
변동,6
리스트,6
끼,6
촛불,6
양은,6
워낙,6
대신,6
난리,6
연남동그라미	안녕하다,6
슈슈,6
가볍다,6
시원하다,6
정리,6
라임,6
부터,6
나들이,5
베이지,5
우드,5
이상하다,5
::,5
자유,5
카페	연남,5
브레이크,5
천원,5
원하다,5
신맛,5
베이스,5
레이,5
인지,5
정확하다,5
짱,5
랜드,5
맛있는,5
화이트,5
에이,5
꽉,5
몬,5
연중,5
읍,5
무려,5
|,5
듬뿍,5
단맛,5
단호박,5
종,5
은,5
홍차,5
"층
연남동",5
고고,5
계정,5
인절미,5
시선,5
롬,5
라임에이드,5
보지,5
지난번,5
베,5
카,5
부담,5
간격,5
길다,5
모노,5
드릴,5
자,5
연남동그라미	연남동,5
한국,5
아메,5
창업,5
소스,5
오히려,5
페스,5
냄새,5
다가,5
엠쓰리,5
데리,5
나름,5
와중,5
만두,5
연하다,5
왕,5
실,5
필터,5
체크,5
삐약,5
득템,5
문구,5
이틀,5
조각,5
시작,5
오른쪽,5
방,5
북적,5
업,5
방식,5
고해,5
피,5
무난,5
뿌듯하다,5
단면,5
쑥맛,5
집중,5
일기,5
칼,5
힘드다,5
순식간,5
순간,5
감자,5
결혼,5
키친,5
도넛,5
피자,5
각,5
수정,5
일러스트,5
어서,5
병,5
테,5
제주,5
연어,5
전시,5
작업실,5
혼,5
워요,5
동화,5
믹스,5
주시,5
깜찍하다,5
널,5
알차다,5
마,5
징,5
좌,5
이기,5
필요,5
현장,5
도움,5
옴,5
대한,5
와인잔,5
멀리,5
초록,5
언박싱,5
로코,5
잔뜩,5
롱,5
숟가락,5
뿜뿜,5
물씬,5
각도,5
종로구,5
저기,5
핸드,5
뽀짝,5
바쁘다,5
곰,5
이브,5
업데이트,5
후다닥,5
밤쥐,5
담당,5
브라,5
성공,5
냉장,5
주민,5
창,5
후회,5
빈,5
사서,5
일정,5
아프다,5
귀요미,4
촉촉,4
러블리,4
적절하다,4
우동,4
망리,4
대요,4
다예,4
불편하다,4
택시,4
재미,4
장,4
다이어리,4
딱딱하다,4
셋,4
비비,4
두번째,4
용품,4
장소,4
가든,4
당시,4
여러가지,4
출발,4
협소하,4
만난,4
급,4
치즈케이크,4
브루잉,4
강,4
퀄리티,4
결정,4
채광,4
커플,4
베링,4
편리하다,4
전문점,4
여리다,4
보틀,4
비슷하다,4
새,4
꼭꼭,4
뉴,4
식사,4
샵,4
쇼핑,4
김포,4
등장,4
순위,4
홀짝,4
훌륭하다,4
라멘,4
•,4
어른,4
예,4
길이,4
스토리,4
코스,4
훅,4
솔드아웃,4
돌이,4
팩,4
콤달콤,4
불가,4
버터크림,4
출시,4
최근,4
협소해,4
부럽다,4
소진,4
다소,4
블랙,4
각자,4
부모님,4
인형,4
활용,4
다이어트,4
대단하다,4
나이,4
내년,4
쇼케이스,4
주로,4
체력,4
별루,4
디,4
맞이,4
만족도,4
재생,4
거기,4
피해,4
징징,4
쉽다,4
곱다,4
피곤하다,4
"층
연남동그라미",4
한정,4
여유,4
담백하다,4
편지지,4
끼리,4
홍대역,4
까맣다,4
민주,4
용기,4
업체,4
런가,4
줌,4
관련,4
싫다,4
장갑,4
포테이토,4
전부,4
살이,4
충전,4
션,4
그릭,4
고,4
보시,4
캔들,4
럼,4
맘껏,4
브레드,4
볶음밥,4
심장,4
올해,4
자고,4
당연하다,4
실패하다,4
요로,4
클릭,4
어니스트,4
양갱,4
무슨,4
부족하다,4
적,4
남친,4
치킨,4
점심시간,4
읍니,4
랄,4
바람,4
어플,4
자마자,4
날짜,4
라라,4
대비,4
슬프다,4
이전,4
여운,4
일상,4
는걸,4
촬영,4
천국,4
뻑뻑,4
차이,4
휘,4
화,4
무언가,4
내내,4
안나,4
실내,4
찬,4
배달,4
확실하다,4
물품,4
오직,4
가끔,4
특이하다,4
부산,4
