word,count
도넛,90
일,80
타운,74
예,73
랩,57
크림,29
맛집,26
칼국수,22
디저트,22
말르다,16
초코,15
에이,15
만,15
분위기,12
종류,11
휘,11
낭시,11
포장,11
요,11
사진,11
버섯,11
덥다,10
영업,10
정도,10
우리,10
말차,9
적,9
간판,9
내부,9
휴무,9
달달,9
다음,9
자리,9
완전,9
씨스터,9
아주,9
혼자,8
스콘,8
입,8
데,8
위치,8
분,8
유명하다,8
그렇다,8
여기,8
도너츠,8
좀,7
오봉,7
친구,7
그냥,7
테라스,7
음료,7
데이트,7
느낌,7
볶음밥,7
꼭,7
동네,7
아메리카,7
선물,7
테이블,6
수요일,6
살,6
못,6
필링,6
명,6
비,6
테이크아웃,6
바,6
라떼,6
참고,6
별로,6
매운탕,6
아쉽다,6
공간,6
야외,6
가게,6
부터,6
바로,5
위,5
가득,5
공원,5
날,5
가기,5
누나,5
니,5
밀크,5
슈페너,5
작다,5
힘들다,5
빵,5
우유,5
머신,5
가능하다,5
레몬,5
추가,5
한잔,5
주말,5
다른,5
오렌지,4
원래,4
상실,4
테리어,4
취향,4
이름,4
게시,4
배고프다,4
마지막,4
한라봉,4
이나,4
난,4
상콤,4
헤이즐넛,4
번,4
아이스,4
맵다,4
집사,4
즉시,4
다시,4
한적하다,4
옆,4
속,4
눈,4
사리,4
궁금하다,4
자리다,4
세트,4
리뷰,4
간,4
정기,4
역시,4
준비,4
화,4
해,4
가면,4
오픈,4
물,4
깔끔하다,4
김밥,4
시원하다,4
면,4
버칼,4
며,4
엉덩이,3
소고기,3
선택,3
발견,3
저희,3
바닐라,3
입구,3
구,3
아무,3
당산,3
영등포,3
마리,3
국물,3
오늘,3
염통,3
보이,3
처럼,3
역,3
생각,3
솔티,3
평일,3
이렇다,3
점심,3
소개,3
화요일,3
가격,3
로나,3
큐브,3
가능,3
콜,3
외부,3
항상,3
무조건,3
모두,3
메뉴판,3
심플,3
산미,3
먹음,3
볼,3
발,3
다르다,3
먹기,3
겉,3
주변,3
주소,3
컷,3
여러,3
픽,3
배민,3
다리,3
조금,3
거리,3
하니,3
류,3
시,3
하와이,3
매일,3
넓다,3
왜,3
마련,3
답,3
옴,3
타,3
배달,3
근처,3
양,3
모던,3
동안,3
토리,3
브루,3
이제,3
상,3
기억,3
삼겹살,3
적당하다,3
무엇,2
배불,2
도로,2
가득하다,2
촉촉,2
음식,2
크로넛,2
팔로워,2
팔로잉,2
여러분,2
불편하다,2
기계,2
원,2
해도,2
법,2
물리치료,2
샷,2
간단하다,2
낮다,2
부타동,2
부부,2
티,2
괜찮다,2
바깥,2
모든,2
심하다,2
프로필,2
커스터,2
겉절이,2
몹시,2
야하다,2
탑,2
당산동,2
이상,2
차이,2
형태,2
뭐,2
꼬치,2
쿠키,2
달콤,2
외관,2
목발,2
야타이,2
껏,2
함,2
김,2
네이버,2
검색,2
사고,2
주차장,2
살살,2
주차,2
부럽다,2
오트밀,2
귤칩,2
완료,2
잡고,2
후,2
반다이크,2
요즘,2
손님,2
보기,2
앞치마,2
반찬,2
벌컥,2
온,2
작,2
순이,2
밀당,2
꼬마,2
제과,2
골목,2
북적,2
입안,2
살짝,2
한강,2
다양하다,2
신선하다,2
용,2
부분,2
귤,2
플레,2
전통,2
월,2
봄,2
편,2
후기,2
잔,2
뿐,2
읍,2
덕분,2
새롭다,2
전화,2
점도,2
중,2
자체,2
쪽,2
버터,2
트북,2
약과,2
입점,2
두,2
등,2
오후,2
랩	예,2
너구리,2
웨이,2
둘,2
진열,2
멀리,2
초록,2
확실하다,2
남편,2
우롱,2
코코넛,2
재,2
동영상,2
몇,2
이예,2
사이,2
사실,2
생샷,2
배부르다,2
팅,2
크게,2
자주,2
언제,2
이쁘다,2
모야,2
귀엽다,2
시작,2
망,2
마시기,2
수다,2
모습,2
상자,2
지도,2
업,2
서울시,2
구색,1
오예,1
원두,1
나들이,1
원금,1
제공,1
투샷,1
한편,1
지나,1
쫙,1
계속,1
쟁반,1
기부,1
콤함,1
캬라멜,1
블로그,1
이것은,1
중독,1
누룽지,1
벽면,1
망리,1
추출,1
디테일,1
스무,1
금토일,1
대요,1
페이,1
포르투칼,1
핸립,1
한도,1
옵션,1
무선,1
프라,1
브레이크,1
흐흐,1
한지붕,1
흡입,1
존,1
마르다,1
경우,1
외지,1
무릎,1
벽,1
답례,1
쥐,1
훨,1
상태,1
탄수,1
포기,1
쑥수러움,1
이제껏,1
수욱,1
잉,1
집도,1
평범하다,1
포토,1
키친,1
블로거,1
클릭,1
모름,1
"추천
망원동",1
넉넉하다,1
능글맞다,1
상큼,1
명성,1
보임,1
가장,1
넘버원,1
무겁다,1
환영,1
스페셜,1
커피	새롭다,1
오전,1
여름,1
사발,1
국민,1
오,1
짱,1
타운	주민,1
멀다,1
야채,1
기대,1
포스팅,1
닭,1
프레,1
젠,1
이민자,1
호떡,1
강조,1
전,1
"층
망원",1
한식,1
합,1
청,1
기회,1
쨔잔,1
찹쌀,1
마들렌,1
얼굴,1
달력,1
크기,1
아깝다,1
슬프다,1
저격,1
일찍,1
판이,1
뜸,1
요런,1
아이디어,1
헤헤,1
주시,1
어중간하다,1
이번,1
병원,1
호불호,1
술,1
실하다,1
새,1
들려릴,1
움,1
한참,1
품,1
이동,1
초과,1
기왕,1
어디,1
육수,1
건,1
바삐,1
목요일,1
러스크,1
되어잉,1
그릇,1
입맛,1
회사,1
햇빛,1
가깝다,1
말,1
안쪽,1
살때,1
양고기,1
비밀,1
구멍,1
팔팔,1
월요일,1
총,1
무화과,1
실내,1
주섬주섬,1
매장,1
텁텁,1
선풍기,1
존맛,1
융통성,1
레디,1
왼쪽,1
꽤,1
산,1
미가,1
고민,1
남자친구,1
초록색,1
스테,1
주,1
미세먼지,1
해진,1
너머,1
바삭,1
야타이	마리,1
토,1
특이하다,1
건너,1
숟가락,1
유사하다,1
애매하다,1
부담,1
사거리,1
카페	안녕하다,1
신호등,1
에스,1
걸,1
귀요미,1
"층
망원동",1
단,1
시뻘겋다,1
힙짱들,1
런데,1
쿵,1
가루,1
지역,1
기록,1
굿,1
목,1
관계,1
여유,1
만두,1
무늬,1
쩍쩍,1
세,1
한눈,1
그램,1
기름기,1
바스크,1
존예,1
셀프,1
시끄럽다,1
소문,1
차하,1
스타,1
레몬이,1
러버,1
찍기,1
영,1
숟갈,1
오른쪽,1
짐빔,1
트렌디,1
밥,1
해,1
순,1
고해,1
전체,1
어린이집,1
직관,1
주저,1
방식,1
컵,1
"쭌
예",1
눅눅하다,1
로고,1
피,1
공기,1
기전,1
머쉬룸,1
우선,1
괙싀,1
박스,1
