0	1
title	[]
카페 드 래빗 연남동 경의선숲길 뷰의 카페 겸 와인바	['최근', '연남동', '경의선', '숲길', '옆', '오픈', '신상', '카페', '겸', '와인', '바', '카페', '드', '래빗', '이다', '평소', '자주', '길', '요즘', '잠시', '뜸', '사이', '카페', '카페', '드', '래빗', '월', '휴무', '서울', '마포구', '교', '길', '주차', '불가', '휴무', '운영', '연남동', '카페', '겸', '와인', '바', '카페', '드', '래빗', '위층', '공간', '독특하다', '형태', '건물', '이다', '요즘', '날씨', '덥다', '창문', '있다', '오픈', '초', '폴딩', '창문', '활짝', '개방', '감', '아주', '좋다', '매장', '옆', '테라스', '좌석', '있다', '지금', '힘들다', '가을', '선선해지다', '야외', '커피', '와인', '좋다', '것', '같다', '카페', '드', '래빗', '층', '카운터', '와인', '냉장고', '디저트', '쇼케이스', '있다', '안쪽', '공간', '주방', '사용', '있다', '해', '디저트', '쇼케이스', '안', '휘', '낭시', '바스크', '치즈케이크', '말차', '치즈케이크', '스콘', '등', '진열', '있다', '타르트', '아니다', '스콘', '예상', '맛', '면서', '궁금하다', '디저트', '이다', '상호', '듯', '토끼', '황', '치즈', '휘', '낭시', '냥', '플레인', '휘', '낭시', '귀엽다', '연남동', '카페', '드', '래빗', '메뉴판', '이다', '커피', '음료', '연남동', '살짝', '비싸다', '듯', '오히려', '칵테일', '하우스', '와인', '등', '와인', '리즈', '블', '금액', '계단', '입구', '층별', '이다', '총', '층', '있다', '건물', '개', '층', '영업', '있다', '것', '같다', '고층', '건물', '아니다', '직접', '픽업', '반납', '엘리베이터', '없다', '점', '조금', '아쉽다', '메인', '홀', '카페', '드', '래빗', '층', '이다', '층', '층', '공간', '크기', '가구', '디자인', '동일하다', '헷갈리다', '층', '특징', '전면', '창가', '설치', '바', '테이블', '이다', '연남동', '경의선', '숲길', '바로', '눈앞', '창밖', '커피', '와인', '좋다', '폴딩', '창문', '더욱', '운치', '있다', '것', '같다', '층', '공간', '층', '다르다', '전면', '창가', '인석', '개', '배치', '있다', '처음', '사진', '정리', '헷갈리다', '층', '별로', '벽면', '컬러', '가구', '다르다', '설치', '더', '흥미롭다', '카페', '수', '있다', '조금', '아쉽다', '층', '뒤쪽', '와인잔', '저녁', '이후', '와인', '바로', '운영', '때', '직원', '상주', '생각', '듭니', '연남동', '카페', '겸', '와인', '바', '카페', '드', '래빗', '층', '이다', '외관', '층', '층', '정도', '크기', '인석', '개', '수', '있다', '컴팩트', '사이즈', '이다', '층', '소규모', '모임', '때', '프라이', '빗', '공간', '사용', '좋다', '것', '같다', '분위기', '엘리베이터', '없다', '가기', '살짝', '불편하다', '층', '테라스', '있다', '지금', '덥다', '힘들다', '바로', '눈앞', '경의선', '숲길', '공원', '여유', '좋다', '좌석', '이후', '와인', '바로', '운영', '때', '음식', '용', '엘리베이터', '사용', '후기', '있다', '참고', '인테리어', '매장', '내부', '분위기', '기대', '평범하다', '연남동', '경의선', '숲길', '바로', '앞', '위치', '최고', '메리', '카페', '드', '래빗', '개', '층', '구분', '여유', '있다', '공간', '이용', '좋다', '연남동', '편안하다', '분위기', '한번', '방문', '보시', '추천', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '층', '층']
연남동 숲길 뷰 카페 추천 <카페 드 래빗> (메뉴, 가격, 초록뷰)	['요즘', '날씨', '진짜', '좋다', '초록', '초록', '나무', '만해', '기분', '좋다', '토요일', '연남동', '숲길', '숲길', '뷰', '바로', '신상', '카페', '발견', '바로', '연남동', '숲길', '초록', '나무', '뷰', '예쁘다', '휘', '낭시', '예쁘다', '맛있다', '신상', '카페', '카페', '드', '래빗', '추천', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '연남동', '숲길', '중간', '위치', '카페', '드', '래빗', '토끼', '컨셉', '귀엽다', '다기', '모던', '카페', '데', '배너', '오픈', '기간', '것', '보아', '오픈', '한지', '얼마', '안되다', '층', '주문', '층', '구조', '주문', '키', '오스', '원두', '가지', '수', '있다', '무겁다', '부드럽다', '정도', '와인', '냉장고', '크게', '있다', '것', '보아', '와인', '판매', '듯', '날', '꽤', '덥다', '우리', '아이스', '아메리카노', '휘', '낭시', '개', '주문', '위로', '아이스', '아메리카노', '잔', '냥', '휘', '낭시', '토끼', '휘', '낭시', '층', '계단', '미치다', '생각', '통창', '그', '너머', '초록', '뷰', '진짜', '어어', '무', '예쁘다', '좋다', '게다가', '날씨', '덥다', '날', '바람', '좀', '면', '통창', '에어컨', '틀', '내부', '정말', '시원하다', '층', '고민', '위', '어떻다', '층', '공간', '더', '높다', '더', '예쁘다', '아래', '아예', '보이지', '높다', '더', '초록', '가깝다', '느낌', '여기', '우리', '층', '자리', '층', '궁금하다', '일단', '층', '층', '반', '내부', '반', '테라스', '구조', '햇살', '뜨겁다', '테라스', '아무', '없다', '층', '나무', '높다', '오히려', '아파트', '뷰', '층', '제일', '완벽하다', '우리', '층', '시원하다', '좋다', '층', '접시', '토끼', '가득하다', '사실', '휘', '낭시', '그냥', '예쁘다', '토끼', '당근', '있다', '고양이', '꽃', '달', '있다', '예쁘다', '뿐', '맛', '기대', '생각', '맛있다', '황', '치즈', '고양이', '얼그레이', '휘', '낭시', '쫀득', '얼그레이', '향', '맛있다', '황', '치즈', '사실', '거의', '바람', '솔솔', '시원하다', '눈', '앞', '초록', '뷰', '좋다', '한참', '카페', '바로', '옆', '할리스', '건물', '있다', '할리스', '역시', '통창', '문', '리지', '상대', '꽤', '답답하다', '요즘', '같다', '날씨', '문', '시원하다', '공기', '좋다', '날', '미세먼지', '테이블', '예쁘다', '장미', '연남동', '숲길', '따라서', '정말', '많다', '카페', '있다', '초록', '뷰', '예쁘다', '내부', '인테리어', '좋다', '통창', '면', '구조도', '시원하다', '좋다', '완전', '한여름', '전', '카페', '드', '래빗', '종종', '것', '같다', '에어컨', '있다', '아마', '한여름', '문', '에어컨', '연남동', '숲길', '신상', '카페', '드', '래빗', '돈', '산', '추천']
연트럴파크가 한눈에 보이는 연남동 루프탑 카페 드 래빗	['이번', '제', '방문', '곳', '연남동', '위치', '카페', '드', '래빗', '이다', '카페', '위치', '트럴', '파크', '위치', '있다', '테라스', '연남동', '야경', '기', '맥', '곳', '이다', '상호', '카페', '드', '래빗', '위치', '서울', '마포구', '교', '길', '홍대입구역', '번', '출구', '영업', '시간', '금', '토', '일', '마감', '전화번호', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '층', '층', '빈', '공간', '분위기', '좋다', '인테리어', '구성', '사진', '찍기', '좋다', '곳', '카페', '드', '래빗', '카페', '메뉴', '있다', '아니다', '와인', '맥주', '판매', '있다', '루프', '탑', '뻥', '테라스', '데이트', '좋다', '메뉴', '키', '오스', '주문', '수', '있다', '무화과', '티라미수', '카페', '드', '래빗', '시즌', '메뉴인', '듯', '복숭아', '슬러쉬', '딸기', '래빗', '라떼', '무화과', '티라미수', '금액', '층', '층', '호화롭다', '수', '있다', '연남동', '가게', '몇', '루프', '탑', '통창', '테라스', '자리', '많다', '층', '야외', '테이블', '강아지', '동반', '가능하다', '다양하다', '를', '충족', '것', '같다', '층', '이다', '실내', '좌석', '테라스', '석', '있다', '꽃', '우드', '톤', '가구', '분위기', '한층', '더', '고급', '지게', '층', '이다', '저', '개인', '마감', '시간', '방문', '사진', '사람', '있다', '사람', '피해', '층', '층', '비슷', '비슷하다', '층', '루프', '탑', '이다', '실내', '좌석', '루프', '탑', '공존', '계절', '봄', '여름', '가을', '때', '좋다', '생각', '주문', '음료', '디저트', '왼쪽', '복숭아', '슬러쉬', '오른쪽', '딸기', '래빗', '라떼', '무화과', '티라미수', '처음', '카페', '드', '래빗', '뒤', '아주', '귀엽다', '토끼', '딸기', '청', '딸기', '아인슈페너', '크림', '진짜', '떡', '딸기', '향', '싹', '딸기', '러버', '요', '복숭아', '슬러쉬', '이다', '개인', '좀', '아이스크림', '차갑다', '걸', '주문', '복숭아', '과육', '크렌베리', '조화', '진짜', '상큼', '무화과', '티라미수', '이다', '큼지막하다', '무화과', '아래', '마스', '카포네', '치즈', '크림', '덕', '있다', '그', '아래', '티라미수', '빵', '있다', '달달', '크림', '덕', '맛', '무화과', '상큼', '맛', '더하다', '맛있다', '디저트', '가을', '시즌', '메뉴', '상', '판매', '해도', '연남동', '트럴', '파크', '위치', '카페', '드', '래빗', '개인', '풍경', '뻥', '장소', '선호', '트럴', '파크', '루프', '탑', '애정', '지금', '쥬디', '걸음걸이']
[연남동 카페] 카페 드 래빗(Cafe de Rabbit), 귀여운 토끼 로고가 반겨주는 연트럴파크 카페 겸 와인바	['트럴', '파크', '메인', '거리', '우뚝', '건물', '한창', '공사', '중일', '때', '독보', '존재', '감', '완공', '생각', '지도', '쩍', '곳', '이', '곳', '연남동', '카페', '겨', '맛집', '카페', '드', '래빗', '독특하다', '디자인', '눈길', '옅다', '회색', '건물', '카페', '와인', '겸', '복합', '외식', '공간', '이름', '걸', '귀엽다', '토끼', '로고', '먼저', '맞이', '금색', '빛', '형상', '꽤', '디테일', '입구', '꽤', '국적', '연남동', '카페', '이', '건물', '마치', '파리', '길가', '있다', '법', '카페', '음식점', '느낌', '저녁', '카페', '와인', '바로', '변모', '곳', '자세하다', '측면', '벽면', '이름', '카페', '토끼', '것', '커피잔', '아니다', '와인잔', '카페', '먼저', '문', '와인', '바', '최근', '오픈', '시작', '카페', '와인', '모두', '이용', '위해', '시간', '도착', '층', '다양하다', '디저트', '카페', '카운터', '먼저', '맞이', '쇼케이스', '안', '자세하다', '휘', '낭시', '토끼', '모양', '귀엽다', '움', '과자류', '있다', '저녁', '시간', '근접하다', '다음', '기약', '커피', '음료', '파스텔', '커피', '웍스', '블랜드', '종이', '사용', '합정', '로스', '터리', '겸', '본점', '위치', '로스', '터리', '카페', '품종', '상관없다', '선택', '수', '있다', '곳', '카운터', '매장', '이용', '대한', '설명', '비치', '있다', '와인', '바', '이름', '운영', '앞서', '언급', '카페', '영업', '내용', '카페', '메뉴', '카운터', '편', '키', '오스', '주문', '메뉴', '항', '목별', '이름', '이미지', '있다', '전화번호', '입력', '후', '카카오', '톡', '알림', '방식', '기용', '의자', '끄트머리', '와인', '냉장고', '위치', '레드', '네츄럴', '품종', '꽤', '다양하다', '와인', '위', '많다', '신경', '것', '알', '수', '있다', '계단', '옆', '층별', '안내', '부착', '있다', '현재', '층', '이용', '가능하다', '층', '모두', '좌석', '전용', '공간', '운영', '홍대', '카페', '계단', '벽면', '번', '더', '만날', '수', '있다', '귀엽다', '토끼', '푸른', '빛', '조명', '모습', '꽤', '멋지다', '자세하다', '옆', '조명', '스탠드', '흰색', '토끼', '사실', '트럴', '파크', '푸르름', '바로', '앞', '수', '있다', '점', '연남동', '카페', '겸', '바', '가장', '특징', '이자', '장점', '선선', '바람', '북', '적임', '수', '있다', '곳', '밖', '것', '창문', '개방', '감', '선사', '또한', '자연', '바람', '안', '통풍', '더', '효과', '있다', '각', '층', '가장자리', '사각형', '테이블', '홀', '중앙', '원형', '테이블', '각각', '그렇다', '좌석', '간', '여유', '꽤', '확보', '있다', '편', '원활하다', '고객', '응대', '위', '각', '층', '전용', '서빙', '공간', '위치', '음식', '엘리베이터', '바로', '시스템', '또한', '편안하다', '매장', '이용', '위해', '셀프', '바', '층', '자리', '잡고', '있다', '물', '냅킨', '등', '편하다', '사용', '수', '있다', '층', '층', '비슷하다', '구조', '가지', '차이점', '있다', '바로', '창가', '테이블', '설치', '있다', '점', '트럴', '파크', '녹색', '여유', '수', '있다', '곳', '테이블', '폭도', '편안하다', '이용', '충분하다', '층', '모두', '원목', '편안함', '더하다', '마치', '트럴', '파크', '내', '휴게소', '온', '느낌', '창가', '일반', '테이블', '층', '다른', '좀', '더', '개방', '느낌', '연남동', '카페', '층', '전경', '층', '주문', '가능하다', '카페', '달리', '와인', '바', '시간대', '테이블', '패드', '간편하다', '주문', '및', '결제', '수', '있다', '오픈', '초반', '메뉴', '많다', '그', '중', '것', '선택', '종류', '글라스', '와인', '있다', '것', '또한', '장점', '레드', '하우스', '와인', '제공', '루', '갓', '퍼플', '귀엽다', '고양이', '그림', '인상', '와인', '그', '자체', '부드럽다', '목', '넘김', '자랑', '단맛', '산도', '밸런스', '있다', '토마토', '비프', '스튜', '스튜', '메뉴', '있다', '것', '치', '그림', '빵', '것', '보고', '고민', '바로', '선택', '메인', '요리', '직접', '반죽', '발효', '빵', '윤기', '그', '자체', '바삭', '함', '촉촉하다', '환상', '조합', '그', '옆', '운', '마늘', '스튜', '위함', '귀엽다', '양철', '냄비', '소장', '욕구', '이', '안', '스튜', '뚜껑', '열기', '전', '심장', '속', '가득', '있다', '토마토', '비프', '스튜', '식기', '전', '모짜렐라', '치즈', '얼른', '모두', '후', '입', '집', '듯', '느낌', '많다', '곳', '맛', '덜하다', '대신', '담백하다', '적당하다', '토마토', '농도', '고기', '짙다', '맛', '계속', '손', '맛', '빵', '위', '것', '별미', '스튜', '맛', '강하다', '조합', '꽤', '입', '어느새다', '완전하다', '오픈', '초반', '번', '공개', '메뉴', '지속', '개발', '중인', '메뉴', '또한', '다수', '있다', '메뉴', '업데이트', '예정', '연남동', '맛집', '해', '지니', '낮', '다른', '매력', '연남동', '카페', '사람', '북적', '곳', '발자국', '곳', '더', '여유', '맛있다', '공간', '사람', '맞이', '의', '계정', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '님', '사진', '및', '동영상', '보기', '위치', '서울특별시', '마포구', '교', '길', '교통', '편', '지하철', '홍대입구역', '번', '출구', '버스', '홍대입구역', '동교동', '삼거리', '하차', '영업', '시간', '월요일', '휴무', '화', '일', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길']
[카페찾기] 연남동 카페 <카페 드 래빗(CAFE DE RABBIT)>	['카페', '찾기', '연남동', '카페', '카페', '드', '래빗', '지난주', '경의선', '책거리', '길', '연남동', '있다', '카페', '잠깐', '경의선', '책거리', '연남동', '경의선', '숲길', '카페', '입구', '분위기', '있다', '예쁘다', '자연', '발길', '가게', '카페', '루프', '탑', '있다', '층', '포함', '모두', '층', '건물', '카페', '이름', '예쁘다', '개성', '있다', '카페', '입구', '어딘가', '아기자기하다', '느낌', '카페', '층', '보시', '것', '디저트', '쇼케이스', '테이블', '있다', '음료', '디저트', '주문', '바로', '맞은편', '있다', '키', '오스', '있다', '쇼케이스', '안', '디저트', '휘', '낭시', '티라미슈', '등', '준비', '있다', '음', '디저트', '가격', '여느', '카페', '비교', '만만하다', '가격', '아니다', '우선', '음료', '디저트', '주문', '테이블', '있다', '홀로', '이동', '위해', '계단', '카페', '이름', '카페', '드', '레빗', '그렇다', '실내', '곳곳', '토끼', '관련', '소품', '자주', '눈', '저', '주문', '메뉴', '전', '우선', '카페', '각', '층', '둘러보기', '곳', '카페', '층', '채광', '좋다', '실내', '전체', '무척', '가볍다', '층', '다시', '층', '향', '길', '곳', '토끼', '모형', '소품', '있다', '곳', '층', '실내', '모습', '요', '분위기', '층', '크게', '다른', '느낌', '아니다', '층', '더', '높다', '인지', '창밖', '시야', '더', '넓다', '저', '층', '전', '우선', '층', '있다', '테이블', '자리', '잡고', '가방', '층', '층', '좀', '더', '안정', '느낌', '그게', '그렇다', '건', '아니다', '층', '유독', '손님', '있다', '자리', '뒤', '마지막', '층', '향', '발걸음', '층', '층', '계단', '사이', '역시', '귀엽다', '토끼', '모형', '소품', '있다', '층', '다른', '층', '공간', '조금', '협소', '편이', '좁다', '데', '그만하다', '이유', '있다', '층', '바로', '루프', '탑', '공간', '마련', '있다', '때문', '랍니', '실내', '다르다', '테이블', '의자', '색상', '초록색', '구성', '게', '상당하다', '것', '같다', '층', '즈음', '진동', '벨', '리기', '시작', '곧바로', '층', '주문', '아메리카노', '휘', '낭시', '다시', '층', '토끼', '모양', '휘', '낭시', '귀엽다', '휘', '낭시', '가격', '조금', '비싸다', '느낌', '피', '수', '없다', '맛', '있다', '게다가', '요즘', '웬만하다', '카페', '휘', '낭시', '가격', '대체로', '상향', '기도', '말', '아메리카노', '휘', '낭시', '동안', '저', '하루', '하나', '드로잉', '미담블', '하루', '하나', '드로잉', '토끼', '당근', '이유', '바로', '카페', '드', '레빗', '의', '분위기', '영감', '때문', '랍니', '날', '오후', '카페', '수', '없다', '그', '이유', '이', '카페', '오픈', '상태', '정상', '영업', '전', '오후', '운영', '생각', '지도', '못', '시간', '제한', '마치', '느낌', '카페', '수', '없다', '덕분', '거리', '버스킹', '공연', '볼', '수', '있다', '좋다', '추억', '다음', '정상', '영업', '그때', '다시', '방문', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '카페', '찾기', '짝퉁', '연필', '미담', '블']
연남동 나들이 - 리리마카오 & 카페드래빗	['연남동', '나들이', '리리', '마카오', '카페', '드', '래빗', '주', '금요일', '연남동', '나들이', '동네', '미국인', '친구', '년', '반의', '한국', '생활', '마치', '미국', '연남동', '재밌다', '조합', '처음', '만남', '있다', '나', '아이', '같다', '어린이집', '유치원', '있다', '한국', '있다', '동안', '정말', '가족', '끼리', '친밀하다', '토요일', '정말', '많다', '서울', '랜드', '롯데', '월드', '한강', '공원', '용산', '가족', '공원', '과천', '국립', '과학', '박물관', '등등', '정말', '많다', '곳', '추억', '육아', '더', '리리', '마카오', '지난번', '다른', '포스팅', '이야기', '생각', '나', '홍콩', '음식', '좋아하다', '용산', '웨이', '티', '하우스', '신랑', '내', '정말', '좋아하다', '최애', '맛집', '홍콩', '레스토랑', '번은', '방문', '듯', '중국', '홍콩', '음식', '좋아하다', '편', '이번', '마카오', '음식', '연남동', '근무', '분', '맛집', '라며', '안내', '곳', '리리', '마카오', '굴', '국수', '면', '사리', '무제한', '무료', '바', '로우', '밥', '정말', '전부', '맛있다', '날', '있다', '영어', '어떻다', '날', '더', '날', '지하철', '고가', '동안', '정말', '많다', '이야기', '술술', '내', '생각', '영어', '표현', '즐겁다', '고갈', '수', '있다', '길이', '행복하다', '덕분', '맛있다', '연남동', '맛집', '알', '카페', '드', '래빗', '리리', '마카오', '맞은편', '라인', '새롭다', '오픈', '카페', '란', '연남동', '숲길', '중간', '위치', '토끼', '컨셉', '아주', '가로수길', '인기', '토키', '컨셉', '카페', '지점', '층', '층', '있다', '주문', '직접', '가능하다', '키', '오스', '직원', '직접', '이렇다', '곳', '처', '메뉴', '수제', '크림', '라테', '조합', '궁금하다', '희다', '토끼', '커피', '직접', '바닐라', '빈', '시럽', '궁금하다', '금요일', '주문', '층', '사람', '없다', '정말', '우리', '끼리', '전세', '편안하다', '앞', '계획', '자녀교육', '대한', '여러', '이야기', '만', '즐겁다', '시간', '이렇다', '때', '나', '내', '파워', '생각', '새롭다', '사람', '과정', '때로는', '피곤하다', '같다', '성향', '에너지', '배', '다음', '보고', '카페', '한국', '없다', '실감', '각자', '자리', '승리', '우리', '리리', '마카오', '서울특별시', '마포구', '교', '층', '층', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '층', '층']
연남동 신상 카페[카페드래빗]카페&바/뷰 좋은 경의선숲길 카페	['숲속', '있다', '기분', '연남동', '카페', '드', '래빗', '경의선', '숲길', '때', '뚝딱', '뚝딱', '뭐', '근사하다', '궁금하다', '무려', '층', '높이', '카페', '겸', '와인', '바', '통창', '키', '나무', '여름', '최적화', '카페', '카페', '드', '래빗', '이다', '층', '눈길', '테라스', '있다', '댕댕', '수', '있다', '곳', '토끼띠', '사장', '프랑스', '여행', '영감', '카페', '여행', '중', '뮤즈', '같다', '이쁘다', '유럽', '정원', '느낌', '그르', '홍대입구역', '카페', '주차장', '없다', '길', '미터', '정도', '민영', '주차장', '있다', '카페', '드', '래빗', '와인', '바로', '운영', '있다', '카페', '또', '다른', '이름', '케', '이브', '래빗', '토끼', '굴', '토끼', '와인', '장고', '의미', '요', '카페', '정체', '와인', '병', '매장', '앞', '층', '카운터', '옆', '와인', '냉장고', '있다', '제법', '여러', '종류', '와인', '맥주', '진열', '이구', '한여름', '낮샴', '홀짝', '카페', '드', '래빗', '메뉴', '곳', '볼', '수', '있다', '처', '음료', '커피', '준비', '있다', '칵테일', '잔', '와인', '판매', '원두', '초이스', '가능하다', '뭔가', '커피', '와인', '힘', '준', '듯', '느낌', '휘', '낭시', '에그타르트', '스콘', '티라미수', '등', '달달', '구리', '디저트', '있다', '층', '작업', '좋다', '바', '자리', '있다', '곳', '계단', '초록', '뷰', '바', '자리', '삼면', '통창', '있다', '채광', '좋다', '뷰', '좋다', '한여름', '사랑', '수', '없다', '카페', '드', '래빗', '너', '정말', '이쁘다', '층', '창가', '쪽', '자리', '최선', '중앙', '나쁘다', '이렇다', '뷰', '좋다', '카페', '사람', '없다', '게', '의외', '랄', '요기', '마치', '도산', '공원', '느낌', '나', '거', '나', '그렇다', '손님', '없다', '셀카', '마음대로', '층', '루프', '탑', '테라스', '바로', '거지', '층', '실내', '있다', '테라스', '자연', '발길', '눈길', '향', '안', '테라스', '아련하다', '아득하다', '막', '그렇다', '조명', '탁', '바람', '솔솔', '불어', '밤', '더', '좋다', '듯', '칵테일', '좋다', '와인', '맥주', '여름밤', '뭔들', '태양', '해', '대낮', '테라스', '불가', '층', '숲속', '포옥', '있다', '듯', '층', '분위기', '제일', '좋다', '아메리카노', '꿀', '수박', '펀치', '진주', '펄', '마들렌', '간만', '아이스', '아메리카노', '끝', '맛', '꼬소하', '시원하다', '카페', '드', '래빗', '처', '꿀', '수박', '펀치', '칵테일', '알콜', '논', '알콜', '선택', '가능하다', '음료', '알코올', '향', '악', '게', '칵테일', '약하다', '올여름', '수박', '풍년', '메뉴', '보이', '루프', '탑', '테라스', '있다', '층', '영상', '신상', '카페', '거', '같다', '더', '핫', '전', '여름밤', '좋다', '곳', '카페', '드', '래빗', '이다', '영업', '시간', '토', '일', '휴무', '월요일', '주소', '서울', '마포구', '교', '길', '주차', '불가', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '층', '층']
[ 홍대 연남동 카페 ] 연트럴파크 신상 카페 토끼 로고가 매력적인 카페 드 래빗	['안녕하다', '집사', '구리', '지난', '금요일', '홍대', '일정', '마무리', '후', '생각', '시간', '남아', '근처', '카페', '가게', '평소', '같다', '골목', '있다', '예쁘다', '카페', '그날', '날씨', '살랑', '바람', '좋다', '트럴', '파크', '산책', '공원', '더', '보고', '한참', '발견', '카페', '바로', '카페', '드', '래빗', '카페', '겸', '와인', '바로', '따끈따끈하다', '신상', '카페', '그렇다', '카페', '후기', '시작', '카페', '안내', '베너', '카페', '드', '래빗', '주소', '서울', '마포구', '교', '길', '영업', '시간', '카페', '와인', '바', '월요일', '휴무', '주차', '공영', '주차장', '이용', '카페', '드', '래빗', '서울특별시', '마포구', '교', '길', '우뚝', '건물', '눈', '확', '외국', '감성', '듬뿍', '카페', '초록색', '간판', '트럴', '파크', '층', '주문', '곳', '있다', '반대편', '키', '오스', '있다', '작', '화려하다', '네온', '조명', '눈길', '확', '스콘', '다양하다', '종류', '휘', '낭시', '집사', '답', '냥', '플레인', '휘', '낭시', '주문', '명당', '남', '집사', '좌석', '층', '층', '루프', '탑', '있다', '층', '창가', '쪽', '자리', '만석', '저희', '층', '카페', '내부', '생각', '넓다', '대신', '좌석', '대부분', '인석', '수', '있다', '계단', '센스', '소품', '토끼', '곳곳', '포인트', '있다', '재미', '굿', '트럴', '파크', '카페', '창문', '큼지막하다', '시원시원하다', '좋다', '저', '날', '곳', '에어컨', '춥다', '카페', '드', '래빗', '창문', '개방', '시원하다', '봄바람', '좋다', '실', '멀리', '창문', '거', '보고', '혹시', '온', '거', '저희', '트럴', '파크', '더', '자리', '누가', '사진', '더', '준', '거', '같다', '화분', '덕분', '카페', '분위기', '더', '있다', '보이', '개인', '우드', '가구', '좋아하다', '사방', '우드', '저', '천국', '같다', '곳', '에어컨', '바람', '우리', '통일', '귀엽다', '냥', '휘', '낭시', '커피', '고소하다', '깔끔하다', '맛', '일품', '더', '좋다', '건', '원두', '선택', '수', '있다', '점', '냥', '휘', '낭시', '귀엽다', '꽃핀', '앙증맞다', '접시', '토끼', '카페', '이름', '다운', '접시', '휘', '낭시', '입', '익숙하다', '맛', '뭐', '생각', '약과', '맛', '비슷하다', '휘', '낭시', '약과', '맛', '맛있다', '귀엽다', '토끼', '달', '이', '있다', '포토', '존', '그냥', '수', '없다', '사진', '찍', '때', '지금', '토끼', '의자', '같다', '그렇다', '곳곳', '토끼', '소품', '귀엽다', '예쁘다', '게', '소품', '많다', '개인', '오른쪽', '사진', '있다', '테이블', '집', '마음', '그냥', '여기', '대리', '만족하다', '것', '합의', '카페', '드', '래빗', '화장실', '분리', '있다', '좋다', '여자', '화장실', '층', '층', '남자', '화장실', '층', '층', '신상', '카페', '깨끗하다', '더', '좋다', '층', '창가', '바', '테이블', '있다', '저기', '사람', '구경해', '좋다', '거', '같다', '층', '더', '아담하다', '공간', '테라스', '있다', '밤', '테라스', '와인', '분위기', '것', '굿', '층', '층', '모든', '좌석', '좋다', '만', '이렇다', '여유', '카페', '온', '거', '신나다', '사진', '트럴', '파크', '온통', '푸르다', '이렇다', '풍경', '보고', '카페', '고생', '보람', '있다', '저녁', '시간', '와인', '바로', '변신', '와인', '종류', '많다', '분위기', '낼', '정도', '듯', '저녁', '베너', '꽃', '화분', '바', '투명', '베너', '예쁘다', '우드', '베너', '예쁘다', '베너', '맛집', '요', '건물', '야외', '좌석', '있다', '인증샷', '필수', '요즘', '같다', '날씨', '안성맞춤', '야외', '석', '실내', '야외', '테이블', '작다', '꽃', '별거', '아니다', '기분', '좋다', '묘', '힘', '있다', '마음', '한구석', '살살', '감성', '풍부하다', '그렇다', '느낌', '여기', '저희', '또', '오자', '약속', '카페', '드', '래빗', '신상', '카페', '사람', '곧', '인기', '있다', '카페', '급부', '상하', '생각', '매력', '분위기', '카페', '다음', '저녁', '낮', '다른', '분위기', '그때', '다시', '카페', '드', '래빗', '후기', '감사']
명절 후 가기좋은카페 힐링카페 연남동카페추천 카페 드 래빗	['오늘', '소개', '카페', '봄', '카페', '드', '래빗', '층', '건물', '연남동', '공원', '가운데', '자리', '잡고', '있다', '제', '아침', '운동', '발견', '곳', '외관', '예쁘다', '갑자기', '정말', '즉흥', '카페', '카페', '옆', '테라스', '정말', '예쁘다', '트럴', '파크', '커피', '맥주', '가볍다', '좋다', '카페', '오전', '오후', '커피', '오후', '부터', '와인', '수', '있다', '장소', '인테리어', '딱이다', '주문', '키', '오스', '베이커리', '보', '안', '래빗', '모양', '휘', '낭시', '눈', '제', '운동', '중', '휘', '낭시', '맛', '계속', '생각', '층', '통창', '통해', '초록', '나무', '정말', '예쁘다', '곳곳', '래빗', '인형', '보이', '정말', '사랑스럽다', '혼자', '구경', '사진', '맛', '심심하다', '커피', '맛', '채', '계속', '셀카', '혼자', '백프로', '나', '모습', '저', '카페', '외관', '혼', '분', '꽤', '많다', '셀카', '존', '많다', '곳곳', '래빗', '있다', '밍', '인테리어', '딱이다', '다음', '방문', '때', '꼭', '와인', '테이블', '위', '생화', '정말', '힐링', '곳', '혼자', '좋다', '곳', '같다', '명절', '후', '힐링', '타임', '필요하다', '때', '방문', '보시', '좋다', '듯', '해', '제', '방문', '땐', '봄', '었는데', '가을', '단풍', '깊다', '때', '가도', '좋다', '것', '같다', '나중', '땐', '와인', '리뷰', '풍경', '혼자', '시간', '필요하다', '때', '연인', '데이트', '때', '꼭']
