카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1348768821,어글리베이커리,9192,3129,서울 마포구 월드컵로13길 73 1층 어글리 베이커리
1416238798,더바이글,147,36,서울 마포구 포은로 117 1층 103호
1988455172,소설원 망원,1284,2912,서울 마포구 월드컵로13길 22-3
941188692,투떰즈업,1158,935,서울 마포구 월드컵로19길 71
1461786894,비캔드,26,17,서울 마포구 포은로 71-12
1256673550,슈크렌느,101,34,서울 마포구 월드컵로11길 80 1층
1367299797,베이크 샵 하벳,15,18,서울 마포구 월드컵로17길 64 1층
1561424368,라뚜셩트,882,18,서울 마포구 포은로8길 20 1층
1672249532,비전스트롤 망원점,267,314,서울 마포구 망원로 61 1층
1941199046,구황작물,187,273,서울 마포구 동교로 27-8 1층
1759690653,브릭베이글,627,441,서울 마포구 동교로 43-1
1670713183,해브어,314,203,서울 마포구 월드컵로17길 38 2층
1167345645,아브르드팡,242,41,서울 마포구 월드컵로21길 14 1층
1916722465,올웨이즈어거스트로스터스,258,661,서울 마포구 망원로6길 19 1층 일부
1642598415,딜리커피 망원,90,37,서울 마포구 포은로 92 1층
1087879784,후와후와,18,16,서울 마포구 월드컵로13길 79 . 1층 102호
1837601021,밀로밀,792,290,서울 마포구 희우정로10길 9 1층
1407848569,티노마드,4778,290,서울 마포구 포은로 112 2층
1548894301,베이코닉 브런치바,70,49,서울 마포구 월드컵로17길 50 1층
33152234,커피가게동경,1307,49,서울 마포구 망원로6길 21 지층
1000020305,크림데이 글루텐프리 케이크샵,1139,139,서울 마포구 월드컵로21길 39
1813667950,포트레이트커피바,451,453,서울 마포구 포은로8길 32 1층
1727492792,레스피레,784,761,"서울 마포구 월드컵로13길 55-24 지1, 1층"
1618890289,망원 지튼,420,761,서울 마포구 망원로 73 2층 ZTTN
1923036804,커넥츠커피 망원,999,309,서울 마포구 월드컵로11길 8 105호 커넥츠커피 망원점
1876359522,모을,41,309,서울 마포구 월드컵로19길 71 3층
1536816099,이이알티 망원,813,309,"서울 마포구 포은로 105-1 1층, 2층"
1450830938,라바즈,254,212,서울 마포구 월드컵로13길 19-23 2층 왼쪽 202호
1754355439,콘웰,380,435,서울 마포구 월드컵로15길 40 2층 콘웰커피
1058857466,두두리두팡,269,260,서울 마포구 월드컵로23길 19 1층 두두리두팡
37654332,딥블루레이크,1274,260,서울 마포구 포은로6길 11
1412734296,보통공원,305,325,서울 마포구 망원로 79 3층
37659034,광합성카페,1589,325,서울 마포구 월드컵로19길 8
1028057366,모아새,336,492,서울 마포구 포은로 71 1층 가운데 매장
1484279080,이스트우드 망원점,487,431,서울 마포구 동교로9길 56 2층
1243135733,락떼스피릿,1253,431,서울 마포구 희우정로20길 65
1580287003,필리커피,50,54,"서울 마포구 월드컵로25길 26 101동 1-021, 022호"
1234832125,구스커피앤바,129,205,서울 마포구 월드컵로17길 56 1층
1837274244,미완성식탁,666,205,서울 마포구 망원로6길 37 1층 미완성식탁
1746012756,프레쎄,542,303,서울 마포구 동교로 69
41256488,블랑제리코팡,2209,514,서울 마포구 희우정로 115
1353180628,카페뎀셀브즈 망원동 소아과점,542,514,"서울 마포구 포은로 93 1층, 2층"
1213764678,흐쎄트,391,514,서울 마포구 월드컵로23길 20 2층 202호
1746391981,루아르 망원,783,338,서울 마포구 월드컵로11길 7
37837603,도쿄빙수 망원본점,1320,338,서울 마포구 포은로8길 9 1층
1237365247,HHSS HOUSE,39,55,서울 마포구 월드컵로 113 3층 303호
1272551533,단고당,520,304,서울 마포구 망원로10길 3 1층/2층
1513540731,바이어리셔,255,178,서울 마포구 망원로1길 22 망원 한강공원에서 도보 5분 거리에 있습니다.
38015307,키오스크,218,561,서울 마포구 월드컵로19길 74
1369333799,푸쉬오프 커피앤바,132,94,서울 마포구 포은로8길 28-6 지1층
36883540,엣모스피어,669,94,서울 마포구 망원로 54-1 1층카페
1310750549,히카,322,161,서울 마포구 망원로 62-1 1층 히카
1101964175,카스테라연구소,809,412,서울 마포구 포은로 90 1층 카스테라 연구소
1742887261,무계획,248,232,서울 마포구 포은로 100
1704134858,페이브먼트,79,58,서울 마포구 월드컵로15길 86 1층
1142641941,차차,552,58,서울 노원구 공릉로35길 2
1219761996,로우머,381,58,서울 마포구 월드컵로13길 55-26
1675098813,온리디스베이커리,94,27,서울 마포구 희우정로20길 70 102호
1380774665,프렌치 망원,155,102,서울 마포구 포은로 131 쁘띠보네르 1층 101호
1876676836,마떼아,353,233,서울 마포구 월드컵로19길 36 2층
1367658278,파사도 망원,328,90,서울 마포구 포은로6길 9 파사도 망원
1886899395,비고미,180,313,서울 마포구 망원로8길 63 101호
1856313483,웅파이 망원점,712,245,서울 마포구 망원로2길 62 1층 2호
1544764300,키토빵앗간,298,53,서울 마포구 월드컵로19길 36 1층
1786846402,콜트 커피바,110,48,서울 마포구 동교로 33-3 지하1층
1982193045,망원동티라미수 본점,2536,48,서울 마포구 포은로 87
1576059168,위켄드케이크,91,182,서울 마포구 망원로2길 69 3F
1389341393,커차그,106,310,서울 마포구 월드컵로13길 19-23 1층 연이랑커차그
1334861428,평형,33,45,서울 마포구 포은로5길 6 1층
1867806692,에스트 에스트 에스트,147,74,서울 마포구 월드컵로23길 45 1층 est est est
1170734401,9ram,150,61,서울 마포구 포은로 105 2층(망원동)
1336686955,카페하모니,220,411,서울 마포구 동교로9길 12 지층~1층 카페하모니
1725528988,버터크림팩토리 bucfac,203,101,서울 마포구 망원로11길 41 102호
1815597250,포스트 노 빌즈,247,237,서울 마포구 망원로2길 82 1층 포스트노빌즈
38420402,버터베이커리,2285,636,서울 마포구 동교로 226
1272650574,무슈부부 커피스탠드,393,389,서울 마포구 망원로 13 1층
1903611268,망디,65,14,서울 마포구 월드컵로29길 18 1층 101(우측)호
1633206582,케이크 작업실 : 스튜디오 시루모락,447,14,서울 마포구 월드컵로17길 64 2.5층 노란문
37441781,코코부코,341,107,서울 마포구 희우정로 72
38549516,카카오다다,95,132,서울 마포구 희우정로10길 15 102호
1044976654,페트롤플레이스,516,188,서울 마포구 동교로 67
1059973246,하이놀리,454,188,서울 마포구 망원로1길 12 지하1층
37621256,비바쌀롱,363,714,서울 마포구 포은로 84 1층
37996787,망원수제고로케,5687,280,서울 마포구 망원로 80
1883382302,79파운야드 망원본점,1453,280,서울 마포구 월드컵로13길 79 1층 105호 FOUNYARD
1776090270,까페 빈틈 M,218,161,서울 마포구 망원로7길 3-6
1973168151,꼬르소산도,248,323,서울 마포구 월드컵로 157
1530045389,카페 고잉홈,60,69,서울 마포구 방울내로9안길 32 1층 고잉홈
1635636003,컵스커피,237,188,서울 마포구 포은로 107 1층
1373662518,도래노트,90,80,서울 마포구 방울내로 72 1층 도래노트
1342730817,레이지독 케이크,131,77,서울 마포구 포은로8길 28-6 4층 레이지독 맞춤케이크 망원동점
1757347465,픽셀,124,47,서울 마포구 망원로11길 29 1층 7호
1197147360,WHH 와하하,358,298,서울 마포구 희우정로16길 39 1층
1797356132,범골커피,32,5,서울 마포구 망원로8길 14 2층
1600352079,모구모구과자점 인 망원,135,8,서울 마포구 포은로 75 1층 모구모구과자점
1387504450,도피,386,331,서울 마포구 포은로5길 47 1층
1195434395,고미푸딩 망원점,182,222,서울 마포구 희우정로10길 20 1층
1994374300,구뜨몽떼,69,16,서울 마포구 동교로 79 1층
1480159827,언더지,40,4,서울 마포구 포은로 72 별관 지하1층
1398878124,빵쌤 마포구청점,2840,4,서울 마포구 방울내로11길 38
1208045059,리벌티 망원,381,234,서울 마포구 망원로7길 65 1층
1908735902,셀렉티드 커피앤스윗츠,654,144,서울 마포구 망원로 62-3 2층
87350574,레귤러서비스,234,293,서울 마포구 월드컵로25길 58 1층 110호 해남공판장 건너편
1743487646,헤비타트테이블,67,15,서울 마포구 망원로 24 1층
1149154061,리오네,213,162,서울 마포구 월드컵로19길 20 지층
1817130798,카인들리,19,2,서울 마포구 포은로 129 1층
1405907736,소소 베이크하우스,257,50,서울 마포구 포은로 146 1층
1502148422,고카페인클럽,326,418,서울 마포구 망원로2길 69 2층
