카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1233281842.0,Poke all day 포케&샐러드 연희점,927,6,서울 서대문구 연희로15길 39 1층
1826959498.0,스웨이커피스테이션,1082,6,서울 서대문구 연희로11길 61
1032580297.0,프로토콜 연희점,474,1004,서울 서대문구 연희로 109 2층
1677855640.0,보연희,473,295,서울 서대문구 연희맛로 17-63 2층
36543730.0,푸어링아웃,443,928,서울 서대문구 연희로11나길 7-7 반지층 카페 (푸어링아웃)
13413865.0,피터팬1978,3466,928,서울 서대문구 증가로 10
32982001.0,매뉴팩트커피,939,928,서울 서대문구 연희로11길 29
1485444554.0,앤트러사이트 연희점,1166,666,서울 서대문구 연희로 135 앤트러사이트 연희점
1588980015.0,에브리띵베이글,1248,594,서울 서대문구 연희로11길 29 1층 에브리띵베이글
1214851981.0,금옥당 연희점,1159,618,서울 서대문구 연희로11라길 2
1161125870.0,본지르르 연희,127,328,서울 서대문구 연희로 189-16 단독주택
1624356996.0,더반 베를린 연희점,19,29,서울 서대문구 연희로11가길 48-23 3층
1051152758.0,연희 에스프레소 바,88,188,서울 서대문구 연희로11가길 36 1.5층
1917836906.0,카시코이,182,213,서울 서대문구 성산로 253-4 금송빌딩 1층
1518411270.0,보케,159,101,서울 서대문구 연희로 116 2층 좌측
34326631.0,시간이머무는홍차가게,572,211,서울 서대문구 연희로16길 7-15 1층
1649486164.0,연희동 국화빵,19,66,서울 서대문구 연희맛로 17-21 1층
1304058353.0,디폴트밸류,730,330,서울 서대문구 성산로 333 1층(대로변)
1708381623.0,해피앤피스커피클럽,62,177,서울 서대문구 연희로 134 1층
1410811129.0,연희동오븐,243,375,서울 서대문구 연희로11나길 7-5 지1층
1467076256.0,비전스트롤 연희점,8,28,서울 서대문구 연희로11길 57 1층 2호
1604858931.0,lodge190,236,417,서울 서대문구 홍제천로 190
1642181766.0,알트,236,85,"서울 서대문구 연희로 122 경교빌딩 1층 104호, 105호"
1595735508.0,로덴드론 연희 1호점,1057,310,서울 서대문구 연희로25길 82
1568967528.0,컬러드 빈,234,310,서울 서대문구 연희로11가길 8-8 신관 컬러드빈
1656206859.0,그로밋커피하우스,55,82,서울 서대문구 연희로8길 16-6 베스트빌 1층 101호
1194851065.0,다도레 티룸,362,144,서울 서대문구 증가로 13-9 3층
1304262793.0,카페 데스툴 연희점,202,397,"서울 서대문구 연희로25길 98 서울 서대문구 연희로25길 98, 2층"
1505308863.0,뚤리,169,192,서울 서대문구 홍제천로 198 tuuli 뚤리
1478636575.0,쿳사 연희,1748,711,서울 서대문구 증가로 48
1635845245.0,연희양과점 연희점,429,238,서울 서대문구 연희로11가길 56 지층
1672337474.0,베지스,33,74,서울 서대문구 홍연길 87 1층(연희동)
1444051774.0,피크닉베이크,100,40,서울 서대문구 연희로11길 56 1층
1056913162.0,미도파,171,280,서울 서대문구 성산로 317 2층
1008629511.0,혹스턴,218,199,서울 서대문구 연희로 91 2층
1529107355.0,뉘블랑쉬,277,105,서울 서대문구 연희로15길 52 지층
19873189.0,제니스 까페,944,78,서울 서대문구 연희맛로 17-49
1488367668.0,감과당,72,50,서울 서대문구 증가로 24 2층
36462644.0,스타벅스 연희DT점,4423,50,서울 서대문구 연희로 144
1038765233.0,그로어스,979,1591,서울 서대문구 연희로27길 52
1779458685.0,다크에디션커피,36,20,서울 서대문구 연희로11마길 12 1층
1514592974.0,카페 니어리,9,2,서울 서대문구 성산로 374 1층
1352553531.0,포싵,7,17,서울 서대문구 연희로12길 10-4 1층 FAUCET
1534115818.0,티아레나,354,214,서울 서대문구 연희맛로 43-2
1299963885.0,프레스도넛 연희,414,128,서울 서대문구 연희로15길 43 1층
1115775390.0,해피헤비드링커,162,75,서울 서대문구 성산로 306 1층
1162811035.0,로우키 연희점,77,87,서울 서대문구 연희로11가길 48-4
1704067550.0,파츄코 파라다이스,11,4,서울 서대문구 연희로11가길 56 2층
32581553.0,콜드레시피,388,4,서울 서대문구 연희로11라길 2
1072773246.0,모와림,69,51,서울 서대문구 연희로11가길 36 1.5층 계단 안쪽
1697518534.0,객기,11,2,"서울 서대문구 증가로 49-1 1층 좌측호 , 금일식당 옆 통유리로 된 가게"
1449936639.0,뺑드에떼,123,21,"서울 서대문구 연희로 82 1층, A104호"
1783008026.0,시도 플레이스,948,276,서울 서대문구 연희맛로 7-7 시도 플레이스 1~2F
1077129581.0,까사드선주,159,34,서울 서대문구 연희로25길 72 지하1층
881841799.0,스타벅스 연희동점,3292,34,서울 서대문구 연희로 97
1726138744.0,미크 커피,45,57,서울 서대문구 홍제천로 156 1층 미크커피
195827937.0,곳간,637,57,서울 서대문구 성산로 317
35689660.0,본솔커피 연희점,374,168,서울 서대문구 증가로 82
1146822605.0,휴,20,12,서울 서대문구 연희로 46 1층
1223748463.0,카페 브라마솔레,33,34,서울 서대문구 연희로16길 7-9 1층 카페 브라마솔레 (연희동)
1631943127.0,니도 로스터리 연희,99,46,서울 서대문구 연희로 190 102호
37463436.0,버드스틱,72,52,서울 서대문구 증가로 49 1층 코너
1344278935.0,카페 베이지크,86,55,서울 서대문구 연희로15길 31 2층
