,code,menu_1,menu_2,menu_3,menu_4,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5,menu_5
부트 카페 연남,1673974291,커피32,라떼13,밀크티1,아메리카노1,커피32,라떼13,밀크티1,아메리카노1,맛34,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,매장이 청결해요,
차니베어스테이션,1225651194,컵케이크20,케이크17,커피8,라떼6,만족도78,맛47,분위기23,서비스16,목적7,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,파르페3
르누아즈,1662471064,커피23,케이크17,타르트10,스콘8,맛127,만족도80,서비스16,분위기11,메뉴7,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,아메리카노6
플리퍼스 연남점,1008547388,수플레24,케이크12,팬케이크8,커피6,맛39,만족도23,서비스7,분위기5,가격5,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,푸딩5
호안끼엠,1562184080,빙수71,망고빙수41,커피30,딸기빙수11,맛113,만족도77,서비스30,분위기26,가격4,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,라떼8
다레젤라또 연남점,1115566217,젤라또77,아이스크림25,흑임자12,얼그레이7,맛152,만족도68,서비스31,메뉴14,음식량3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요,밀크티7
1994SEOUL,1328645576,,,,,만족도8,맛3,약과2,다식2,서비스2,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,디저트가 맛있어요,음료가 맛있어요,
꾸다방,1530424893,커피48,휘낭시에19,라떼15,치즈6,맛100,만족도59,분위기23,서비스21,전망2,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요,크림라떼5
페어리 하우스,1384022341,커피2,라떼1,샌드위치1,아메리카노1,만족도5,맛4,분위기2,서비스2,전망1,,,,,,케이크1
카페늘보,1199284777,,,,,만족도26,서비스16,맛6,에이드5,분위기2,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,집중하기 좋아요,커피가 맛있어요,
바림케이크,1358257052,쿠키23,타르트23,케이크20,치즈19,맛77,만족도56,서비스36,분위기14,가격3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요,콘치즈13
리이슈커피로스터스,1510715349,커피17,라떼17,휘낭시에2,에스프레소1,맛24,만족도17,서비스4,분위기3,청결도1,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요,바닐라라떼1
다르 에스프레소바,1806446626,커피65,에스프레소25,라떼22,케이크9,맛65,만족도56,서비스26,분위기20,메뉴5,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,디저트가 맛있어요,핸드드립7
미로베이크,1155196632,커피11,케이크10,푸딩7,바나나푸딩6,맛59,만족도36,서비스8,메뉴7,목적5,디저트가 맛있어요,친절해요,커피가 맛있어요,빵이 맛있어요,매장이 청결해요,타르트6
데일리라운드,34079145,토스트27,파스타21,프렌치토스트18,샐러드18,맛199,만족도182,분위기91,서비스30,음식량16,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요,커피12
서울도넛츠 연남점,1910858491,도넛25,꽈배기13,커피4,우유3,맛109,만족도55,서비스20,가격4,분위기2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,커피가 맛있어요,초콜릿3
부빵,1528573639,소금빵12,커피5,아메리카노3,샌드위치3,맛59,만족도55,서비스21,분위기14,메뉴10,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요,바게트3
