word,count
커피,5245
스톤,3211
마일,3082
있다,3042
카페,1737
한남,1705
맛있다,1574
한남동,1542
점,1467
좋다,1354
맛,1026
라떼,994
주문,946
많다,913
것,910
같다,865
용산구,835
사람,781
곳,775
없다,758
자리,743
서울특별시,693
디저트,690
층,687
럼블,675
사진,665
수,652
더,642
한남대로,627
비엔나,606
티라미수,591
메뉴,540
원두,538
크림,535
때,526
시간,506
방문,505
맛집,499
아니다,486
카푸치노,485
나,475
진짜,432
저,427
애플,411
호주,408
테이블,398
팅,397
웨이,397
그렇다,389
추천,388
이,385
날,383
생각,376
스콘,375
아이스크림,372
느낌,369
또,364
좋아하다,362
친구,360
정말,360
우리,360
화이트,354
내부,346
분위기,343
내,343
플랫,340
유명하다,337
아메리카노,332
거,330
예쁘다,330
서울,329
바로,327
안,327
여기,323
웨이팅,323
매장,307
다음,298
직원,294
정도,294
하나,287
이다,277
아몬드,277
브라우니,276
디카,271
개,270
페인,269
핫,259
로스,246
공간,244
마일스톤,242
아이스,241
그,238
한강진역,238
평일,236
번,235
고소하다,234
오늘,232
주말,229
좀,226
달달,221
부드럽다,220
그냥,219
분,219
판매,218
제,216
중,215
오픈,214
매일,211
꼭,208
전,207
창가,206
앞,206
메뉴판,206
바닐라,206
가로수길,205
길,205
보고,203
명,203
집,201
다른,201
가능하다,199
조금,197
및,193
선택,192
친절하다,192
터스,191
위,189
듯,188
따뜻하다,187
역시,185
구경,185
아쉽다,179
위치,175
영업,174
귀엽다,170
도,169
주차,169
향,168
손님,167
뭐,166
동영상,166
근처,163
야외,162
버터,161
음료,160
요즘,160
만,160
처음,159
우유,157
아주,155
보기,149
인기,149
잔,149
입,147
깔끔하다,142
이태원로,142
시나몬,140
종류,140
다양하다,140
왜,140
대기,139
테라스,139
걸,138
못,138
궁금하다,137
드립,137
쇼룸,137
꽤,135
휴무,135
데이트,135
때문,134
일,133
저희,131
한번,130
사실,130
주차장,130
등,129
가격,128
이렇다,127
진하다,127
쪽,126
가지,126
너,124
말,124
이번,124
외관,123
좌석,122
이쁘다,122
편,122
다시,122
가게,121
날씨,120
오트밀,119
달,118
저녁,117
고민,117
기분,115
작다,113
빈,113
굿,112
이름,111
알,111
이용,110
게,110
쿠키,110
함,110
티,109
감성,109
추가,109
밖,109
해,108
물,108
골목,108
요,108
변경,108
구매,107
후,107
원래,106
두,106
옷,106
산미,105
자주,105
적당하다,105
계속,104
인,104
테이크아웃,104
옆,104
줄,104
브런치,103
모두,103
후기,103
눈,103
인테리어,102
마일스톤커피,101
빵,101
먼저,100
에스프레소,100
마스,98
살짝,97
뭔가,97
덥다,97
가능,97
춈미,97
수제,96
항상,96
컵,95
마음,95
거리,94
개인,93
참고,93
넓다,93
님,93
처,92
얼,91
예약,90
밀크,90
일단,90
시작,90
완전,90
조합,90
괜찮다,89
건,89
거의,89
게시,88
오후,88
카포네,88
가면,88
워낙,88
온,88
준비,87
도착,86
점심,86
밥,86
포스팅,85
기억,85
약간,85
북적,85
팔로워,84
팔로잉,84
신사동,84
지금,83
류,83
어떻다,83
차,83
먹기,82
보,81
이태원,81
편하다,80
자리다,80
난,80
아침,80
볼,79
여유,79
제일,79
직접,79
편이,79
간,78
모습,78
기본,77
둘,77
바,76
당일,75
안쪽,75
아인,74
오전,74
리스트,73
쿠폰,73
이제,73
뒤,73
한잔,73
인스타,73
금방,72
카페라떼,72
가장,72
츄러스,71
슈페,71
건물,70
/,70
위해,70
파이,70
운,70
포장,69
좁다,69
바쁘다,69
출구,69
최고,69
취향,69
신사,69
두유,69
다르다,68
배,68
잼,68
레몬,68
이야기,68
오,67
재,67
나들이,67
비주,67
"층
한남동",66
아아,66
별로,66
무조건,66
명절,65
피자,65
바깥,65
눅,65
음식,64
가야,64
이유,64
티라미슈,64
입구,64
만석,64
팀,63
힘들다,63
어디,63
가깝다,63
카운터,63
의자,63
행복하다,63
화장실,63
실내,62
를,62
혼자,62
주소,62
핫플,62
외부,62
예전,61
동시,61
굉장하다,61
작성,61
진열,61
비,61
엄마,60
리뷰,60
맘,60
끝,60
스타일,60
다행하다,59
추석,59
언니,59
핸드,59
만두,58
사용,58
계시다,58
마지막,58
자체,58
양,58
나중,58
오빠,58
사이즈,58
얼마,57
덕,57
가루,55
입장,55
전시,55
운영,55
식사,55
입맛,55
