word,count
있다,4289
맥심,3550
커피,2927
층,2743
플랜트,2705
카페,2169
한남동,1661
좋다,1617
수,1092
같다,876
것,855
곳,836
많다,814
지하,786
공간,776
자리,765
주문,743
원두,722
맛,692
없다,661
용산구,629
맛있다,626
사람,557
카누,553
서울특별시,537
이태원,519
이태원로,443
라떼,425
더,422
아메리카노,420
이,416
방문,413
때,403
시간,400
분위기,395
메뉴,394
테라스,392
느낌,390
생각,377
사진,374
저,372
이다,354
아니다,347
캡슐,346
넓다,345
케이크,341
나,332
다양하다,328
건물,310
한강진역,310
정말,309
내,308
추천,306
여기,302
음료,301
그렇다,297
그,293
이용,287
대형,286
선택,285
바로,283
거,282
서울,280
테이블,272
분,272
가격,269
날,265
안,252
디저트,251
구경,249
좋아하다,247
주차장,240
진짜,237
중,235
디카,235
페인,233
예쁘다,232
우리,232
팝업,231
판매,231
하나,228
좀,222
또,221
노트북,217
종류,217
화장실,217
번,216
한남,214
친구,213
쿠키,213
향,213
스토어,212
라운지,210
정도,210
매장,210
공부,209
주차,206
좌석,203
운영,203
가지,202
제,202
티,201
다른,200
이렇다,199
위치,199
골드,195
가능하다,195
맛집,189
듯,189
내부,185
카드,183
편하다,183
로스팅,183
그냥,174
오늘,173
지상,172
잔,172
인테리어,172
바,172
집,171
맥심플랜트,169
등,163
옆,163
에스프레소,163
전,161
아이스,161
공감각,160
길,159
처음,159
도,159
슈프림,158
점,156
다음,154
역시,153
산미,153
매일,151
개,151
보고,149
아주,149
데이트,148
후기,147
크림,147
브랜드,147
요,146
믹스,146
볼,145
거리,143
앞,143
꽤,141
작업,140
취향,139
괜찮다,139
위,137
컵,135
여유,134
현대,134
공장,132
주말,132
굿,131
때문,130
근처,128
모습,127
사실,127
꼭,126
조금,126
쪽,125
의자,125
한번,124
직원,124
브루잉,124
해,124
아쉽다,123
영업,123
날씨,121
조용하다,121
뷰,120
책,119
별로,119
직접,118
다시,118
마음,117
게,116
후,116
편,114
저희,114
설명,114
깔끔하다,114
높다,113
샌드위치,113
스타벅스,112
치즈,111
가장,111
다르다,109
일,109
핫,108
알,107
사용,107
말,107
어떻다,107
속,106
무료,105
걸,104
귀엽다,104
뭐,104
이번,103
달달,103
모두,102
요즘,102
오픈,101
클래스,101
궁금하다,100
류,100
음,100
전시,100
평일,99
혼자,98
공영,98
눈,98
규모,98
전체,97
시원하다,97
입구,97
신기하다,96
슈크림,96
컨셉,96
빵,95
머신,94
구매,93
장소,93
를,93
함,93
동서식품,93
못,92
먼저,92
야외,91
이쁘다,91
피자,91
개인,90
건,90
뭔가,90
덥다,90
초코,89
카운터,88
이제,88
보기,88
참고,87
기계,87
포스팅,87
재생,87
식물,86
계단,86
랩,86
만,85
온,85
엘리베이터,84
굉장하다,84
감,84
저녁,84
부드럽다,84
쾌적하다,84
고소하다,84
비싸다,84
베이커리,83
소개,83
음악,83
기분,83
로,82
준비,82
따뜻하다,82
유명하다,82
줄,81
밀크,81
제공,81
바닐라,81
일단,81
및,80
이벤트,80
거의,79
체험,79
커피믹스,78
진행,78
다크,78
미술관,78
예약,77
출구,77
바질,76
제일,75
명,75
멋지다,75
아래,75
메뉴판,75
살짝,74
가면,74
플래그,73
손님,73
도심,72
차,72
뒤,72
카페인,72
난,72
비,72
오후,71
맘,71
일반,71
블렌드,71
수다,71
보,70
진하다,69
완전,69
창가,69
편안하다,68
추출,67
리뷰,67
불가,67
라이브러리,67
리움,66
중간,66
증정,66
물,66
정원,65
스,65
새롭다,65
돈,65
재미,65
특별하다,65
가능,65
글,64
딥,64
두,64
경험,64
포장,63
발견,63
크리스마스,63
인,63
고민,63
잡고,63
용,62
컷,62
오레오,62
무,62
자주,62
초록,62
안내,62
인스타,62
바리스타,61
엄마,61
지금,61
도서관,61
왜,61
개방,61
다이브,60
이름,60
스페셜,60
대한,60
케익,60
입장,59
/,59
아아,59
기억,58
이야기,58
티그레,58
워낙,57
선물,57
원하다,57
도착,56
브루,56
고급,56
오렌지,56
오전,56
안쪽,56
시작,56
블로그,55
쑥,55
석,55
마련,55
약간,55
콜드,54
가깝다,54
가게,54
브,54
관련,54
간단하다,54
룸,54
달,54
콘센트,53
각,53
여러,53
자몽,53
자체,53
이상,53
밖,53
나들이,53
타고,53
제품,53
우유,53
자리다,52
작다,52
코스,52
원래,52
녹차,52
리저,52
스토리,52
무엇,51
문,51
카페라떼,51
산,51
한잔,51
이드,51
머그컵,51
이동,51
의,50
적당하다,50
공유,50
드립,50
시,50
남편,50
모카,50
인기,49
음식,49
논,49
답,49
구성,49
모임,49
리,49
외관,49
하루,49
밉다,49
나름,49
티라미수,48
간,48
어디,48
임,48
위해,48
접기,48
수도,48
강진,48
밥,48
너,48
패션,47
가기,47
처,47
샐러드,47
통해,47
배,47
총,47
크게,47
작품,46
먹기,46
메인,46
위트,46
식사,46
동영상,46
인근,46
재,46
감성,46
정보,46
겸,46
겨울,45
호텔,45
비슷하다,45
업무,45
가득하다,45
텀블러,45
기대,45
거나,45
소파,45
봄,44
바람,44
힘들다,44
본인,44
이유,44
달라,44
핑크,44
할인,44
사이,44
춥다,43
하니,43
회사,43
끝,43
곳곳,43
여름,43
실제,43
실내,43
데,43
나중,43
항상,43
땐,43
한정,42
주소,42
몇,42
부터,42
마지막,42
매우,42
모든,42
예전,42
입,42
카,42
세,41
행사,41
대로,41
금방,41
천장,41
자연,41
이태원역,41
문화,41
브런치,41
오,41
기본,41
대화,41
매력,41
블루,41
종이,41
엄청나다,40
굿즈들,40
바디,40
존,40
계시다,40
와이파이,40
은,40
쇼파,40
엘레베이터,40
세트,39
동네,39
스타일,39
네이버,39
즐겁다,39
그림,39
꽃,39
상품,39
소품,39
점심,39
세상,38
루프,38
잠깐,38
부자,38
터,38
강하다,37
언니,37
이미지,37
배치,37
외,37
통,37
심플,37
아포가토,37
드,37
커다랗다,37
탑,37
디자인,37
수가,37
계속,36
라이트,36
플랜,36
여행,36
카공,36
풍경,36
거대하다,36
기도,36
유리,36
가득,36
좋은,36
전용,36
깊다,35
웨이팅,35
입맛,35
"맥심플랜트,",35
남,35
변,35
추가,35
솔직하다,35
불편하다,35
보이,35
식당,35
친절하다,35
제대로,35
보통,35
찍,35
만석,35
저렴하다,35
밑,34
부분,34
재밌다,34
화이트,34
로스,34
편이,34
안되다,34
둘,34
크로와상,34
가운데,34
장식,34
포토,34
머그잔,34
|,34
얼마,34
양,34
동안,34
핸드,34
베이글,34
최고,33
화이트골드,33
버터,33
주,33
한쪽,33
문구,33
고급스럽다,33
트리,33
관심,33
일찍,33
찍기,33
하늘,33
전문,33
패스,33
가을,33
방법,32
엘베,32
연중,32
뿐,32
찾기,32
삼겹살,32
여,32
무난,32
놀,32
앤,32
진열,32
도보,32
디,32
참여,32
거기,32
고객,31
무슨,31
밤,31
대형카페,31
살,31
대기,31
쭉,31
확실하다,31
얼,31
평소,31
상,31
팅,31
가볍다,31
고가,31
스카이,31
단,31
스퀘어,31
경우,31
요기,31
대기업,31
벽,31
해도,31
스콘,31
드립커피,31
형태,31
스벅,31
삼계탕,31
무조건,31
말차,30
달콤하다,30
여자,30
충분하다,30
교육,30
특이하다,30
면,30
조명,30
집중,30
인스타그램,30
신선하다,30
변경,30
도넛,30
야하다,30
늘,30
손,30
남자친구,30
활용,30
팔고,30
연말,30
곳도,29
우선,29
주변,29
인스턴트,29
진심,29
표현,29
통창,29
테이프,29
초콜릿,29
볼펜,29
아이스크림,29
홈페이지,29
나무,29
딱이다,29
조화,29
"이태원로
한남동",29
행복하다,28
마스,28
카라멜,28
얘기,28
로스트,28
홍보,28
그대로,28
은근,28
감각,28
시나몬,28
가끔,28
어렵다,28
스터디,28
약속,28
제조,28
막,28
연필,28
우린,28
:,28
구조,28
마치,27
사랑,27
아인,27
착하다,27
얼음,27
잠시,27
여기저기,27
만족,27
조합,27
덜,27
의미,27
자세하다,27
라면,27
호선,27
깨끗하다,27
답답하다,27
서비스,27
탁,27
뒷길,27
족,27
치킨,27
기회,27
아이,27
한참,27
중이,27
핫플,27
모양,27
힙,27
조형,27
만족스럽다,27
고기,27
코로나,27
대부분,27
커서,26
나쁘다,26
각각,26
첫,26
기준,26
불구,26
웨이,26
층별,26
아인슈페너,26
슈페,26
주로,26
가루,26
선호,26
인생,26
골든,26
샷,26
등등,26
병,26
멀다,26
낮,26
전혀,26
신경,26
위로,26
버스,26
착석,26
인상,26
사고,26
운,26
마시기,26
박스,25
더욱,25
독서,25
아포,25
스모,25
방향,25
맥,25
통째,25
만큼,25
또한,25
별,25
신청,25
당연하다,25
창문,25
주제,25
킹,25
적,25
심지어,25
바깥,25
스위트,25
전화번호,25
-,25
아이패드,25
그릇,25
헤이즐넛,25
옷,25
담,25
시즌,25
얼마나,25
겨우,25
창,25
세련되다,25
지난,25
보시,24
휴식,24
다만,24
센스,24
아트,24
동생,24
스럽다,24
안녕하다,24
덕분,24
진동,24
무려,24
오틀리,24
최근,24
광고,24
벨,24
어마어마하다,24
상태,24
장,24
가야,24
마무리,24
촬영,24
배경화면,24
포인트,24
블렌딩,24
미가,24
맥심플랜트	한남동,24
기,24
저기,24
마침,24
과자,24
필요하다,24
와인,23
블랜드,23
충전,23
글귀,23
관람,23
왼쪽,23
대해,23
대신,23
쉬,23
님,23
평,23
장점,23
오른쪽,23
출처,23
골목,23
전부,23
평범하다,23
비주,23
힐링,23
낮다,23
스틱,23
움,23
품,23
마,23
구입,23
뮤직,23
역,23
값,23
기록,23
확인,23
걱정,23
색,23
진,23
뻥,22
묵직하다,22
기간,22
당근,22
확,22
급,22
랄,22
아침,22
미리,22
햇살,22
싫어하다,22
존맛,22
특징,22
먹음,22
흑임자,22
트,22
잡기,22
로고,22
순간,22
배고프다,22
치즈케이크,22
정신,22
일상,22
미니,22
탄산수,22
대표,22
도전,22
아보카도,22
조각,22
과정,22
라운드,21
베이스,21
성,21
결정,21
채광,21
기대하다,21
필수,21
반대편,21
전시회,21
가든,21
인지,21
