word,count
있다,329
베르나르도,279
카페,257
디저트,144
그릇,134
한남,118
커피,98
한남동,98
예쁘다,95
좋다,94
수,89
것,80
나인,78
맛있다,78
곳,77
같다,73
주문,71
접시,68
맛,57
지하,55
브랜드,55
많다,54
가격,53
구경,50
층,49
용산구,48
테이블,47
사진,47
이,47
잔,46
음료,45
때,44
아니다,43
매장,43
이쁘다,43
찻잔,42
티,42
없다,41
저,40
프랑스,38
서울특별시,38
식기,38
내,38
한남대로,38
메뉴,38
메이,37
생각,36
나,36
여기,35
눈,35
방문,35
마카롱,34
분위기,33
고급스럽다,33
등,33
블루,33
정말,33
친구,32
이렇다,32
날,31
하나,31
선택,30
더,30
좋아하다,30
보틀,29
아이스,29
바로,28
사람,28
이다,27
아메리카노,26
시간,26
라떼,25
안,25
비싸다,24
거,24
명품,24
자리,23
다음,23
저희,23
세트,23
집,23
또,23
오늘,23
중,22
주차,22
점,22
도자기,21
전,21
인테리어,21
제,21
작품,21
느낌,21
좀,20
위치,20
따뜻하다,20
옆,20
취향,20
판매,20
우리,20
라인,20
다시,19
요,19
자기,19
유명하다,19
분,18
다양하다,18
위,18
바니,18
진짜,17
꼭,17
웨어,17
제품,17
가지,17
화려하다,17
케이크,17
때문,17
갤러리아,17
맛집,17
생일,17
귀엽다,17
추천,16
핫,16
전시,16
가장,16
공간,16
서울,16
고급,16
그,15
밀,15
입,15
샵,15
번,15
그냥,15
역시,15
듯,15
사실,15
크림,15
다른,15
사용,14
건,14
운영,14
말,14
나인원,14
코스,14
한번,14
모두,14
마음,14
아쉽다,14
가능하다,14
예약,13
종류,13
페이,13
정도,13
발렌티노,13
해,13
겸,13
어떻다,13
차,13
컬렉션,13
식,13
스타일,13
조용하다,13
부티크,12
처음,12
리뷰,12
플레이,12
레스토랑,12
내부,12
커피잔,12
디자인,12
데이트,12
발렛,12
기류,12
푸드코트,12
원하다,12
에퀴메,12
동생,12
후기,12
먼저,12
개,12
스토어,12
마얘,11
직접,11
그렇다,11
새롭다,11
편이,11
이태원,11
포인트,11
데,11
알,11
나중,11
컵,11
메뉴판,11
요즘,11
선물,11
서비스,11
용,11
구매,11
메,11
팝업,11
브로,11
의,11
보고,11
앞,11
기분,11
디져트,10
음식,10
오,10
손,10
고민,10
뷰티,10
후,10
블랙,10
보기,10
최고,10
오른쪽,10
그림,10
주말,10
우아하다,10
직원,9
건물,9
도,9
전통,9
향,9
쪽,9
이번,9
이상,9
영업,9
달달,9
줄,9
고소하다,9
볼,9
트,9
공기,9
화이트,9
편,9
로,9
케익,9
즐겁다,9
깔끔하다,9
파블로바,9
구찌,9
조명,8
이용,8
터눈티,8
편안하다,8
제일,8
및,8
샌드위치,8
장,8
타고,8
컬러,8
인,8
간단하다,8
작다,8
포스팅,8
새,8
한참,8
못,8
식사,8
카페라떼,8
난,8
를,8
명,8
여유,8
에프,8
꽃,8
재미,8
새우,8
조금,8
핑크,8
좌석,8
시,8
두,8
준비,8
백화점,8
설명,8
이제,8
팅,8
바,8
만,8
진하다,8
머랭,8
쇼룸,7
뷰,7
게,7
살짝,7
타임,7
바리스타,7
바닐라,7
피자,7
여러,7
매우,7
정,7
식당,7
가면,7
샴페인,7
롱,7
테라스,7
네이버,7
처,7
아이스크림,7
온,7
브런치,7
저그,7
밥,7
언니,7
별로,7
사이즈,7
최초,7
상큼,7
예전,7
도착,7
버터,7
입점,7
맘,7
왼쪽,7
산,7
얼,7
물,7
점심,7
양,7
모던,7
마을,7
티타임,7
레몬,7
터,7
가게,7
아주,7
걸,6
멋지다,6
일,6
원래,6
블로그,6
개인,6
밑,6
콜라보,6
간,6
은,6
품,6
촬영,6
매일,6
장인,6
여수,6
친절하다,6
뭐,6
쿠키,6
진열,6
와인잔,6
주,6
바삭,6
특이하다,6
위해,6
주차장,6
사고,6
비,6
덥다,6
항상,6
일단,6
밖,6
심플,6
고메494,6
애프터눈티,6
밀크,6
차비,6
오빠,6
무난,6
편하다,6
소,6
결합,6
비주,6
저격,6
야하다,6
아이,6
관심,6
저녁,6
완전,6
제프쿤스,6
안되다,6
세계,6
꽤,6
버스,6
파스타,6
카운터,6
고기,6
대신,6
쇼케이스,6
팔고,6
썸머,6
땀,6
진,6
산미,6
행복하다,5
원두,5
이후,5
고메이494,5
금,5
세상,5
호텔,5
엄마,5
계시다,5
결혼,5
입구,5
동료,5
얼른,5
아우,5
괜찮다,5
자체,5
움,5
보이,5
베르나르,5
무료,5
근처,5
함,5
부산,5
셀프,5
테이크아웃,5
소스,5
라면,5
색,5
아아,5
돈,5
마치,5
오디,5
비교,5
아래,5
주소,5
베이커리,5
벌룬,5
톤,5
스카치,5
망고,5
초코,5
코르,5
젤라또,5
류,5
뒤,5
왜,5
답,5
미치다,5
중간,5
평일,5
확실하다,5
남편,5
제프,5
