word,count
카페,1642
있다,1345
오라,948
한남동,841
좋다,825
같다,598
커피,565
분위기,531
것,506
곳,470
사진,438
느낌,437
맛있다,437
용산구,414
맛,391
서울특별시,375
길,357
예쁘다,357
층,346
유럽,345
없다,338
주문,327
이태원로,323
메뉴,309
케이크,306
많다,305
친구,288
더,286
수,273
날,269
사람,268
나,250
와인,248
저,248
티,244
때,243
감성,242
자리,233
거,229
진짜,222
테이블,215
이,214
시간,212
정말,210
디저트,208
아니다,201
생각,201
라라,200
좋아하다,196
여기,193
그렇다,189
안,188
또,182
하나,169
우리,163
내,159
음료,158
내부,156
이다,155
프랑스,150
공간,149
한남,147
바로,146
제,141
방문,141
테라스,141
듯,133
추천,132
밀크,129
맛집,127
바,126
좀,126
바닐라,125
명,125
서울,121
파리,120
개,120
초콜릿,118
전,116
메뉴판,116
이렇다,114
위치,114
그,113
보고,113
및,113
귀엽다,112
잔,112
그냥,110
달달,110
인테리어,109
집,108
저녁,107
다음,107
정도,106
한강진역,106
오늘,106
아메리카노,105
다쿠아즈,105
날씨,104
오라라,104
만,104
향,103
동영상,103
외관,102
중,101
요즘,101
번,100
비체린,100
조금,99
크림,99
라떼,99
작다,98
다른,95
때문,93
매일,93
프렌치,91
술,90
맥주,89
안쪽,89
종류,88
따뜻하다,88
게,86
사실,86
앞,85
처음,85
이태원,85
가격,85
유명하다,84
말,83
아쉽다,82
이쁘다,82
꼭,80
언니,80
기분,79
벌꿀,78
낮,78
LA,78
성,77
거리,77
치즈,77
요,77
칵테일,77
판매,77
핫,76
쪽,76
가게,76
너,75
의자,75
눈,75
분,75
포스팅,75
구경,75
저희,74
점,74
뭔가,74
약간,73
온,73
영업,73
다시,72
아주,72
위스키,71
이드,70
보기,69
밤,68
괜찮다,68
야외,67
빈티,67
입구,66
위,66
아이스,66
물,65
다양하다,65
알,65
한잔,64
마음,64
운영,64
기억,64
살짝,62
초코,62
한번,62
간판,61
못,61
해,61
꽤,60
파스타,60
화이트,59
비,59
피자,58
매장,58
근처,58
차,58
역시,56
함,56
밥,56
허니,56
등,55
손님,55
걸,55
뭐,54
제일,54
조용하다,54
오픈,53
부드럽다,53
소품,53
예약,52
골목,52
코코아,52
알콜,52
앤,52
입,51
가면,51
평일,51
적당하다,51
이름,50
컵,50
조명,50
완전,50
밖,50
월넛,49
달,49
데이트,49
사장,49
님,49
게시,48
줄,48
용,48
주말,48
밀리,47
팔로워,47
발견,47
팔로잉,47
지금,47
취향,46
시작,45
슈페,44
쇼룸,44
일,44
문,44
음식,44
도,44
후기,44
두,44
얼,44
카운터,44
건,43
원래,43
거울,43
왜,43
팅,43
후,43
참고,42
드,42
고민,42
옆,42
간,42
여행,41
구,41
이번,41
OH,41
자주,41
별로,41
편,41
난,40
원인,40
진하다,40
수다,40
혼자,40
슈페너,40
꿀,40
카푸치노,40
설탕,40
액자,40
블루,39
벽,39
화장실,39
여유,38
가장,38
마지막,38
네이버,38
나들이,38
얼그레이,38
레몬,38
에스프레소,38
가지,37
덥다,37
가기,37
