word,count
빵,281
있다,221
프렌떼,217
층,211
한남,190
카페,157
바게트,118
한남동,118
맛있다,111
베이커리,106
좋다,86
소금,82
크림,66
커피,58
같다,58
많다,52
것,51
주문,51
수,49
맛,48
샌드위치,46
용산구,45
길,43
맛집,43
프랑스,41
이태원로,41
종류,40
곳,39
루프,37
분위기,37
방문,37
없다,37
탑,36
시간,36
탁틴,36
정말,35
이다,35
다양하다,34
치즈,33
아니다,32
예쁘다,32
느낌,31
빵집,31
옥수수,31
메뉴,30
때,28
서울특별시,28
저,28
포장,27
테이블,27
인테리어,27
디저트,26
사진,26
이,26
날,26
브런치,25
사람,25
공간,25
휴무,25
더,23
감성,23
벽돌,23
꼭,22
하나,22
자리,22
월요일,22
다음,21
아메리카노,21
유럽,21
음료,21
듯,20
생각,20
한강진역,20
테라스,19
매장,19
제,19
초코,18
퐁퐁,18
비,18
안,18
여기,18
번,18
진심,17
매일,17
케이크,17
처,17
고소하다,17
유명하다,17
건물,16
진짜,16
그렇다,16
넓다,16
좋아하다,16
외관,16
서울,16
달달,16
그냥,15
라떼,15
거,15
따뜻하다,15
또,14
진열,14
부드럽다,14
사실,14
야외,14
우리,14
타르트,14
명란,14
중,14
영업,14
속,14
일,13
바로,13
집,13
오,13
단호박,13
버터,13
좌석,13
내부,13
위치,13
작다,12
피스타치오,12
오늘,12
구경,12
쇼콜라,12
담백하다,12
이용,12
계단,12
주소,12
처음,12
굉장하다,12
정기,12
준비,12
앞,12
덥다,12
아쉽다,11
전,11
클래식,11
나,11
판매,11
조용하다,11
다른,11
류,11
가격,11
출구,11
우드,10
그,10
화장실,10
친구,10
가득,10
고민,10
및,10
감자,10
날씨,10
조금,10
아침,10
자체,10
완전,10
등,10
근처,10
빨갛다,10
요즘,10
분,10
행복하다,9
좀,9
먹기,9
추천,9
제리,9
입구,9
정도,9
식감,9
토마토,9
모형,9
천연,9
누,9
거리,9
향,9
카페인,9
케익,9
보고,9
때문,9
메뉴판,9
다시,9
가득하다,8
버터빵,8
아인,8
식사,8
조합,8
화,8
품절,8
해,8
제대로,8
오픈,8
뭔가,8
가게,8
기분,8
프렌치,8
발견,8
저희,8
떼,8
프렌,8
가지,8
꽤,8
이렇다,8
내,8
발효종,8
트리플,8
너,7
"층
한남동",7
은,7
블,7
바삭,7
가능하다,7
수가,7
촉촉하다,7
깔끔하다,7
개,7
슈페,7
여행,7
직원,7
볼,7
제일,7
까눌레,7
위,7
