word,count
있다,189
티,163
오설록,130
좋다,97
하우스,92
한남,92
갤러리,88
녹차,65
점,64
카페,63
것,59
페이스,59
한남동,58
같다,51
층,49
맛,48
차,46
커피,45
전시,43
용산구,41
수,40
주문,40
메뉴,39
곳,39
말차,38
서울특별시,38
제주,35
이태원로,35
분위기,35
느낌,34
칵테일,34
나,34
서울,31
때,29
더,28
많다,27
공간,27
조용하다,27
맛있다,26
없다,26
작품,24
예쁘다,24
향,23
판매,23
우리,22
사람,22
사진,21
날,21
정말,21
디저트,20
진짜,20
자리,19
라떼,18
안,18
거,17
다양하다,17
잔,17
이,17
구경,16
아니다,16
맛집,16
방문,16
그렇다,15
포스팅,14
중,14
따뜻하다,14
블랙,14
기분,14
뷰,13
모래시계,13
추천,13
그,13
가격,13
시간,13
매장,13
난포,13
생각,13
저,13
좀,12
또,12
좋아하다,12
케이크,12
위치,12
하나,12
한잔,12
스톤,11
쪽,11
꽤,11
마일,11
듯,11
깔끔하다,11
그림,11
메뉴판,11
일,10
이다,10
한라산,10
너,10
작다,10
집,10
인테리어,10
등,10
제주도,10
보고,10
팅,10
아래,10
트리,10
여기,10
영업,10
내,10
주말,10
옆,10
직원,9
오설록티하우스,9
역시,9
내부,9
함,9
크림,9
시트,9
무엇,9
종류,9
베이스,9
입구,9
정도,9
친구,9
부드럽다,9
주차,9
음료,9
이쁘다,9
진하다,9
다른,9
예술,9
은은하다,8
달콤하다,8
차로,8
바글,8
카페인,8
이렇다,8
차갑다,8
개인,8
초코,8
번,8
오픈,8
아이스,8
시원하다,8
눈,8
다음,7
하얏트,7
궁금하다,7
인,7
꼭,7
위,7
조금,7
팀랩,7
다운,7
말,7
뭐,7
물,7
쑥,7
설명,7
타우,7
후,7
어떻다,7
약간,7
건물,7
요,7
딸기,7
및,7
호텔,7
벽,7
섬,7
아쉽다,7
대화,7
아침,7
새롭다,7
입,7
밭,7
찻잎,7
티백,7
미국,7
만,7
분,7
온,7
발견,6
차분하다,6
길,6
톤,6
처음,6
주심,6
도,6
거울,6
저녁,6
약과,6
스팟,6
안쪽,6
끝,6
케익,6
매력,6
근처,6
롤케이크,6
앞,6
불가,6
카운터,6
야외,6
보기,6
아주,6
미술관,6
볼,6
테이블,6
비싸다,6
팬케이크,6
구매,6
비주,6
고급스럽다,6
음미,6
현무암,6
감,6
요런,6
얼마,6
웨이,6
맘,6
답,6
돌담,6
덥다,6
가기,6
그레이스,6
줄,6
숲,5
별로,5
우려,5
슈페너,5
포토,5
실제,5
배,5
어,5
완전,5
시,5
준비,5
무료,5
가깝다,5
가능하다,5
한번,5
사실,5
한강진역,5
때문,5
한적하다,5
