word,count
있다,93
좋다,58
것,57
맛있다,56
케이크,53
같다,52
서울,50
맛,43
없다,38
정말,32
내,31
생일,31
길,29
날,29
수,28
쇼토,28
디저트,26
그렇다,26
카페,25
더,25
생각,25
거,25
곳,23
한남동,22
아니다,22
좋아하다,22
커피,21
친구,21
이,21
서울특별시,21
해,20
집,19
케익,19
전,18
사진,18
강남구,18
나,18
층,18
또,17
많다,17
예쁘다,16
빵,16
재인,15
가격,15
딸기,15
안,15
아쉽다,15
다른,15
시간,14
가로수길,13
한남,13
때,13
개,13
그,13
주문,13
메뉴,13
좀,12
느낌,12
홀,12
중,12
장미,11
우리,11
바,11
만,11
기분,11
사실,10
포장,10
때문,10
다음,10
요즘,10
프레지,10
바로,10
가장,10
식당,10
뭐,10
이다,9
못,9
사람,9
방문,9
이렇다,9
저,9
점,9
압구정로,9
진짜,9
구매,9
부드럽다,9
쇼트,9
기억,9
로브,9
하나,9
향,8
듯,8
제,8
블로그,8
음식,8
아침,8
소금,8
오픈,8
신사,8
마음,8
용산구,7
테이블,7
가족,7
조금,7
여기,7
입,7
역시,7
내부,7
몇,7
코로나,7
가게,7
비싸다,7
처음,7
정도,7
기대,7
포스팅,7
소설,7
다시,7
왜,7
애플,7
번,7
분,7
스토어,7
샐러드,7
제일,6
메인,6
엄마,6
귤,6
딥,6
아더,6
오늘,6
그냥,6
자리,6
저녁,6
둘,6
꽤,6
근처,6
거의,6
시트,6
유명하다,6
분위기,6
신사동,6
이번,6
뭔가,6
김,6
가능하다,6
이제,6
가기,6
이유,6
선물,6
과일,6
티크,6
밥,5
방,5
+,5
누,5
호텔,5
상태,5
취향,5
플래그,5
생크림,5
꼭,5
비슷하다,5
고양,5
조합,5
신라,5
알,5
크림,5
초,5
이태원로,5
어떻다,5
약간,5
서비스,5
청포도,5
예약,5
게,5
별로,5
튀김,5
초코,5
위,5
귀가,5
후기,5
바람,5
미리,5
압구정,5
르,5
두,5
빵케팅,5
말,5
난,5
월요일,5
글,5
점심,5
보고,5
성수동,5
영업,5
자주,5
판매,5
모습,5
행복하다,4
원래,4
이용,4
계속,4
개인,4
베이커리,4
스페이스,4
이름,4
날씨,4
티,4
괜찮다,4
터스,4
예전,4
마들렌,4
편이,4
자체,4
쪽,4
단맛,4
콘하스,4
안되다,4
물,4
한번,4
마카,4
비,4
만족스럽다,4
깔끔하다,4
바쁘다,4
달달,4
선배,4
일단,4
보기,4
눈,4
무엇,4
코엑스,4
소고기,4
쿄쿄,4
현대,4
일기,4
추천,4
지금,4
망고,4
입구,4
도,4
마지막,4
로스,4
편지,4
새롭다,4
파이,4
애,4
가득,4
술,4
식사,4
/,4
매일,4
가지,4
늘,4
망원,4
구경,4
지하,4
케이,4
디쉬,4
한국,4
어렵다,4
약속,4
연희동,4
귀엽다,4
강진,4
처,4
걸,3
일,3
재미있다,3
인생,3
베스트,3
메밀,3
밑,3
세상,3
더욱,3
참고,3
런,3
수플레,3
풍경,3
만당,3
차,3
가야,3
투썸,3
작다,3
아메리카노,3
동생,3
점심시간,3
마카롱,3
인테리어,3
건,3
목요일,3
완벽하다,3
맘,3
미치다,3
맛집,3
하루,3
쿄,3
양,3
소개,3
위해,3
기념,3
촉촉하다,3
마치,3
최고,3
느끼하다,3
룸,3
복숭아,3
머리,3
곳도,3
먹기,3
고기,3
동물,3
옥,3
오히려,3
달,3
요리,3
겨우,3
항상,3
크게,3
후,3
세,3
바나나,3
모두,3
먹보,3
다이어트,3
대단하다,3
수제비,3
시작,3
유독,3
고소하다,3
갑자기,3
아주,3
진,3
카드,3
요,3
두릅,3
얼그레이,3
새우,3
궁금하다,3
고구마,3
고급스럽다,3
오전,3
샤인,3
탬버린,3
퀄리티,3
브라운,3
콜드,3
파티쉐,3
대치동,3
잔,3
굉장하다,3
덕분,3
화분,3
떡,3
로,3
일상,3
산책,3
이태원,3
키,3
은,3
폭,3
창원,3
출신,3
초코바나나,3
전혀,3
바오,3
맛없다,3
품절,3
:,3
가면,3
부산,3
애매하다,3
명,3
응암동,3
그게,3
파티,3
길다,3
건강하다,3
채소,3
기대하다,3
브루,3
위치,3
필수,3
하이,3
아시,3
탈출,3
언제,3
조용하다,3
면,3
홍,3
옆,3
계획,3
피스,3
다람쥐,3
돈,3
에스프레소,3
사,3
온,3
일정,3
그동안,3
떡갈비,2
단,2
소르베,2
데코,2
가득하다,2
뷰,2
촉촉,2
띠제,2
평,2
몇번,2
꽃잎,2
라이브러리,2
신하,2
사랑,2
자꾸,2
흑임자,2
비교,2
전체,2
편안하다,2
아몬드,2
데이,2
주산,2
금액,2
그릭,2
다양하다,2
주소,2
언니,2
및,2
칙피스,2
해결,2
저희,2
쿼터,2
개별,2
반도,2
모듈,2
스트로베리,2
사이즈,2
형현,2
전반,2
어차피,2
집들이,2
인,2
드,2
오메,2
창덕궁,2
장소,2
나쁘다,2
논현로,2
피스타치오,2
밤,2
동네,2
좀더,2
식감,2
성,2
봄,2
급,2
꼬리,2
뭉자씨,2
자켓,2
매우,2
전시,2
지름,2
밀크,2
여유,2
소리,2
자의,2
심지어,2
묵직하다,2
에러,2
하우스,2
막판,2
커서,2
배,2
앤,2
향수,2
조그마하다,2
간판,2
결과물,2
목포,2
정,2
도쿄,2
정기,2
대비,2
힘들다,2
이전,2
