word,count
있다,94
곳,51
층,39
카라멜,36
한남,30
서울특별시,28
카페,22
한남동,21
좋다,21
서울,21
같다,20
많다,20
용산구,17
공간,17
인덱스,17
성수,17
맛있다,15
다양하다,15
지하,14
인사동,14
없다,13
데이트,13
것,12
커피,12
길,12
연방,12
코스,12
맛,12
우리,12
수,11
파리,11
구경,11
나,11
분위기,11
현대,10
느낌,10
집,9
시간,9
건물,9
소품,9
관람,9
언니,9
번,9
메뉴,9
국립,9
쇼핑,9
이,9
날,9
실내,9
미술관,9
수현,9
예쁘다,8
메이,8
내,8
예약,8
화이트,8
더,8
전시,8
개,8
안녕,8
복합,7
그렇다,7
성동구,7
아니다,7
매장,7
가능하다,7
볼거리,7
성수동,7
마음,7
코엑스,7
진짜,7
좋아하다,7
여기,7
입점,7
관,7
저,7
랍,7
정말,7
하나,7
귀엽다,7
브랜드,7
출구,7
책,6
이용,6
거리,6
생각,6
카,6
서점,6
와인,6
규모,6
사진,6
감자,6
입구,6
중,6
매일,6
내부,6
가지,6
진열,6
베베르,6
편집,6
종로구,6
때,6
깔끔하다,6
점,6
야외,6
스토어,6
문화,6
멋지다,5
달라,5
띵굴,5
또,5
그냥,5
떡,5
한자리,5
이태원로,5
마켓,5
작품,5
바로,5
제일,5
추천,5
미터,5
쪽,5
등,5
주문,5
옷,5
명,5
판매,5
브런치,4
꼭,4
신나다,4
아트,4
배,4
살,4
패키지,4
방문,4
화공,4
꽤,4
이렇다,4
방앗간,4
모노,4
에르,4
동남,4
걸,4
여행,4
좀,4
발견,4
푸드코트,4
강원도,4
안,4
전,4
여기저기,4
새롭다,4
구입,4
역시,4
사람,4
포인트,4
사이드,4
테라스,4
종로,4
한번,4
듯,4
상점,4
마치,3
포장,3
쿨러,3
보,3
아래,3
낱개,3
밤떡,3
취향,3
커피한잔,3
세트,3
커먼그라운드,3
도,3
피자,3
너,3
강남구,3
앤,3
제품,3
대사관로,3
갤러리,3
맛집,3
하루,3
콘,3
앞,3
보고,3
멋,3
필수,3
볼,3
노래,3
영업,3
항상,3
길거리,3
모두,3
뷰,3
젤,3
빈,3
옆,3
분,3
즐,3
오브,3
문,3
공주,3
이다,3
생,3
영동대로,3
조개,3
가나,3
존,3
계단,3
상이,3
지금,3
거대하다,3
파리시,3
아카이브,3
감,3
자리,3
단호박,3
앤북,3
모얌,3
골,3
한남대로,3
미니,3
외관,3
총,3
해,3
알밤,3
부드럽다,3
바질,3
칸쵸,3
자주,3
추가,3
만,3
이야기,3
아주,3
사서,3
집집,2
바게트,2
인증샷,2
관련,2
뮤,2
연결,2
트,2
요,2
박스,2
편하다,2
볶음,2
지상,2
세상,2
해결,2
달콤하다,2
엄청나다,2
스티커,2
아쉽다,2
구매,2
날씨,2
그,2
고급스럽다,2
마지막,2
음악,2
인원,2
광진구,2
플라워,2
연남,2
박국,2
전시장,2
이솝,2
레스토랑,2
설레다,2
넘버,2
제한,2
오늘,2
판이,2
이번,2
키,2
입,2
은,2
한참,2
품,2
복판,2
어디,2
무료,2
가깝다,2
소중하다,2
프렌즈,2
중앙,2
세계,2
둘,2
건대,2
여유,2
다음,2
옥수수,2
실,2
크렘드마롱,2
오스,2
글,2
창가,2
전광판,2
놈,2
각종,2
빛,2
아크,2
종류,2
근대,2
바지,2
모던,2
파스타,2
컬러풀,2
얇다,2
길다,2
리스트,2
당황,2
저기,2
찍기,2
북스,2
안국역,2
가능,2
스프,2
이제,2
달달,2
스틸,2
라이프스타일,2
각자,2
뚝섬,2
어떻다,2
가세,2
다시,2
색,2
식품,2
눈,2
밖,2
고객,2
안주,2
업,2
디저트,2
아몬드,2
스튜,2
별로,2
테이블,2
샌드위치,2
얘기,2
포토,2
인,2
등등,2
미디어아트,2
가장,2
고구마,2
동네,2
전시관,2
밤,2
앤드,2
아메리카노,2
핫,2
스럽다,2
팝업,2
티,2
감자칩,2
연어,2
친구,2
굉장하다,2
간,2
닉,2
밀,2
모어,2
셋트,2
비슷하다,2
색상,2
"한남,",2
슈가,2
두,2
삼청로,2
/,2
뻔,2
운영,2
갤러리아,2
난,2
연,2
한시,2
디자인,2
"성수연방,",2
가면,2
플랫,2
스타일,2
지엄,2
종종,2
신상,2
아이스,2
개성,2
생활용품,2
시설,2
학기,2
가격,2
알,2
굿,2
먹거리,2
하프,2
감상,2
크림,2
내추럴,2
음료,2
스케쥴,2
조용하다,2
대박,2
가게,2
면,2
가방,2
기분,2
유명하다,2
이드,2
온,2
무엇,1
너츠,1
국내,1
"발렛됩니
뚝섬/성수,",1
에디,1
다가,1
떡속,1
모퉁이,1
플레이어,1
시시콜콜하다,1
다르다,1
종료,1
응,1
논픽션,1
삼겹,1
평,1
활기,1
낙서,1
샤오짠등,1
문짝,1
페리,1
평온하다,1
광범위하다,1
봉골레,1
균,1
이틀,1
셀렉,1
탐방,1
줌,1
발렛파킹,1
전체,1
mtl,1
라이프,1
오빠,1
로고,1
취급,1
도서,1
피,1
플리,1
높낮이,1
생활,1
정상,1
전부,1
까눌레,1
토요일,1
주목,1
굴,1
직장인,1
입장,1
합성어,1
개층,1
션,1
지하에서,1
살짝,1
개인,1
강하다,1
행사,1
베스트,1
메인,1
복잡하다,1
치마,1
"층
여름",1
집중,1
광화문,1
택시,1
더욱,1
몫,1
아파트,1
배배,1
저희,1
묘,1
컷,1
용,1
컬러,1
둘째,1
넷째,1
전시회,1
콜라보,1
구류,1
질서,1
차,1
쥬쥬,1
두번째,1
주자,1
개미,1
(,1
"파이프그라운드,",1
자리다,1
최초,1
가파른,1
센스,1
곳곳,1
크룩,1
태,1
스팅,1
작다,1
무슨,1
각,1
액세서리,1
도서관,1
수납,1
여름,1
포즈,1
궁금증,1
식료품,1
스,1
테,1
멀다,1
일지,1
쫄랐다,1
최고다,1
호식,1
아무,1
채,1
곰돌이,1
기본,1
벌써,1
"로우커피,",1
휴학,1
브라운,1
베르나르도,1
직,1
후기,1
크루,1
계해,1
기준,1
웨이팅,1
조금,1
스틸북스,1
쏙,1
재료,1
핑크,1
한식,1
정신,1
도우,1
예전,1
트가르트,1
마리,1
주책,1
드프,1
매니아,1
하층,1
한복판,1
"바이닐앤플라스틱,",1
건너편,1
그레이,1
저격,1
든든하다,1
뇽,1
구이,1
폭풍,1
낮,1
가득,1
야하다,1
커다랗다,1
제안,1
일찍,1
관심,1
대추,1
앤더슨,1
릿디,1
잼,1
만족,1
널,1
스틱,1
끝자락-2,1
플라스틱,1
중정,1
이태원,1
고요,1
성수역,1
낫,1
돌댕,1
심각하다,1
움,1
얼마,1
사이다,1
환복,1
보이,1
성향,1
듣기,1
허심,1
천국,1
궁,1
동남방앗간,1
스테이,1
못,1
능력,1
독특하다,1
도산,1
리필,1
꽈배기,1
준비,1
우린,1
군데,1
오일,1
지하세계,1
중형,1
햇빛,1
접,1
공원,1
발라,1
화덕,1
빨,1
맘,1
무,1
봉은사,1
피로,1
