word,count
있다,2098
아우,1655
프글렛,1613
카페,1111
층,1095
한남동,1071
맛있다,1013
한남,995
좋다,890
같다,721
점,712
것,652
용산구,620
맛,603
사진,595
서울특별시,568
아우프글렛,567
아이스크림,539
없다,538
맛집,537
곳,513
많다,508
커피,506
이태원로,496
주문,453
더,408
수,408
진짜,402
때,390
케이크,385
사람,384
디저트,381
자리,380
메뉴,380
방문,363
시간,361
아니다,352
나,336
이,333
생각,321
여기,318
크림,304
느낌,298
또,291
우리,278
저,278
내,276
바로,276
날,273
개,272
블랙,262
테이블,258
예쁘다,252
거,251
분위기,248
그렇다,241
아메리카노,239
원조,238
정말,236
서울,235
팅,235
유명하다,229
웨이,227
친구,227
와인,223
거울,223
안,222
좋아하다,216
다음,211
좀,210
인테리어,209
길,208
공간,206
하나,204
까눌레,202
은,202
예약,196
위,195
이다,194
웨이팅,193
정도,191
추천,189
그,188
집,184
역시,179
라떼,174
그냥,171
보고,169
넓다,164
오늘,163
내부,163
앞,162
중,158
전,158
매장,158
화이트,155
음료,151
만,151
가격,149
티,145
저녁,145
핫,145
및,144
처음,144
명,142
다른,141
아이스,141
위치,140
아주,140
바,139
사실,138
향,137
말,136
밥,135
구경,135
조금,134
귀엽다,132
인,131
번,130
제,130
바닐라,129
오픈,129
도,128
듯,124
좌석,123
달달,123
주말,120
줄,120
함,119
한강진역,119
동영상,118
꼭,117
깔끔하다,117
뭐,116
왜,113
저희,112
메뉴판,112
후,111
요즘,110
옆,110
아쉽다,109
이태원,109
의,108
영업,108
때문,108
다시,106
잔,104
평일,104
꽤,104
요,104
이렇다,103
운영,103
크로플,102
이번,100
바삭,100
다양하다,99
판매,99
한번,98
금호,97
원래,96
매일,96
해,96
제일,93
과,93
시럽,93
뭔가,93
헤라,92
살짝,89
분,89
이제,87
초코,86
물,86
덥다,86
연남,86
시작,86
먼저,85
직원,85
보기,85
재생,85
약간,85
언니,84
등,84
후기,84
얼,84
종류,83
대기,83
콜라보,83
로,83
알,83
님,83
솔솥,82
존맛,81
이쁘다,81
이드,81
굉장하다,80
조합,80
이용,80
음식,80
치즈,80
처,80
쇼룸,79
먹기,79
쫀득,79
상,79
기억,79
밀크,79
파스타,78
포스팅,78
간,78
감성,78
마음,78
괜찮다,77
고민,77
게,77
입,77
시나몬,77
궁금하다,75
보,75
브륄레,74
드,74
베로,73
논픽션,73
건,73
어떻다,73
가게,72
아아,72
볼,72
참고,72
편,71
비,71
못,71
오후,71
최고,70
일,70
주차,70
기분,70
제품,70
눈,70
날씨,69
가장,69
전시,69
미치다,69
세트,68
팝업,68
모던,68
전체,68
입구,68
외관,68
빵,67
달,67
가기,67
지금,66
걸,66
데이트,66
개인,65
완전,65
가능하다,65
도넛,65
피스타치오,65
/,65
별로,64
비주,64
화장실,64
하루,64
낮,64
티라미수,63
주차장,63
이름,63
부드럽다,63
의자,63
모두,63
미니,62
가면,62
거의,62
일단,62
인스타,62
연남동,61
자체,61
두,61
맘,61
점심,61
계속,60
힙,60
소스,60
거리,60
도착,60
타임,59
게시,59
팀,59
가지,59
근처,59
와플,59
계단,58
쿠션,58
적당하다,58
포장,58
트리,58
무조건,58
속,58
편하다,57
건물,57
차,57
새롭다,57
프글랫,57
코스,57
인기,56
마지막,56
추가,56
다르다,56
온,56
팔로잉,55
팔로워,55
휘,55
소개,55
찍기,55
고소하다,55
배,54
쪽,54
준비,54
가루,54
포토,54
금방,53
미리,53
여행,53
어디,53
낭시,53
젤라또,52
라스트,52
진열,52
밖,52
돈,52
행복하다,51
예전,51
지점,51
접기,51
운,51
기본,51
테라스,51
힘들다,50
스토어,50
선택,50
컷,50
플랫,50
손님,50
무,49
겉,49
난,49
골목,48
입장,48
구매,48
포스터,48
톤,48
비싸다,48
너,48
금호동,48
따뜻하다,48
강하다,47
취향,47
겉바,47
출구,47
무슨,47
식사,47
가깝다,47
하겐다즈,46
홀,46
편이,46
생일,46
컵,46
리뷰,46
카페라떼,46
심플,46
뒤,45
데,45
창가,45
작다,45
매우,45
밤,44
아침,44
촉,44
솥밥,44
양,44
재,44
동안,44
브랜드,44
잼,44
크게,44
한강,43
사이즈,43
중간,43
를,43
브런치,43
미술관,43
브레이크,43
벽,43
첫,43
옷,43
멋지다,42
무난,42
식감,42
안되다,42
둘,42
용,42
글,42
카운터,42
모습,42
샐러드,42
조명,41
발견,41
용산,41
자리다,41
소품,41
끝,41
안내,41
인생,41
타고,41
여름,41
가득,41
임,41
지하,41
본점,40
해피,40
항상,40
푸드,40
존,40
기대,40
감,40
배부르다,40
벽면,39
버터,39
먹음,39
위해,39
선물,39
얘기,38
가구,38
감각,38
스타일,38
노래,38
이유,38
뷰,38
얼그레이,38
피자,38
구,38
새,38
술,38
땐,38
갑자기,38
나들이,37
신기하다,37
앤,37
자주,37
달라,37
블로그,37
음악,37
오,37
안쪽,37
나중,37
세,36
우프,36
튀김,36
공영,36
리움,36
워낙,36
야하다,36
보이,36
쁘띠,36
링,36
인석,35
월요일,35
한잔,35
수다,35
산미,35
하우스,35
직접,35
얼마,35
친절하다,35
어렵다,35
야외,35
새우,34
작품,34
어둡다,34
살,34
네이버,34
휴무,34
아래,33
재밌다,33
성,33
트러플,33
길다,33
기대하다,33
일요일,33
카페],33
샷,33
콘하스,33
이동,33
:,33
촉촉하다,33
사장,33
벽돌,33
주소,32
포기,32
망고,32
일상,32
이야기,32
여유,32
크리스마스,32
비슷하다,32
이상,32
대사관로,32
뻔,32
밉다,32
투어,32
무엇,31
영상,31
혼자,31
주변,31
쫄깃,31
여자,31
호,31
봄,31
어,31
디자인,31
실내,31
크로와상,31
코로나,31
시원하다,31
진하다,31
거기,31
가야,31
모든,31
가득하다,30
푸글렛,30
상태,30
연어,30
|,30
답,30
생,30
두운,30
제대로,30
손,30
떡볶이,30
반,30
구석,30
고기,30
머리,29
빠르다,29
여기저기,29
호점,29
산,29
확실하다,29
버거,29
진동,29
움,29
그릇,29
핫플,29
굿,29
즐겁다,29
피치,29
아프다,29
방,28
메인,28
여전하다,28
장소,28
다행하다,28
리,28
우린,28
츄러스,28
플로,28
만석,28
언제,28
엄마,28
마,28
비쥬,28
솔직하다,28
에스프레소,28
지도,28
체크,27
나무,27
동생,27
춥다,27
향수,27
완벽하다,27
쫀득쫀득,27
가능,27
맥주,27
겸,27
벨,27
진,27
현대,27
글렛,27
멀다,27
하니,27
크기,27
일찍,27
담,27
하늘,27
유행,27
나름,27
잠실,26
사랑,26
계시다,26
센스,26
프로필,26
케익,26
토,26
"아우프글렛,",26
컨셉,26
조용하다,26
페리,26
덕,26
강진,26
사용,26
음,26
의사,26
기준,26
공원,26
신상,26
몇,26
디,26
빈,26
준,26
세상,25
저번,25
여러,25
바이닐,25
김,25
요리,25
초,25
뇨끼,25
계획,25
곳곳,25
만족,25
설명,25
젤,25
가방,25
토요일,24
밑,24
동네,24
마무리,24
평소,24
레몬,24
그림,24
약속,24
대박,24
목,24
카드,24
컬러,24
인지,24
잠시,24
최애,24
모양,24
조화,24
확인,24
얼마나,24
마치,23
우선,23
겨울,23
당연하다,23
치킨,23
헤어,23
총,23
순삭,23
매력,23
버스,23
한쪽,23
찍,23
수도,23
통,23
인정,23
우드,23
싫다,23
마르다,23
달콤하다,23
몬,23
덕분,23
목적,23
식당,23
외부,23
잡고,23
베이글,23
요기,22
장,22
패션,22
접시,22
플레이,22
픽업,22
유리,22
점도,22
희다,22
고고,22
난포,22
애매하다,22
특이하다,22
필수,22
연말,22
단,22
데이,22
막,22
건가,22
재미,22
부분,22
해도,22
다만,22
핑크,22
남자,22
메뉴인,22
블루베리,22
독특하다,22
맛없다,22
블로썸,22
마카,22
저기,22
도보,22
구성,22
다가,21
친,21
자꾸,21
짧다,21
인스타그램,21
색감,21
충분하다,21
스럽다,21
기회,21
좁다,21
카페인,21
초콜릿,21
애플,21
무화과,21
문,21
호텔,21
서서,21
전시회,21
등등,21
병,21
무스,21
펄,21
바깥,21
소리,21
그대로,21
아깝다,21
입맛,21
크로우,21
시크,21
특별하다,21
외,21
주,21
착석,21
한국,21
만족스럽다,21
바쁘다,21
니,21
원두,20
남아,20
행사,20
베이커리,20
상큼,20
적,20
넘치다,20
한남대로,20
안나,20
레이스,20
사고,20
최근,20
셀카,20
유,20
세련되다,20
느끼하다,20
예정,20
평,20
시끄럽다,20
당황,20
불편하다,20
택시,20
진심,20
벌써,20
탑,20
-,20
품절,20
리스트,20
계란,20
보통,20
캐년,20
냄새,20
마감,20
사서,20
머,19
두번째,19
기도,19
신나다,19
안녕하다,19
스테이크,19
라즈베리,19
은근,19
블루,19
기,19
당,19
핸드,19
정보,19
색,19
크림브륄레,19
리조또,19
배고프다,19
정신,19
한식,19
아이,19
도산,19
중이,19
처럼,19
토마토,19
사이,19
수가,19
가을,19
쯤,19
대부분,19
퇴근,19
쫀쫀,19
왕,18
기간,18
런가,18
신선하다,18
에이,18
꽉,18
짐,18
까페,18
산책,18
성수,18
류,18
폭,18
다운,18
시,18
백화점,18
역,18
늘,18
워,18
루이보스,18
박,18
남편,18
진행,18
아몬드,18
스튜디오,18
간만,18
또한,18
쫀득하,18
가볍다,18
그것,18
로우,18
면,18
팔고,18
엄청나다,18
나쁘다,18
샤인,18
실제,18
아무,18
도미,18
경험,18
지난번,18
일반,18
고맙다,18
라면,18
브,18
제공,17
메이플,17
코,17
얘,17
고급스럽다,17
디피,17
마카롱,17
옥수수,17
찌,17
눅눅하다,17
서비스,17
이후,17
오빠,17
비교,17
AUFGLET,17
더욱,17
마포구,17
유튜브,17
부족하다,17
자몽,17
딱이다,17
공연,17
노티,17
탕,17
도전,17
아보카도,17
전복,16
전부,16
노을,16
버섯,16
동대문,16
단점,16
고추,16
뿐,16
노,16
국수,16
돼지고기,16
마련,16
다이닝,16
만족하다,16
초밥,16
자,16
",",16
페스,16
차갑다,16
효과,16
높다,16
트,16
은은하다,16
쥐,16
쫌,16
메이플시럽,16
자두,16
감자,16
간다,16
키친,16
각,16
낮다,16
만난,16
푸딩,16
심지어,16
청,16
자마자,16
익숙하다,16
그때,16
후식,16
한지,16
회사,16
포인트,16
모형,16
장난,16
가끔,16
바질,16
그로,16
마침,16
다행,16
시간대,16
창,16
지인,16
그동안,16
곳도,15
누룽지,15
관자,15
딸기,15
차로,15
무겁다,15
픽,15
급,15
버찌,15
점심시간,15
랄,15
바람,15
이서,15
찰떡,15
만남,15
갤러리,15
왼쪽,15
계산,15
책,15
대충,15
코코넛,15
그게,15
회,15
롯데,15
여러분,15
테이크아웃,15
성공,15
김밥,15
급하다,15
번호,15
장식,15
서울시,15
전화,15
구이,15
떡,15
목련,15
햇빛,15
멀리,15
칵테일,15
누가,15
레드,15
편집,15
남,15
태국,15
터,15
패스,15
대신,15
오히려,15
키링,15
걱정,15
소파,15
"이태원로
한남동",15
가성,15
답답하다,15
오른쪽,14
기계,14
크로플맛집,14
소,14
출발,14
자켓,14
레스토랑,14
정,14
군데,14
등장,14
모,14
배치,14
곧,14
무드,14
대표,14
굳이,14
발렌타인,14
고급,14
검정,14
가나,14
볶음밥,14
전반,14
대화,14
파운드,14
강남,14
전화번호,14
한참,14
쇼핑,14
점점,14
대한,14
카이,14
보지,14
파,14
미트볼,14
시스템,14
활용,14
저렴하다,14
뿌리,14
부터,14
돼지,14
호두,13
통닭,13
꽃,13
보시,13
고,13
경우,13
순간,13
주심,13
표현,13
간판,13
국물,13
애,13
카텔란,13
헤헤,13
주시,13
작년,13
알차다,13
구리,13
조만간,13
잔뜩,13
스토리,13
영롱하다,13
잠깐,13
덜,13
요새,13
수제,13
이벤트,13
단체,13
가운데,13
욤,13
피,13
행복,13
평범하다,13
강남구,13
네,13
뜻,13
매콤,13
"층
한남동",13
종,13
징,13
우유,13
한장,13
대해,13
불가,13
만큼,13
기념,13
중요하다,13
정리,13
깨끗하다,13
사,13
갓,13
오렌지,12
줌,12
대가,12
샌드위치,12
원하다,12
딱하다,12
보임,12
가족,12
월,12
마라샹궈,12
강,12
시초,12
맛있는,12
브이,12
논,12
무섭다,12
환상,12
정민,12
설탕,12
음식점,12
문제,12
검은색,12
오기,12
반하다,12
센터,12
보닐,12
인상,12
자세하다,12
궁합,12
예상,12
가까이,12
타이밍,12
컬리,12
머스켓,12
뭘,12
뻔하다,12
뭐해,12
데리,12
발,12
특유,12
반포,12
석,12
깊다,12
한남점,12
고해,12
슬슬,12
셔츠,12
야무지다,12
짱,12
플라워,12
결론,12
아빠,12
재료,12
촬영,12
바닥,12
스팟,12
망원,12
샴페인,12
초록,12
마일,12
돌,12
물씬,12
하이,12
각자,12
조각,12
총총,12
상자,12
과일,12
방법,11
라운지,11
감동,11
밥집,11
타일,11
북적,11
편안하다,11
차분하다,11
안경,11
뜨겁다,11
충전,11
라츠,11
상당하다,11
호다닥,11
스피커,11
부다,11
삼,11
일기,11
추억,11
꿀,11
충격,11
힐링,11
힘,11
발렌타인데이,11
확,11
와나,11
나인,11
심하다,11
필름,11
키,11
자판기,11
띠,11
관람,11
럭키,11
시선,11
스타벅스,11
미가,11
남자친구,11
대서,11
나머지,11
부탁드리다,11
셔우드,11
판,11
마르,11
전날,11
양은,11
호선,11
아시,11
완료,11
크림슨,11
반찬,11
현재,11
캐릭터,11
베리,11
일이,11
한정,11
서로,11
힙해,11
실물,11
아마,11
아포가토,11
신발,11
