word,count
카페,131
있다,116
스톤,106
슬링,102
커피,76
한남동,73
같다,49
길,42
용산구,39
좋다,38
맛집,36
층,32
맛,32
서울특별시,31
한남대로,29
테이블,28
곳,28
맛있다,28
시간,25
분위기,24
내부,24
없다,24
느낌,23
것,23
아니다,23
진짜,22
사진,22
우리,21
많다,20
한남,20
공간,20
라떼,19
방문,19
타워,19
주문,18
용산,18
사람,18
서울,18
아메리카노,17
자리,16
생각,16
추천,15
저,15
위치,15
수,14
때,14
친구,14
디저트,13
매장,13
거,13
영업,13
안,12
모델,12
나,12
더,12
또,12
넓다,12
힙,12
벽,11
피자,11
그냥,11
날,11
구경,11
점,11
우드,11
좋아하다,11
메뉴,11
괜찮다,10
티,10
다른,10
정도,10
인테리어,10
용산역,10
보고,10
화장실,9
여기,9
가격,9
하나,9
분,9
경리,9
좀,9
전,9
꽤,9
감성,9
한강진역,9
사장,9
메뉴판,9
건물,8
입구,8
후기,8
굉장하다,8
아이스,8
근처,8
테라스,8
예쁘다,8
내,8
이쁘다,8
옆,8
일,8
아쉽다,8
전시,8
중,8
갤러리,8
뮤지컬,8
파스타,8
슬링스톤,8
정말,8
발견,7
이다,7
그렇다,7
거리,7
리움,7
명,7
알,7
크림,7
가게,7
벽돌,7
리틀,7
종류,7
예약,7
바로,7
월,7
집,7
파이프,7
좌석,7
이,7
디자이너,7
듯,7
깔끔하다,7
넥,7
밀크,6
라운드,6
시끄럽다,6
엄마,6
샷,6
조금,6
오늘,6
못,6
휘,6
외관,6
뭔가,6
토,6
음료,6
조용하다,6
줄,6
쇼룸,6
보,6
평일,6
주차,6
낭시,6
모두,6
손님,6
아주,6
미술관,6
산미,6
다음,5
밥,5
편하다,5
직접,5
너,5
웨이팅,5
치즈,5
|,5
움,5
입,5
술,5
뭐,5
쿠키,5
옷,5
오픈,5
소개,5
앨리스,5
테이크아웃,5
덥다,5
개,5
달달,5
만,5
주말,5
귀엽다,5
눈,5
고소하다,5
원두,5
모자,5
선택,5
요,5
날씨,5
화이트,5
배,5
왜,5
번,5
옥수수,5
앞,5
그림,5
이태원로,5
의자,5
요즘,5
다시,5
온,5
작품,4
먹기,4
꽃,4
강하다,4
타임,4
도노,4
다양하다,4
및,4
바닐라,4
아인,4
처음,4
간단하다,4
도,4
그,4
얼음,4
기본,4
매우,4
남자,4
낮,4
쪽,4
마,4
/,4
가깝다,4
난,4
시크,4
해,4
플랫,4
강아지,4
떡볶이,4
핸드,4
시원하다,4
급하다,4
선물,4
원래,4
차분하다,4
금,4
불편하다,4
튀김,4
향,4
카텔란,4
이태원,4
역시,4
준비,4
웨이,4
맘,4
티켓,4
트러플,4
스튜디오,4
사실,4
슈페,4
동반,4
어떻다,4
다크,4
마네킹,4
땐,4
샐러드,4
직원,3
포장,3
논픽션,3
다르다,3
애견,3
관련,3
북적,3
게,3
킨키,3
까눌레,3
입장,3
개인,3
살짝,3
심,3
저희,3
기차,3
얘기,3
감자,3
인,3
배고프다,3
곳곳,3
꼭,3
무슨,3
위,3
반전,3
동생,3
나인,3
잔,3
아침,3
페인,3
도착,3
이상,3
건,3
대사관로,3
운영,3
식당,3
디자인,3
지하,3
개조,3
"슬링스톤,",3
신상,3
부드럽다,3
일반,3
위해,3
로봇,3
거의,3
쾌적하다,3
액자,3
노트북,3
따뜻하다,3
만석,3
바,3
자주,3
판매,3
나들이,3
적당하다,3
진하다,3
이야기,3
카카오,3
사나,3
웝트샵,3
작업,3
돈,3
마켓,3
마음,3
로얄,3
이용,3
상황,3
전체,3
제일,3
경우,3
차,3
패션,3
센스,3
배터리,3
정처,3
틈,3
미스,3
소리,3
로,3
류,3
빵,3
오일,3
리틀넥,3
몇개,3
디카,3
이렇다,3
매력,3
창가,3
모던,3
메이드,3
동안,3
생일,3
잠깐,3
도보,3
가능,3
팅,3
배부르다,3
필요하다,3
후,3
저렴하다,3
브랜드,3
수다,3
진,3
갈색,2
구옥,2
볼,2
목,2
발,2
손가락,2
꼼꼬미,2
읭,2
페리,2
호기심,2
실버,2
석,2
사용,2
음,2
저온,2
골목,2
셀러,2
정면,2
관자,2
우선,2
죄송하다,2
스퀘어,2
토요일,2
짧다,2
주변,2
바리스타,2
메인,2
포기,2
사이즈,2
신기하다,2
콘크리트,2
강제,2
계시다,2
포토,2
도넛,2
리조또,2
시멘트,2
르뱅,2
작다,2
나쁘다,2
정확하다,2
구,2
이사나,2
꼼지락,2
양도,2
그니,2
결론,2
무섭다,2
홀,2
첫,2
뿐,2
안녕하다,2
천장,2
슬프다,2
아깝다,2
알바생,2
판이,2
톡,2
붉다,2
남녀,2
거울,2
-,2
촬영,2
제품,2
한참,2
양준,2
어디,2
트레이,2
카페라떼,2
식사,2
무료,2
말,2
목적,2
수모,2
좋은,2
예매,2
가지,2
토마토,2
불편,2
옛날,2
옴,2
스타일,2
고민,2
영웅,2
칵테일,2
가끔,2
함,2
특이하다,2
챔버,2
댕댕,2
한번,2
검색,2
한산하다,2
찍기,2
컵,2
사고,2
아파트먼트,2
카운터,2
과자,2
타자기,2
오히려,2
당하다,2
가기,2
말차,2
썬더,2
고프다,2
다가,2
오래되다,2
쉬,2
한강진,2
언제,2
한잔,2
일행,2
프리,2
단체,2
아바,2
강진,2
아아,2
보기,2
처리,2
갑자기,2
목소리,2
주택,2
사람인,2
부터,2
숨겨진,2
친,2
멋지다,2
이후,2
평,2
까맣다,2
성인,2
슬링스톤	슬링,2
아마,2
음식,2
문,2
아포가토,2
아몬드,2
페이,2
은은하다,2
브레이크,2
그것,2
신기,2
존,2
어슬렁,2
바바라,2
별로,2
프사,2
톤,2
컷,2
전시회,2
비싸다,2
취향,2
착하다,2
콘센트,2
레코드,2
코트,2
캡,2
기도,2
마지막,2
여러,2
아트,2
신나다,2
야채,2
이면,2
논,2
브라우니,2
편,2
파르마,2
대화,2
모든,2
도저히,2
따스하다,2
애,2
전문점,2
편이,2
힘들다,2
만족,2
모음,2
저녁,2
카페인,2
등,2
두,2
조만간,2
불구,2
안되다,2
모,2
문제,2
시럽,2
음식점,2
스키,2
관람,2
싫어하다,2
산,2
라이트,2
길가,2
데,2
해산물,2
곧,2
블루,2
담,2
가능하다,2
여섯,2
동영상,2
자,2
즐겁다,2
멋,2
바루,2
운,2
본인,2
아인슈페너,2
야외,2
신한카드,2
크게,2
빨갛다,2
제,2
일단,2
인스타,2
박종철,2
패드,2
마시기,2
기분,2
흐,2
출구,2
가도,2
작,2
열,1
걸,1
인베스트먼트,1
바삭바삭하다,1
먹음,1
"추천
뮤지컬",1
아프트먼트,1
놀래다,1
맛으루,1
서비스,1
가루,1
욤,1
데리,1
계절,1
폰,1
담백하다,1
카시나,1
규,1
주위,1
주네,1
추측,1
세,1
왕,1
아예,1
식이,1
두고두고,1
메탈,1
여,1
],1
스타,1
플렉스,1
방기,1
방,1
팔로워,1
카드,1
"슬링스톤	
한남동",1
팔로잉,1
직진,1
남성,1
덩,1
불가능,1
무대,1
아래,1
뜨겁다,1
톰,1
우중,1
남아,1
볶음,1
가신,1
쌀쌀하다,1
네일,1
파란,1
복잡하다,1
어묵,1
세상,1
대로,1
밑,1
주소,1
바다,1
서도,1
아파트,1
쩍,1
택시,1
폼,1
"한남점,",1
흡수,1
한샷,1
두운,1
토일,1
"안뇽
한남동",1
재미,1
해설,1
안중근,1
탐색,1
개별,1
상태,1
에보니,1
무제,1
샌드위치,1
얼그레이,1
신지,1
쿨하다,1
사이사이,1
주택가,1
궁금하다,1
노을,1
볕,1
구천원,1
with,1
증말,1
게시,1
좋드라구,1
모델링,1
마당,1
가야,1
이름,1
드,1
몸,1
슬링스톤)	한남동,1
무선인터넷,1
마포구,1
클릭,1
조마리아,1
넉넉하다,1
제리,1
선선,1
로안,1
애견동반,1
목금,1
퐁신퐁,1
메모리,1
오조오억,1
유튜브,1
천,1
인물,1
노출,1
"여
[한강진]",1
심취,1
꼬맹이,1
얼른,1
의사,1
초코까눌레,1
낮다,1
인원,1
방지,1
스마트,1
마무,1
남동쪽,1
여름,1
집착,1
슬링스톤	한남동,1
핫,1
벽벽,1
컾피,1
홍보,1
욕,1
좌천,1
텁텁했다,1
봄,1
포스팅,1
갯수,1
기대,1
재질,1
셂,1
참말,1
립밤,1
"숴
한남동",1
미터,1
금지,1
트레,1
이동해,1
화보,1
꼼,1
모임장소추천,1
다리,1
생기,1
아포,1
레스토랑,1
바람,1
미리,1
슬링스톤	드,1
여기저기,1
픽업,1
하비,1
갈릴,1
쥬,1
감,1
덕분,1
매콤,1
그대로,1
새롭다,1
저런,1
"층
한남동카페",1
양식,1
간,1
레스트,1
만오천원,1
전화,1
커플,1
여자도,1
크기,1
공연,1
몽실몽실,1
가득,1
"층
한남동",1
들꽃,1
분위기와,1
맘에들면,1
회색,1
분위기의,1
아이,1
"라떼
[한남동카페]",1
지기,1
일찍,1
탑,1
벚꽃,1
듬뿍,1
만남,1
제로,1
비슷하다,1
구석구석,1
호불호,1
보이,1
실하다,1
얼마,1
녹슨,1
몽글몽글하다,1
저절로,1
는걸,1
그때,1
핀,1
아쿠아,1
살,1
"DONO,",1
복판,1
정가,1
천국,1
느데,1
감성카페입니다.	슬링,1
독특하다,1
임,1
시킴,1
매일,1
오후,1
뻔,1
골,1
이하,1
차이,1
말씀,1
철제,1
개입,1
진로,1
존슨탕,1
화덕,1
테이크,1
도마,1
햇빛,1
안쪽,1
기성,1
드럽다,1
물가,1
똑같다,1
그만하다,1
전혀,1
힙함ㅎㅋ굿	근처,1
친절하다,1
남쪽,1
쥬스,1
핫플,1
사망,1
학교,1
Coffee,1
포스,1
주신,1
안나,1
늘,1
오염,1
샘,1
내내,1
스톤	한남동,1
카토,1
쇼룸인줄,1
현장,1
품절,1
실착,1
우유,1
포인트,1
사직,1
제대로,1
빨간색,1
혹시,1
우사,1
소재,1
멀리,1
관리,1
:,1
특별하다,1
초록,1
