word,count
있다,73
젤리,67
띠,66
좋다,42
맛있다,40
서울특별시,30
같다,30
것,25
한남동,24
용산구,23
스페셜,21
곳,20
서울,20
층,20
브런치,19
맛,19
저,18
이태원,17
카페,17
살,17
생각,17
커피,16
여기,16
빵,16
더,16
아니다,16
맛집,16
녹사평대로,15
없다,15
예쁘다,15
날,14
진짜,14
루미,13
이다,13
많다,13
친구,13
이,13
메뉴,13
지아,12
매장,12
코파,12
코타,12
다음,11
제,11
양송이,11
느낌,11
길,11
수,11
그렇다,11
그냥,11
주문,11
가격,11
좋아하다,10
때,10
녹사평역,10
안,10
전,10
무화과,10
테라스,10
보고,10
나,10
크루,9
사진,9
추천,9
포장,8
예약,8
스프,8
분위기,8
치즈,8
뭐,8
한남,8
좀,8
바로,8
정도,8
또,8
시간,8
앞,8
정말,8
낙산,7
화장실,7
햄,7
후기,7
자리,7
공원,7
오픈,7
위치,7
내,7
모두,7
성시경,7
보,7
처음,7
집,7
번,7
근처,7
런,6
날씨,6
도,6
오띠젤리,6
이탈리아,6
조금,6
레스토랑,6
아침,6
중,6
일찍,6
구경,6
거,6
이렇다,6
요즘,6
까눌레,6
베이커리,6
괜찮다,6
연어,6
/,6
웨이,6
맥주,6
하나,6
곱창,6
볼로냐,5
샌드위치,5
델,5
그,5
쫄깃,5
아메리카노,5
수화,5
거울,5
리,5
준비,5
말,5
내부,5
덜,5
개,5
남산,5
분,5
갑자기,5
음식,5
용산,5
방문,5
타,5
트러플,5
부산,5
팅,5
가게,5
다시,5
귀엽다,5
다른,5
우리,5
판체타,4
멋지다,4
발견,4
포기,4
샤퀴테리,4
코너,4
아쉽다,4
기도,4
압구정,4
새롭다,4
|,4
완전,4
미니,4
제대로,4
꽤,4
산,4
그거,4
점심,4
판체,4
일단,4
어떻다,4
스시,4
줄,4
상아,4
지역,4
방영,4
새벽,4
요,4
꽃,4
잠봉,4
용,4
직접,4
입구,4
포스팅,4
파운드,4
배,4
오늘,4
인테리어,4
저녁,4
못,4
사람,4
유럽,4
조합,4
옷,4
위해,4
거의,4
듯,4
감성,4
깔끔하다,4
사실,4
이제,4
이탈리안,4
동반,4
만,4
약간,4
유명하다,4
출구,4
무엇,3
쇼룸,3
끼리,3
나시,3
표,3
수르,3
짧다,3
세상,3
고,3
저희,3
기차,3
강남구,3
동생,3
레시피,3
반려견,3
웨이팅,3
거리,3
안녕하다,3
하니,3
향,3
쪽,3
수프,3
도착,3
살몬,3
프라이,3
물가,3
평일,3
구청,3
고민,3
주,3
뭔가,3
아이스,3
바쁘다,3
루꼴,3
항상,3
가기,3
브라,3
음료,3
때문,3
무조건,3
메뉴판,3
젤,3
뇨끼,3
번호,3
옆,3
모습,3
청주,3
피치,3
추위,3
사용,3
우동,3
모자,3
오빠,3
박스,3
니드,3
샤워,3
주브리,3
꼭,3
밤,3
녹,3
오,3
기본,3
적,3
소현,3
마무리,3
나스,3
석촌호수,3
잼,3
입,3
임,3
건,3
대사관로,3
성곽,3
불,3
서울역,3
해,3
플랫,3
하루,3
땀땀,3
가능하다,3
파스타,3
알,3
한번,3
몇,3
가능,3
페로,3
파르,3
팔,3
자주,3
코지,3
사평,3
탕후루,3
런치,3
주말,3
아주,3
그랜드,3
빗,3
다가,2
한양대,2
고프다,2
행복하다,2
겉바,2
달라,2
베이지,2
이용,2
종류,2
사랑,2
녀석,2
게,2
납작하다,2
제일,2
생,2
서프라이즈,2
디저트,2
인생,2
이상하다,2
도산공원,2
댓글,2
살짝,2
끌,2
및,2
택시,2
재미,2
테이블,2
사이즈,2
비싸다,2
타고,2
취향,2
코,2
차,2
탑승,2
어유,2
셔츠,2
너,2
피자,2
유튜브,2
부,2
가장,2
가족,2
전통,2
꽃집,2
접시,2
호,2
애기,2
제목,2
화이트,2
착,2
배꼽,2
첫,2
콘서트,2
편지,2
감,2
애,2
낮,2
듬뿍,2
만남,2
쌀국수,2
주시,2
좁다,2
역시,2
하와이,2
시,2
파르크,2
공감,2
전혀,2
최가네,2
목적,2
난,2
친절하다,2
외관,2
가지,2
진열,2
길가,2
계산,2
양파,2
데,2
맥,2
캐리어,2
양,2
비도,2
카,2
머핀,2
화요일,2
숭례문,2
친하다,2
전날,2
라비,2
비,2
주차장,2
덥다,2
청모,2
내추럴,2
달,2
바,2
가볍다,2
이태원로,2
테리,2
의자,2
각자,2
마감,2
아보카도,2
진하다,2
솔직하다,2
깨끗하다,2
밖,2
본연,2
고소하다,2
선물,2
아이스크림,2
먹음,2
여행,2
느끼하다,2
발렛,2
일,2
뷰,2
예정,2
투샷,2
표정,2
싫다,2
토요일,2
한강,2
다양하다,2
푸드코트,2
지금,2
감안,2
버섯,2
민망하다,2
결혼,2
드,2
_,2
무슨,2
여름,2
오전,2
핫,2
일지,2
멀다,2
팬츠,2
기대,2
쪼실장,2
아우,2
티,2
요청,2
정신,2
재료,2
모든,2
풍선,2
한식,2
촉,2
마들렌,2
대비,2
편이,2
햇살,2
엽떡,2
부케,2
로,2
촬영,2
유부초밥,2
기사,2
도산,2
운영,2
뒤,2
넓다,2
불구,2
한남대로,2
무,2
고생,2
역,2
공사,2
녹사평,2
식,2
초록,2
장난,2
팬,2
글,2
물,2
갑,2
함,2
육교,2
선영,2
애매하다,2
오라,2
기,2
생일,2
소라,2
출근,2
끼,2
팩,2
진짜진짜,2
고맙다,2
모닝,2
만큼,2
대략,2
터,2
점,2
크림,2
결혼식,2
영업,2
주차,2
수제,2
퍼핌,2
배부르다,2
바둑이,2
구분,2
기억,2
약속,2
잉글리시,2
이쁘다,2
한잔,2
창,2
샤퀴,2
이태원역,2
이야기,2
고급,2
시작,2
강민경,2
가방,2
라스트,2
절대,2
재생,2
진,2
인터컨티넨탈,2
(오픈런,1
마음속,1
에어,1
최고,1
제육,1
페로니,1
반스,1
쫄깃해,1
조명,1
원두,1
다르다,1
초리소,1
크롭남방,1
맛보기,1
진정하다,1
먹기,1
새벽집양곱창)	박,1
한편,1
샤브,1
오만지아가,1
빛,1
"오띠젤리,",1
자꾸,1
술병,1
라자냐,1
칼국수,1
런가,1
숭어,1
원조,1
코파크루타,1
골목,1
오름,1
방,1
통닭,1
밥,1
"끝
#",1
하드,1
삐뚤다,1
완조,1
태극,1
일체,1
메르,1
달동,1
그립다,1
벽면,1
프랑스,1
닷,1
은은하다,1
같은,1
금액,1
편하다,1
남아,1
볶음,1
서초,1
입장,1
겨울,1
성공하다,1
개인,1
호다닥,1
보시,1
대로,1
스시시미즈,1
메인,1
심,1
다해,1
캠퍼스,1
기계,1
경우,1
실장,1
참고,1
경인로,1
크리스마스,1
호텔,1
걍밍경,1
해결,1
관왕,1
단연,1
킼,1
모듬,1
삼성로,1
짤,1
장,1
지불,1
밤새,1
거셀,1
투티,1
해도,1
생활의달인,1
풍경,1
화사,1
착하다,1
다만,1
욧,1
귤,1
"마무리
이태원",1
"브런치,",1
"스페셜,",1
변질,1
//,1
톡톡하다,1
내일,1
구로구,1
싱싱하다,1
"층
[이태원,",1
대의,1
봉명동,1
어쩜,1
몸무게,1
먹방,1
랍스터,1
세트,1
"간",1
탄생화,1
맛닜었어,1
장소,1
커플꼬깔,1
KNEAD	아티,1
요요,1
감사,1
비주,1
고급스럽다,1
힘,1
오띠젤리/한남동,1
보르도,1
주방,1
위,1
야무지다,1
여자,1
냉,1
미식,1
차도,1
출발,1
확,1
조명도,1
월,1
왜인,1
조심,1
스,1
채선영,1
성동구,1
무작정,1
"스프,",1
충분하다,1
테헤란로,1
