word,count
있다,92
좋다,54
카페,48
없다,45
와인,38
맛있다,38
와일드,36
같다,33
해방촌,33
곳,28
많다,27
나,27
것,25
사람,25
맛,25
덕칸틴,24
집,24
한남동,24
우리,23
진짜,23
여기,21
사진,21
더,21
날,21
주문,20
용산구,19
내,19
층,19
분위기,18
이,18
시간,17
서울,17
커피,17
수,16
느낌,16
친구,16
옷,15
저,15
바,15
정말,14
거,14
조금,13
인테리어,13
아니다,13
구경,13
메뉴,13
길,13
또,13
방문,13
하나,13
무,12
때,12
좀,12
음식,12
맛집,12
덕,12
추천,11
안,11
서울특별시,11
요즘,11
아주,11
앤,11
오늘,11
자리,11
소스,10
전,10
생일,10
귀엽다,10
기,9
선물,9
브런치,9
취향,9
아쉽다,9
그렇다,9
알,9
예쁘다,9
유명하다,9
마지막,8
꼼모,8
치즈,8
술,8
위치,8
영업,8
맥주,8
줄,8
눈,8
샐러드,8
바로,8
디저트,8
수르,8
테이블,8
좋아하다,8
도착,8
완전,8
실내,8
신흥로,8
가격,8
이쁘다,8
가게,8
예약,7
방,7
타임,7
감자,7
김치,7
핫,7
입,7
가지,7
생각,7
힙,7
정도,7
화이트,7
힐즈,7
그냥,7
유로파,7
파라스,7
성수,7
등,7
두,7
로코코,7
말,7
뭐,7
퇴사,7
테라스,7
파라,7
룸,7
점,7
약간,7
싹,7
만두,6
종류,6
살짝,6
이름,6
처음,6
그,6
오,6
녹,6
스테이크,6
향,6
꽤,6
블루,6
한남,6
신당동,6
구성,6
안주,6
타진,6
쇼룸,6
일,6
다음,6
컬러,6
당근,6
꼭,6
쪽,6
소품,6
이렇다,6
데,6
로너,6
고기,6
개,6
라떼,5
뷰,5
사랑,5
요,5
개인,5
저희,5
입구,5
후기,5
로,5
못,5
맘,5
중간,5
매장,5
해,5
뭔가,5
모노,5
덥다,5
꼬,5
이제,5
원두,5
블랙,5
이다,5
모두,5
브레이크,5
별로,5
수다,5
차,5
마음,5
페이퍼,5
구매,5
봄,5
핑크,5
배,5
공연,5
보틀,5
버터,5
역시,5
가깝다,5
내부,5
양고기,5
케익,5
점심,5
함,5
비,5
듯,5
주말,5
쇼파,5
직원,4
약수,4
됴,4
라이스,4
약수역,4
다양하다,4
지금,4
차로,4
배고프다,4
도,4
피자,4
출입문,4
주방,4
자켓,4
레스토랑,4
설레다,4
잔,4
간,4
중,4
이태원,4
어디,4
식사,4
안되다,4
왜,4
