word,count
층,1119
카페,930
호,609
디저트,568
경기도,479
서울특별시,408
점,392
길,375
로,358
커피,355
번길,244
인천광역시,128
부호,101
충청남도,79
더,71
신상,64
중앙,62
경상남도,61
빌딩,61
충청북도,59
메,59
지하,56
강남구,50
컴,50
지상,50
포즈,50
대구광역시,47
프라자,46
고양시,46
다방,44
전라남도,44
일부,44
엠,42
타워,42
대전광역시,42
마포구,42
광역시,41
화성시,41
중구,41
서구,41
경상북도,39
상가,39
지씨,39
부산광역시,38
수원시,38
성남시,35
강원도,33
강서구,33
남양주시,33
가동,32
빽,31
세종,31
티,31
평택시,31
상,31
인천,30
광주,30
미추홀,28
송파구,28
제주,28
센터,28
천안시,27
청주시,27
창원시,27
동탄,27
연수구,26
특별자치도,26
프레,26
마을,26
제,26
스,25
구,25
아파트,25
평수,24
가나다순,24
북구,24
주소,24
단지,24
역점,23
베이커리,23
용인시,22
스타,22
마,22
김포,22
부천시,21
용산구,21
울산,21
센트럴,21
특별자치시,20
차,20
리,20
영통구,20
한강,20
미사,19
시티,19
김포시,19
스타벅스,19
익스,19
분당구,19
제주시,19
안산시,18
매머드,18
읍,18
전라북도,18
덕양구,18
파주시,18
유성구,17
동구,17
안길,16
강동구,16
일산서구,16
이디야,16
관악구,16
부평구,16
있다,16
바,16
안양시,15
케이크,15
남구,15
원점,15
평택,15
영등포구,15
동남구,15
스터디,15
노원구,15
서초구,15
구로구,14
동점,14
하남시,14
서대문구,14
남부,14
동작구,14
번,14
빵,13
밉다,13
금천구,13
성북구,13
곡동,13
송도동,13
롯데,13
송도,13
순환로,13
홀,13
중동,13
가산,13
시설,13
도봉구,12
일산동구,12
소,12
로스,12
수성구,12
투썸플레이스,12
달서구,12
단원구,12
백화점,12
주,12
동안구,11
흥덕구,11
성동구,11
아이,11
블루,11
한국,11
나,11
디,11
장점,11
순천시,11
드,11
앤,11
호점,11
서북구,11
고양,11
양주시,11
영,11
월드,11
남동구,10
화성,10
도봉로,10
북로,10
상동,10
좋아하다,10
강남대로,10
타운,10
종로구,10
고덕,10
에스,10
중랑구,10
현대,10
장안구,10
아산시,10
이크,10
비,10
제천시,10
하이,10
이마트,10
시흥시,9
생활,9
랩,9
스퀘어,9
진해구,9
리터,9
여주시,9
부,9
스마트,9
광진구,9
포항시,9
청,9
과천시,9
중원구,9
김해시,9
공원로,9
달,9
북,9
부평,9
덕,9
광산구,9
논산시,9
하우스,9
광장,9
양산시,9
스윗,9
경인로,9
린,9
동대문구,9
일산,9
이천시,9
하동,9
오픈,9
의정부시,9
포천시,8
상당구,8
과천,8
그린,8
딸기,8
대학,8
청라,8
오,8
편,8
대치동,8
까페,8
남양,8
무인,8
베,8
사거리,8
푸르지오,8
권선구,8
대학로,8
터,8
주안동,8
디지털,8
정보,8
파크,8
대전,8
플렉스,8
양천구,8
처인구,8
공주시,8
광교,8
이동,8
강변,8
화,8
산,8
신사,8
안성시,8
필드,8
오산시,8
드림,8
신림동,8
좋다,8
와플,8
분,8
한세상,8
광주시,8
역삼동,7
서귀포시,7
종합,7
코,7
리더,7
봉명동,7
나무,7
올림픽로,7
광,7
다산동,7
파주,7
한강로,7
경원대로,7
한남동,7
포레,7
군포시,7
관,7
춘천시,7
퍼센트,7
의창구,7
방화동,7
수지구,7
듯,7
기흥구,7
원로,7
삼성동,7
망,7
서원구,7
은평구,7
배스킨라빈스,7
캠퍼스,7
용,7
전주시,7
그,7
본점,7
동일로,7
마곡,7
가배,7
공항대로,7
트리,7
집,7
마이,7
움,7
삼성,7
사람,7
독,7
방문,7
화곡동,7
금곡동,7
가산동,7
다산,7
지점,7
수정구,7
공차,7
운,7
광명시,7
텐,7
문화,7
과일,7
퍼스트,6
뷰,6
달성군,6
여수시,6
영종,6
테라,6
포,6
월,6
평화로,6
베이,6
할리스,6
옥정동,6
관촉,6
수영구,6
오늘,6
류,6
공원,6
한시,6
국제,6
산동,6
역,6
충주시,6
커피하우스,6
카,6
네이버,6
청솔,6
서울,6
남,6
논현동,6
강서,6
용현동,6
에스프레소,6
마켓,6
산업,6
솔,6
스카이,6
트리플,6
지층,6
연수,6
킨텍스,6
상록구,6
것,6
수,6
신고,6
천리,6
채,6
강릉시,6
한강대로,6
터스,6
부산진구,6
힐스,6
향,6
버터,6
창동,6
꽈배기,6
가평군,6
무,6
갤러리,6
생각,6
항로,6
양평군,6
아이스,6
선로,6
경주시,6
시흥,6
정점,6
축제,6
오피스텔,6
남산,6
창,6
유,6
빈,6
교,6
동두천시,6
말로,5
길주로,5
해운대구,5
청라동,5
월드컵,5
캐슬,5
강화군,5
의왕시,5
중산동,5
장,5
도서관,5
문정동,5
나나,5
요거트,5
천안,5
먼데이,5
수원,5
띠,5
인주대로,5
학익동,5
에이스,5
판교역,5
리브,5
해,5
레이스,5
초점,5
송도컨벤시아,5
과학로,5
신촌로,5
갈현동,5
서면,5
송파,5
감성,5
확인,5
왕십리,5
달달,5
선릉로,5
고산,5
대학교,5
대화동,5
청주,5
온,5
샐러드,5
금호,5
에이치,5
코엑스,5
마루,5
잠실,5
교점,5
안양,5
원주시,5
위드,5
트,5
연희,5
베스트,5
밸리,5
상계동,5
잠실동,5
제이,5
옥포,5
커뮤니티,5
방점,5
안,5
힐스테이트,5
도넛,5
전국,5
봄,5
봄봄,5
배,5
고덕동,5
어,5
강동,5
경산시,5
희다,5
포트,5
매장,5
토,5
종로,5
복지,5
리스,5
플러스,5
하늘,5
천호동,5
센텀,5
성수동,5
별내동,5
하남,5
테크노,5
장기동,5
신정동,5
오리로,5
홈,5
정리,5
효,5
더블유,4
망월동,4
힐,4
화곡로,4
서교동,4
호두,4
아크,4
빛,4
사랑,4
제과,4
학,4
방,4
비즈,4
주식회사,4
일산동,4
아래,4
구미시,4
목포시,4
여의도동,4
속초시,4
삼성로,4
온천,4
검,4
호국로,4
산길,4
코너,4
과천대로,4
올림픽,4
뜰,4
스페셜,4
소흘읍,4
중계동,4
건축물,4
신,4
마산회원구,4
전시장,4
강남,4
쥬,4
대치,4
우측,4
젤라또,4
동남로,4
펜,4
스테이션,4
병원,4
일상,4
배배꼬,4
통일로,4
부영,4
분당,4
쿠키,4
보람동,4
가좌동,4
일로,4
천동,4
이태원동,4
계양구,4
거,4
케이,4
글,4
신촌,4
에브리,4
모로,4
헤,4
운정,4
알,4
부여군,4
연구소,4
행로,4
교동,4
폴리스,4
크림,4
곰,4
옥,4
관동,4
안녕,4
신당동,4
아산,4
노블,4
도봉,4
연수동,4
내,4
초,4
용죽,4
망원동,4
가정,4
씨티,4
서점,4
밀크,4
일분,4
수성,4
승,4
임일,4
진,4
태안군,4
고개,4
서로,4
라운드,4
회관,4
언주로,4
데이,4
골든,4
미로,4
그릭,4
복지관,4
및,4
달구벌대로,4
순환,4
노을,4
퇴계로,4
일동,4
츠,4
스콘,4
밀락더,4
태,4
도,4
논현로,4
위례광,4
단점,4
테헤란로,4
윤,4
철산,4
마산합포구,4
시청,4
연남,4
라커,4
실시간,4
서울숲,4
안산,4
강릉,4
병점,4
낼,4
샌드,4
지원,4
리버,4
나주시,4
센트럴시티,4
임,4
북동,4
부천,4
누리,4
설,4
레,4
구의동,4
봉은사로,4
서문,4
봉,4
신부동,4
지역별,4
안성,4
북부,4
부산,4
메뉴,4
지로,4
와우산,4
정로,4
봄날,4
능동,4
광명,4
