word,count
있다,428
목단,371
가옥,370
카페,369
층,211
한남동,171
타일,157
수,126
곳,116
공간,115
좋다,110
것,104
같다,93
인테리어,91
작품,85
예쁘다,82
가격,73
용산구,70
건물,69
테이블,67
지하,67
메뉴,65
이태원로,64
없다,63
티,62
길,62
커피,61
느낌,60
많다,60
아니다,59
이,59
이색,58
화려하다,58
자개,56
시간,55
맛,55
서울특별시,52
한남,52
붉다,51
사진,49
주문,49
여기,47
맛있다,44
음료,41
화장실,41
진짜,40
내부,40
구경,40
방문,39
입구,38
벽돌,38
이렇다,37
레드,36
우리,36
안,36
아메리카노,36
계단,35
사람,35
생각,35
정말,35
하나,35
작가,34
라떼,32
케이크,32
더,32
분위기,31
때,31
자리,31
쿠키,31
저,31
판매,31
용산,30
이태원,30
이다,30
크림,30
갤러리,29
디저트,29
눈,29
나,28
맛집,27
위치,27
빨갛다,27
볼,27
전시,27
그,26
거,26
옻칠,26
예술,26
바로,25
거리,25
듯,25
전용,25
다양하다,24
그렇다,24
독특하다,24
복,24
테라스,24
등,24
멋지다,23
종류,23
한번,23
집,23
독보,23
휴무,23
작다,22
인상,22
쪽,22
소품,22
외관,22
빨간색,22
내,22
재생,22
문,21
또,21
다른,21
비싸다,21
친구,21
옷,21
공예,20
위,20
운영,20
서울,20
전체,20
은색,20
날,20
아름답다,20
이쁘다,20
일,19
엘리베이터,19
레몬,19
이용,19
브런치,19
요,18
알,18
직접,18
스콘,18
색감,18
좋아하다,18
향,18
클래스,18
그냥,17
귀엽다,17
세면대,16
모두,16
제,16
목단가옥,16
인,16
정도,16
월,16
중,16
장인,16
뭐,16
즐겁다,16
한강진역,16
꽃,15
표현,15
세계,15
가능하다,15
마음,15
전통,15
제작,15
영업,15
좀,14
다음,14
예약,14
저희,14
제품,14
먼저,14
데이트,14
다르다,14
사용,14
밥,14
장식,14
고급스럽다,14
새롭다,14
준비,14
보고,14
점,14
분,14
이드,14
재미,13
바닥,13
트로피,13
강렬하다,13
및,13
역시,13
디자인,13
아이스,13
사실,13
주차,13
펀치,12
신기하다,12
오늘,12
번,12
오픈,12
파스타,12
주말,12
아주,12
마치,12
자체,12
해,12
특이하다,12
소개,12
메뉴판,12
어떻다,12
속,12
직원,11
선택,11
루비,11
괜찮다,11
일상,11
입,11
넓다,11
화,11
시선,11
함,11
베,11
개,11
기분,11
브랜드,11
방,11
엄마,11
처음,11
기도,11
실내,11
특별하다,11
화요일,11
초밥,11
진행,11
겸,11
요즘,11
만,11
다시,11
색,11
나전칠기,11
유명하다,11
가득하다,10
주소,10
별로,10
벽,10
차,10
도,10
피자,10
움,10
못,10
매장,10
데,10
근처,10
접기,10
온통,10
한잔,10
고급,10
거기,10
골목,10
벽면,10
발견,10
추천,10
취향,10
편,10
재료,10
버터,10
뭔가,10
앞,10
감상,10
때문,10
문의,10
걸,9
게,9
편하다,9
지금,9
초코,9
조금,9
레스토랑,9
천장,9
관심,9
이번,9
식사,9
평일,9
블렌딩,9
야외,9
바,9
활용,9
조각,9
약간,9
시작,9
땀,9
엘레베이터,9
뷰,9
일본,9
컬러,9
폴링,9
비주,9
정기,9
컬,9
안쪽,9
식당,9
말,9
가지,9
월요일,9
토,9
핸드,9
손님,9
줄,9
옆,9
음식,8
전부,8
궁금하다,8
오전,8
간판,8
가득,8
임,8
샵,8
마련,8
타코,8
꽤,8
볼거리,8
나중,8
한쪽,8
팅,8
빨강,8
모란,8
포토,8
아트,8
감,8
완성,8
난,8
경험,8
얼,8
주차장,8
한국,8
안내,8
소스,8
외부,8
후,8
일요일,8
단체,8
출구,8
조명,7
제공,7
색다르다,7
깊다,7
입장,7
세상,7
루프,7
아쉽다,7
인지,7
여기저기,7
대비,7
탑,7
블루베리,7
은,7
어디,7
카페라떼,7
웨이,7
조합,7
거장,7
중간,7
매력,7
창가,7
물,7
조화,7
대표,7
미술관,7
최고,7
복합,7
현대,7
가야,7
장소,7
여러,7
중국,7
젠도,7
완전,7
샹들리,7
모양,7
가면,7
개성,7
값,7
회,7
달달,7
의자,7
사장,7
가게,7
여행,6
라운지,6
오렌지,6
빛,6
받침,6
이색카페,6
쟁반,6
로고,6
체험,6
아래,6
살짝,6
메인,6
곳곳,6
핫,6
전시장,6
잔,6
로,6
살,6
건,6
빨,6
위층,6
맘,6
레,6
의,6
를,6
재,6
컨셉,6
높다,6
변화,6
이제,6
보,6
땐,6
통해,6
나전,6
바닐라,6
찻잔,6
타고,6
계시다,6
놀,6
이름,6
드,6
고구마,6
특색,6
매우,6
채,6
가치,6
모든,6
배,6
패턴,6
편이,6
햇살,6
빵,6
시,6
형태,6
전혀,6
친절하다,6
글,6
부드럽다,6
신상,6
점심,6
메이드,6
동안,6
컵,6
사이,6
보통,6
유니크,6
모자이크,6
통,6
구조,6
차갑다,6
황동,6
모습,6
시공,6
과일,6
원두,5
나들이,5
오브,5
계속,5
딸기,5
궁궐,5
개인,5
사업,5
신선하다,5
국적,5
원하다,5
