word,count
폰드,60
카라멜,45
아틀리에,43
예약,41
있다,39
박스,36
디저트,36
한남동,30
쿠키,25
같다,22
맛,22
바,22
것,21
때,21
파티세리,20
선물,20
픽업,19
좋다,17
가격,16
개,15
사진,14
구매,14
맛있다,14
고급,14
휘,14
낭시,14
에르메스,13
포장,13
및,12
판매,12
고급스럽다,11
아니다,11
매장,11
동영상,10
수,10
거,10
명,10
패키지,9
한정,9
용산구,9
못,9
사람,9
한남,9
수량,9
좋아하다,8
후기,8
미리,8
가능하다,8
층,8
진짜,8
갤러리아,8
저,8
예쁘다,8
상자,8
인스타그램,7
비싸다,7
초콜릿,7
메뉴,7
아뜰리에폰드,7
정말,7
유명하다,7
그렇다,7
더,7
이,7
오픈,7
예정,6
느낌,6
길,6
추천,6
나무,6
위스키,6
정도,6
동생,6
또,6
백화점,6
문,6
카페,6
곳,6
집,6
한남대로,6
맛집,6
방문,6
서울특별시,6
가능,6
없다,6
달,6
하나,6
요즘,6
볼,5
원래,5
팔로워,5
얼그레이,5
안,5
비터,5
짐,5
등,5
물,5
하루,5
공간,5
남편,5
파티,5
위치,5
패키징,5
다른,5
진,5
폰,5
프리미엄,5
팔로잉,5
참고,5
게시,5
여기,5
향,5
부산,5
사실,5
내,5
제,5
옆,5
님,5
일,4
이노,4
분위기,4
용,4
아쉽다,4
센스,4
날씨,4
베르가,4
메,4
마들렌,4
엽서,4
오라버니,4
제품,4
개입,4
날,4
가지,4
해,4
산미,4
다음,4
건물,4
바로,4
음식,4
궁금하다,4
지금,4
직접,4
처음,4
그,4
도,4
페어,4
넘치다,4
이바지,4
화,4
코스,4
한번,4
링,4
나,4
처,4
마음,4
아이스크림,4
커피,3
키키,3
Atelier,3
조금,3
가득,3
종,3
작년,3
시,3
어머님,3
현장,3
구경,3
생각,3
특별하다,3
근처,3
곧,3
서울,3
보고,3
디엠,3
점,3
중요하다,3
이제,3
시스템,3
후,3
가게,3
강진,3
보기,3
브랜드,3
아주,3
블로그,3
이다,3
살짝,3
장,3
꼭,3
핫,3
환갑,3
전,3
전화,3
그냥,3
이번,3
비이커,3
완전,3
시간,3
살,3
운영,3
말,3
내부,3
부드럽다,3
바삭,3
토,3
위해,3
듯,3
자주,3
돈,3
사,3
좀,2
이후,2
평,2
인기,2
덴마크,2
밥,2
가지런하다,2
요,2
막,2
경우,2
해도,2
쉐리,2
세트,2
발렌타인데이,2
일러스트,2
앤드,2
본점,2
아트,2
월,2
실온,2
정성,2
잠시,2
표현,2
나인,2
하니,2
인사,2
유리,2
중,2
|,2
단맛,2
비슷하다,2
스코프,2
버터,2
색상,2
비밀,2
친절하다,2
신경,2
총,2
주문,2
많다,2
장난,2
아틀리에폰드,2
재,2
할인,2
드릴,2
대표,2
토리,2
어렵다,2
만큼,2
삼각지,2
얼마나,2
이태원로,2
데이트,2
이벤트,2
만,2
인스타,2
절대,2
쉽다,2
서울시,2
업,2
우드,2
보,2
흰색,2
다양하다,2
콘디,2
탄생,2
