word,count
있다,294
디저트,219
오지,190
힐,186
카페,146
층,142
한남동,123
케이크,118
좋다,100
주문,84
같다,78
호주,75
음료,62
맛있다,62
맛,58
자리,53
것,52
예쁘다,52
지하,51
없다,50
곳,50
한남,50
길,49
용산구,49
많다,46
빵,45
공간,45
테이블,44
대사관로,44
파블로바,43
종류,42
메뉴,42
파운드,41
사진,40
느낌,38
커피,38
더,34
수,33
크림,33
포장,31
분위기,30
시간,30
좋아하다,29
치즈,29
사람,29
다양하다,28
서울,28
개,28
비주,28
친구,28
서울특별시,28
얼,27
이다,27
스콘,27
에그타르트,26
집,25
방문,24
라떼,24
주차장,24
위치,23
말차,22
좀,22
때,22
날,21
저,21
주택,21
개조,21
야외,21
저희,20
매일,20
맛집,20
베이커리,19
그렇다,19
아니다,19
케익,19
주차,19
하나,19
추천,18
위,18
거,18
아이스,18
아쉽다,18
바로,17
딸기,17
내부,17
이렇다,17
보고,17
나,17
이드,17
아메리카노,17
여기,17
이,17
레몬,17
정말,17
머랭,17
귀엽다,17
오지힐,16
진짜,16
계단,16
인,16
인절미,16
듯,16
우리,16
넓다,16
다음,15
안,15
날씨,15
카운터,15
달달,15
골목,15
티,15
제,15
얼그레이,14
그,14
정도,14
등,14
생각,14
눈,14
전,14
좌석,14
감성,13
초코,13
접시,13
황,13
인테리어,13
브라우니,12
점,12
내,12
과일,12
단호박,12
류,12
명,12
먼저,12
다른,12
유명하다,12
직접,11
꼭,11
꽤,11
부드럽다,11
메뉴판,11
요즘,11
다시,11
먹음,11
및,11
핫,11
괜찮다,11
완전,11
못,11
구경,11
가게,11
가정,11
편하다,10
주소,10
후기,10
또,10
이태원,10
외관,10
매장,10
래밍턴,10
블랙,10
보기,10
처,10
이용,10
처음,10
롱,10
영업,10
바,10
약간,10
박스,9
아래,9
아늑하다,9
게시,9
조금,9
그냥,9
입,9
모티브,9
쿠키,9
바나나,9
속,9
아주,9
라스트,9
밀크,9
방,9
살짝,9
색감,9
비건,9
춥다,9
중,9
물,9
한번,9
따뜻하다,9
순이,8
거실,8
별로,8
샌드위치,8
이름,8
공영,8
가득,8
캥거루,8
동영상,8
검색,8
포스터,8
데이트,8
어떻다,8
손님,8
온,8
걸,8
흑임자,8
밥,8
키친,8
입구,8
식감,8
미트파이,8
해,8
화려하다,8
근처,8
테라스,8
후,8
조명,7
선택,7
요,7
빵집,7
카라멜,7
주택가,7
거리,7
크기,7
쪽,7
역시,7
소품,7
비쥬,7
후다닥,7
마감,7
일단,7
창,7
분,7
볼,7
개인,7
페인,7
마련,7
디카,7
가면,7
고민,7
가격,7
필수,7
소파,7
조용하다,7
모두,7
조각,7
무엇,6
브런치,6
게,6
전체,6
호주식,6
부분,6
곳곳,6
여러,6
화장실,6
편,6
직,6
배,6
안락하다,6
이번,6
시,6
번,6
키위,6
뭔가,6
어렵다,6
도어,6
깔끔하다,6
도보,6
여행,6
시즌,6
무조건,6
생,6
줄,6
밖,6
고소하다,6
차,6
자리다,6
등등,6
디저트카페,6
오,6
진동,6
자체,6
저녁,6
냉장고,6
식사,6
조합,6
중간,6
함,6
가능하다,6
덥다,6
잡고,6
의자,6
벨,6
벽돌,6
최고,5
행복하다,5
홀드,5
무난,5
브레드,5
오스트레일리아,5
너,5
밤,5
봄,5
스럽다,5
기준,5
웨이팅,5
오늘,5
"층
한남동",5
레밍,5
한참,5
리,5
입맛,5
가지,5
재,5
셀프,5
거의,5
본격,5
투어,5
로투스,5
일행,5
덕,5
언덕,5
수다,5
선물,5
인기,5
제일,5
상큼,5
마지막,5
성,5
잔,5
오레오,5
카페트,5
향,5
오후,5
뒤,5
왜,5
맘,5
애플,5
토마토,5
턴,5
