word,count
있다,89
커피,67
카페,55
한남동,39
마약,39
테이크,32
주문,25
맛있다,24
좋다,24
같다,20
수,20
콜드,19
브루,19
길,18
우유,18
씨,15
용산구,15
냉면,15
대사관로,15
것,12
곳,12
메뉴,12
공간,11
정말,11
맛,11
시간,11
디저트,10
저,10
서울특별시,10
동아,9
포장,8
회전목마,8
반려동물,8
이렇다,8
동반,8
거품,8
많다,8
맵다,8
분,8
정도,7
이,7
거,7
이태,7
위치,7
가능,7
이태원역,7
귀엽다,7
다양하다,7
원점,7
친구,7
이태원,7
기,7
달달,7
이다,6
좋아하다,6
또,6
생각,6
번,6
서울,6
영업,6
판매,6
요,6
분위기,6
사진,6
추천,6
아이스,6
부드럽다,6
힙,6
때,6
음료,6
옆,6
가루,5
이용,5
느낌,5
테이블,5
메리,5
키트,5
물,5
제,5
카메라,5
좀,5
안,5
그렇다,5
병,5
더,5
봉투,5
자리,5
아니다,5
육수,5
맛집,5
만,5
처,5
눈,5
라떼,4
바로,4
크리스마스,4
날씨,4
동네,4
아메리카노,4
스프링,4
날,4
매장,4
방문,4
소개,4
영수증,4
사장,4
어떻다,4
언덕,4
온,4
일,4
더치,4
편하다,4
추억,4
작다,4
홀,4
매콤,4
인테리어,4
이동,4
안쪽,4
의,4
배달,4
가능하다,4
케이크,4
셀프,4
테이크아웃,4
사실,4
없다,4
치노,3
만두,3
사용,3
오빠,3
위생,3
에어로,3
저희,3
사이즈,3
Take,3
아쉽다,3
밤,3
성,3
조금,3
후기,3
잔,3
오늘,3
저녁,3
카페라떼,3
매일,3
네스프레소,3
근처,3
먼저,3
듯,3
주차,3
커피집,3
호선,3
애견,3
때문,3
구조,3
종류,3
선물,3
언덕길,3
스팀,3
직접,3
입구,3
티,3
여기,3
쪽,3
병원,3
산책,3
주시,3
입,3
회사,3
늘,3
해,3
뭔가,3
팁,3
크림,3
옥,3
따뜻하다,3
테이크씨,3
데이트,3
속,3
즉석,3
출구,3
걸,2
밀크,2
조명,2
멋지다,2
달라,2
지나,2
새벽,2
발견,2
카페],2
불편하다,2
속닥,2
베트남,2
신기하다,2
착하다,2
차,2
센스,2
공영,2
자기,2
다방,2
본점,2
월,2
동생,2
편,2
부조화,2
뜻,2
잠시,2
오미자차,2
미리,2
마카롱,2
작동,2
마무리,2
C,2
딱이다,2
메뉴인,2
아이,2
부어,2
류,2
카페인,2
등,2
리,2
알코올,2
준비,2
운영,2
왜,2
비밀,2
헤이즐넛,2
단골,2
명,2
말차,2
가격,2
한번,2
행복하다,2
청량리,2
오르막,2
라운드,2
앞,2
재미있다,2
실,2
감성,2
이제,2
유니크,2
멋있다,2
순천향대,2
의자,2
언제,2
자주,2
하나,2
분리,2
프린트,2
가을,2
요즘,2
힙한,2
땐,2
준,2
마음,2
아이스크림,2
인기,2
분점,2
토요일,2
아래,2
개인,2
으리,2
내리막,2
용산,2
브롬,2
이웃,2
톤,2
용,2
맵,2
도,2
얼음,2
위,2
오전,2
여름,2
배변,2
점심시간,2
예전,2
집,2
유명,2
신분증,2
전문점,2
TAKE,2
이번,2
바닥,2
이상,2
독특하다,2
마약커피,2
말,2
내부,2
순천향,2
제대로,2
c,2
더치커피,2
종종,2
테라스,2
양,2
백수,2
탕,2
검색,2
예쁘다,2
주차장,2
외부,2
아기자기하다,2
내,2
주민,2
나,2
조용하다,2
가게,2
왕만,2
손님,2
다시,2
줄,2
고소하다,2
댁,1
여행,1
볼,1
"만족스럽다
이태원역",1
추출하는,1
즈음,1
보솔보솔,1
여럿,1
비빔,1
서투르다,1
널찍,1
커피전문가,1
올리브,1
물냉면,1
몇번,1
호기심,1
건물,1
강탈,1
워,1
쩡,1
음식,1
진짜,1
카페	한남동,1
문,1
더움,1
보,1
순,1
팔로잉,1
고객,1
추출,1
모에,1
프랑스,1
대요,1
좌우,1
단짝,1
"길
한남동",1
닷,1
빼,1
여러분,1
'테이크씨(Take,1
냉면집,1
백운호수,1
흐흐,1
아련하다,1
무기,1
및,1
더욱,1
"건강하다",1
상태,1
장,1
샌드위치,1
원하다,1
슝슝,1
"씨
[한남동",1
풍경,1
궁금하다,1
역할,1
커피한잔,1
우시,1
다만,1
영국,1
멈말이,1
시국,1
자리다,1
리터,1
플루,1
세트,1
take,1
소,1
소화,1
