word,count
호,909
한남동,895
번지,875
층,549
지상,308
한남,156
지하,106
점,59
나인,33
커피,26
식당,26
카페,24
주,24
아이파크,20
서울,20
있다,18
빌딩,17
탈북민,15
외,13
씨,13
클럽,12
하우스,11
더,11
요셉,11
집,11
필지,11
원점,10
이태원,10
베이커리,9
스,9
이태,9
순천향,9
것,8
그릴,8
직원,8
수,8
그,8
블루,8
그랜드,8
방,7
갤러리아,7
라운지,7
하얏트,7
기업,7
주식회사,7
키친,7
탈북,7
사회,7
밉다,7
메이,7
스시,7
에이,6
리,6
이,6
포차,6
코리아,6
시티,6
앤,6
베,6
비,6
바,6
마음,6
칼국수,5
피,5
안정,5
치킨,5
정착,5
생각,5
한국,5
컴퍼니,5
일,5
푸드,5
이다,5
스퀘어,5
드,5
그렇다,5
본점,5
또,5
병원,5
메종,5
케이,5
에이치,4
비스트,4
위,4
레스토랑,4
동원,4
음식점,4
스키,4
족발,4
지점,4
북한,4
로스팅,4
한우,4
제임스,4
후,4
이마트,4
빈,4
네스트,4
랩,4
사업,4
숀,4
마당,4
피자,4
앤드,4
미소,4
호점,4
마,4
성아,4
운영,4
신성,4
분식,4
끼,4
라운드,3
백미,3
와인,3
향기,3
통닭,3
밥,3
생활,3
진미,3
나주,3
스톤,3
테이블,3
포,3
가든,3
추구,3
메,3
로스,3
지원,3
자신,3
타르,3
세븐일레븐,3
불,3
사람,3
모델,3
쿠,3
스튜디오,3
창업,3
한강진역,3
제,3
박요셉,3
좋다,3
온,3
친,3
갈비,3
회관,3
현대,3
통해,3
용산,3
브레드,3
부자,3
린,3
친구,3
청,3
동점,3
포멜로,3
엠,3
화담,3
레드,3
버거,3
담,3
청년,3
목표,3
호프,3
협동조합,3
파트너,3
글로벌,3
삼겹살,3
에프,3
은행,3
진,3
바이,3
과정,3
프로젝트,2
만두,2
도시락,2
라퀴진,2
약국,2
강가,2
사업가,2
보,2
트,2
고,2
바다,2
도노,2
루트,2
바바라,2
스페이스,2
이스탄불,2
재즈,2
코,2
미트,2
코너,2
주점,2
힐점,2
이디야,2
패션,2
반점,2
제리,2
소,2
가장,2
스키야키,2
실패,2
파리,2
아디,2
코로,2
틴,2
공일,2
티,2
리첸,2
쥬,2
아티,2
구이,2
아이,2
이치,2
스타트업,2
오복,2
블,2
코끼리,2
맛집,2
풍년,2
갤러리,2
밍,2
비즈니스,2
와이낫,2
라멘,2
로시니,2
자프란,2
를,2
손,2
란,2
센터,2
찌,2
핏,2
시설,2
타운,2
애비뉴,2
파,2
심리,2
오지,2
기,2
판,2
동안,2
국화,2
라오,2
대해,2
남분,2
의리,2
히바,2
의종,2
없다,2
달,2
비어,2
초,2
에스,2
걸,2
쉬,2
차이나,2
시스템,2
블랙,2
꼼장어,2
창,2
손님,2
김치찌개,2
씨유,2
노력,2
식품,2
속,2
로이,2
마켓,2
돈,2
참여,2
로얄,2
브,2
샐러드,2
힐,2
오렌지,2
루틴,2
페리,2
스페인,2
밀리,2
자립,2
배스킨라빈스,2
녹스,2
오월,2
생,2
플랜트,2
꽃,2
통일,2
용산구,2
마르다,2
존,2
호텔,2
대학,2
샤,2
마차,2
남북,2
삐삣,2
상가,2
바베큐,2
츠,2
이름,2
신념,2
리앤,2
감자탕,2
국,2
구,2
오,2
호식,2
채,2
프레,2
제주,2
슈퍼,2
브라운,2
신세계,2
전,2
모든,2
마트,2
라라,2
델리,2
향,2
모어,2
청춘,2
사유,2
필로스,2
스테이,2
아니다,2
리버티,2
엇국,2
참치,2
소셜,2
말,2
꼬치,2
맥심,2
가지,2
늘,2
도움,2
스타벅스,2
라이트,2
마일,2
엘피,2
카,2
의사결정,2
리스,2
마을,2
대사관,2
알,2
스트,2
반,2
스타벅스커피,2
준호,2
때,2
딜,2
헬리,2
스티,2
도전,2
운,2
초원,2
테리,2
살룬,2
오피스텔,2
벨,2
로우,2
청산,2
나눔,2
이야기,2
디,2
시작,2
바게뜨,2
우리,2
돼지,2
페이지,2
써니,2
곱창,2
치료,2
찰,1
소호야,1
아르케,1
말차,1
리틀,1
경성,1
쭈꾸미,1
어가,1
푸르다,1
서비스,1
볼,1
슬림,1
인디아,1
장내,1
북한주민,1
퍼스,1
크레이트,1
수영,1
우나꼬미따,1
명동,1
순이,1
다르다,1
구슬,1
미카,1
중식,1
그램,1
오스,1
테크,1
세,1
은행나무,1
아름,1
산다,1
벨포트,1
시실리,1
프린트,1
빛,1
민주,1
나루터,1
파리크라상,1
아울스,1
대국,1
정원,1
보석,1
시아,1
사랑,1
상해,1
계속,1
빌딜,1
존쿡,1
도리,1
히든,1
인증,1
골목,1
마이너스,1
다이브,1
셀러,1
관련,1
흔하다,1
르보,1
유포리아,1
오빠,1
싫다,1
영리,1
배재,1
공기,1
다츠,1
한남대교,1
정부,1
스위츠,1
박스,1
콜렉,1
마렘,1
삼오,1
온도,1
우선,1
부첼리,1
마농,1
기와,1
누드,1
골든,1
엔젤,1
불고기,1
남대문,1
멘션,1
장작구이,1
빙,1
릴리,1
고양이,1
송엘임,1
고등어,1
홀로,1
퀸즈,1
누,1
심,1
파란,1
보르,1
케르,1
수산나,1
고용,1
바리스타,1
주소,1
덕스,1
한강,1
콘디,1
더위,1
브랜든,1
아담,1
두꺼비,1
밀라노,1
트윈,1
카탈,1
테리어,1
무교,1
호박,1
비트,1
명가,1
전국시대,1
보람,1
느티나무,1
인더랩,1
장고,1
크리에이티브,1
한의원,1
학산,1
루시,1
장,1
빌라,1
베트남,1
찜닭,1
페르시안,1
검다,1
콜라보,1
넬,1
더띵,1
섬,1
프란,1
차,1
셋,1
착하다,1
달콤커피,1
레스보스,1
우시,1
디플랏,1
굿모닝,1
길섶,1
유한회사,1
페이퍼,1
초코,1
도호,1
털,1
오이사,1
버블,1
빠르다,1
아오이,1
백성,1
가난하다,1
고다,1
비끼,1
입구,1
벨루스,1
연회,1
진성,1
이문,1
민,1
연옥,1
레트로,1
남한,1
외롭다,1
넘버원,1
가족,1
조리,1
케이에프씨,1
오뎅,1
우주인,1
인원,1
월,1
스테이크하우스,1
미래,1
와나,1
랜드,1
삼고,1
고을,1
소꿉,1
레시피,1
마왕,1
사회생활,1
순수,1
레이지,1
강,1
나나,1
착,1
카이센동,1
관광,1
코르,1
기근,1
가치,1
하이힐,1
송,1
아우,1
향으로,1
괜찮다,1
남도,1
리오,1
플레이,1
미스,1
졸리,1
베이,1
크루,1
거리,1
노동자,1
라나,1
점포,1
동아,1
하리,1
컨비,1
바람,1
아카이브,1
비컨,1
살기,1
티타,1
리움,1
추진,1
소비자,1
셰프,1
현경,1
호머,1
샹드,1
상처받은,1
닉,1
엑스,1
간,1
치즈,1
새롭다,1
곱,1
기러기,1
뮤즈,1
오늘,1
노포,1
더룸,1
잭슨,1
할머니,1
비엔,1
웻,1
