word,count
탕후루,53
있다,39
망원,29
맛,19
길,17
왕가,16
시장,16
망고,15
마포구,14
맛있다,14
달콤,13
친구,13
역점,13
서울특별시,13
안,12
많다,12
좋다,12
같다,11
진짜,10
귤,10
딸기,10
아니다,10
개,9
과일,9
그렇다,9
집,9
그냥,9
포도,9
월드컵,8
수,8
내,8
것,8
꼭,8
로,8
사파이어,8
시간,8
가격,8
때,8
없다,8
사람,7
한국,7
다음,7
요,7
입,7
이상,7
블랙,7
순대,6
제일,6
사진,6
단맛,6
이,6
나,6
망원동,6
가게,6
포장,6
그,6
곳,6
또,6
왕가탕후루,6
설탕,6
생각,6
함,6
저,6
듯,6
감성,6
좀,5
바로,5
발견,5
토론,5
정도,5
좋아하다,5
보냉팩,5
뭐,5
앞,5
달달,5
층,5
데뷔,5
최고,5
망원역,5
블루베리,5
왜,5
애플,5
맛집,5
거,5
이렇다,5
떡볶이,5
알,5
후,5
데이트,5
요즘,5
어묵,4
얘,4
비주,4
편,4
짐,4
중,4
도착,4
시,4
말,4
난,4
메뉴,4
코팅,4
하나,4
추가,4
면,4
줄,4
일본인,4
먹기,4
스캣,4
인기,4
머,4
돗자리,4
한강,4
추천,4
튀김,4
처음,4
샤인,4
괜찮다,4
임,4
미치다,4
방문,4
얼,4
바삭,4
오타쿠,4
거봉,4
영업,4
제,4
닭강정,4
다른,4
죠죠,4
망,4
걸,3
밀크,3
원래,3
디저트,3
편하다,3
개인,3
별로,3
차,3
이름,3
인,3
리터,3
짱,3
잼민,3
후기,3
새롭다,3
역시,3
웨이,3
날,3
우유,3
보관,3
탕수육,3
보고,3
위치,3
팅,3
옆,3
약하다,3
아주,3
슬러시,3
사,3
포은로,3
머리,3
종류,3
테이블,3
바닐라,3
달콤왕가탕후루,3
원점,3
금방,3
봄,3
티,3
필요,3
매장,3
대원,3
글,3
근처,3
주스,3
토,3
부산,3
일반,3
한번,3
반,3
나중,3
비,3
점,3
강동원,3
때문,3
사장,3
게임,3
주말,3
간이,2
갈수록,2
이용,2
음,2
실물,2
음식,2
대요,2
아몬드,2
멍,2
살짝,2
강하다,2
타임,2
타고,2
주심,2
왜냐면,2
지옥,2
앤드,2
고추,2
핫,2
기대,2
결론,2
싱겁다,2
아스카,2
조금,2
글구,2
미리,2
결정,2
양념,2
대여,2
도쿄,2
애,2
자체,2
힘들다,2
편이,2
자리,2
냉동고,2
두,2
우린,2
무료,2
뒤,2
주문,2
보트,2
씹덕,2
구경,2
옷,2
가면,2
스테,2
아이스,2
재,2
과즙,2
행복하다,2
응,2
니혼진,2
구슬,2
가능하다,2
짬뽕,2
얇다,2
분식,2
망원역점,2
즐겁다,2
두껍다,2
자꾸,2
파인애플,2
이제,2
당하다,2
수도,2
물티슈,2
이벤트,2
게,2
어치,2
시원하다,2
적당하다,2
만,2
통귤,2
쓰레기,2
다양하다,2
우리,2
준,2
리얼,2
선물,2
택시,2
궁금하다,2
신기하다,2
얘기,2
지금,2
구매,2
아쉽다,2
초코,2
유튜브,2
맵,2
너,2
의사,2
라뚜셩트,2
녀,2
마늘,2
치킨,2
더,2
자마자,2
정신,2
망원시장,2
국물,2
크기,2
가득,2
술,2
이동,2
갈등,2
촬영,2
공원,2
식후땡,2
아기,2
선불,2
존맛,2
번,2
를,2
키위,2
쾌감,2
데,2
물,2
특이하다,2
먹거리,2
밉다,2
케이크,2
거의,2
중국집,2
당,2
에반게리온,2
사실,2
과연,2
고기,2
부담스럽다,2
정말,2
판다,2
케잌,2
비아,2
농담,2
나이,2
간식,2
피크닉,2
카카오,2
내외,2
맞이,2
계획,2
갑자기,2
유명하다,2
여의도,2
작,2
아이스크림,2
온,2
직원,1
슈슉,1
라떼,1
먹음,1
여행,1
"니",1
홀려,1
서비스,1
볼,1
안락사,1
불문,1
일,1
l,1
감동,1
이후,1
갈비,1
꾸욱,1
동태,1
진격의거인,1
러블리,1
"망원닭강정,한강",1
느낌,1
개존잼임,1
비요뜨,1
블로그,1
우동,1
선택,1
당황,1
유치,1
다짜고짜,1
순,1
왕가탕후루	망원동,1
비교,1
보,1
싫다,1
구경이,1
카리,1
이다,1
정적,1
망리,1
흰색,1
이집,1
닷,1
상관없다,1
진자,1
짧다,1
션,1
웬걸,1
"봉투
망원동",1
"찐후기,카페",1
사업,1
목조,1
삼,1
대로,1
고,1
거짓말,1
마이러브,1
자전거,1
에렌예거,1
망원역점	탕후루,1
태극기,1
일한전,1
이웃,1
힘드다,1
마차,1
서서,1
체리,1
용,1
엄청나다,1
왕창,1
사이즈,1
칭구,1
밤새,1
포,1
여기가,1
저학년,1
컷집,1
비싸다,1
스티커,1
공개,1
다만,1
셋,1
평범하다,1
직접,1
수틀,1
가야,1
삔,1
공영,1
부대찌개,1
생크림,1
상큼,1
부,1
가장,1
힘,1
가족,1
이쿠,1
여러,1
얏호,1
길음,1
밤,1
재밌다,1
식감,1
상차림,1
나용,1
풀림,1
지하철,1
오,1
수요일,1
만난,1
장땡,1
식탁,1
고향,1
아저씨,1
최고다,1
뚜껑,1
기생,1
신중하다,1
저렇다,1
투머치,1
"포스팅
[망원]",1
젠,1
초입,1
감칠맛,1
먹었쥼,1
번외,1
후기	안녕하다,1
에이,1
입성,1
당신,1
아빠,1
코스프레,1
거리,1
웨이팅,1
신중,1
생기,1
바람,1
어플,1
춥다,1
아침,1
수직,1
하니,1
과거,1
탕후루	망원,1
여기,1
댐,1
향,1
영등포구,1
전문점,1
액정,1
인테리어,1
어,1
여우,1
이전,1
쪽,1
듬뿍,1
훈훈,1
뿌,1
남녀,1
보완,1
비슷하다,1
동시,1
뇌,1
눈물,1
냉장고,1
알차다,1
다행하다,1
좁다,1
칭구랑,1
흥미,1
추천],1
동탄,1
쫄았는데,1
나리타공항,1
리,1
천재,1
녹차,1
조만간,1
소품,1
역대,1
승리,1
함유량,1
고고,1
넓다,1
불,1
안되다,1
내부,1
물가,1
전혀,1
쎄다,1
친절하다,1
꼬치,1
쥬스,1
가지,1
외관,1
월요일,1
빡세,1
"부산대원어묵,",1
보신,1
에디,1
말차,1
다가,1
품절,1
거나,1
웃기,1
액체,1
점점,1
인류,1
입점한,1
쫄깃쫄깃,1
마시멜로,1
욤,1
탕후루	망원역,1
발,1
다르다,1
스벅,1
"강추
서울|망원",1
"무대
[망원시장",1
맛있다며?,1
청포도,1
링클,1
끼리,1
시장에,1
혹시,1
위험하다,1
지애,1
타,1
대한,1
토크,1
