word,count
샌드위치,133
커피,121
망,99
있다,94
샐러드,89
원점,81
서울,60
맛집,49
좋다,45
수,43
메뉴,42
맛있다,41
망원동,38
연어,37
포장,36
치킨,28
주문,27
같다,24
것,22
진짜,22
치즈,20
없다,18
매장,17
케이준,17
카페,17
정말,16
랩,16
길,16
더,15
다양하다,15
신선하다,15
마포구,15
재료,15
많다,15
파니니,15
토스트,14
추천,14
집,13
맛,13
리뷰,13
식사,13
이,12
파스타,12
분,12
저,12
서울특별시,12
내부,11
망원,11
주스,11
소스,11
달,11
베이글,11
시간,10
아니다,10
방문,10
거,10
다음,10
햄,10
배달,10
때,10
음료,10
후기,9
가게,9
가격,9
그,8
또,8
단호박,8
조합,8
할라피뇨,8
테이블,8
야채,8
곳,8
등,8
날,8
마포구청역,8
글,8
끼,8
위치,8
메뉴판,8
느낌,7
달리는커피,7
가능하다,7
사실,7
깔끔하다,7
존맛탱,7
하나,7
스무디,7
예약,7
빵,7
바질,7
크림,7
올리브,6
편하다,6
건강,6
토핑,6
존맛,6
건강하다,6
채소,6
자주,6
종류,6
선택,6
간단하다,6
좋아하다,6
여기,6
베이컨,6
근처,6
귀엽다,6
피크닉,6
서비스,5
요,5
가득,5
움,5
번,5
꽤,5
개,5
휴무,5
추가,5
이벤트,5
가성,5
줄,5
눈,5
일,5
음식,5
당근,5
위,5
양도,5
버터,5
역시,5
입맛,5
말,5
뭐,5
외관,5
관리,5
부담,5
한번,5
점,5
영업,5
영수증,5
달달,5
양상추,5
제,5
간식,5
볼,4
업체,4
참고,4
싱싱하다,4
도,4
꼭,4
그렇다,4
아메리카노,4
기본,4
그냥,4
오늘,4
듬뿍,4
얼마,4
입,4
문제,4
내용물,4
양파,4
점심,4
음료수,4
판매,4
일요일,4
통,4
만,4
단체,4
노트,4
다이어트,4
좀,4
제공,4
오렌지,4
먹기,4
바로,4
카야,4
한강,4
이름,4
인,4
전,4
새롭다,4
서울망원점,4
좌석,4
작성,4
친절하다,4
가면,4
쿠폰,4
얼마나,4
가능,4
사장,4
바나나,4
요즘,4
라스트,4
피망,4
출구,4
먹음,3
걸,3
다르다,3
이용,3
호밀빵,3
살짝,3
개인,3
경우,3
저희,3
용,3
호밀,3
데리야끼,3
궁금하다,3
얼른,3
짱구,3
정도,3
스럽다,3
쫀득,3
굉장하다,3
원산지,3
든든하다,3
쪽,3
제품,3
건,3
사람,3
답,3
끝,3
양,3
대표,3
사무실,3
보고,3
앞,3
도보,3
외부,3
호선,3
때문,3
젤,3
밖,3
이드,3
그린,3
이다,3
타로,3
프라,3
영양,3
등등,3
기도,3
조리,3
스페셜,3
짐,3
착즙,3
정성,3
최애,3
인테리어,3
전화번호,3
메뉴인,3
알차다,3
약과,3
완전,3
두,3
준비,3
공원,3
가깝다,3
칼로리,3
토마토,3
모양,3
오픈,3
하루,3
함,3
바삭,3
반,3
검색,3
청결하다,3
비,3
테이크아웃,3
쾌적하다,3
운,3
가볍다,3
나,3
다른,3
기분,3
페,3
달리,3
거기,3
직원,2
관계,2
달라,2
장점,2
골목,2
보,2
전체,2
빼,2
분위기,2
민족,2
및,2
핸드폰,2
진심,2
취향,2
망고,2
삭,2
어려움,2
혼밥,2
나쁘다,2
의사,2
식감,2
스,2
매달,2
티,2
드레싱,2
거리,2
조금,2
때마침,2
미리,2
햄버거,2
직장,2
딱이다,2
야하다,2
부어,2
도착,2
키,2
실하다,2
바닥,2
사과주스,2
살,2
오후,2
행복하다,2
기다림,2
넓다,2
오스,2
발생,2
표시,2
애플,2
사랑,2
계속,2
생각,2
산,2
고민,2
뭔가,2
식단,2
비도,2
얇다,2
블로그,2
기,2
동안,2
인상,2
프랜차이즈,2
만큼,2
어렵다,2
게,2
오란,2
보통,2
대신,2
따뜻하다,2
배부르다,2
언제,2
대가,2
덕,2
빵빵,2
디저트,2
아몬드,2
손님,2
보기,2
처,2
사서,2
딸기,2
아래,2
로스트치킨,2
주소,2
요기,2
비싸다,2
순간,2
버섯,2
직접,2
몸,2
상큼,2
편,2
직,2
모든,2
대용,2
배,2
모짜렐라,2
매콤,2
그릴,2
전화,2
향,2
고갈,2
정기,2
전문점,2
중,2
편리하다,2
편이,2
자체,2
햇살,2
망원역,2
안좋다,2
동시,2
인석,2
케일,2
러스크,2
"이다
망원동",2
가지,2
칠리소스,2
거나,2
포인트,2
보관,2
손,2
싱그럽다,2
오기,2
외,2
토,2
소개,2
알,2
서울망원점	망원동,2
조화,2
전문,2
한가지,2
덥다,2
카운터,2
바,2
가기,2
의자,2
후,2
더하다,2
약,2
일단,2
어떻다,2
짭짤하다,2
우리,2
아주,2
참여,2
캐릭터,2
간이,1
라떼,1
바삭바삭하다,1
지역,1
계절,1
규,1
진행중,1
꼬오옥,1
평,1
