word,count
망디,131
카페,107
있다,95
디저트,91
좋다,90
마들렌,67
망원동,67
낭시,48
휘,48
맛,46
맛있다,45
음료,38
라떼,37
레몬,37
주문,35
메뉴,35
초코,33
수,32
같다,32
것,30
움,30
크림,30
맛집,27
과자,27
버터,26
커피,25
비,25
사용,24
테이블,23
쿠키,22
스코티,22
정말,22
시간,22
길,19
처,19
향,19
때,18
티,17
조용하다,17
층,17
거,17
사장,17
제,17
곳,16
부드럽다,16
월드컵,16
분위기,16
내부,16
마포구,15
로,15
없다,15
느낌,15
이다,15
공간,15
따뜻하다,14
달달,14
아메리카노,14
저,14
가득하다,13
요,13
직접,13
호,13
기분,13
아주,13
원두,12
사브,12
메,12
자몽,12
우측,12
인테리어,12
꽤,12
마포구청역,12
바질,12
모카,12
고소하다,12
레,12
신상,12
흑임자,11
다양하다,11
가득,11
프랑스,11
사진,11
식감,11
좋아하다,11
작다,10
정도,10
촉촉하다,10
깔끔하다,10
개,10
판매,10
선물,10
망리,10
겨울,10
저희,10
안,10
더,10
후기,10
굉장하다,10
녹차,10
날,10
매장,10
번,10
서울특별시,10
로투스,10
포장,9
그렇다,9
동네,9
월요일,9
많다,9
올리브,9
추천,9
얼그레이,9
상큼,9
비정,9
또,9
오늘,9
자리,9
뉴질랜드,9
바닐라,8
위,8
전,8
재료,8
아니다,8
이,8
설탕,8
오픈,8
휴무,8
유기농,8
이드,8
날씨,8
조금,8
바삭,8
위치,8
분,8
산미,8
종류,7
아이스,7
가능하다,7
영업,7
포스터,7
내,7
적당하다,7
다음,7
거리,7
방문,7
모두,7
귀엽다,7
진,7
아늑하다,6
도,6
음악,6
듯,6
어떻다,6
우리,6
달콤하다,6
계시다,6
센스,6
햇살,6
친절하다,6
생각,6
함,6
나,6
의자,6
진하다,6
개인,5
및,5
취향,5
입구,5
간단하다,5
빼빼로데이,5
꼭,5
반려동물,5
정성,5
친구,5
마포,5
새롭다,5
여기,5
입,5
준비,5
맘,5
뭔가,5
앞,5
감성,5
시즌,5
동반,5
하나,5
게,5
궁금하다,5
기대,5
잔,5
하니,5
빵,5
등,5
이렇다,5
근처,5
가격,5
위해,5
밉다,5
합리,5
야외,5
더하다,5
골목,4
박스,4
은은하다,4
살짝,4
강하다,4
더욱,4
그,4
킹,4
모든,4
집,4
이번,4
얼마,4
신랑,4
소품,4
사람,4
조합,4
은근,4
모양,4
코코넛,4
할인,4
유자,4
평소,4
서울,4
브루,4
아기자기하다,4
통,4
일요일,4
이쁘다,4
한잔,4
시작,4
마음,4
담백하다,4
여유,4
빼빼로,4
일,4
