word,count
카카오,492
있다,361
초콜릿,343
다다,219
망원동,145
맛,141
빈,133
것,128
같다,117
카페,114
수,110
좋다,110
초콜렛,100
음료,96
투바,91
케이크,91
곳,81
맛있다,76
브라우니,74
커피,68
마포구,64
향,64
길,63
더,62
초코,56
주문,54
서울특별시,52
좋아하다,51
메뉴,50
많다,48
정말,47
희다,46
디저트,44
다양하다,43
이다,43
정로,43
진하다,41
닙스,38
생각,37
그,36
시간,36
매장,36
사진,35
구매,35
선물,34
시식,33
하나,33
저,33
제품,32
느낌,32
소품,32
방문,31
생초콜릿,30
아니다,30
망원,30
직접,29
가게,29
등,29
이,29
없다,29
다른,28
또,28
전문점,28
날,28
예쁘다,28
개,27
추천,26
판매,26
진짜,26
때,26
안,25
테이블,25
호,25
가지,25
종류,24
제,24
여기,23
레몬,23
서울,23
친구,23
구경,23
공간,23
집,22
가능하다,22
귀엽다,21
포장,21
준비,21
내부,21
거,20
나,20
사람,20
진열,20
명,19
로스팅,19
브라,19
산미,19
전,19
좀,18
처음,18
아주,18
가나,18
탄자니아,18
가격,18
시장,18
위,17
아이스,17
별로,17
차,17
액,17
초코렛,17
및,16
그렇다,16
부드럽다,16
보고,16
깔끔하다,16
점,16
다르다,16
소개,16
오리진,16
위치,16
메뉴판,16
다음,15
작다,15
그냥,15
산지,15
캐비어,15
쉐이크,15
상,15
바,15
층,15
우유,15
한번,15
모두,15
싱글,15
요,14
저희,14
여름,14
영업,14
덕,14
볼,14
바로,14
취향,14
정도,14
인도네시아,14
중,14
경험,14
칩,14
내,14
때문,14
마다가스카르,14
분,14
카카오다다,13
아파트,13
용,13
입구,13
오늘,13
토,13
기억,13
만,13
사용,13
티,13
재료,13
굉장하다,13
두,13
알,13
밉다,13
달,13
이락,13
별,13
궁금하다,12
신기하다,12
꼭,12
조금,12
입,12
가동,12
대림,12
사실,12
투어,12
잔,12
따뜻하다,12
달달,12
보기,12
달콤하다,11
로,11
맛집,11
번,11
동영상,11
앞,11
우리,11
식감,11
고추,11
투뿔,11
위트,11
패키지,11
시나,11
해,11
에콰도르,11
노스,11
휴무,11
다시,11
옆,11
과일,11
원두,10
일,10
토요일,10
살짝,10
가공,10
사과,10
듯,10
크림,10
주말,10
유명하다,10
아포가토,10
매력,10
일반,10
반,10
사랑,9
깊다,9
개인,9
강하다,9
밀가루,9
도,9
스팅,9
핫,9
작업실,9
운영,9
왼쪽,9
이렇다,9
온라인,9
오지,9
즐겁다,9
발리,9
기분,9
과정,9
걸,9
여행,9
목,9
선택,9
테이,9
매우,9
원산지,9
향수,9
뭐,9
근처,9
설명,9
컵,9
주차장,9
전문,9
다크,9
쌀,9
모습,9
마음,9
트리플,9
최고,8
골목,8
분위기,8
쌉싸름하다,8
박하,8
게시,8
샷,8
리뷰,8
스페셜,8
후기,8
매일,8
모,8
미가,8
시원하다,8
포은로,8
특유,8
프리미엄,8
제일,8
망리,8
비싸다,8
세트,8
상큼,8
페루,8
류,8
안쪽,8
특별하다,8
함,8
생강,8
사장,8
요즘,8
눈,8
님,8
먹기,7
견과류,7
와인,7
게,7
생,7
부분,7
편,7
발효,7
가득,7
이번,7
이상,7
독특하다,7
표시,7
세계,7
글,7
외,7
뭔가,7
적당하다,7
고급,7
조각,7
팔고,7
한정,7
이용,7
