word,count
빵,4707
투떰즈업,3212
있다,3173
맘모스,2629
크림,2554
베이글,2285
맛,2024
맛있다,1944
것,1549
모스,1505
같다,1396
망원동,1364
밤,1363
롤,1080
빵집,971
없다,955
택배,953
좋다,940
덕바,929
팥,916
주문,891
쌀,889
진짜,858
좋아하다,852
치즈,815
수,807
더,806
피스타치오,779
아니다,778
흑임자,774
말차,754
쑥,749
안,726
저,698
딸기,691
시간,685
베이커리,683
생각,629
개,626
사진,625
마포구,607
어,602
글리,601
많다,595
오픈,591
구매,580
때,578
거,561
내,536
이,526
정도,521
서울특별시,506
제,505
나,501
그렇다,497
맘,475
종류,473
럼블,472
앙금,471
길,470
방문,467
땅콩,451
로,451
초코,451
단호박,444
호박,443
버터,441
유명하다,441
끼리,437
맛집,436
정말,433
또,430
메뉴,427
매장,426
사람,415
월드컵,411
좀,411
후기,411
날,410
얼그레이,409
느낌,408
하나,403
곳,398
다음,395
줄,385
전,383
바로,377
및,370
과일,369
달달,369
그,346
번,343
떡,339
이다,338
집,337
덕,325
추천,321
보관,320
느끼하다,316
동영상,316
냉동,316
분,316
그냥,314
재료,313
진하다,313
보고,312
명,304
때문,302
다른,300
꼭,297
인스타,295
일요일,291
잼,289
망원,286
영업,284
식감,283
서울,281
팅,279
도착,278
웨이,276
토,274
가격,274
금,269
조금,269
중,266
앞,264
포장,258
듯,258
여기,254
입,249
층,243
크기,242
얼,237
고소하다,237
위,235
팀,231
별로,230
품절,230
부드럽다,230
달,229
버터크림,228
가능하다,228
오늘,227
후,227
궁금하다,222
웨이팅,221
아쉽다,219
한번,218
사실,218
살짝,218
가득,217
시즌,216
콩떡,216
아주,215
제일,213
견과류,212
게,210
입맛,208
요,206
이번,206
사이즈,206
역시,203
토요일,202
보기,200
향,197
꾸러기,196
처음,195
입장,194
순례,193
조합,190
말,190
물,190
개인,188
참고,188
단면,186
고민,184
작다,184
먹기,182
함,182
친구,181
왜,181
가지,180
일단,179
금요일,177
다시,177
못,176
걸,175
생크림,174
중간,173
완전,171
뭐,171
사이,169
묵직하다,168
게시,167
도,166
인기,166
투떰,166
해동,165
라즈베리,165
이렇다,164
링크,164
가장,163
등,163
방법,161
부분,161
귀엽다,160
반,159
요즘,157
님,157
일,156
강하다,156
팔로워,155
대기,155
위치,154
이름,154
투어,154
두,153
약간,153
팔로잉,153
건,153
가게,151
취향,149
라인업,149
저녁,148
시장,148
인스타그램,147
거의,147
무화과,146
카페,145
통통,144
알,142
호,140
무조건,140
해,138
비,137
디저트,137
인절미,137
확인,136
다양하다,135
임자,135
냉장,135
꽤,134
예약,131
먼저,131
미치다,130
편,129
미리,129
편이,129
번호,129
표,128
원래,127
내부,127
순이,127
구입,126
커피,126
견과,126
우리,125
찰떡,125
살,124
오후,123
휴무,123
스토어,123
단,123
어떻다,123
블루베리,122
난,122
마감,121
기본,120
구황,120
적당하다,119
샌드위치,119
실,118
옥수수,118
당일,117
리뷰,117
쫀득,117
빵피,116
체리,116
만,116
자체,116
작물,115
계속,114
식,113
다르다,112
기표,112
비주,112
완두,111
산,111
덕후,111
마음,111
힘들다,111
녹차,111
마지막,110
콘치,110
기대,109
겉,109
모두,109
업,109
가득하다,108
포스팅,107
안되다,106
주말,106
감동,106
테이블,106
상큼,106
아래,105
보,104
보루,104
네이버,104
바삭,103
배송,103
사고,103
헤초,102
근처,102
판매,102
베리,102
아이스팩,101
예쁘다,101
괜찮다,100
손,100
뭔가,100
조각,100
듬뿍,99
시,99
이제,99
우유,98
바,98
상태,97
다이스,97
얼초롤,97
눈,97
감,96
브릭,95
비슷하다,95
기대하다,94
콩,93
일찍,93
뒤,93
얘,92
냉장고,92
가면,92
볼,91
이틀,91
달콤하다,91
점,91
속,91
비싸다,90
얇다,90
자리,90
런,89
핫,89
망원역,89
블,89
주,89
필수,89
야하다,88
은,88
차,87
브라우니,87
덥다,87
직원,86
최고,86
이유,86
손님,86
존맛,85
쇼케이스,85
평일,84
황,84
단맛,84
류,84
바게트,83
제리,83
끝,83
차갑다,83
예전,82
/,82
선택,81
지금,81
운영,81
보늬밤,81
온,81
행복하다,80
조화,80
글,80
전체,79
첫,79
굉장하다,79
장블,78
가능,78
문,77
비교,77
거리,77
내용물,76
위해,76
돈,76
사장,76
시작,76
라면,75
맘모스빵,75
파시,74
추가,74
길다,74
직접,73
망,73
진열,73
하루,73
재,73
골목,72
구경,72
덜,72
가루,72
여,72
스타일,72
엄마,71
이상,71
주차,71
양,70
쫄깃,70
몇,70
사서,70
호두,69
쿠키,69
담백하다,69
음,69
막,69
가운데,69
사,69
처,69
워낙,68
저격,68
아이,68
일주일,68
옆,68
캐릭터,68
아몬드,67
두껍다,67
계시다,67
매우,67
크럼,67
땐,67
밑,66
목,66
서서,66
기억,66
밥,64
베이스,64
고구마,64
과,64
용,64
임,64
주소,63
날씨,63
기준,63
전화,63
팥쌀,63
배,63
계산,63
기분,63
결제,62
의사,62
가깝다,62
소개,62
소보,61
보로,61
젤,60
그때,60
케이크,60
먹음,59
분해,59
바닐라,59
봉투,59
오픈런,59
일반,59
사용,59
저번,59
무게,59
솔직하다,59
화,59
확실하다,59
아이스크림,59
금방,58
새롭다,58
식빵,58
생,58
쑥맛,58
엄청나다,58
무겁다,58
둘,58
보통,58
그대로,57
움,57
데,57
준비,56
총,56
가기,56
은은하다,56
를,56
저희,55
원하다,55
쪽,55
통해,55
두께,55
걱정,55
재생,55
거기,55
제품,54
목요일,54
설명,54
나름,54
대부분,54
가나,54
치즈케이크,54
오,53
대신,53
수도,53
부터,53
계단,53
빠르다,53
최애,53
매력,53
쑥떡,53
라떼,52
어글리,52
보이,52
코스,52
얼마나,52
포기,52
코로나,52
블로그,51
해도,51
실온,51
아침,51
다행하다,51
담,51
자세하다,51
이후,50
런가,50
피,50
커스터드,50
빵지순례,50
샷,50
쑥밤,50
만족,50
도전,50
샌드,50
출구,50
혼자,49
모든,49
실하다,49
성공하다,49
잔뜩,49
알차다,49
헤이즐넛,49
혹시,49
쯤,49
인,48
금토,48
간판,48
초콜릿,48
통,48
월,48
|,48
김,47
공지,47
자주,47
조기,47
편하다,47
기도,47
평소,47
운,47
구,46
자마자,46
나머지,46
어렵다,46
비쥬,46
지도,46
이용,46
무난,46
세상,46
요건,46
간,46
대표,46
후회,46
멀다,45
라라,45
어디,45
바질,45
배부르다,45
다만,45
뽀또,45
할미,45
제대로,45
항상,45
시스템,45
높다,44
보늬밤쌀,44
드,44
등등,44
촉촉하다,44
보냉,44
사랑,44
오페라,44
짐,44
차이,44
콩쌀,44
왼쪽,43
나중,43
한강,43
이전,43
공간,43
최근,43
안내,43
쑥향,42
아메리카노,42
얼마,42
소금,42
무,42
깔끔하다,42
대박,42
잠봉,42
스마트,42
꽉,42
벌써,42
안녕하다,42
필링,42
스콘,41
여러,41
적,41
프로필,41
답,41
박스,41
불가,41
소진,41
콩가루,41
무슨,41
하니,41
발송,41
무엇,40
러버,40
여러분,40
수요일,40
만족하다,40
리스트,40
타고,40
두번째,40
부,40
뿌,40
전혀,40
당,40
완료,40
진,40
빵켓팅,39
가야,39
너,39
사워도,39
범벅,39
전부,39
분위기,39
랄,39
모양,39
사려,38
모,38
언제,38
대파,38
이쁘다,38
두툼,38
정,38
장난,38
영롱하다,38
동안,38
스타,37
건물,37
통밤,37
경우,37
동네,37
희다,37
자연,37
만큼,37
크게,37
아마,37
충분하다,37
리,37
슈,37
주차장,37
다크,37
갑자기,37
시리즈,37
링클,36
밀가루,36
네,36
은근,36
코끼리,36
수가,36
완두콩,36
춥다,36
멀리,36
케익,36
종이,36
자,36
냄새,36
요기,35
도넛,35
전화번호,35
말초,35
과자,35
오전,35
늘,35
맛없다,35
외,35
지난번,35
그게,35
간다,34
결론,34
이기,34
싫어하다,34
음식,34
밖,34
법,33
확,33
무스,33
호불호,33
의,33
순서대로,33
계획,33
순,33
남아,33
진시,33
픽,33
동생,33
"길
망원동",33
솔드아웃,33
가볍다,33
커서,32
피넛,32
칼,32
얘기,32
실제,32
호떡,32
아깝다,32
팩,32
마침,32
절대,32
달라,32
언니,32
군데,32
안쪽,32
월요일,32
점심,32
단단하다,32
다행,32
뿌링,32
투,31
짱,31
젠,31
오히려,31
뭘,31
선물,31
오른쪽,31
하드,31
엄지,31
소스,31
라지,31
정리,31
다가,30
행복,30
진심,30
순간,30
고,30
얼른,30
화요일,30
돌이,30
한쪽,30
파인애플,30
성공,30
더하다,30
쫀쫀,30
세,29
반죽,29
팥빵,29
당연하다,29
입구,29
마무리,29
매일,29
계정,29
봉,29
고급,29
지난,29
특유,29
예정,29
보시,29
쌉싸름하다,29
스티커,29
정기,29
특별하다,29
접기,29
예상,29
배부,29
전자레인지,29
그날,28
가족,28
식사,28
코팅,28
만족스럽다,28
맨,28
모습,28
여행,28
오프라인,28
우선,28
타임,28
더욱,28
