word,count
프레즐,3433
있다,2550
포스트,1913
레디,1879
브,1845
성수,1473
카페,1143
성수동,1102
좋다,1015
맛있다,868
크림,787
같다,759
것,738
맛,735
치즈,726
수,662
많다,615
층,571
메뉴,501
빵,495
사진,492
맛집,488
길,471
프레첼,468
곳,464
없다,451
성동구,429
더,407
버터,388
시간,376
포장,367
방문,362
핫,362
매장,360
주문,345
서울특별시,343
다양하다,333
상원,329
종류,328
사람,324
거,302
저,293
샌드위치,290
음료,285
정말,282
커피,279
때,273
뚝섬역,271
아니다,271
베이컨,270
자리,270
예쁘다,269
느낌,269
시나몬,267
테이블,265
추천,259
하나,258
바로,255
플레인,249
진짜,248
테라스,240
서울숲,235
부추,234
서울,234
여기,229
이,228
안,225
생각,223
인테리어,219
스프,216
내부,215
좋아하다,214
코코넛,212
점,212
카야,205
이다,205
나,204
귀엽다,204
개,203
번,202
분위기,200
공간,195
초코,192
그렇다,188
또,188
페퍼로니,187
나혼자산다,184
오픈,184
분,182
수프,181
페퍼,172
진지희,171
날,171
제,167
요즘,167
좀,167
감성,165
베이글,164
미니,163
보고,162
다음,161
정도,161
집,161
입구,160
꼭,157
브런치,157
전,154
야외,153
아메리카노,151
라떼,150
그,149
무화과,149
오늘,146
브레디포스트,145
웨이팅,143
판매,143
주말,143
디저트,141
내,141
팅,141
가능하다,140
구경,140
토마토,139
조합,138
웨이,138
친구,137
우리,137
유럽,136
위치,136
주차,135
매일,131
그냥,130
오후,130
이용,129
중,129
줄,128
도,127
달달,127
유명하다,127
기본,126
앞,125
먹기,124
세트,124
향,124
재생,122
고민,120
듯,120
잼,119
잠봉뵈르,116
고소하다,115
용산,114
프레,114
브리,113
평일,113
가지,112
위,109
다른,109
아쉽다,108
어니언,108
영업,107
요,107
쪽,107
아주,106
부드럽다,105
및,105
날씨,105
소품,105
가격,105
볼,104
인,104
꽤,104
처음,103
걸,102
이렇다,102
한번,102
좌석,101
주차장,101
핫플,101
포토,100
조금,100
등,100
식사,99
콘,99
출구,99
역시,98
후,98
직원,97
명,97
가게,96
눈,96
인기,96
티,96
외관,96
편,95
못,95
선택,94
후기,94
후추,94
참고,94
연유,94
해,92
가득,91
안쪽,91
얼,91
함,91
젤,89
생산,87
거리,86
아이스,86
옆,86
완전,86
궁금하다,85
포스팅,85
대기,85
존,84
빵집,84
비주,84
근처,84
동반,83
때문,83
넓다,83
밀크,82
달콤하다,82
버터크림,82
베이커리,81
저희,81
게,81
식감,81
당일,81
모습,81
사실,81
계속,80
데이트,80
살짝,79
팝업,78
약과,76
구매,76
가깝다,76
가장,76
접기,76
따뜻하다,75
뭐,75
재미,74
차,73
말,73
바,72
오전,71
손님,71
처,71
동영상,71
신상,70
어떻다,70
보기,70
모든,70
기분,70
소프트,69
왜,69
가득하다,69
진열,69
제일,68
벽,68
페페로니,68
계시다,67
건,67
바닐라,67
가면,66
굿,66
가능,66
다시,66
포테이토,66
덥다,66
혼자,64
보,64
입,63
소금,63
여행,62
피자,62
온,62
행복하다,62
일,62
먼저,62
느끼하다,61
일단,61
알,61
토마,60
원칙,60
반려동물,59
테이크아웃,59
마음,59
잠봉,59
에코,58
어디,58
빈티,58
소스,58
만,58
물,58
뚝섬,57
닝,57
계산,57
