word,count
있다,1101
디,908
카페,757
디저트,675
딸기,637
케이크,631
성수동,540
맛있다,427
맛,411
같다,386
사진,360
좋다,348
것,347
층,312
성동구,257
곳,257
없다,256
예쁘다,252
서울특별시,230
수,230
길,214
아니다,210
주문,208
많다,208
메뉴,197
저,196
음료,193
더,188
성수,182
점,171
생각,166
이드,163
때,162
뚝섬역,158
이,154
맛집,146
크림,144
테이블,143
안,142
정말,141
거,141
커피,140
시간,138
상원,137
그렇다,134
여기,134
내,134
바로,132
사람,132
진짜,129
방문,128
개,125
가격,122
나,121
추천,118
느낌,110
좋아하다,110
자리,109
우리,108
아이스크림,108
초코,107
날,107
위,104
얼,104
비주,102
정도,101
번,101
친구,100
및,99
오픈,99
인스타,99
공간,98
하나,98
내부,97
위치,96
조금,95
이다,94
명,93
동영상,93
유명하다,92
라벤더,91
라떼,89
좀,89
제,89
티,88
또,88
코코넛,88
보고,87
귀엽다,87
그냥,85
팅,82
예약,80
다음,79
핫,79
케익,77
다른,76
사장,75
서울,75
오늘,74
이쁘다,74
달달,74
얼그레이,73
집,72
그,72
아메리카노,72
메뉴판,71
처음,70
전,70
바,69
분위기,69
물,69
향,68
포장,66
작다,65
꽃,64
입,63
웨이,63
빵,63
근처,63
아쉽다,62
웨이팅,62
한번,62
감성,62
플디,62
플레이,62
게시,61
계단,60
말,60
꼭,60
휴무,60
분,60
사실,59
시즌,59
살짝,59
입구,59
요즘,59
줄,59
건물,58
깔끔하다,58
탈기,58
생일,57
고구마,57
밥,56
매장,56
블랙,55
마음,55
롱,55
눈,54
앞,54
궁금하다,53
이름,52
역시,52
문,52
출구,52
별로,51
뭐,51
저희,51
중,51
해,51
아주,51
서울숲,50
이렇다,50
계절,50
부드럽다,50
비싸다,49
걸,48
요,48
종류,47
게,47
지금,47
인테리어,47
못,47
도산,47
다쿠아즈,47
직원,46
먼저,46
영업,46
뚝섬,46
간판,46
도,45
화이트,45
왜,45
판매,45
처,45
호점,45
버터,45
듯,45
주말,45
보기,45
괜찮다,44
햇살,44
쪽,44
샤베트,43
조합,43
님,43
말차,43
구매,43
한라봉,43
만,43
가게,43
원래,42
인스타그램,42
로,42
파스타,42
초,42
약간,42
매일,41
가깝다,41
일단,41
생크림,41
상큼,41
홀,41
넓다,41
인,40
어떻다,40
옆,40
건,40
기분,40
팔로워,39
팔로잉,39
가능하다,39
다시,39
바닐라,39
여름,39
준비,39
제일,38
개인,38
좁다,38
꽤,38
다양하다,38
봄,38
무화과,38
뭔가,38
알,38
리치,38
진하다,38
일,37
달,37
포스팅,36
친절하다,36
마스,36
시트,36
설명,35
레몬,35
볼,35
참고,35
동생,35
거리,35
봉,35
가면,35
때문,35
보,34
소품,34
카포네,34
손님,34
재생,33
이번,33
함,33
최고,32
뒤,32
아이스,32
소개,32
계속,32
가득,32
제주도,32
먹기,31
고민,31
거의,31
확인,31
간,31
치즈,31
완전,31
호텔,30
가장,30
비쥬,30
이제,30
인기,30
식감,30
구경,30
전체,29
취향,29
마지막,29
군,29
미니,29
를,29
신상,29
후,29
겨울,29
난,29
평일,29
모두,29
가지,28
네이버,28
공지,28
성수역,28
후기,27
재,27
호,27
기대,27
포스터,27
케잌,27
조각,27
모든,26
저녁,26
임,26
수박,26
선물,26
당황,25
편이,25
식당,25
양,25
카운터,25
성,25
편,25
중간,25
빈,25
화장실,24
트디,24
재료,24
자체,24
힘들다,24
행복하다,24
다르다,24
복숭아,24
요기,24
리뷰,24
야하다,24
등,24
끝,24
비,24
자주,24
바나나,24
나름,24
지도,24
선택,23
언니,23
사이즈,23
다이닝,23
찍기,23
가기,23
시원하다,23
발견,23
포토,23
직접,23
미리,23
다행하다,23
미치다,23
유자,23
블로그,22
차,22
크기,22
도착,22
레밍,22
검색,22
조용하다,22
혼자,22
나들이,22
골목,22
존,22
블루베리,22
스타일,22
하루,22
덥다,22
느끼하다,21
트,21
세상,21
아파트,21
색감,21
얼마,21
턴,21
위해,21
신기하다,21
치킨,21
오후,21
공원,21
입맛,21
워낙,21
주차,21
따뜻하다,21
기억,21
모습,21
음식,20
초도,20
동네,20
아깝다,20
거울,20
은,20
어디,20
대기,20
쿠키,20
외관,20
점심,20
일반,20
반,20
어렵다,20
여행,20
오른쪽,20
입장,20
평범하다,20
금방,20
접시,20
감,20
새롭다,20
찾기,20
아기자기하다,20
이유,20
속,20
돈,20
주변,19
톤,19
날씨,19
모양,19
촉촉하다,19
투어,19
에이,19
전화,19
류,19
존맛,19
필수,19
수도,19
온,19
아이패드,18
자리다,18
연어,18
청,18
살,18
애플,18
팔로우,18
운영,18
계정,18
창가,18
접기,18
Plate,18
무조건,18
땐,18
에스프레소,18
아래,17
편하다,17
두,17
한강,17
주소,17
예전,17
좌석,17
둘,17
품절,17
무장,17
주,17
만족스럽다,17
고기,17
데,17
기대하다,17
만석,17
고소하다,17
와인,16
서비스,16
사용,16
여,16
벽,16
구,16
작고,16
이상,16
희다,16
화요일,16
나중,16
즐겁다,16
사이,16
찍,16
크게,16
색,16
무난,16
강하다,16
달콤하다,16
용,16
샷,16
무슨,16
톡,16
전화번호,16
우유,16
포크,16
시작,16
먹음,15
상가,15
밀가루,15
무엇,15
티라미수,15
겉,15
크리스마스,15
피자,15
전시,15
널,15
/,15
무,15
산,15
바질,15
담,15
셔벗,15
걱정,15
데이트,15
전시회,15
타르트,15
독특하다,15
멀리,15
굿,15
해석,15
의자,15
스토어,15
새우,14
너,14
픽업,14
굉장하다,14
압구정,14
만족,14
폭,14
백화점,14
테이크아웃,14
사고,14
컵,14
소스,14
항상,14
철,14
솔직하다,14
박스,14
막,14
스티커,14
다만,14
팀,14
매달,14
호불호,14
제품,14
그때,14
안되다,14
맛없다,14
손,14
특별하다,14
블루,14
머신,14
저기,14
산미,14
가득하다,13
이용,13
에르제,13
가야,13
연남동,13
초콜릿,13
등장,13
답,13
제대로,13
과자,13
가을,13
아마,13
금,13
타임,13
샌드위치,13
원하다,13
재밌다,13
명란,13
핑크,13
만원,13
배,13
프로필,13
우린,13
의,13
핫플,13
토,13
자세하다,13
수제,13
추가,13
아아,13
거기,13
오빠,12
허니,12
아몬드,12
롯데,12
카페],12
불편하다,12
물이,12
연락,12
앤드,12
공장,12
벌써,12
노,12
식,12
단지,12
만족하다,12
코스,12
코로나,12
반지,12
단,12
진,12
소르베,12
사랑,12
플디(Plate,12
토요일,12
한라산,12
멀다,12
꽉,12
팝업,12
잔,12
뿐,12
키,12
회사,12
진열,12
포인트,12
매력,12
대신,12
운,12
쯤,12
별,12
런가,11
보이지,11
엄청나다,11
얘기,11
계시다,11
드,11
스콘,11
얼음,11
여자,11
스,11
일리,11
최애,11
점도,11
낮,11
헤헤,11
식용,11
카페인,11
레몬에이드,11
설탕,11
확실하다,11
그게,11
사과,11
파티,11
안내,11
겸,11
오래되다,11
더하다,11
밖,11
과일,11
봉봉,11
높다,11
발,11
청포도,11
생활,11
메인,11
빠르다,11
세트,11
곰돌이,11
기본,11
매우,11
제주,11
바람,11
태블릿,11
마무리,11
정식,11
움,11
-,11
보이,11
안쪽,11
앵무새,11
반하다,11
부산,11
배부르다,11
보라,11
다소,11
일행,11
적당하다,11
이야기,11
뷰,10
예정,10
방,10
아차산로,10
마차,10
당연하다,10
순간,10
실패하다,10
plate,10
나쁘다,10
단점,10
안녕하다,10
하니,10
매콤,10
정기,10
정,10
메뉴인,10
일찍,10
일상,10
주시,10
식사,10
쑥,10
"층
성수동",10
자,10
대표,10
"플디,",10
사악하다,10
로베,10
가능,10
이해,10
패션후르츠,10
언제,10
인분,10
심플,10
갑자기,10
아쉬움,10
보시,10
더욱,10
해도,10
기도,10
창문,10
오,10
베이,10
포도봉봉,10
듬뿍,10
할아버지,10
한지,10
전혀,10
대한,10
초록,10
글,10
특이하다,10
애매하다,10
디올,10
조화,10
클래스,10
낭낭,10
도보,10
최근,10
필요하다,10
통,10
고급,10
현재,10
미술관,10
하우스,9
달라,9
칼국수,9
자꾸,9
기계,9
컷,9
버섯,9
꿀,9
곳곳,9
본점,9
실제,9
아무,9
논,9
심지어,9
여기저기,9
뻔,9
출신,9
레이스,9
잔뜩,9
오기,9
기,9
잠깐,9
몇,9
두잇츄,9
옥,9
왕십리,9
정보,9
약속,9
셀카,9
마감,9
사,9
샐러드,9
마치,9
브런치,9
음,9
소바,9
인생,9
샤벳,9
여러분,9
은은하다,9
커튼,9
베이커리,9
옹근달,9
상태,9
베이스,9
여러,9
자마자,9
|,9
디자인,9
토마토,9
:,9
지점,9
솔드아웃,9
밉다,9
호프,9
도전,9
과연,9
얼마나,9
후다닥,9
잠봉뵈르,9
한잔,9
급하다,9
뭘,9
아담하다,9
수다,9
응,8
동기,8
어둡다,8
색다르다,8
빛,8
출처,8
라이스,8
빌딩,8
부분,8
리조또,8
얼른,8
출발,8
월,8
호호,8
브라우니,8
적,8
소리,8
결정,8
덕분,8
요런,8
잼,8
구리,8
소금,8
리,8
완벽하다,8
맘,8
처럼,8
싫어하다,8
왼쪽,8
바삭,8
칩,8
축하,8
슬,8
난리,8
포도,8
라면,8
키링,8
케이스,8
니,8
준,8
상자,8
영상,8
가루,8
한정,8
목,8
커서,8
우드,8
브레이크,8
누,8
밑,8
포기,8
타고,8
센스,8
장소,8
생화,8
강남구,8
스럽다,8
킹,8
퀄리티,8
바밤바,8
요거트,8
콤,8
기회,8
새,8
바림,8
한참,8
촬영,8
오일,8
목적,8
은근,8
시럽,8
내내,8
늘,8
건대,8
옷,8
화려하다,8
김,8
구석,8
탕,8
셀프,8
만큼,8
어프,8
터,8
상,8
덕,8
면,8
만두,7
토마,7
한편,7
해방촌,7
기간,7
벽면,7
대가,7
진작,7
전부,7
진심,7
저번,7
얘,7
빙수,7
간단하다,7
각,7
소소하다,7
트리,7
환상,7
아침,7
채광,7
쥬,7
엽서,7
녹차,7
구입,7
시,7
카페라떼,7
몇개,7
중이,7
보쌈,7
상상,7
럼블,7
크레뮤,7
부탁드리다,7
동안,7
평소,7
당,7
금요일,7
예상,7
시간대,7
아름답다,7
달인,7
활용,7
다크,7
젤,7
대부분,7
홈,7
가방,7
다가,7
선,7
시끄럽다,7
실물,7
싫다,7
트윗,7
비즈,7
우선,7
이즈,7
티라미슈,7
그것,7
재미,7
장,7
풍경,7
튀김,7
충격,7
왜냐면,7
밤,7
실패,7
스페셜,7
둘이서,7
직,7
첫,7
쫀득,7
도우,7
심하다,7
저격,7
과,7
애,7
영어,7
비슷하다,7
작년,7
바닥,7
똑같다,7
고수,7
능소화,7
주신,7
역,7
현장,7
조그맣다,7
케이,7
노랗다,7
클래식,7
기념,7
마침,7
합격,7
중요하다,7
다행,7
그림,7
구성,7
성공,7
맨,7
인정,7
맞이,7
일이,6
데코,6
이후,6
줌,6
예쁜,6
편안하다,6
오페라,6
남아,6
상당하다,6
밍밍,6
경우,6
집중,6
신선하다,6
완수,6
커스터드,6
쫌,6
랍니,6
소비,6
장식,6
의사,6
씁쓸하다,6
피스타치오,6
신나다,6
부지런하다,6
무스,6
짐,6
그대로,6
관심,6
매번,6
나쵸,6
말씀,6
접,6
마련,6
표시,6
유럽,6
만들기,6
그거,6
옥수수,6
계산,6
대충,6
트러플,6
남편,6
협소,6
누가,6
리지,6
나머지,6
죵,6
이크,6
길다,6
진행,6
굳이,6
요새,6
주차장,6
한쪽,6
바쁘다,6
애정,6
문의,6
마냥,6
질리,6
퇴근,6
ㅣ,6
부터,6
갓,6
답답하다,6
일정,6
여유,6
대망,6
로그인,6
대요,6
이상하다,6
민지,6
::,6
건가,6
단면,6
다해,6
스트로베리,6
딱딱하다,6
셋,6
힐링,6
친근하다,6
감자탕,6
인지,6
주방,6
기기,6
짱,6
슈퍼,6
굿즈들,6
잠시,6
기준,6
춥다,6
넘치다,6
까페,6
가정식,6
젤라또,6
딱이다,6
슬프다,6
그레이,6
두리,6
노티,6
장미,6
인석,6
술,6
이동,6
군데,6
불구,6
문제,6
일로,6
안나,6
실내,6
감각,6
하얗다,6
호주,6
지하,6
외,6
미나리,6
남자친구,6
순삭,6
종종,6
곧,6
종로,6
퍼,6
기록,6
링,6
영,6
찜,6
호선,6
자극,6
잡고,6
로우,6
대박,6
막상,6
연하다,6
카카오,6
지난,6
차갑다,6
신한,6
가도,6
사르르,6
곱창,6
주인공,5
고르곤졸라,5
년,5
지나,5
감탄,5
체크,5
식물,5
킴스,5
녀석,5
이틀,5
도리,5
폭발,5
충전,5
베스트,5
땅,5
올해,5
투,5
캐치,5
와우,5
아인,5
차로,5
모델링,5
간다,5
등등,5
제리,5
밀본,5
확,5
테,5
아트,5
일지,5
연남,5
메로,5
테블릿,5
꽃들이,5
연중,5
커플,5
익숙하다,5
미아,5
스테이크,5
밀,5
허브,5
고요,5
알차다,5
완성,5
냉장고,5
심심하다,5
당일,5
직전,5
소중하다,5
레이더,5
실망,5
회전,5
싱그럽다,5
개조,5
르동,5
창밖,5
지난번,5
힙,5
기념일,5
값,5
얇다,5
인상,5
부담스럽다,5
특징,5
안보,5
빨갛다,5
구조,5
약,5
정리,5
예술,5
지인,5
후회,5
단정,5
안주,5
도스,5
거지,5
며,5
빨대,5
작,5
고프다,5
지역,5
제조,5
담백하다,5
폰,5
욤,5
곳도,5
머리,5
세,5
비밀번호,5
순,5
입안,5
체험,5
배경,5
조개,5
통해,5
더더,5
심,5
요건,5
다이어리,5
기차,5
전반,5
보리,5
망고,5
딱하다,5
연락처,5
가파른,5
소,5
참조,5
주심,5
당시,5
가요,5
만다린,5
정확하다,5
오전,5
주의,5
디저트카페,5
만난,5
충분하다,5
이면,5
맛있는,5
채,5
무섭다,5
정성,5
D,5
자몽,5
딸기케이크,5
표지판,5
평가,5
직장,5
유리,5
대비,5
전문점,5
낚,5
찰떡,5
마,5
가시,5
당장,5
상콤,5
총,5
월요일,5
칭찬,5
시장조사,5
싹싹,5
비행기,5
플랫,5
앗,5
잘못,5
돌,5
보지,5
영롱하다,5
어어,5
간격,5
질,5
짝,5
물씬,5
깜짝,5
안심,5
마구,5
로나,5
가입,5
계란,5
하늘,5
끼,5
불가,5
수가,5
요게,5
다락,5
인하다,5
가까이,5
슈페,5
유행,5
탓,5
롤,5
메모,5
"카페,",5
가운데,5
쇼케이스,5
계획,5
절대,5
대체,5
연말,5
업,5
열,4
피부,4
친,4
즐거움,4
힐,4
차고,4
묵직하다,4
명동,4
기다림,4
화사하다,4
혜,4
개시,4
평,4
상황,4
연차,4
관련,4
탐방,4
르꼬,4
그날,4
"맛집,",4
흰색,4
추출,4
카츠,4
죄송하다,4
누데,4
짧다,4
댓글,4
지고,4
호다닥,4
웬걸,4
퍼먹,4
힘드다,4
심장,4
사이사이,4
연방,4
순식간,4
법,4
워터,4
잉,4
마포구,4
김치,4
게다가,4
외출,4
희릿,4
돈가스,4
냉,4
지하철,4
틈,4
플라워,4
쉐프,4
칸,4
점심시간,4
파운드,4
동그랗다,4
오레오,4
강남,4
레베카,4
까르보나라,4
취저,4
폭풍,4
업로드,4
솔직,4
수준,4
병원,4
신드롬,4
라즈베리,4
슈가,4
홍차,4
벽쪽,4
감성카페,4
신당,4
임시,4
이의,4
쭉,4
나란하다,4
좋은,4
이미지,4
에어팟,4
루이보스,4
강렬하다,4
옛날,4
사이드,4
슈,4
실망하다,4
케어,4
가끔,4
자연,4
착석,4
파우더,4
나라,4
종이,4
제작,4
쿠,4
음료수,4
덜,4
욥,4
벌레,4
샘플,4
흠,4
외부,4
케,4
오히려,4
요리,4
비어,4
발걸음,4
김밥,4
아르코,4
카메라,4
압도,4
가성,4
가세,4
제법,4
층층,4
깨끗하다,4
총총,4
싹,4
뚝떡,4
쿠키슈,4
슬로우,4
두기,4
작품,4
피넛,4
마키,4
왕,4
적절하다,4
봉골레,4
장점,4
반죽,4
워,4
고해,4
비교,4
신발,4
불가능,4
행복,4
상관없다,4
생,4
닷,4
데이,4
가나,4
고,4
대로,4
여전하다,4
아늑하다,4
서도,4
로비,4
쥐,4
제발,4
코,4
부드러움,4
겉면,4
시국,4
파랑,4
바보,4
지갑,4
자기,4
나무,4
공유,4
야무지다,4
인원,4
초콜렛,4
푸딩,4
각각,4
무척,4
결론,4
무시,4
감칠맛,4
마늘,4
뜻,4
어디가,4
브라운,4
랄,4
설레다,4
합,4
정신,4
앤,4
동해,4
얼굴,4
습,4
화분,4
국물,4
제격,4
충,4
이전,4
이서,4
보틀,4
샌드,4
일부러,4
색상,4
수랭,4
품,4
후식,4
뿐이다,4
시킴,4
퍽퍽,4
루디먼트,4
조만간,4
갤러리아,4
고고,4
징,4
웬만하다,4
타코,4
어마,4
신경,4
달콤,4
다짐,4
위로,4
점점,4
상치,4
여성,4
