word,count
있다,4060
카페,2624
가옥,2486
천상,2458
성수,2210
연방,1888
성수동,1777
좋다,1727
층,1361
곳,1265
같다,1202
많다,1140
커피,1064
것,945
사진,929
없다,755
공간,742
맛있다,735
사람,733
빵,731
성동구,724
수,661
서울특별시,652
예쁘다,643
길,640
맛,628
저,606
느낌,602
주문,548
분위기,534
날,534
핫,520
때,507
이,490
여기,484
더,479
시간,468
구경,452
자리,445
크림,426
아니다,416
메뉴,412
안,410
생각,406
음료,397
정말,391
위치,378
그렇다,375
이다,375
진짜,369
방문,369
디저트,362
라떼,350
친구,332
입구,331
아메리카노,323
건물,323
내부,313
거,311
다양하다,310
하나,306
테이블,304
제,299
띵굴,299
요즘,298
바로,292
우리,292
스토어,290
좀,289
복합,287
또,285
이쁘다,284
좋아하다,282
나,281
식물,277
추천,276
그,271
맛집,267
종류,263
집,262
케이크,261
그냥,254
거리,251
내,250
오늘,234
책,231
요,230
위,229
성수역,228
번,225
데이트,221
이렇다,218
전,218
등,216
듯,214
꼭,209
정도,209
아크,208
서울,207
인테리어,206
주말,206
소품,203
다음,201
카라멜,201
베이커리,200
분,199
한번,198
날씨,198
보고,194
해,191
문화,191
아이스,191
다른,191
덥다,190
개,189
앤북,188
넓다,187
테라스,185
서점,183
중,183
유명하다,182
아쉽다,181
저희,179
쪽,175
천장,175
가격,174
밀크,173
역시,173
포토,172
처음,172
초코,172
기분,172
조금,171
창,170
점,168
야외,164
마음,164
귀엽다,163
때문,162
뭐,161
성수연방,161
스콘,160
다시,160
당,159
하늘,158
눈,157
가능하다,156
달달,155
가게,154
유리,153
존,152
초록,152
주차,150
매장,149
평일,148
이름,147
처,147
인스타,146
밥,144
창고,144
천상가옥,144
줄,143
실내,142
레이스,142
선택,142
조명,140
너,139
재생,139
사실,138
아인,136
말,136
판매,134
만,132
모습,131
비,130
괜찮다,130
영업,130
아주,129
대림,128
포스팅,127
매일,127
꽤,127
별로,126
저녁,126
티,126
뭔가,125
앞,125
식당,124
도,123
가지,123
화공,122
동반,121
이용,119
우유,118
향,117
안쪽,117
어떻다,117
가득하다,117
오픈,116
따뜻하다,116
차,114
먼저,114
감성,114
약간,114
작다,113
녹차,113
벽돌,112
제일,111
계단,111
일단,111
탑,111
로,111
피자,110
이제,110
메뉴판,110
온실,110
볼,109
나들이,108
옆,107
공장,106
반려동물,106
온,106
완전,106
게,104
문,104
부드럽다,104
걸,103
크로와상,102
출구,101
모두,99
파빌리온,98
점심,98
슈페,98
후추,98
편,97
알,97
후,97
인덱스,97
명,97
원두,96
지금,95
햇살,95
소개,95
가장,95
왜,95
용,94
잔,94
못,94
제품,92
근처,92
장소,92
새롭다,91
일,90
시원하다,90
시작,90
힐링,89
치즈,89
가면,89
밤,88
엘리베이터,88
좌석,88
이번,88
밖,87
참고,87
인기,86
서울숲,86
만두,85
계속,85
개인,85
낮,85
가득,85
입,85
진하다,85
도착,84
상,84
루프,83
류,83
핫플,83
코스,83
기억,83
준비,82
전체,82
살짝,81
건,81
고민,81
찍기,80
보기,80
뒤,80
및,79
카페라떼,79
가능,79
말차,78
마켓,78
보,78
언니,77
후기,77
컵,77
속,77
오후,77
/,77
배,76
힘들다,76
접기,76
손님,76
간,76
통,75
발견,74
애견,73
거울,73
물,73
여름,73
음식점,73
한잔,73
궁금하다,72
인,72
하루,72
여행,72
취향,72
식물원,72
편집,71
타고,71
맘,71
동영상,71
요기,70
깔끔하다,70
가기,70
함,69
거의,69
이유,69
이야기,69
편하다,68
쿠키,68
은,68
페퍼허,68
브랜드,68
골목,67
아래,67
여러,67
어디,67
신기하다,66
리뷰,66
보틀,66
버터,66
블루,66
원래,66
블로그,66
오,66
조용하다,66
봄,65
위해,65
무,65
중간,65
동생,64
그릇,64
스타일,64
컨셉,64
가방,64
천,63
자체,63
햇빛,63
이드,63
인생,63
끝,63
여유,62
가깝다,62
비싸다,62
검색,62
바,62
자주,62
수다,62
마치,61
난,61
파운드,61
리,61
를,61
먹기,60
다르다,59
샷,59
등등,59
에어컨,59
맥주,59
달,59
쇼콜라,59
포장,58
편이,58
아인슈페너,58
나름,58
멋지다,58
굉장하다,58
파스타,58
디자인,57
직원,57
독특하다,57
레몬,57
북적,56
바람,56
네이버,56
투어,56
선물,56
재미,56
즐겁다,56
입점,55
얼,55
나중,55
뷰,55
나무,55
안되다,55
조합,55
볼거리,55
외부,55
어니언,55
컷,54
팝업,54
예전,54
데,54
엄마,54
구매,54
모양,54
길다,54
제대로,53
무장,53
주차장,53
카운터,53
시즌,53
식사,53
고고,53
자연,53
메이플,52
사용,52
소바,52
막,52
설원,52
감,52
두,52
바나나,51
멀다,51
특별하다,51
강아지,51
아기자기하다,51
이동,50
아아,50
고소하다,50
마지막,50
바깥,50
아이,50
얼그레이,49
곳곳,49
화장실,49
반려견,49
매력,49
양,49
워낙,49
얼마,49
시,49
왼쪽,49
잠시,48
회사,48
케익,48
해도,48
기도,48
오전,48
기대,48
매우,48
보이,48
리필,48
쭉,48
답,48
특이하다,48
로우,48
땐,48
무엇,47
예약,47
세상,47
마무리,47
한참,47
이벤트,47
엘레베이터,47
계시다,46
행복하다,46
운영,46
팔고,46
글,45
팅,45
복도,45
음식,45
옥상,45
희다,45
옷,45
셀카,45
가운데,45
딸기,44
동네,44
하얗다,44
의자,44
카페인,44
마련,44
사이,44
추가,44
대형,44
강하다,43
부분,43
춥다,43
설명,43
폼,43
센스,43
그대로,43
할인,43
몇,43
종이컵,43
정원,42
방,42
슈패너,42
무난,42
찍,42
생활,42
비주,42
모든,42
소금,42
동안,42
겸,42
겨울,41
브라우니,41
구조,41
돈,41
야하다,41
적당하다,41
최고,40
직접,40
비슷하다,40
우린,40
사고,40
쿠폰,40
음,40
"천상가옥,",40
을지로,40
쇼핑,40
둘,40
확실하다,40
게시,39
재밌다,39
앤,39
이상,39
패스,39
코로나,39
님,39
상태,39
감각,39
라면,39
산미,39
높다,38
사랑,38
꽃,38
여러가지,38
갸또,38
까페,38
외,38
혼자,38
풍경,38
여기저기,38
의,38
힙,38
꿀,37
신나다,37
첫,37
수제,37
배부르다,37
저렴하다,37
갑자기,37
장,37
용품,37
덕분,37
움,37
페퍼허니,37
인증샷,36
타임,36
커스터드,36
핫플레이스,36
보통,36
걱정,36
인근,36
규모,36
웨이,36
떡볶이,36
잠깐,36
자,36
어렵다,36
페스,36
발렛,35
곳도,35
크루아상,35
인스타그램,35
간단하다,35
벌써,35
간판,35
잡고,35
색,35
석,35
테리어,35
안녕하다,35
일상,35
구입,35
샵,35
개성,35
항상,35
진,35
충전,34
라즈베리,34
시트론,34
