word,count
디저트,417
후르,377
츠,376
있다,370
파티세리,360
카페,259
성수동,214
케이크,191
과일,181
맛,170
좋다,157
무스,153
복숭아,147
같다,120
레몬,117
맛있다,112
타르트,112
것,111
진짜,104
수,99
납작,92
아니다,86
없다,84
주문,83
사진,80
예쁘다,78
안,75
성동구,71
길,70
크림,69
더,68
곳,68
방문,63
메뉴,62
아차산로,61
이,59
하나,58
층,58
많다,57
모양,57
저,56
서울특별시,56
개,56
맛집,53
생각,53
서양배,52
그렇다,52
추천,51
초콜릿,45
커피,45
느낌,44
서울,44
이다,44
때,44
음료,44
딸기,43
내부,43
테이블,43
마카롱,42
성수,42
날,40
포장,39
좋아하다,37
눈,37
시간,37
거,36
가나,36
사람,35
사과,35
바로,35
정말,35
제,35
매장,34
보고,34
그,34
아메리카노,34
인테리어,34
가격,34
핫,33
조금,33
감,33
정도,32
또,32
화이트,31
재생,31
꼭,31
여기,31
슈,31
인서트,30
다른,30
분,30
및,30
친구,30
발,29
명,29
휴무,29
외관,29
종류,28
로나,28
나,28
사장,28
달달,27
프랑스,27
가지,27
요,26
분위기,26
이보,26
아르,26
자리,26
해,26
다음,25
요거트,25
입,25
번,25
판매,25
주차장,25
개인,24
티,24
배,24
동영상,24
주차,24
가게,24
이드,24
흑임자,23
겉,23
신기하다,23
향,23
위치,23
라떼,23
좀,23
인기,23
처음,23
그냥,23
쿠키,23
듯,22
유명하다,22
뭐,22
접기,22
사실,22
데이트,22
처,22
후기,21
중,21
얼,21
내,21
역시,21
상큼,20
비주,20
고급스럽다,20
집,20
때문,20
이쁘다,20
귀엽다,20
걸,20
전,20
오늘,20
공간,20
한번,20
요즘,20
오,19
실제,19
땅콩,19
로,19
화장실,19
그릭,18
궁금하다,18
말,18
의,18
속,18
일,18
도,18
작다,18
산딸기,18
인스타,18
보기,18
선물,18
영업,17
준비,17
과육,17
깔끔하다,17
후,17
모두,17
먹기,16
란타,16
유자,16
후르츠,16
니콘,16
콤,16
아포,16
샌드,16
등,16
보이그랜더,16
알,16
미팅,16
골목,15
저희,15
용,15
달콤하다,15
가장,15
재료,15
성수역,15
운영,15
부드럽다,15
아이스,15
앞,15
일요일,15
밖,15
온,15
예약,15
게,15
다양하다,15
귤,15
월,15
쪽,15
어떻다,15
파티세리후르츠,14
편,14
모든,14
정기,14
조합,14
이렇다,14
만,14
고급,14
사용,14
선택,14
바닐라,14
취향,14
리뷰,14
치즈,14
모형,14
물,14
코스,14
기대,13
거리,13
이번,13
못,13
스파,13
달,13
이용,13
올리브,13
크리스마스,13
비싸다,13
게시,13
공영,13
위,13
왼,13
아깝다,13
시,13
친절하다,13
월요일,13
창가,13
근처,13
함,13
설명,13
소개,13
홍시,13
줄,13
님,13
최고,12
볼,12
땅,12
체리,12
완전,12
똑같다,12
먼저,12
쇼콜라,12
가득하다,12
이색,12
팔로워,12
팔로잉,12
언니,12
참고,12
이름,12
인,12
그대로,12
반,12
우리,12
살짝,11
별로,11
인스타그램,11
아쉽다,11
웨이팅,11
평일,11
신상,11
파스타,11
요리,11
제일,11
동생,11
뿐,11
셰프,11
편이,11
몽블랑,11
오픈,11
포크,11
위해,11
손님,11
옆,11
무엇,10
밀크,10
높다,10
작품,10
다르다,10
컷,10
섬세하다,10
구매,10
웨이,10
애플,10
뭔가,10
토,10
짝꿍,10
출구,10
인연만들기,10
직원,10
골든,10
청귤,10
피스타치오,10
표현,10
도착,10
구경,10
특별하다,10
조화,10
이유,10
블랙,10
아주,10
명품,10
모습,10
영상,9
느끼하다,9
단면,9
초코,9
입구,9
잼,9
건,9
독특하다,9
화,9
파티,9
수가,9
진,9
와인,9
직접,9
식감,9
야하다,9
장미,9
버터,9
왜,9
찍기,9
팅,9
의자,9
말차,8
서비스,8
세,8
오빠,8
보,8
토요일,8
편하다,8
경우,8
밤,8
여름,8
디저트카페,8
괜찮다,8
아이,8
보이,8
은,8
움,8
임,8
미치다,8
를,8
감각,8
재,8
생일,8
감성,8
닭갈비,8
자주,8
기분,8
누구,8
마음,8
단,8
인생,8
더욱,8
엄마,8
파리,8
굉장하다,8
가득,8
힘들다,8
자체,8
비슷하다,8
입맛,8
고민,8
바질,8
네이버,8
딜,8
도보,8
보통,8
확인,8
점,8
리치,8
제철,8
리얼,8
여유,7
밥,7
재미,7
계시다,7
