word,count
에스프레소,824
바,393
있다,344
코,330
보스,318
크림,181
성수동,180
카페,169
좋다,123
커피,123
맛,121
맛있다,105
메뉴,103
곳,95
수,94
것,91
같다,90
성동구,90
주문,88
길,78
상원,77
없다,74
바닐라,71
서울특별시,70
잔,67
사진,61
많다,55
사람,52
테이블,50
초록,49
그,49
이다,48
더,46
탄산수,46
아니다,45
때,45
이,44
설탕,44
느낌,43
보스코,42
매장,42
아메리카노,40
날,40
생각,40
맛집,39
콘파,38
요즘,38
뚝섬역,37
그렇다,37
나,37
달달,36
자리,35
인테리어,34
내부,33
달고나,32
내,32
하나,32
시간,31
모카,31
초록색,31
콘파냐,30
아이스크림,30
선택,29
성수,29
입,29
방문,29
거,29
저,29
깔끔하다,29
연유,29
가격,28
추천,28
중,28
개,28
진짜,27
좀,27
라떼,26
분위기,26
다양하다,26
안,26
신상,26
귀엽다,26
우리,26
바로,25
여기,25
위치,25
그린,25
및,25
처음,25
정말,25
종류,24
집,24
또,24
명,24
일반,24
다른,24
핫,23
좋아하다,23
공간,23
직접,23
도넛,23
향,23
카라멜,22
메뉴판,22
디저트,22
전,22
번,22
부드럽다,22
동영상,22
직원,21
취향,21
좌석,21
정도,21
위,21
듯,20
초코,19
조합,19
쑥,19
숲,19
기본,19
서울,19
음료,19
가게,19
서울숲,18
해,18
근처,18
영업,18
눈,18
쑥떡,18
다음,18
꼭,18
아주,18
그냥,17
/,17
예쁘다,17
제,17
분,17
달콤하다,17
보고,17
화이트,16
때문,16
괜찮다,16
역시,16
먼저,16
쑥스럽다,16
층,16
진하다,16
살짝,15
치즈,15
물,15
혼자,15
를,15
오픈,15
아이스,15
한잔,15
오,14
한번,14
보기,14
이름,14
말,14
가장,13
오늘,13
못,13
매일,13
가지,13
로트,13
점심,13
에스프레소바,13
일,13
골목,13
밥,13
팔로잉,13
작다,13
자체,13
시럽,13
앞,13
사용,12
조금,12
라즈베리,12
구경,12
알,12
컵,12
에쏘,12
샷,12
평일,12
함,12
적당하다,12
주말,12
원래,11
제일,11
아쉽다,11
녹색,11
새롭다,11
입가심,11
우유,11
양,11
힙,11
휴무,11
판매,11
처,11
님,11
팔로워,11
참고,11
인,11
게시,11
완전,11
뭔가,11
점,11
유행,11
야외,11
추가,11
걸,10
요,10
컬러,10
뜻,10
매력,10
파스타,10
조화,10
테이크아웃,10
주차장,10
색,10
옆,10
도,10
친구,10
전문점,10
이번,10
얼마,10
뭐,10
인절미,10
꽤,10
솥밥,10
이쁘다,10
약간,10
여행,9
밀크,9
별로,9
짙다,9
거리,9
춥다,9
뒤,9
가능하다,9
컨셉,9
더하다,9
데이트,9
모두,9
손님,9
고소하다,9
미숫가루,9
편이,9
은,9
등,9
입맛,9
이렇다,9
사실,9
시원하다,9
가루,8
볼,8
다르다,8
전체,8
후기,8
미숙,8
답,8
외관,8
콘,8
밉다,8
주차,8
따뜻하다,8
과자,8
뚝섬,8
세련되다,8
빈,8
출구,8
이드,8
무엇,8
게,8
주소,8
톤,8
배,8
예전,8
준비,8
바삭,8
소개,8
할인,8
어렵다,8
덥다,8
도전,8
의자,8
후,8
기분,8
실버,7
당황,7
타임,7
밑,7
인스타그램,7
아웃,7
생크림,7
나무,7
편,7
|,7
단맛,7
오후,7
안되다,7
포인트,7
대한,7
가면,7
설명,7
위해,7
검색,7
최근,7
일단,7
어떻다,7
인스타,7
줄,7
원두,7
제공,7
머리,7
타일,7
발견,7
카페],7
브레이크,7
궁금하다,7
계시다,7
동료,7
입구,7
금방,7
햇살,7
떡,7
성수역,7
움,7
카페인,7
두,7
식당,7
확실하다,7
코스,7
기억,7
사장,7
만,7
땐,7
라스트,7
이용,6
보,6
센스,6
날씨,6
기대,6
이탈리아,6
아침,6
류,6
식사,6
넓다,6
사냥,6
모던,6
머신,6
전문,6
외부,6
달,6
세,6
자주,6
대부분,6
다시,6
재생,6
막,6
더위,6
간단하다,6
나쁘다,6
얼음,6
바깥,6
재료,6
앤,6
스위트,6
간판,6
국물,6
잼,6
빵,6
프라이,6
"길
성수동",6
가깝다,6
친절하다,6
난,6
둘,6
왼쪽,6
평소,6
몇,6
보통,6
필요하다,6
아담하다,6
빗,6
샐러드,6
높다,5
여유,5
포장,5
건물,5
아포가토,5
아래,5
무난,5
편하다,5
겨울,5
개인,5
메인,5
고,5
세상,5
원하다,5
비싸다,5
착하다,5
장소,5
커먼그라운드,5
부,5
카프레,5
팀,5
멀다,5
잠시,5
벌써,5
첫,5
쫀득,5
덕분,5
딱이다,5
저격,5
이탄,5
쪽,5
쌀국수,5
또돈,5
오카,5
카페라떼,5
운영,5
왜,5
와리,5
맘,5
월요일,5
경험,5
:,5
손,5
계속,5
에디터,5
외,5
남편,5
나중,5
운,5
오른쪽,5
저렴하다,5
바답,5
바	보스,5
산미,5
유명하다,5
은은하다,5
현대,5
쌉싸름하다,5
에소,5
서도,5
컷,5
지금,5
뒷문,5
피자,5
피스타치오,5
어서,5
월,5
스,5
픽,5
적,5
개발,5
회사,5
처럼,5
홀짝,5
낌,5
테라스,5
디아,5
인상,5
대표,5
요새,5
카운터,5
미용실,5
팅,5
구성,5
고급,5
크레마,5
시작,5
마시기,5
술집,5
마음,5
단,4
고물,4
예정,4
적절하다,4
시끄럽다,4
음,4
라이프,4
편안하다,4
강하다,4
주변,4
경우,4
에스프레소바	성수동,4
해도,4
딱하다,4
상큼,4
비주,4
마지막,4
확,4
생기,4
랄,4
미리,4
콩,4
그대로,4
감,4
가득,4
도착,4
저녁,4
인석,4
이상,4
살,4
흡사하다,4
한지,4
마련,4
무,4
미치다,4
쿠키,4
실내,4
제대로,4
최고,4
말차,4
가득하다,4
식,4
멀리,4
입문,4
창가,4
청포도,4
먹기,4
석도,4
네이버,4
찍기,4
비,4
에르,4
인기,4
결제,4
예상,4
포스터,4
만석,4
푹,4
요리,4
항상,4
크게,4
언제,4
마감,4
형식,4
무조건,4
쯤,4
퍼응언,4
회식,4
와플,4
아아,4
돈,4
행복,4
닷,4
브륄레,4
벽,4
저희,4
용,4
