word,count
층,245
카페,237
서울특별시,206
가능,194
성동구,172
실내,168
길,159
있다,136
동반,93
서울숲,86
커피,82
성수,76
마야,74
좋다,50
테라스,40
점,39
로,38
성수동,38
예약,36
광진구,34
베이커리,32
것,30
라이프,29
북,29
디저트,28
무장,28
같다,28
및,27
곳,27
없다,26
북카페,25
호,25
수,24
뚝섬,24
많다,23
지하,22
책,21
로스,20
강아지,20
공간,19
더,19
브런치,18
주문,18
위치,18
내,18
때,18
루프,17
이,17
나,17
아차산로,15
탑,15
가능하다,15
메뉴,15
맛있다,15
진짜,15
테이블,15
안,15
정말,15
빵,14
방문,14
물,14
레스토랑,14
거,14
느낌,13
건물,13
좋아하다,13
날,13
일로,13
비,13
터리,13
주심,12
또,12
사람,12
가성,12
게,12
시간,12
아니다,12
왕십리,12
판매,12
다음,11
실외,11
소품,11
추천,11
그렇다,11
반려견,11
치즈,11
식당,11
자양동,11
자양,11
견,11
만,11
곡,11
트,10
상주,10
조용하다,10
요즘,10
애견,10
와인,10
사진,10
중,10
운영,10
구경,10
외,10
음료,10
차,9
엘리베이터,9
함,9
사장,9
영화,9
맛,9
스토어,9
우리,9
샐러드,9
호점,9
케이,9
서울,9
대관,9
분위기,8
다양하다,8
편,8
와이드,8
저녁,8
넓다,8
왜,8
난,8
사이드,8
포레스트,8
휴무,8
간식,8
시작,8
잡화,8
샌드위치,8
테,8
힘들다,8
생각,8
이렇다,8
뭔가,8
신상,8
앞,8
일,7
좀,7
제공,7
고양이,7
다방,7
위,7
강남구,7
구,7
오,7
조금,7
거리,7
소금,7
준비,7
능동,7
주말,7
우드,7
뚝섬역,7
개인,7
덕정,7
도,7
앤드,7
전,7
여기,7
정기,7
자리,7
산책,7
해,7
버거,7
확인,7
개,7
바,7
베이글,7
카멜,6
팝업,6
반려동물,6
직,6
집,6
광나루,6
린다,6
이어트,6
펫,6
요가,6
파스타,6
예쁘다,6
때문,6
라떼,6
여행,6
종류,6
계속,6
바로,6
심,6
물건,6
입구,6
정도,6
밤,6
동일로,6
월,6
전시,6
터스,6
인테리어,6
쪽,6
성수역,6
살,6
회사,6
갤러리,6
일대,6
타워,6
오프,6
이용,5
이스트,5
정길,5
골목,5
데이,5
