word,count
있다,241
카페,146
성수,143
바이크,143
성수동,104
좋다,95
이다,84
라이더,82
많다,74
같다,68
것,66
수,62
방문,62
길,58
오늘,50
없다,48
성동구,47
시간,46
분,46
저,45
아니다,44
서울특별시,44
무장,44
이,39
사진,38
망고,38
곳,38
집,37
생각,35
맛있다,34
제,34
호,34
다양하다,33
친구,33
서울,33
판매,33
팝업,32
느낌,30
맛,30
알,30
이야기,29
층,29
요,28
더,28
명,27
때,27
구경,27
정말,27
스무디,27
장소,26
사람,25
주문,25
그렇다,24
커피,24
타고,24
거,24
안,23
진짜,23
제품,23
한번,23
및,22
날,22
스,22
또,22
타이어,21
포스팅,21
번,21
위치,21
전,21
플리,20
도,20
주차,20
마켓,20
음료,20
하나,20
헬멧,19
꼭,19
용품,19
멋지다,18
옥자,18
사장,18
시작,18
스토어,18
오토바이,18
구매,18
이렇다,18
아이템,18
보고,18
즐겁다,18
앞,18
한국,18
사실,18
분위기,17
행사,17
거리,17
자리,17
를,17
영업,17
내,17
후,17
스티커,17
힙,17
동영상,17
개,17
그,16
좋아하다,16
중,16
내부,16
바로,16
캠핑,16
등,16
공간,16
메뉴,16
이제,16
자주,16
위,15
시스템,15
다른,15
콜라보레이션,15
역시,15
모토,15
물,15
딸기,14
추천,14
여기,14
RSG,14
점,14
맛집,14
보기,14
개인,13
매장,13
예쁘다,13
음식,13
마리,13
로,13
의,13
가지,13
하루,13
가능하다,13
이쁘다,13
가게,13
니,13
님,13
라떼,12
재미있다,12
관련,12
게시,12
처음,12
그냥,12
의류,12
때문,12
베이글,12
부츠,12
이번,12
우리,12
편하다,11
무브먼트,11
건,11
말,11
뭐,11
뭔가,11
어떻다,11
브랜드,11
재생,11
다음,11
팔로워,11
딸빙,11
차,11
패션,11
정도,11
화장실,11
데,11
가격,11
나,11
성지,11
마음,11
문화,11
여행,10
가득하다,10
일,10
좀,10
셀러,10
우스,10
팀,10
조금,10
쌀국수,10
접기,10
모두,10
유명하다,10
볼,10
테슬라,10
팔로잉,10
테이블,10
컬렉션,10
가장,10
밤,10
준비,10
위해,10
진행,10
커브,10
최근,10
라이딩,10
시원하다,10
만,10
손님,10
다시,10
댓글,9
주변,9
주소,9
꿀,9
리뷰,9
매,9
핫,9
도착,9
못,9
라멘,9
가면,9
옷,9
스타일,9
모델,9
예약,9
끌,9
베트남,9
콜라보,9
아쉽다,9
해,9
프라이데이,9
깔끔하다,9
추가,9
직원,8
나들이,8
오빠,8
보시,8
조회,8
참고,8
재미,8
정비,8
첫,8
새롭다,8
인테리어,8
저녁,8
오픈,8
시즌,8
뚝섬,8
요즘,8
홍대,8
귀엽다,8
약간,8
기분,8
모습,8
다르다,8
동생,8
슈퍼,8
레르,8
카페인,8
만장,8
디자인,8
부스터,8
몇,8
듯,8
지인,8
사,8
밤바리,7
시끄럽다,7
장비,7
마리끌레르,7
빌트,7
냉삼,7
빙수,7
직접,7
이름,7
어바너,7
오,7
잠시,7
나이트,7
전문점,7
매일,7
동안,7
뽑기,7
스이카,7
트럭,7
미숫가루,7
영상,7
종류,7
이색,7
푸드,7
블로그,7
새벽,7
컬러,7
아메리카노,7
자켓,7
기본,7
크레이지,7
일상,7
은,7
공원,7
레이스,7
남편,7
도전,7
한잔,7
옆,7
줄,7
속,7
걸,6
달라,6
팥빙,6
사랑,6
녀석,6
밥,6
인근,6
루트,6
저희,6
신기하다,6
잡지,6
엑스,6
왜,6
친절하다,6
편집,6
소개,6
덥다,6
멋,6
피크닉,6
가방,6
바이,6
마키,6
게,6
브레이크,6
자전거,6
물건,6
사이즈,6
냉,6
팩토리,6
알슥,6
성수역,6
두,6
근처,6
네이버,6
감성,6
출시,6
자세하다,6
퇴근,6
정리,6
눈,6
교체,6
온,6
에스,5
진행중,5
박스,5
아래,5
상당하다,5
지금,5
계시다,5
도넛,5
마포구,5
작다,5
구,5
다리,5
펄,5
쪽,5
착용,5
오후,5
넓다,5
뒤,5
마련,5
건대,5
왼쪽,5
꽤,5
특별하다,5
고민,5
함,5
나중,5
바린,5
거의,5
혁신,5
사고,5
비,5
기변,5
전기차,5
데이트,5
메뉴판,5
대부분,5
주말,5
돈,5
무엇,5
두기,5
세,5
문,5
신형,5
여러분,5
통해,5
건가,5
인스타그램,5
빠르다,5
날씨,5
기도,5
여러,5
재밌다,5
출발,5
티셔츠,5
기회,5
덕분,5
얼굴,5
톡,5
관심,5
이태원,5
소품,5
가깝다,5
옛날,5
글,5
설명,5
파스타,5
대표,5
먼저,5
음료수,5
서른,5
대해,5
기념,5
확인,5
코로나,5
가기,5
바,5
이유,5
오토,5
노력,5
부터,5
이드,5
도로,4
야장,4
인기,4
계속,4
오른쪽,4
전체,4
로고,4
토요일,4
타임,4
세상,4
일본,4
곳곳,4
무슨,4
마지막,4
모빌리티,4
강,4
랄,4
여기저기,4
잔,4
안녕하다,4
형님,4
남자,4
힘들다,4
비슷하다,4
자유롭다,4
/,4
운영,4
고수,4
사촌동생,4
중이,4
텐트,4
이미지,4
버,4
소재,4
경험,4
오기,4
아이스,4
테라스,4
부담,4
할인,4
커버,4
와우산,4
주차장,4
전문,4
헬리,4
라면,4
달,4
정보,4
항상,4
최고,4
대너,4
머리,4
애견,4
란마,4
건물,4
리야,4
현재,4
엔진오일,4
거기,4
번호판,4
곱창,4
우드,4
발견,4
녹스,4
제일,4
고객,4
돗자리,4
요기,4
힘드다,4
포,4
과감,4
베스파,4
버블,4
비주,4
제주,4
티,4
괜찮다,4
적,4
모든,4
감,4
대여,4
낮,4
전화번호,4
키,4
새,4
보이,4
구형,4
완전,4
체어,4
무료,4
모,4
가와사키,4
세계,4
코끼리,4
실내,4
현장,4
리뉴얼,4
진열,4
포인트,4
미군,4
입문,4
매력,4
가끔,4
연습,4
생일,4
자,4
인상,4
본격,4
만큼,4
상담,4
일명,4
왕십리,4
인하다,4
소식,4
광고,4
어느새다,4
선물,4
행복하다,3
레오,3
회원,3
요약,3
방문객,3
식물,3
기간,3
인증샷,3
업체,3
이틀,3
흔하다,3
보,3
체험,3
우선,3
전부,3
두발,3
밑,3
더욱,3
투,3
와우,3
얘기,3
노을,3
순간,3
가야,3
