word,count
카페,309
있다,282
성수동,200
빵,198
서울숲,154
좋다,142
맛있다,132
것,119
같다,117
곳,116
베이커리,109
많다,108
커피,90
성동구,90
없다,86
맛,85
서울특별시,81
사람,74
길,69
사진,63
층,62
여기,55
아니다,55
주문,54
거,52
수,49
저,49
때,46
안,45
시간,45
하나,45
그렇다,43
더,43
성수,41
내,41
바로,40
예쁘다,40
자리,37
스튜디오,36
맛집,36
이,35
나,35
종류,34
스콘,34
좋아하다,34
진짜,34
분위기,33
테이블,32
생각,32
공간,32
개,32
우리,30
좀,30
아메리카노,30
집,29
날,29
메뉴,29
맥주,29
아주,29
라떼,29
친구,29
초코,28
이다,28
또,28
가격,27
다른,27
그냥,27
음료,27
쿠키,26
느낌,26
오늘,26
제,26
빵집,25
내부,25
가게,25
서울,24
보고,24
정말,24
다음,24
앞,23
메뉴판,23
줄,23
와인,22
크로와상,22
조금,21
중,21
주말,21
저희,21
전,21
방문,21
쪽,20
뭐,20
귀엽다,20
마음,20
추천,20
산책,20
거리,19
근처,19
stdo,19
아침,19
뭔가,19
듯,19
식빵,19
요즘,19
핫,18
인테리어,18
크림,18
유명하다,18
그,18
괜찮다,18
구경,18
비,18
옆,18
예약,17
웨이,17
고민,17
위치,17
팅,17
크루아상,17
도,17
역시,17
점심,17
따뜻하다,17
분,17
가지,16
한번,16
온,16
일,16
로,16
함,16
거의,16
밥,15
다양하다,15
저녁,15
넓다,15
이쁘다,15
게,15
날씨,15
위,15
모두,15
눈,15
고소하다,15
골목,14
요,14
토요일,14
입구,14
못,14
정석,14
월요일,14
번,14
이렇다,14
스티,14
덥다,14
살룬,14
때문,14
등,14
맘,14
이드,14
원래,13
말,13
식당,13
외관,13
파스타,13
의자,13
만,13
먹기,13
및,13
티,13
의,13
사실,13
판매,13
보기,13
보,12
샌드위치,12
바닐라,12
정도,12
버터,12
건,12
해,12
네이버,12
약간,12
산미,12
이름,12
호호,12
어디,12
아이스,12
명,12
소개,12
살짝,11
처음,11
치즈,11
향,11
운영,11
꽤,11
창가,11
책,11
문,11
뚝섬역,11
디저트,11
포토,11
직접,11
맛있는,11
검색,11
다시,11
딸기,10
요기,10
아쉽다,10
포스팅,10
간,10
정식,10
도착,10
완전,10
오후,10
치아바타,10
평일,10
데,10
알,10
동영상,10
점,10
이제,10
조용하다,10
시원하다,10
유기농,10
스토어,10
아이스크림,10
볼,10
참고,10
꼭,10
잔,10
입,10
매장,10
부드럽다,10
케이크,10
영업,10
밖,10
편하다,9
차,9
구매,9
밤,9
화이트,9
역,9
주스,9
벤치,9
먼저,9
후,9
기분,9
수다,9
금,9
크랜베리,9
양말,9
새우,9
기본,9
굉장하다,9
보이,9
살,9
카페인,9
두,9
둘,9
끝,9
중간,9
플랫,9
가면,9
옷,9
오픈,9
주차장,9
감성,9
깔끔하다,9
계속,8
카츠,8
나무,8
웨이팅,8
춥다,8
류,8
임,8
안되다,8
실내,8
를,8
물,8
냄새,8
추가,8
원두,8
포장,8
음,8
건물,8
음식,8
제일,8
지금,8
버섯,8
가야,8
피자,8
동생,8
아더,8
은,8
소품,8
준비,8
스타일,8
나중,8
겸,8
아아,8
목,7
갈비,7
런가,7
오른쪽,7
개인,7
카라멜,7
스티커,7
동네,7
오전,7
편,7
잠시,7
벌써,7
과,7
호점,7
다행하다,7
/,7
대기,7
가능하다,7
몇,7
투어,7
배부르다,7
바나나,7
높다,7
일요일,7
나들이,7
쇼콜라,7
피크닉,7
에러,7
선택,7
막,7
얼른,7
작다,7
월,7
애플파이,7
뿐,7
마들렌,7
일찍,7
이번,7
화,7
화요일,7
사이,7
와사비,7
어떻다,7
일단,7
속,7
혼자,6
퀸,6
인기,6
입장,6
타임,6
밑,6
별로,6
기대,6
팝업,6
후기,6
어쨌든,6
새롭다,6
밀,6
힘들다,6
편이,6
매일,6
식사,6
안쪽,6
핫플,6
디자인,6
재,6
버거,6
양,6
담,6
디오,6
위해,6
건강하다,6
뺑,6
평소,6
워낙,6
카운터,6
바쁘다,6
로베,6
사장,6
로우,6
망,6
걸,6
먹음,6
가득하다,6
브런치,6
발견,6
카페],6
저번,6
밀가루,6
장소,6
너,6
에스티,6
냉,6
금방,6
화장실,6
미리,6
여기저기,6
덕분,6
간판,6
헤헤,6
움,6
제품,6
이동,6
왜,6
은근,6
우유,6
자연,6
빅토리아,6
토,6
기,6
굿,6
저기,6
테이크아웃,6
가능,6
달달,6
달,6
만석,6
바,6
밀도,6
나름,6
섬세,6
최고,5
고프다,5
무엇,5
계절,5
여유,5
폰,5
호두,5
사랑,5
뜨겁다,5
무난,5
테라,5
주변,5
메인,5
신선하다,5
취향,5
힘,5
여음,5
오,5
배,5
어,5
보틀,5
거울,5
뒤,5
난,5
왼쪽,5
하루,5
블루,5
치즈볼,5
잠깐,5
덜,5
남,5
즐겁다,5
히레,5
삼척,5
금요일,5
야외,5
크게,5
잡고,5
무조건,5
데이트,5
한잔,5
적당하다,5
땐,5
단,5
세,5
바게뜨,5
사용,5
블로그,5
아마,5
거기,5
팔로워,5
팔로잉,5
행복,5
규모,5
불편하다,5
원하다,5
게시,5
생크림,5
나쁘다,5
리뷰,5
봄,5
스트랩,5
보난자,5
천장,5
리움,5
마무리,5
얼마,5
이상,5
시,5
우린,5
목요일,5
설탕,5
외,5
얼,5
테라스,5
전경,5
하늘,5
하프,5
촉촉하다,5
수가,5
개량,5
주차,5
패션후르츠,5
다포케,5
자주,5
뚝섬,5
발효종,5
처,5
모습,5
돈,5
벽돌,5
님,5
사서,5
지도,5
마치,4
프로젝트,4
라운드,4
이용,4
올리브,4
스탠드,4
문구,4
북적,4
교회,4
통밀,4
남아,4
계단,4
해도,4
플래그,4
신맛,4
간다,4
배고프다,4
등등,4
김치,4
간단하다,4
힐링,4
가장,4
여름,4
만난,4
브라우니,4
뜻,4
베이,4
다리,4
바람,4
설레다,4
도우,4
연휴,4
대여,4
스팟,4
휘,4
품절,4
산,4
레이스,4
남자친구,4
대충,4
모던,4
탕수육,4
설명,4
미국,4
대표,4
굳이,4
어렵다,4
캐롤,4
큐브,4
에르,4
패스,4
왕십리,4
천연,4
그림,4
동반,4
낭시,4
가죽,4
통,4
이야기,4
시작,4
팔고,4
사,4
답답하다,4
너무하다,4
여행,4
커피숍,4
곳도,4
애견,4
견과류,4
반죽,4
깊다,4
편안하다,4
데이,4
지민,4
서서,4
연방,4
궁금하다,4
의사,4
무슨,4
급,4
매우,4
킹,4
무섭다,4
트리,4
쥬,4
강남,4
크로플,4
아이,4
만족,4
한참,4
공원,4
가깝다,4
도마,4
입맛,4
존맛,4
포인트,4
에어컨,4
:,4
초록,4
주,4
빈티,4
운동,4
바삭,4
프로,4
떡볶이,4
동안,4
사워도,4
링,4
봄날,4
츄리,4
비뉴,4
하하,4
보통,4
온량,4
휴무,4
오히려,4
겨우,4
페스,4
기억,4
이유,4
주민,4
쉬,4
수도,4
케이스,4
가성,4
뇨끼,4
손님,4
정리,4
차갑다,4
마켓,4
탕종,4
평,3
귀찮다,3
숲,3
녀석,3
방,3
싫다,3
겉,3
전체,3
박스,3
아래,3
겨울,3
강하다,3
세상,3
더위,3
주소,3
빵이,3
림프,3
사태,3
비싸다,3
베이커리카페,3
커피한잔,3
빠르다,3
딱하다,3
짜장면,3
신고,3
넉넉하다,3
비주,3
