word,count
케이크,145
훌로훌,45
있다,35
귀엽다,29
주문,26
친구,24
성수동,24
도시락,22
생일,19
초코,18
초,18
곰돌이,16
수,14
맛있다,14
제작,14
레터,13
사진,13
링,13
저,12
더,12
픽업,12
이,12
디자인,12
예쁘다,12
문의,11
및,11
좋다,11
맛,11
같다,10
제,10
성수,10
크림,9
내,9
예약,9
진짜,9
저희,9
집,9
기념일,9
길,8
성동구,8
때,8
위치,8
훌로훌로,8
매장,8
케익,8
명,8
동영상,8
층,8
카카오,8
다음,7
이다,7
좋아하다,7
치즈,7
시간,7
많다,7
서울특별시,7
시트,7
인스타,7
원하다,7
톡,7
좀,6
모양,6
사장,6
후기,6
친절하다,6
번,6
추가,6
바로,5
레터링,5
다양하다,5
것,5
추천,5
여기,5
중,5
남자친구,5
가격,5
개,5
휴무,5
정말,5
골목,5
인스타그램,5
사이즈,5
안,5
구매,5
당근,5
핑크,5
날,5
파티,5
아기자기하다,5
취소,5
달달,5
이쁘다,5
눈,5
걸,4
주인공,4
팔로워,4
팔로잉,4
금액,4
엄마,4
부분,4
게시,4
채널,4
찰떡,4
아니다,4
역,4
해,4
쿼카,4
그림,4
문구,4
오,4
거리,4
곳,4
요청,4
생신,4
소품,4
거,4
케이,4
물,4
쿠,4
없다,4
하나,4
님,4
선물,4
한판,4
느낌,3
발견,3
월,3
호,3
안녕하다,3
서울숲,3
쪽,3
성수역,3
입,3
초가,3
임,3
사람,3
맛집,3
축하,3
한번,3
따뜻하다,3
과자,3
수제,3
때문,3
보기,3
색,3
맞이,3
아주,3
우리,3
출구,3
캐릭터,3
주문제작,3
칭구,3
생크림,3
초도,3
기본,3
오늘,3
가득,3
가깝다,3
입맛,3
가지,3
산,3
포크,3
버스,3
서울,3
카톡,3
도보,3
영업,3
하트,3
약간,3
속,3
시리얼,2
서비스,2
일,2
먹기,2
종류,2
건물,2
선택,2
공주,2
안경,2
변경,2
타고,2
개도,2
직접,2
이름,2
처음,2
도,2
그렇다,2
리뷰,2
정도,2
동네,2
위,2
박두,2
아침,2
다이소,2
전문점,2
인테리어,2
편이,2
깜찍하다,2
키,2
원형,2
이상,2
숫자,2
/,2
케이크],2
맘,2
모,2
화,2
가면,2
hullo,2
오픈,2
초록색,2
부드럽다,2
근처,2
어찌,2
가능하다,2
환불,2
노랑,2
HULLO,2
후,2
훌,2
채팅,2
무조건,2
모두,2
글씨,2
무엇,2
방법,2
느끼하다,2
예정,2
아담하다,2
몇번,2
오른쪽,2
토요일,2
분위기,2
강하다,2
장식,2
아쉽다,2
선생님,2
용품,2
지하철,2
읍니,2
정신,2
간판,2
초코케익,2
또,2
아깝다,2
크기,2
안좋다,2
색상,2
준비,2
식당,2
안쪽,2
외관,2
방문,2
감각,2
평일,2
소요,2
소개,2
화요일,2
미국,2
진행,2
앞,2
불가,2
어렵다,2
기념,2
사이,2
확인,2
사실,2
가능,2
달,2
항상,2
나,2
판매,2
개봉,2
약,2
가게,2
진하다,2
덕후,2
주말,2
다른,2
처,2
색깔,2
돈,2
다람쥐,2
부터,2
윗,1
파워,1
단,1
악세다,1
놀래다,1
볼,1
높다,1
제공,1
가득하다,1
투명하다,1
뽕실뽕실,1
케이크	돈,1
주네,1
한눈,1
세,1
구의,1
"추천
[믿고",1
색다르다,1
사용,1
아마,1
슨생님들,1
깊다,1
위약금,1
그린,1
실금,1
제일,1
"보기",1
디저트,1
데이,1
인생,1
로만,1
금,1
따끈따끈,1
헸다,1
건가,1
고양이,1
안해,1
천원,1
디테,1
더욱,1
참고,1
벽,1
헷,1
상태,1
금손이셨음,1
번창,1
비싸다,1
컬러,1
럄,1
공개,1
취향,1
코,1
인공,1
직구,1
포토,1
요로,1
그,1
작다,1
꼭,1
재밌다,1
꼽꼽,1
낮다,1
저리,1
신나다,1
조심,1
땡,1
깜찍하고,1
디피,1
유지,1
편,1
브라우니,1
셋투,1
직,1
잠시,1
뜻,1
아빠,1
헤메,1
뽀인트,1
남친,1
제너럴,1
없죵,1
함정,1
후훗,1
의향,1
정착,1
여기저기,1
심하다,1
작업실,1
넘치다,1
날짜,1
명치,1
커플,1
정기,1
🐻	첫,1
문구로,1
"케이크
성수동",1
영어,1
스마,1
귀염뽀짝,1
|,1
주시,1
매번,1
이번,1
움,1
얼마,1
-,1
도안,1
살,1
못,1
건,1
오후,1
당일,1
운영,1
골,1
샵,1
희다,1
넓다,1
불,1
뒤,1
케이크	훌로훌,1
발생,1
답,1
중앙,1
이기,1
가구,1
월요일,1
주신,1
포스,1
싹싹,1
구경,1
측면,1
제대로,1
3탄,1
수행,1
혹시,1
클리어,1
식,1
:,1
로코,1
벌스,1
반하다,1
신상,1
리뷰],1
뭔가,1
빈속,1
찾기,1
무인,1
영롱하다,1
발송,1
사각,1
일도,1
"추천,",1
반,1
알,1
깜짝,1
기대하다,1
찍기,1
라미,1
첨,1
해피,1
또또,1
집요정,1
존잘,1
덥다,1
촛불,1
접기,1
한쪽,1
컨셉,1
바쁘다,1
옥,1
케,1
외부,1
장안,1
믿음,1
유산,1
초행길,1
리본,1
별명,1
걱정,1
]	훌로훌,1
최고,1
귀여운,1
강추,1
마감,1
리도,1
혼자,1
적당하다,1
덕,1
멋지다,1
부드,1
목,1
작품,1
"있다
[성수동,",1
욤,1
산내,1
대망,1
여울,1
젤,1
전적,1
허락,1
포장,1
이후,1
쇼,1
이용,1
차갑다,1
축하파티,1
아기자기,1
열두시,1
식이,1
멍뭉이,1
와인,1
절대,1
재생,1
유명하다,1
흔하다,1
꽃길만,1
밀스,1
순,1
겉,1
쉽다,1
기전,1
정면,1
메시지,1
무난,1
짧다,1
성공하다,1
보는,1
취했,1
킄킄,1
뿌듯하다,1
심,1
존,1
뺨,1
경옥씨,1
별로,1
한글,1
왕관,1
뽀블린,1
5번시킴	년전,1
올해,1
치,1
섭하다,1
이구,1
검다,1
성냥,1
주택가,1
사도,1
거대하다,1
계시다,1
생일케이크,1
뇸,1
추억,1
연락처,1
한나,1
센스,1
세트,1
채도,1
장소,1
주심,1
가장,1
자기,1
후기	성수동,1
하나로,1
일초,1
확,1
스마일,1
여러가지,1
출발,1
골랏,1
오전,1
공룡,1
초콜렛,1
합뉘,1
구,1
"생일,",1
핫,1
짱,1
픽,1
임티,1
스럽다,1
포스팅,1
기대,1
최고다,1
"0	1
title	[]
성수동",1
매우,1
괜찮다,1
조금,1
첫,1
기준,1
귀걸이,1
전,1
심지어,1
뿌듯,1
이중,1
덕분,1
쥬,1
맞춤,1
얼굴,1
이모티콘,1
작고,1
사면,1
바탕,1
업로드,1
요런,1
콩떡쒸,1
만듭니,1
"가지
서울",1
비슷하다,1
작년,1
졸귀,1
전약,1
꿀팁,1
빵,1
완전,1
구리,1
보냉팩,1
등,1
작성,1
시,1
역시,1
군데군데,1
군데,1
두두,1
무료,1
매치,1
형태,1
중요,1
소중하다,1
쉐잎,1
웬만하다,1
스팟,1
내부,1
난,1
체감,1
추천!	번,1
"후기
성수동",1
따라서,1
생각,1
를,1
초불,1
건대,1
왼쪽,1
꽤,1
이렇다,1
규정,1
레이스,1
외,1
롬,1
안정감,1
글,1
불가능하다,1
걷자~맞춤,1
"즐겁다
[성수동",1
함,1
토,1
"틩
훌로훌로케이크,",1
돌이,1
훌로훌로케이크,1
드릴,1
자,1
합리,1
계란,1
기념일	안녕하다,1
당사자,1
고맙다,1
"케이크,",1
보고,1
촉촉하다,1
상담,1
감성,1
수제케이크,1
듯,1
마침,1
확정,1
대략,1
카운터,1
금손,1
민트,1
주차,1
노래,1
부담스럽다,1
케이크	안녕하다,1
정보,1
포스터,1
입금,1
가기,1
소원,1
가볍다,1
오래되다,1
이유,1
약속,1
(크림치즈초코)	돈,1
대박,1
어떻다,1
만,1
답변,1
시작,1
"포스팅
성수동",1
줄,1
무디,1
분,1
작업,1
슝,1
현이,1
모습,1
상자,1
주택,1
마음,1
지도,1
[,1
일정,1
"끝
성수동",1
온,1
철저함,1
