word,count
있다,533
그린,352
랩,342
좋다,271
시간,245
서울숲,218
예약,214
성수동,206
수,188
층,176
공간,163
것,160
같다,153
나,153
책,149
곳,147
카페,131
힐링,113
바구니,111
사진,103
음료,103
생각,96
저,94
이,90
예쁘다,83
때,83
성동구,78
더,78
길,73
꽃,70
이용,69
없다,69
조용하다,65
서울특별시,64
분,63
서울,63
많다,62
정말,62
소리,61
안,60
제,60
차,58
운동,58
날,58
방문,57
맛,57
사람,56
필라테스,55
내,53
하나,52
네이버,51
스튜디오,51
바로,50
마음,48
이다,48
또,48
성수,48
집,47
향,47
그,47
느낌,46
때문,46
전,44
여기,44
아니다,43
구경,43
앞,43
맛있다,43
이렇다,42
보고,42
그렇다,41
다른,41
신발,40
초록,40
조금,39
클래스,38
우리,38
진짜,37
추천,37
위,37
도착,36
속,36
혼자,36
준비,36
오늘,35
프로그램,35
다시,34
후,34
자연,33
꼭,32
중,32
자리,32
명,32
재생,32
숲,32
집중,32
나무,32
가격,32
식물,31
좋아하다,31
가능하다,31
동안,31
등,31
가지,31
제공,30
및,30
인,30
여름,30
귀엽다,30
편지,30
글,30
좀,29
분위기,29
르메드,29
타임,29
처음,29
기분,29
친구,28
주문,28
코스,28
다음,28
정도,28
먼저,28
확인,28
일,27
그린랩,27
멍,27
그냥,27
시작,27
요,26
작다,26
차차,26
말,26
내부,26
선택,25
오픈,25
거,25
위해,25
위치,25
다양하다,24
핫,24
해,24
동영상,24
만,24
커피,24
하루,23
메뉴,23
비,23
접기,23
이야기,23
선물,23
원하다,23
미리,23
이번,23
일상,23
번,23
뷰,22
필기구,22
판매,22
요즘,22
눈,22
사용,22
아쉽다,22
티,22
리추얼,22
한번,22
안내,22
도심,21
개,21
체크,21
건물,21
명상,21
따뜻하다,21
편하다,20
햇살,20
사실,20
필요하다,20
편지지,19
몸,19
원데이,19
점,19
어떻다,19
옆,19
후기,19
거리,19
휴무,19
개인,18
장소,18
플라워,18
건,18
물,18
진행,18
펜,18
요가,18
듯,18
데이트,18
보기,18
가방,18
잠시,17
다과,17
꽃다발,17
맛집,17
온,17
계절,17
별로,17
용,17
역시,17
를,17
설명,17
주차,17
인스타,17
골목,16
체험,16
지금,16
날씨,16
촬영,16
매일,16
운영,16
덥다,16
포함,16
밖,16
유명하다,16
편안하다,16
도,16
미니,16
레몬,16
걸,15
궁금하다,15
대화,15
제대로,15
건강하다,15
창,15
주말,15
간식,15
필사,15
계시다,15
피자,15
고민,15
뭔가,15
보,14
겨울,14
센스,14
제품,14
종이,14
자,14
카메라,14
님,14
제일,14
다실,14
화장실,14
두,14
평일,14
소개,14
감성,14
볼,13
나들이,13
가득하다,13
원래,13
계속,13
입장,13
저희,13
권,13
레슨,13
옥상,13
모든,13
새롭다,13
간,13
대여,13
봉투,13
오후,13
뒤,13
경험,13
손,13
특별하다,13
가면,13
달,13
주머니,13
메모,13
정리,13
줄,13
유리,13
맛차,13
알,13
모두,13
디,13
참여,13
논픽션,12
롯,12
계단,12
수업,12
건강,12
인테리어,12
살,12
/,12
왜,12
함,12
게,12
세상,12
구매,12
완전,12
빵,12
뭐,12
즐겁다,12
의자,12
앱,12
