word,count
층,392
있다,335
구펠,247
카페,243
커피,208
맛있다,136
좋다,132
샌드위치,112
지하,106
성수동,95
같다,94
메뉴,91
빵,89
곳,86
맛,85
것,75
주문,73
길,70
성동구,66
크림,65
왕십리,59
뚝섬역,57
브런치,55
느낌,55
더,54
라떼,53
수,53
많다,52
베이커리,50
추천,49
서울특별시,49
사진,47
맛집,47
테이블,47
없다,46
공간,45
저,45
파스타,43
시간,42
건물,42
이다,40
자리,39
이,38
개,38
날,37
때,36
음료,36
방문,34
예쁘다,33
여기,33
아몬드,32
좀,29
아니다,29
진짜,29
분위기,29
오늘,28
스파게티,28
정말,27
샐러드,27
그렇다,27
사람,27
번,27
버터,26
아메리카노,26
거,26
내부,25
위치,25
바로,25
근처,25
하나,25
식사,24
우리,24
정도,23
저희,23
햄,23
조금,23
나,23
또,22
치아바타,21
다양하다,21
스콘,21
다른,21
사실,20
다음,20
가지,20
테라스,20
내,20
출구,20
음악,19
고소하다,19
인테리어,19
생각,19
주말,19
디저트,18
집,18
애플,18
분,18
눈,18
및,18
외관,18
전,17
제,17
가게,17
마음,17
아늑하다,17
안,17
치즈,17
평일,17
서울,17
그냥,16
가능하다,16
앞,16
듯,16
깔끔하다,16
블랙,16
입구,16
작다,16
펠,16
넓다,16
메뉴판,16
아주,16
아쉽다,15
날씨,15
친구,15
사장,15
요,15
편하다,15
계단,15
좋아하다,15
꽤,15
명,15
종류,14
금,14
스피커,14
다시,14
사용,14
중,14
쿠키,14
케이크,14
휴무,14
티,13
성수,13
구경,13
부드럽다,13
영업,13
한번,13
네이버,13
기억,13
식빵,13
판매,13
원두,12
일,12
프레첼,12
괜찮다,12
치킨,12
아이스,12
터,12
커피숍,12
발견,12
도,12
화장실,12
잔,12
등,12
가격,12
동영상,12
노트북,12
달달,12
전체,11
어워드,11
위,11
쪽,11
해,11
점심,11
야외,11
에스프레소,11
다르다,11
그,11
화이트,11
거리,11
아침,11
물,11
케익,11
따뜻하다,11
일요일,11
조용하다,11
약간,11
산미,11
개인,10
신선하다,10
좌석,10
좁다,10
말,10
초록,10
스타일,10
의자,10
옆,10
올리브,10
이용,10
음식,10
아래,10
포,10
인,10
직접,10
꼭,10
리뷰,10
향,10
역시,10
매장,10
이렇다,10
사무실,10
카운터,10
유명하다,10
골목,9
보,9
나무,9
치아,9
진열,9
오픈,9
돌체,9
온량,9
벽돌,9
모습,9
선택,9
이름,9
너,9
월,9
서울숲,9
오디오,9
토,9
알,9
브루,9
항상,9
이쁘다,9
걸,8
정원,8
밥,8
편안하다,8
제일,8
골든,8
살짝,8
톤,8
달콤하다,8
포스팅,8
매우,8
저녁,8
의,8
사과,8
검색,8
보고,8
때문,8
모두,8
보기,8
줄,8
온,8
행복하다,8
먹기,8
문,8
참고,8
궁금하다,8
계시다,8
게시,8
처음,8
봄,8
편,8
콜드,8
간,8
로,8
이번,8
입,8
시,8
뒤,8
왜,8
를,8
소개,8
먼저,8
레몬,8
일단,8
어떻다,8
이야기,8
수다,8
진설,7
컷,7
엄청나다,7
콘센트,7
생크림,7
가장,7
포카,7
명란,7
재료,7
일찍,7
보틀,7
류,7
운영,7
회사,7
총,7
재,7
블루,7
거의,7
로스팅,7
주차,7
손님,7
포장,7
블로그,7
주소,7
언니,7
바닐라,7
공휴일,7
지금,7
후기,7
허브,7
준비,7
등장,7
맘,7
"층
성수동",7
이유,7
요즘,7
밀크,6
멋지다,6
브라우,6
원래,6
GUFEL,6
고객,6
금액,6
주변,6
베스트,6
만조,6
당근,6
장소,6
스페셜,6
치즈케이크,6
소리,6
모든,6
가득,6
건,6
친절하다,6
디카,6
가면,6
주인,6
롱,6
설명,6
가능,6
시스템,6
후,6
단체,6
우드,6
처,6
밖,6
속,6
싱글,6
팔로워,6
팔로잉,6
바리스타,6
페인,6
민선,6
정기,6
촬영,6
리,6
산,6
글,6
포크,6
덥다,6
프레즐,6
한잔,6
적당하다,6
땐,6
기분,6
재생,6
님,6
