word,count
에그타르트,546
타르트,512
있다,394
마카,387
슈,386
디저트,295
성수동,239
성수,202
좋다,201
맛있다,195
맛,188
초코,175
고구마,170
마카롱,168
맛집,158
같다,129
것,127
포장,126
수,118
뚝섬역,114
점,95
개,93
견과류,92
견과,84
구,81
필링,70
선물,70
더,68
성동구,66
기본,61
저,60
좋아하다,59
집,59
종류,58
때,55
없다,55
매장,53
상원,52
박스,49
서울특별시,49
주문,48
바로,47
부드럽다,47
가지,47
커피,46
곳,46
제,46
세트,46
안,45
호,44
달달,44
고소하다,43
하나,41
카페,40
가격,40
번,40
아니다,39
사장,39
거,39
바삭,38
바나나,38
음료,38
이다,37
정도,37
다음,36
예쁘다,36
생각,35
다양하다,34
보관,34
날,33
다른,33
가능하다,32
많다,31
정말,31
추천,30
위,30
위치,30
출구,30
재생,30
바닐라,30
달콤하다,29
용,29
시간,29
따뜻하다,29
진짜,28
이,27
방문,27
아메리카노,27
페스,27
가게,27
에그마카슈,26
가득,26
메뉴,26
츄리,26
귀엽다,26
또,25
입,25
매일,25
크림,25
도,25
부분,24
전,24
서울,24
모두,24
전문점,24
중,24
테이크아웃,24
냉동,24
판매,24
직접,23
가장,23
호두,23
그,23
그렇다,23
별로,22
친구,22
에어,22
겉,22
게,21
뚝섬,21
구매,21
냉장,21
제일,20
초콜릿,20
앞,20
다크,20
먹기,20
골목,20
요,20
경우,20
향,20
나,20
속,20
느낌,19
그냥,19
보기,19
아몬드,19
내,19
분,19
모습,19
카라멜,18
프라이어,18
배달,18
냄새,18
준비,18
공간,18
괜찮다,17
해,17
제대로,17
함,17
레몬,17
기분,17
아주,17
센스,17
식감,17
해바라기씨,17
역시,17
정석,17
총,17
깔끔하다,17
층,17
오늘,16
못,16
듯,16
테이블,16
먹음,15
처음,15
건,15
진열,15
포르투갈,15
후,15
손님,15
마카오,15
꼭,15
등,15
영업,15
갓,15
걸,14
라떼,14
좀,14
듬뿍,14
상온,14
당일,14
의,14
알,14
요즘,14
어떻다,14
유명하다,14
아파트,14
차,14
매우,14
조금,14
치즈,14
얼,14
주차,14
상자,14
길,13
미리,13
파이,13
촉촉하다,13
메뉴판,13
방법,13
살짝,13
참고,13
거리,13
타르,13
내부,13
사실,13
볼,12
선택,12
티,12
사람,12
한번,12
보고,12
저녁,12
친절하다,12
운,12
옆,12
사진,11
벨기에,11
멜라,11
왜,11
우유,11
근처,11
먼저,11
수제,11
구분,11
때문,11
다시,11
다르다,11
착하다,11
직,11
간판,11
전화,11
아이,11
비슷하다,11
구입,11
이렇다,11
동영상,11
계란,11
덥다,11
달,11
쇼케이스,11
달라,10
이름,10
간단하다,10
비주,10
굉장하다,10
하니,10
오픈,10
일단,10
아담하다,10
페이,10
취향,10
아쉽다,10
동생,10
노릇,10
배,10
종,10
완전,10
뭐,10
외,10
접기,10
진하다,10
전자레인지,10
바삭바삭하다,9
음식,9
자리,9
이번,9
신랑,9
따끈따끈하다,9
/,9
조합,9
은근,9
어른,9
일반,9
유자,9
저렴하다,9
겹,9
겉바,9
개인,9
엄마,9
스럽다,9
각각,9
모든,9
촉,9
빵,9
이쁘다,9
간식,9
마음,9
가득하다,8
건물,8
아래,8
주소,8
커스터드,8
마지막,8
꽉,8
편이,8
식사,8
페이스트리,8
스타일,8
부담,8
야외,8
홈,8
색,8
시작,8
행복,8
분위기,8
낱개,8
상태,8
리뷰,8
동네,8
전자렌지,8
후기,8
새롭다,8
여기,8
도착,8
녹차,8
가깝다,8
안쪽,8
산,8
시나몬,8
매력,8
동안,8
아기자기하다,8
만,8
처,8
온,8
원래,7
이용,7
홍콩,7
색감,7
기대,7
오후,7
뒤,7
마련,7
타이,7
모양,7
위해,7
어렵다,7
호선,7
구성,7
흑임자,7
저희,7
해도,7
부드러움,7
내일,7
날씨,7
정성,7
정통,7
요거트,7
제로,7
입맛,7
인절미,7
설명,7
나머지,7
밉다,7
비,7
적당하다,7
시원하다,7
눈,7
사용,6
딸기,6
궁금하다,6
순간,6
기도,6
고급스럽다,6
핫,6
서울숲,6
안녕하다,6
쪽,6
성수역,6
보이,6
은,6
품,6
겹겹이,6
답,6
이기,6
가면,6
종종,6
지점,6
소개,6
태국,6
패스츄리,6
한적하다,6
우리,6
행복하다,6
맛보기,6
예약,6
인기,6
밥,6
입안,6
편하다,6
상당하다,6
강하다,6
밑,6
아웃,6
작다,6
여러가지,6
픽,6
잠시,6
결,6
단맛,6
시,6
성수동디저트,6
오븐,6
물,6
얇다,6
조화,6
"호
성수동디저트",6
꼬끄,6
도보,6
가기,6
수도,6
추가,6
지도,6
단,5
여행,5
일,5
주택가,5
초콜렛,5
포스팅,5
편,5
뿐,5
아침,5
그대로,5
자체,5
촬영,5
대기,5
표시,5
품절,5
꼼꼼하다,5
무장,5
잔뜩,5
고민,5
아이스,5
찾기,5
명,5
반,5
고온,5
인상,5
굳이,5
기대하다,5
수가,5
사이,5
얼마나,5
따끈하다,5
하늘색,5
의자,5
무엇,5
최고,5
비리다,5
실,5
색다르다,5
보,5
대우,5
빵집,5
더욱,5
및,5
답례,5
원하다,5
검다,5
스티커,5
얼른,5
아빠,5
예전,5
간,5
전화번호,5
버터,5
류,5
최애픽,5
두,5
패키지,5
테이크,5
외관,5
를,5
꽤,5
데,5
기,5
노랑,5
보통,5
예상,5
외부,5
항상,5
요리,5
발걸음,5
녹진하다,5
자주,5
덕,5
면,5
줄,5
색깔,5
사,5
이드,5
갈색,4
파라솔,4
음,4
반죽,4
발견,4
엄청나다,4
랍니,4
법,4
게시,4
포맘,4
입구,4
상큼,4
네,4
푸딩,4
멀다,4
돌멩이,4
랄,4
