word,count
케이크,202
크림,137
라벨,113
있다,103
서울숲,93
무화과,76
딸기,68
본점,56
맛있다,45
맛집,43
성수동,42
같다,36
복숭아,35
층,32
것,32
예약,31
케익,29
라떼,26
길,24
좋다,24
맛,24
카페,22
성동구,22
곳,20
많다,20
수,18
없다,18
생크림,18
서울특별시,17
아메리카노,16
좋아하다,16
우유,16
매장,15
초,15
조각,15
메뉴,15
그렇다,14
느낌,14
더,14
주문,14
서울,14
팅,14
제,14
좀,13
생각,13
유명하다,13
동물성,13
호,13
홀,13
자리,13
웨이,13
사진,12
저,12
때,12
다양하다,12
음료,12
입구,11
거,11
위치,11
미니,11
점,11
정말,11
이용,10
얼그레이,10
인,10
좌석,10
시간,10
내부,10
크림라벨,10
과일,10
이드,10
테이블,10
사이즈,10
디저트,9
커피,9
조금,9
후기,9
아니다,9
예쁘다,9
진짜,9
안,9
이다,8
달달,8
귀엽다,8
사용,8
사람,8
웨이팅,7
픽업,7
개,7
스트로베리,7
초코,7
정도,7
또,7
부드럽다,7
생일,7
생,6
그,6
페인,6
날,6
방문,6
벨라,6
근처,6
내,6
때문,6
판매,6
느끼하다,6
건물,6
보,6
및,6
전,6
오후,6
이,6
디카,6
파티,6
듯,6
사실,6
영업,6
시트,6
메뉴판,6
아주,6
일,5
종류,5
작다,5
리뷰,5
가깝다,5
말,5
번,5
반,5
네이버,5
최근,5
하나,5
통,5
추가,5
다른,5
리얼,5
아래,5
개인,5
변경,5
영암,5
집,5
구경,5
패스,5
요즘,5
볼,4
망고,4
가족,4
위,4
포스팅,4
에이,4
거리,4
여기,4
성수,4
이렇다,4
얼,4
테라스,4
신사,4
가격,4
거의,4
주차장,4
가게,4
주말,4
밖,4
출구,4
청포도,4
입장,4
밑,4
참고,4
비싸다,4
구매,4
날씨,4
월,4
괜찮다,4
티,4
전문점,4
보틀,4
입,4
등,4
역시,4
준비,4
/,4
답,4
화,4
역,4
특별하다,4
불가,4
나,4
어떻다,4
제철,4
산도,4
처,4
먹음,3
핑크색,3
계절,3
포장,3
먹기,3
규모,3
치,3
추천,3
궁금하다,3
선택,3
바로,3
블로그,3
박스,3
우선,3
차,3
콩데,3
무난,3
팀,3
기대,3
연남,3
직,3
좁다,3
힐러,3
입맛,3
중순,3
고민,3
협소,3
등록,3
취향,3
당,3
워낙,3
다행,3
크게,3
드류,3
시원하다,3
적당하다,3
만,3
분,3
눈,3
가장,3
상큼,3
기도,3
재생,3
답답하다,3
오전,3
무척,3
친구,3
유리,3
그냥,3
오늘,3
자체,3
편이,3
빵,3
구리,3
히비스커스,3
당일,3
시럽,3
핫플,3
월요일,3
보관,3
확실하다,3
공간,3
가능하다,3
기대하다,3
앞,3
어렵다,3
촉촉하다,3
깔끔하다,3
시즌,3
패션후르츠,3
주차,3
외부,3
후,3
뚝섬,3
대부분,3
손님,3
단,2
다음,2
레터,2
라파엘,2
음식,2
고려,2
게,2
단면,2
주소,2
계단,2
최고,2
무엇,2
행복하다,2
예정,2
세,2
결제,2
이러하다,2
골목,2
뚝섬역,2
분당선,2
이외,2
기계,2
경우,2
별로,2
용,2
캐치,2
부분,2
신사동,2
싱싱하다,2
곳곳,2
도,2
꼭,2
나쁘다,2
제외,2
주방,2
협소하,2
구,2
뚜레쥬르,2
한스,2
첫,2
미리,2
감,2
결정,2
유명,2
가득,2
상단,2
솔직,2
가독성,2
수원,2
이상,2
그때,2
살,2
복,2
건,2
선착순,2
회사,2
안쪽,2
쎄다,2
전혀,2
웬만하다,2
뭐,2
홀케이크,2
를,2
꽤,2
평일,2
물복,2
함,2
명,2
김,2
센터,2
위해,2
밉다,2
조화,2
링,2
아이싱,2
덥다,2
필수,2
합격,2
왕십리,2
취소,2
오히려,2
만석,2
항상,2
보냉,2
자주,2
수도,2
머스켓,2
유리창,2
방문자,2
내년,2
진하다,2
약간,2
고소하다,2
개정,2
돈,2
모습,2
산미,2
래서,2
더욱,2
크리스마스,2
저희,2
바닐라,2
샌드위치,2
얘,2
계시다,2
연락처,2
아쉽다,2
자리다,2
비주,2
샤인,2
식물성,2
스럽다,2
기본,2
곰돌이,2
바깥,2
제한,2
청,2
딸기케이크,2
태블릿,2
예전,2
간판,2
중,2
변하다,2
비슷하다,2
폭,2
두,2
시,2
가시,2
운영,2
카페라떼,2
대기,2
안되다,2
넓다,2
조합,2
쭉,2
은근,2
의,2
총,2
실내,2
제일제당,2
해,2
남편,2
별거,2
뭔가,2
아이스,2
양,2
지난번,2
기념일,2
값,2
기,2
동영상,2
먼저,2
보고,2
순서,2
사이,2
보통,2
공지,2
안내,2
따뜻하다,2
호선,2
냉동,2
오래되다,2
다소,2
데이트,2
무조건,2
인스타,2
가성,2
다시,2
옆,2
수인,2
우리,2
거기,2
파워,1
귀요미,1
대고,1
성수동],1
대망,1
발,1
그래듀,1
쉬폰케익,1
목,1
순이,1
다르다,1
묵직하다,1
석도,1
몇번,1
넘김,1
"예약
성수동/서울숲",1
짜쟌,1
당황,1
아마,1
팔로워,1
제나,1
겉,1
연결,1
입안,1
플리,1
요,1
덩,1
말차,1
다가,1
아쉬움,1
지난주,1
높다,1
밀크,1
초록샷,1
데코,1
월급,1
제공,1
나들이,1
가득하다,1
촉촉,1
탄산,1
원래,1
특유,1
주목,1
머,1
일치,1
죄송하다,1
토요일,1
앞서,1
달라,1
분위기,1
편하다,1
충전,1
자동,1
스캣,1
투명하다,1
아예,1
한눈,1
살짝,1
강하다,1
상당하다,1
블린,1
프린트,1
쿨쿨,1
성인,1
빛,1
누,1
메인,1
뿌듯하다,1
인기,1
와인,1
루,1
파리크라상,1
기간,1
자꾸,1
라벨로,1
문구,1
도리,1
런가,1
범위,1
관련,1
오른쪽,1
엄마,1
아파트,1
"딸기케이크맛집,",1
무화과케이크	토요일,1
팔로잉,1
발견,1
안달,1
제일,1
원,1
절감,1
행복,1
상관없다,1
로만,1
유지방,1
이상하다,1
은은하다,1
인생,1
적지,1
뚜벅,1
카페],1
동선,1
불편하다,1
빙,1
칭구,1
포기,1
공휴일,1
원하다,1
즁,1
접수,1
럼,1
마찬가지,1
완죤,1
자전거,1
딱딱하다,1
요일,1
감귤,1
기엽구,1
서울숲본점	크림,1
생생,1
신선하다,1
칼,1
칭구들,1
아유,1
감안,1
생일케이크,1
선명하다,1
컷,1
연락,1
명절,1
슈슝,1
사이사이,1
크리미,1
신지,1
지금,1
저번,1
아웃,1
윈터,1
다만,1
추천👍	동네,1
셋,1
신맛,1
게시,1
처음,1
알뜰살뜰,1
블로거,1
등등,1
빈자리,1
간단하다,1
호도,1
자구,1
마포구,1
발린,1
얼른,1
초도,1
손색,1
"볼
성수동",1
사레,1
실패,1
강남구,1
인지,1
풍부하다,1
그다지,1
"예약
[서울숲",1
꽃집,1
나용,1
식감,1
퐁신퐁신,1
짱,1
장땡,1
그니,1
동대문역,1
탈때,1
달전,1
굿굿,1
편,1
팝업,1
뚝딱,1
줄평,1
꽉,1
퀄리티,1
정성,1
무르는거,1
기준,1
"예약
성수동",1
크림라벨-,1
의향,1
편지,1
바람,1
춥다,1
안녕하다,1
하기루,1
오레오,1
굉장하다,1
하니,1
선선해지다,1
최애,1
진동,1
엄첨,1
"예약",1
간,1
시내,1
새롭다,1
전화,1
무려,1
성동,1
커다랗다,1
전화번호,1
바구니,1
허브,1
잼,1
로,1
이번,1
헤헤,1
매번,1
산책,1
색상,1
"예약
서울",1
맛집	서울,1
"주문
성수동카페",1
다행하다,1
류,1
통창,1
냉장고,1
임,1
못,1
트레이,1
할미,1
케이크	성수동,1
차이,1
테이크,1
별도,1
발라,1
공원,1
비밀,1
낙,1
후기	크림,1
화공,1
봉,1
부동산,1
산,1
왼쪽,1
냅킨,1
미가,1
데,1
케이,1
잘못,1
머리띠,1
남자친구,1
약시,1
특정,1
*딸기케익추천	크림,1
햇,1
특이하다,1
만족하다,1
사인,1
무화과케이크,1
쿠쿠,1
일반,1
중구,1
최대,1
한번,1
처참하다,1
알,1
요즈음,1
굿,1
"예약
[성수동카페]",1
협소했,1
검색,1
리스트,1
간곳,1
저기,1
돋보기,1
테이크아웃,1
사고,1
비,1
추카,1
두껍다,1
접기,1
어울림,1
단단하다,1
먹킷,1
딸케맛집,1
자세하다,1
꼬,1
스푼,1
옥,1
낙하,1
맛집	잇님들,1
특징,1
<크림라벨>,1
달,1
포스터,1
누군가,1
드림,1
시간대,1
동호,1
철,1
약속,1
벨,1
주력,1
단체,1
라이브,1
뭘,1
나이,1
덕후,1
피크닉,1
쇼케이스,1
"본점
성수동",1
이야기,1
고급,1
땐,1
시작,1
디,1
니,1
갑자기,1
분홍,1
상자,1
별,1
마켓,1
타르트,1
벽돌,1
에스프레소,1
식기구,1
함량,1
뻔하다,1
진,1
신한,1
회로,1
님,1
선물,1
조성,1
사서,1
온,1
공영,1
"물렁하다
서울숲",1
골져스,1
용품,1
빵수니,1
보임,1
여러,1
가요,1
동네,1
감자탕,1
케이크맛집,1
여름,1
주의,1
접근성,1
긍정,1
불안하다,1
금방,1
실온,1
신나다,1
접시,1
사랑스럽다,1
충분하다,1
기메,1
토끼,1
급,1
화장실,1
매우,1
결론,1
부족하다,1
산임,1
젠,1
드뎌,1
전시,1
실시간,1
심지어,1
모든,1
연휴,1
최종,1
넘치다,1
평가,1
부드어웠습니,1
불만족,1
습,1
마무리,1
아깝다,1
아티,1
생신,1
저격,1
딱이다,1
사면,1
애,1
뜰리,1
강력하다,1
과,1
인테리어,1
엽떡,1
영어,1
잘맞다,1
절반,1
이서,1
샌드,1
얼매,1
쪽,1
듬뿍,1
|,1
도착,1
분석,1
-,1
보이시,1
소나기,1
는걸,1
다,1
완전,1
슈가,1
옆면,1
편입,1
리,1
소품,1
친정,1
매일,1
뻔,1
희다,1
내면,1
악평,1
불,1
고고,1
발생,1
일주,1
와르르,1
카페모카,1
유럽,1
표시,1
맘,1
케익맛집,1
구경해,1
이기,1
이불,1
외관,1
상콤,1
본점	서울,1
칭찬,1
일로,1
디자인,1
렵,1
샘,1
싹싹,1
현장,1
맛없다,1
빼곡,1
진열,1
실망,1
대한,1
원가,1
"보고
성수동",1
에어컨,1
샴페인,1
해주시,1
주인,1
손,1
가면,1
전주,1
스타일,1
제청,1
크로와상,1
잔뜩,1
"0	1
title	[]
[서울",1
물,1
나가야,1
대충,1
강남대로,1
식상하다,1
닥,1
알림,1
심심,1
"약
성수동",1
오리,1
발송,1
비도,1
과육,1
착석,1
분도,1
사과,1
축하,1
나머지,1
사항,1
얇다,1
오지,1
케익	안녕하다,1
마음대로,1
동안,1
판,1
건강하다,1
진행,1
쿠,1
분명,1
유자,1
청량하다,1
덜,1
레몬,1
평소,1
전날,1
권장,1
욥,1
고맙다,1
"케이크,",1
비쥬,1
몰캉하다,1
타워,1
확인,1
명분,1
