word,count
커피,603
복식,419
있다,401
카페,300
성수동,247
디저트,164
맛있다,161
좋다,156
사진,132
맛,132
사장,111
쿠키,111
마들렌,97
같다,92
것,91
크림,91
메뉴,87
수,86
조용하다,84
성동구,81
길,80
스콘,80
레몬,80
주문,79
더,77
시간,76
덕정,70
없다,70
서울숲,66
곳,65
좋아하다,57
많다,56
서울특별시,54
층,53
분위기,53
하나,52
느낌,51
때,50
말차,49
저,49
케이크,48
라떼,48
정말,47
이다,46
거,45
제,45
진짜,44
디카,44
페인,44
처,43
귀엽다,43
맛집,42
부드럽다,41
추천,40
나,40
향,39
방문,39
위치,39
안,38
예쁘다,38
초코쿠키,38
정도,37
티,37
아니다,37
이,37
책,36
시나몬,36
빅토리아,36
쑥,35
달달,35
그렇다,34
공간,34
휴무,34
여기,33
내부,32
아메리카노,32
친절하다,32
일요일,32
드립,31
이렇다,31
개,31
음료,31
그,30
핸드,30
성수,30
서울,29
감성,29
내,28
절미,27
생각,27
요즘,27
아주,27
영업,27
분,27
번,26
가게,26
테이블,26
매장,25
가능하다,25
가격,25
거리,25
굉장하다,25
자리,25
사람,25
데이트,25
근처,24
메뉴판,24
초코,24
중,24
날,24
바로,23
위,23
전시,23
전,23
움,23
역,23
깔끔하다,23
작가,23
수제,23
손님,23
좀,22
또,22
인테리어,22
걸,22
버터,22
듯,22
직접,21
동네,21
보고,21
마음,21
이름,20
입,20
달,20
재생,20
사진전,20
월,20
다른,20
모습,20
벽면,19
집,19
아기자기하다,19
살짝,19
토,19
말,18
볼,18
골목,18
개인,18
오늘,18
그냥,18
동영상,18
앞,18
저희,17
꼭,17
포스터,17
복식커피,17
종류,17
및,17
구경,17
고소하다,17
계시다,16
도,16
친구,16
간판,16
역시,16
후,16
기분,16
산미,16
다음,16
바닐라,16
명,16
혼자,15
게,15
궁금하다,15
가득,15
단골,15
감각,15
따뜻하다,15
판매,15
보기,15
꽃,15
조금,15
류,15
해,15
피토,15
그림,15
눈,15
벽,14
작다,14
아이폰,14
등,14
알,14
포장,14
딸기,14
가장,14
바삭,14
원래,13
정기,13
드립커피,13
맘,13
먼저,13
자주,13
어떻다,13
출구,13
견과류,13
주소,13
뭐,13
민택기,13
적당하다,13
가득하다,12
차분하다,12
처음,12
리뷰,12
팝업,12
정성,12
카페인,12
접기,12
과자,12
유명하다,12
밀크,12
여유,12
작품,12
계속,12
겉,12
아늑하다,12
다양하다,12
취향,12
아침,12
뒤,12
뭔가,12
소개,12
동반,12
에스프레소,12
일,11
달콤하다,11
지금,11
대화,11
가깝다,11
꽤,11
하프,11
일단,11
우리,11
엄마,11
아쉽다,11
상큼,11
동생,11
괜찮다,11
쪽,11
매일,11
카페라떼,11
왜,11
초등학교,11
아이스,11
몇,11
도보,11
모카,11
인스타,11
에티오피아,11
사용,10
발견,10
진심,10
를,10
평일,10
카운터,10
줄,10
보,10
요,10
변경,10
화장실,10
뚜,10
잔,10
감,10
못,10
아비,10
사이,10
감상,10
촉촉하다,10
사실,10
때문,10
아지트,10
편안하다,9
페이,9
용,9
등등,9
곳곳,9
편,9
뜻,9
이전,9
잼,9
산책,9
이번,9
완전,9
준비,9
과자류,9
조합,9
인절미,9
반,9
가기,9
진하다,9
아담하다,9
예약,9
편하다,9
베이스,9
당일,9
외관,9
무화과,9
오픈,9
함,9
거의,9
액자,9
다시,9
행복하다,8
재미,8
톤,8
너,8
포스팅,8
매우,8
반려동물,8
까페,8
엽서,8
자체,8
소품,8
입맛,8
의,8
물,8
네이버,8
테이크아웃,8
점,8
의자,8
다르다,8
김밥,8
먹기,8
더욱,8
소소하다,8
성,8
딱이다,8
가면,8
가능,8
이제,8
덕,8
속,8
특유,7
팔로워,7
스윗,7
그린,7
팔로잉,7
제일,7
별로,7
부분,7
