word,count
있다,689
카페,631
오프,564
컴,558
성수동,377
서울숲,361
좋다,343
커피,312
맛있다,247
라떼,231
것,207
맛,204
같다,200
곳,198
길,195
없다,192
많다,182
성동구,181
사진,163
파이,162
사람,161
수,160
층,156
서울특별시,150
주문,148
더,118
느낌,117
메뉴,115
자리,110
분위기,109
날,109
테이블,108
크림,108
아니다,104
아메리카노,102
저,99
성수,98
펌킨,92
디저트,91
시간,89
때,88
내,87
진짜,83
여기,83
방문,83
예쁘다,81
인테리어,80
바로,79
거,79
로스,77
하나,76
이,75
나,75
흑임자,75
스카치,74
그렇다,74
생각,74
핫,71
좀,71
맛집,70
내부,66
안,65
거리,65
공간,65
서울,65
우리,65
터스,64
구경,64
좋아하다,64
메뉴판,64
그냥,61
개,60
음료,60
호박,60
밤,60
또,60
위치,60
요즘,59
추천,58
정말,57
친구,56
아이스,56
넓다,54
매장,54
팝업,53
집,53
원두,52
그,52
명,52
이다,51
밥,50
의자,50
아주,50
달달,49
제,49
뚝섬역,48
귀엽다,47
주말,47
다음,46
컴오프,46
날씨,45
힙,45
번,45
중,44
오늘,44
근처,44
전,42
골목,42
및,41
역시,41
스,41
듯,41
괜찮다,40
요,40
오픈,39
점,39
헤지,39
이렇다,39
옆,39
바닐라,38
향,38
영업,38
만,38
다른,38
고소하다,38
동영상,38
조명,37
꼭,37
정도,36
뭐,36
물,36
보고,36
선택,36
아쉽다,36
위,36
왜,36
비,36
스토어,36
처음,35
스콘,35
쪽,35
뭔가,35
분,35
앞,34
빈,34
저녁,34
산미,34
해,33
비엔나,33
펌킨파이,33
창가,33
포스팅,32
깔끔하다,32
팅,32
편하다,32
매일,32
감성,32
간판,31
평일,31
한번,31
데이트,31
송리단길,30
이쁘다,30
눈,30
예약,30
먹기,29
다양하다,29
웨이,29
기분,29
후,29
전체,28
편,28
좌석,28
입구,27
보기,27
부드럽다,27
함,27
사실,27
게,26
티,26
간,26
와인,26
이름,26
조금,26
말,26
먼저,26
처,26
마음,26
볼,25
배,25
원래,25
리뷰,25
등,25
님,25
걸,24
난포,24
모던,24
일단,24
가구,24
주차,24
가게,24
재생,24
유명하다,24
차,23
직접,23
잔,23
감,23
건,23
데,23
모습,23
발견,23
카운터,23
적당하다,23
약간,23
출구,23
보,22
게시,22
논,22
빵,22
어디,22
가깝다,22
난,22
꽤,22
점심,22
양,22
버거,22
가격,22
인스타,22
살짝,22
덥다,22
진하다,22
입,21
못,21
알,21
다시,21
새롭다,21
치즈,21
통창,21
시,21
왕십리,21
나들이,20
도,20
유리,20
완전,20
소개,20
따뜻하다,20
때문,20
어떻다,20
여유,20
포장,20
팔로워,20
팔로잉,20
궁금하다,20
대기,20
바,20
가기,20
통,20
한잔,20
온,20
인,19
가지,19
외관,19
레이스,19
손님,19
라스트,19
자체,19
도착,19
접기,19
저희,18
편이,18
조합,18
스타일,18
고민,18
파스타,18
먹음,18
뷰,18
계속,18
도넛,18
산책,18
달,18
줄,18
문,17
제일,17
소리,17
둘,17
우유,17
옷,17
검색,17
가능,17
시작,17
이드,17
혼자,17
쿨러,17
종류,17
텐동,17
간단하다,17
작다,17
엘더,17
이번,17
안쪽,17
개방,17
로스팅,17
모두,17
뚝섬,17
참여,17
오브,16
지금,16
초코,16
마지막,16
가능하다,16
밖,16
일,16
막,16
봄,16
화장실,16
/,16
하루,16
아아,16
블로그,15
새우,15
비슷하다,15
소품,15
특별하다,15
밉다,15
행복하다,15
쵸리,15
오빠,15
불편하다,15
후기,15
웨이팅,15
젤라또,15
상경,15
식당,15
역,15
네이버,15
라면,15
창,15
강하다,14
벽,14
창문,14
단호박,14
두,14
중간,14
손,14
하프,14
이제,14
배부르다,14
기억,14
언제,14
시원하다,14
