word,count
케이크,143
있다,97
디데이,76
사진,40
예쁘다,39
날,37
좋다,37
수,34
꽃,33
생화,33
것,30
이,29
주문,29
같다,27
층,27
맛,27
성수동,26
없다,25
정말,24
예약,23
길,23
우리,23
일,23
전,22
아주,21
딸기,20
진짜,19
기분,19
집,18
때,18
생크림,17
거,17
저,17
곳,17
준비,17
촬영,16
성수,15
사람,15
많다,15
제작,14
오빠,14
그이,14
친구,14
개,14
커피,13
맛집,13
더,13
선물,13
아니다,12
명,12
내,12
후,12
만,12
여름,12
제,12
먹기,11
글,11
운동,11
생일,11
맛있다,11
건물,11
사용,11
차,11
매물,11
로,11
위치,11
나,11
마음,11
포장,10
증말,10
점심,10
동영상,10
및,10
여기,10
디자인,10
구경,10
하나,10
그렇다,9
리뷰,9
성동구,9
소중하다,9
번,9
대표,9
엄마,9
고급스럽다,9
서울특별시,9
뚝섬,9
지역,8
인스타그램,8
안,8
정도,8
호,8
규어,8
픽업,8
벚꽃,8
간식,8
눈,8
피,8
기차,8
그,8
해,8
출근,8
주택,8
다음,7
이다,7
다양하다,7
꼭,7
좋아하다,7
또,7
이번,7
못,7
시즌,7
정보,7
사장,7
일요일,7
귀엽다,7
은진,7
쥐,7
위,7
말,7
특별하다,7
가능하다,7
배부르다,7
가기,7
완료,7
퇴근,7
세상,6
추천,6
차로,6
모델링,6
짐,6
힘들다,6
성수역,6
얼마,6
건,6
조합,6
미치다,6
둘,6
듯,6
크림,6
주차,6
채림,6
요,6
주변,6
구매,6
중,6
버터,6
역시,6
리,6
가지,6
총,6
물,6
기념일,6
위해,6
네이버,6
시장,6
수제,6
이제,6
준공,6
소고기,5
바로,5
음식,5
새벽,5
팔로워,5
발견,5
팔로잉,5
일본,5
게시,5
포토,5
처음,5
동물성,5
조금,5
거리,5
기준,5
첫,5
표현,5
미숙,5
아침,5
마무리,5
도착,5
메론,5
은,5
술,5
시간,5
설탕,5
시럽,5
존맛,5
용도,5
의뢰,5
즐겁다,5
확인,5
도보,5
점,5
행복하다,5
가능,5
행복,5
크리스마스,5
때문,5
집들이,5
비주,5
무조건,5
업,5
핫,5
구,5
휴가,5
저녁,5
불,5
옷,5
스타일,5
고민,5
공간,5
자세하다,5
파인애플,5
면적,5
인스타,5
다시,5
보기,5
모습,5
님,5
온,5
색다르다,4
와인,4
편하다,4
용,4
부분,4
지금,4
츠,4
날씨,4
장소,4
귀가,4
바람,4
설레다,4
굉장하다,4
자리,4
입,4
후식,4
당일,4
왜,4
맘,4
방문,4
생각,4
이렇다,4
먼저,4
서울,4
앞,4
보고,4
휴무,4
여행,4
달,4
후르,4
케잌,4
느낌,4
적당하다,4
한잔,4
고급,4
주말,4
토요일,4
약간,4
존,4
본연,4
수다,4
초도,4
시절,4
전문점,4
아이,4
열정,4
빵,4
등,4
쿠키,4
꼬치,4
무장,4
오픈,4
근처,4
양,4
방부제,4
메뉴,4
샘플,4
필수,4
맥주,4
문의,4
약속,4
어떻다,4
옆,4
돈,4
준,4
과일,4
다가,3
볼,3
우관,3
비르,3
생활,3
회식,3
겨울,3
잔꽃,3
카페,3
언니,3
컷,3
쫌,3
장식,3
인,3
결혼,3
지하철,3
급,3
무척,3
헤리티지,3
록스,3
최애,3
그냥,3
일상,3
산책,3
이상,3
어디,3
공원,3
민경,3
화,3
쁘띠,3
얼,3
신상,3
토,3
방구,3
서랍,3
동안,3
잠깐,3
파스텔,3
몇,3
사실,3
숙소,3
고기,3
",",3
예상,3
특징,3
라면,3
단,3
걸,3
혼자,3
요리,3
촬영장,3
나들이,3
한창,3
포함,3
브런치,3
셀렉,3
테리,3
빨갛다,3
이쁘다,3
겉,3
보,3
교회,3
급하다,3
사용승인,3
시작,3
니,3
속,3
분,3
작업,3
신발,3
제일,3
더욱,3
사이즈,3
변경,3
슝슝,3
취향,3
두부김치,3
빠르다,3
입구,3
도,3
피자,3
상큼,3
가장,3
야무지다,3
런던,3
예배,3
모든,3
한식,3
새롭다,3
애,3
일찍,3
오라버니,3
꽃다발,3
월요일,3
우유,3
하얗다,3
보관,3
모양,3
지하,3
