word,count
카페,665
있다,565
뵈르,475
에코,457
버터,421
성수동,314
좋다,283
성수,271
커피,236
브런치,233
뵈르에코,215
층,199
같다,153
맛있다,151
곳,147
거리,144
맛집,142
메뉴,142
디저트,125
팬케이크,125
성동구,121
길,119
수,119
것,116
토스트,113
지하,111
사진,109
프렌치토스트,107
맥주,104
주문,104
귀엽다,97
맛,94
다미,93
분위기,86
이다,83
시간,82
성수역,81
느낌,79
없다,79
서울특별시,75
더,74
동반,74
판매,72
방문,71
좋아하다,70
많다,70
저,68
추천,65
감성,64
다양하다,62
라떼,62
사장,62
테이블,59
유럽,59
제,59
달달,58
예쁘다,57
내부,57
날,55
때,55
르,54
진짜,54
바나나,54
위치,53
강아지,52
서울,52
친구,51
시럽,51
음료,50
아니다,49
뚝섬,49
여기,47
사람,47
이,47
또,46
직접,45
프렌치,45
인테리어,45
가게,45
안,42
완전,42
분,41
쿠키,40
다음,40
블랙,40
부드럽다,40
푸딩,39
가능하다,39
크림,39
롱,39
명,39
및,38
빵,37
바로,37
그렇다,37
공간,37
아기자기하다,37
애견,36
매장,36
위,36
외관,35
반려동물,35
번,35
생각,35
오늘,34
토,34
나,34
하나,34
눈,34
먹기,34
종류,33
정말,33
고소하다,33
꼭,33
물,33
개,33
메뉴판,33
아메리카노,32
동영상,32
자리,32
내,32
리트리버,32
샌드위치,31
그림,31
일,31
월,30
영업,30
금,29
떡볶이,29
음식,29
중,29
앞,29
거,28
수제,28
주말,28
뜻,28
포토,27
화이트,27
소품,27
좀,27
와인,26
바닐라,26
전,26
덥다,26
재생,26
그,26
듯,26
이드,26
집,25
준비,25
이쁘다,25
만,25
요,25
존,25
카라멜,25
햇살,25
저희,24
야외,24
쪽,24
입,24
한번,24
댕댕,23
가능,23
처,23
얼그레이,23
조금,23
향,23
바닥,23
보고,23
깔끔하다,23
따뜻하다,23
데이트,23
손님,23
등,22
테라스,22
유명하다,22
메이플,22
후기,22
아이스크림,22
볼,21
벽,21
이름,21
가득,21
조합,21
보기,21
프토,21
새롭다,21
이용,20
편,20
생산,20
한잔,20
출구,20
반려견,20
촉촉하다,20
약간,20
인,19
슬러쉬,19
고민,19
아이스,19
접기,19
조용하다,19
혼자,19
아쉽다,19
티,19
해,19
평일,19
후,19
스토어,19
아주,19
목,18
기반,18
처음,18
배,18
이렇다,18
바,18
다른,18
가득하다,18
골목,18
달콤하다,18
궁금하다,18
날씨,18
운영,18
넓다,18
스타일,18
오픈,18
요즘,18
팔로워,17
팔로잉,17
게시,17
저녁,17
잠봉뵈르,17
적당하다,17
빈,17
포크,17
근처,17
네이버,17
의자,17
님,17
타일,16
참고,16
간단하다,16
역시,16
구경,16
걸,16
핫,16
베이컨,16
이번,16
캔,16
먼저,16
모습,16
여유,15
포장,15
취향,15
정도,15
가지,15
바삭,15
마스코트,15
소개,15
살짝,15
스마트,15
말,15
플랫,15
외부,15
베이커리,14
메이플시럽,14
비주,14
수프,14
코스,14
시원하다,14
진하다,14
도,14
오전,14
자몽,14
잔,14
널,14
포멜로,14
오후,14
꽤,14
때문,14
브랜드,14
편안하다,13
재미,13
계시다,13
상큼,13
점심,13
함,13
셀프,13
계란,13
비,13
산미,13
원래,13
곳곳,13
안녕하다,13
편이,13
자체,13
카페거리,13
얼,13
매력,13
리지,13
알,13
즐겁다,13
맞은편,13
점,13
마음,13
발견,12
골든,12
주소,12
미장,12
힐링,12
그냥,12
좌석,12
"층
성수동",12
식빵,12
옆,12
건물,12
보,12
겉,12
쇼핑,12
달,12
빨갛다,12
우리,12
샐러드,12
행복,11
기본,11
플레이,11
바깥,11
폭,11
설탕,11
상주,11
색,11
속,11
먹음,11
순하다,11
듬뿍,11
가면,11
냄새,11
나이프,10
사랑,10
벽면,10
제일,10
은은하다,10
가장,10
마지막,10
색감,10
확,10
접시,10
기대,10
개발,10
아이,10
햇빛,10
뭐,10
관,10
진열,10
제대로,10
뭔가,10
밉다,10
주차장,10
이유,10
지인,10
작업,10
신기하다,10
자리다,10
리뷰,10
굉장하다,10
잼,10
완벽하다,10
왜,10
를,10
사실,10
겸,10
항상,10
모두,10
땐,10
온,10
다르다,9
반숙,9
게,9
스프,9
장,9
샷,9
저격,9
딱이다,9
관심,9
빠다,9
포인트,9
막걸리,9
기억,9
자주,9
한적하다,9
행복하다,9
조명,9
나들이,9
선택,9
블로그,9
트,9
세상,9
성수카페,9
구매,9
술,9
보이,9
순둥순둥,9
움,9
마련,9
특별하다,9
가격,9
팬케익,9
더하다,9
어떻다,9
다시,9
조각,9
기분,9
무엇,8
느끼하다,8
달라,8
갈릭,8
프랑스,8
기도,8
식감,8
금방,8
매우,8
팝업,8
유리,8
건너편,8
낮,8
야하다,8
옐로우,8
전문,8
주차,8
팅,8
가볍다,8
덕,8
줄,8
예정,8
밥,8
전체,8
토요일,8
보시,8
밑,8
마르다,8
차,8
괜찮다,8
직,8
뿐,8
간,8
못,8
식사,8
의,8
중간,8
실내,8
장난,8
확실하다,8
나중,8
만큼,8
요리,8
들깨,8
시작,8
팔고,8
왕,7
계속,7
성수동카페거리카페,7
인생,7
더욱,7
빙수,7
핫케이크,7
심지어,7
모든,7
예전,7
넘치다,7
라라,7
전화번호,7
카페인,7
답,7
핫플,7
골댕,7
동안,7
운,7
진,7
무늬,7
메인,7
부분,7
착하다,7
공영,7
세트,7
작다,7
아포,7
하니,7
어디,7
뒤,7
카토,7
건대,7
감각,7
호주,7
의미,7
평소,7
레몬,7
사이,7
확인,7
도보,7
몽키,7
일단,7
인스타,7
수다,7
선물,7
최고,6
담백하다,6
갈증,6
멍뭉이,6
자꾸,6
통해,6
::,6
컬러,6
가야,6
등등,6
입구,6
멀다,6
트리,6
펜네,6
도착,6
인석,6
작년,6
류,6
통창,6
리,6
방명록,6
우유,6
하얗다,6
혹시,6
미가,6
반하다,6
칵테일,6
특이하다,6
찍기,6
하늘,6
노랑,6
소맥,6
소스,6
이제,6
구성,6
견,6
약속,6
추가,6
대박,6
통,6
뵈르에코	뵈르,6
고급,6
아아,6
밖,6
칠리,6
단,6
지아,6
원두,6
가능성,6
요기,6
용,6
진심,6
튀김,6
오,6
산책,6
한참,6
그때,6
매일,6
현장,6
냅킨,6
멀리,6
주인,6
설명,6
위해,6
굿,6
에펠탑,6
오시,6
노트북,6
정보,6
잡고,6
다이어트,6
창,6
술집,6
안주,6
무염,5
영상,5
고프다,5
데리,5
체크,5
도리,5
아늑하다,5
서도,5
엄마,5
상태,5
비싸다,5
콜라보,5
스티커,5
어니스트,5
애견동반,5
창문,5
가염,5
포스팅,5
점심시간,5
핑크,5
아깝다,5
커다랗다,5
펜,5
시,5
두,5
중이,5
처럼,5
친절하다,5
빨간색,5
상상,5
빈티,5
레드,5
김,5
만족하다,5
조화,5
검색,5
변동,5
템플,5
한쪽,5
이탈리안,5
배부르다,5
꾸준하다,5
수도,5
쇼케이스,5
두툼,5
번호,5
베리,5
피넛,5
아마,5
전부,5
꽃,5
사업,5
강하다,5
톤,5
블랭크,5
왕창,5
컷,5
지금,5
초코,5
센스,5
얼른,5
무슨,5
야무지다,5
라서,5
화장실,5
꼬소,5
콜드,5
브라운,5
유료,5
덕분,5
채광,5
자유롭다,5
건,5
웨이,5
안되다,5
전혀,5
끝,5
역,5
토마토,5
기둥,5
손,5
외,5
창가,5
트러플,5
가끔,5
재,5
힙,5
코팅,5
분식,5
기대하다,5
괄호,5
낭낭,5
카운터,5
투어,5
바쁘다,5
갈레,5
오히려,5
필요하다,5
부모님,5
위쪽,5
돈,5
준,5
지도,5
가루,4
유럽감성,4
묵직하다,4
굿나잇,4
인기,4
흰색,4
대요,4
외국,4
빙,4
크리스마스,4
토마토주스,4
원하다,4
전반,4
풍경,4
추억,4
특색,4
여러,4
유쾌하다,4
재밌다,4
동네,4
성,4
실제,4
쉐프,4
적,4
소리,4
자마자,4
마무리,4
든든하다,4
크기,4
친절,4
다행하다,4
심심하다,4
슈가,4
조만간,4
가시,4
애교,4
가깝다,4
맘,4
계정,4
등장,4
좋은,4
귀염,4
배치,4
강렬하다,4
강쥐,4
개성,4
종이,4
잠깐,4
쏠쏠하다,4
눈길,4
컵,4
필수,4
만날,4
상호,4
가기,4
문의,4
일요일,4
"카페,",4
총총,4
신한,4
달리,4
브륄레,4
사르르,4
거기,4
레오,4
멋지다,4
제공,4
전개,4
소문,4
장점,4
사용,4
우드,4
문,4
오른쪽,4
프라이머,4
입안,4
로고,4
아래,4
뜨겁다,4
충전,4
겨울,4
개인,4
타임,4
별로,4
인스타그램,4
랍니,4
전골,4
물이,4
레트로,4
게다가,4
음악,4
픽,4
스럽다,4
노릇,4
아침,4
감,4
인사,4
따스하다,4
과,4
찰떡,4
얼마,4
살,4
/,4
희다,4
베르,4
이의,4
스팟,4
정석,4
징,4
안쪽,4
목적,4
화,4
은근,4
거나,4
방향,4
산,4
라이,4
하루,4
버거,4
곧,4
양,4
스토리,4
담,4
그게,4
사항,4
랍,4
대표,4
덜,4
브루,4
몇,4
마주,4
모닝,4
어렵다,4
보통,4
휴무,4
푹,4
시간대,4
메모,4
무조건,4
가을,4
"층
성수동카페거리카페",4
색연필,4
대중교통,4
마시기,4
에스프레소,4
싹,4
소프트아이스크림,4
순딩,4
마치,3
서비스,3
선,3
료,3
책,3
오브,3
소프트,3
표면,3
빛,3
멜론,3
런칭할,3
향기,3
중독,3
