word,count
러프,5579
있다,2764
카페,2661
성수동,1389
좋다,1344
디저트,904
케이크,859
같다,793
성수,716
맛있다,673
분위기,639
층,623
맛,609
것,605
사진,590
커피,580
수,548
곳,503
주문,499
힙,491
길,464
루프,433
많다,426
음료,424
탑,423
성동구,413
메뉴,413
무장,412
치즈케이크,410
느낌,400
예쁘다,385
자리,384
없다,377
라떼,377
방문,371
럼블,340
공간,338
더,334
저,334
서울특별시,331
이드,329
테이블,313
진짜,304
이,303
호,296
거,290
위,281
건물,279
시간,277
여기,276
치즈,271
인테리어,271
때,269
아니다,262
위치,256
넓다,254
와인,250
딸기,250
크림,248
추천,241
맛집,239
생각,239
레일,238
이다,235
초코,227
정말,227
신상,221
내부,220
그렇다,219
또,216
날,215
데이,214
말,211
다양하다,204
사람,203
간판,201
감성,201
좋아하다,200
하나,200
나,198
안,189
다음,188
재생,187
핫,186
판매,184
발,181
제,176
번,176
아메리카노,174
친구,173
포토,172
로나,168
요즘,167
달달,164
이렇다,164
그,161
귀엽다,159
존,158
바로,155
전,154
명,154
종류,153
거리,152
저녁,152
휴무,149
및,147
거울,147
내,147
주말,147
입구,144
렌카,144
중,143
성수역,143
월요일,143
좀,141
원두,138
우리,138
포레스트,137
이쁘다,137
듯,136
말차,134
보고,133
분,131
메뉴판,130
저희,129
동영상,129
요,128
샌드위치,127
다른,126
매장,125
서울,125
크리스마스,122
구경,122
처,122
계단,122
도,122
그냥,121
아이스,120
일,120
라스트,120
회전,118
꼭,116
러프러프,116
영업,115
평일,115
얼,115
쪽,114
처음,112
접기,112
눈,112
조명,112
개,112
좌석,111
완전,111
입,111
물,111
바,110
등,107
이용,106
조금,104
할인,104
정도,103
동반,103
가능하다,102
흑임자,101
오늘,101
매실,100
소파,99
비주,99
펍,99
점,98
서울숲,97
안쪽,97
굿,97
직원,97
출구,96
아주,95
오픈,94
너,94
집,94
정기,94
깔끔하다,93
잔,92
뭔가,92
데이트,92
보기,92
편하다,92
포스터,91
향,91
토,91
앞,91
마음,90
준비,89
부드럽다,89
게,89
아쉽다,89
츄로플,88
조합,88
티켓,88
덕,88
만,88
직접,86
매달,86
빵,86
가지,86
반려동물,85
홀,85
잠봉뵈르,85
블루,84
꽤,84
화장실,83
볼,83
가능,82
카야,81
기분,81
소품,80
뭐,80
아이스크림,79
쿠폰,79
금,78
걸,78
고소하다,78
선택,78
전체,77
드립커피,77
알,77
옆,77
포장,76
아래,76
월,76
고민,76
아인,75
해,75
찍기,75
컵,74
사장,74
취향,74
날씨,74
카운터,74
살짝,73
힙한,73
슈페,73
궁금하다,72
게시,72
한번,72
곳곳,72
계속,71
후기,70
가장,70
포스팅,69
낮,69
일단,69
못,69
운영,69
왜,69
창가,69
함,69
편,68
주차,68
인스타,68
줄,68
사실,68
